date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,22,static,1.1162918,1.5165882
2001-09-04,core,22,static,2.0407026,2.0024133
2001-09-05,core,22,static,1.9308276,1.4503422
2001-09-06,core,22,static,2.2984583,1.521821
2001-09-07,core,22,static,1.6795223,1.3050514
2001-09-11,core,22,static,1.5307633,1.4002361
2001-09-12,core,22,static,2.9791594,2.267135
2001-09-13,core,22,static,2.1383514,1.870807
2001-09-14,core,22,static,2.6557584,2.0669181
2001-09-17,core,22,static,1.9450941,1.9497342
2001-09-18,core,22,static,2.4098809,2.1168242
2001-09-19,core,22,static,2.3552494,1.8668813
2001-09-20,core,22,static,1.6585617,1.412038
2001-09-21,core,22,static,1.7568865,1.7032608
2001-09-25,core,22,static,1.8962106,1.68168
2001-09-26,core,22,static,1.4537836,1.3928239
2001-09-27,core,22,static,1.2037674,1.2881532
2001-09-28,core,22,static,1.4054729,1.2877443
2001-10-01,core,22,static,1.8121343,1.7380238
2001-10-02,core,22,static,1.2978135,1.52392
2001-10-03,core,22,static,1.6023628,1.5282744
2001-10-04,core,22,static,1.4444504,1.4067897
2001-10-05,core,22,static,1.4616369,1.3804305
2001-10-09,core,22,static,1.3781606,1.1685894
2001-10-10,core,22,static,1.0720345,1.0983015
2001-10-11,core,22,static,1.2359428,1.4323533
2001-10-12,core,22,static,1.6532644,1.2681623
2001-10-15,core,22,static,1.0386,1.070721
2001-10-16,core,22,static,1.2261803,1.3774421
2001-10-17,core,22,static,1.2315547,1.3298029
2001-10-18,core,22,static,1.12609,1.2893703
2001-10-19,core,22,static,0.9049973,1.2328981
2001-10-22,core,22,static,0.6510661,0.93879575
2001-10-23,core,22,static,1.2846167,0.95863837
2001-10-24,core,22,static,1.302556,0.98648626
2001-10-25,core,22,static,1.3072278,1.1227739
2001-10-26,core,22,static,1.1498301,1.2201426
2001-10-29,core,22,static,1.0187558,1.2012247
2001-10-30,core,22,static,1.2031951,1.106925
2001-10-31,core,22,static,0.8309624,0.9439897
2001-11-01,core,22,static,0.9647422,1.0208864
2001-11-02,core,22,static,1.450916,1.0994201
2001-11-05,core,22,static,0.6997015,0.9353722
2001-11-06,core,22,static,0.91230756,0.85109395
2001-11-07,core,22,static,1.213562,1.220638
2001-11-08,core,22,static,1.2132354,1.1899273
2001-11-09,core,22,static,1.3137938,1.1290475
2001-11-12,core,22,static,1.0898567,1.141356
2001-11-13,core,22,static,0.87020963,1.1059277
2001-11-14,core,22,static,1.2052678,1.0063183
2001-11-15,core,22,static,1.2514703,1.443385
2001-11-16,core,22,static,2.1688633,1.5669239
2001-11-19,core,22,static,1.5463173,1.3031323
2001-11-20,core,22,static,1.6622303,1.2361407
2001-11-21,core,22,static,1.7681742,1.6182328
2001-11-22,core,22,static,1.2729993,1.3165791
2001-11-26,core,22,static,1.4711521,1.323854
2001-11-27,core,22,static,1.4325883,1.2338635
2001-11-28,core,22,static,1.4102099,1.4861907
2001-11-30,core,22,static,1.2161804,1.3283961
2001-12-03,core,22,static,1.4683616,1.4917006
2001-12-04,core,22,static,1.3313465,1.3320997
2001-12-05,core,22,static,1.1900908,1.1315969
2001-12-06,core,22,static,1.8679303,1.1290768
2001-12-07,core,22,static,1.0733515,1.0808973
2001-12-10,core,22,static,0.93792796,1.1572229
2001-12-11,core,22,static,1.022902,1.14046
2001-12-12,core,22,static,1.6226773,1.3889587
2001-12-13,core,22,static,1.1153,1.3811836
2001-12-14,core,22,static,1.4686747,1.41165
2001-12-17,core,22,static,1.1992097,1.1622558
2001-12-18,core,22,static,1.5933192,1.2218062
2001-12-19,core,22,static,1.5499549,1.0990188
2001-12-20,core,22,static,1.1386887,1.0443864
2001-12-21,core,22,static,1.0471654,1.1924714
2001-12-25,core,22,static,1.0677977,1.206202
2001-12-26,core,22,static,1.0058322,1.1189228
2001-12-27,core,22,static,1.0679196,1.3480989
2002-01-07,core,22,static,1.0932148,1.0519152
2002-01-08,core,22,static,1.1639675,1.0509453
2002-01-09,core,22,static,1.1235802,1.076098
2002-01-10,core,22,static,1.2643216,1.182787
2002-01-11,core,22,static,0.9711793,1.1159576
2002-01-15,core,22,static,1.0283325,1.1400636
2002-01-16,core,22,static,1.0653367,1.2422123
2002-01-17,core,22,static,1.2711087,1.1128098
2002-01-21,core,22,static,1.0141083,1.0962555
2002-01-22,core,22,static,1.1118968,1.1870655
2002-01-23,core,22,static,1.0210612,1.0856781
2002-01-24,core,22,static,1.3695625,1.1247613
2002-01-25,core,22,static,1.3686211,0.972783
2002-01-29,core,22,static,1.17725,0.9986408
2002-01-30,core,22,static,0.9733158,1.100507
2002-01-31,core,22,static,0.9758415,0.99498814
2002-02-01,core,22,static,1.2524565,1.2908549
2002-02-04,core,22,static,0.92524797,1.349608
2002-02-05,core,22,static,1.2981555,1.4441936
2002-02-06,core,22,static,1.2677865,1.1931331
2002-02-07,core,22,static,1.4968977,1.1037662
2002-02-08,core,22,static,1.6193671,1.1883533
2002-02-12,core,22,static,1.1070732,1.0185534
2002-02-13,core,22,static,1.434199,1.1015942
2002-02-14,core,22,static,1.6110401,1.1912416
2002-02-15,core,22,static,1.4196908,1.1132786
2002-02-18,core,22,static,0.75287354,1.113328
