date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,60,static,0.7466042,1.1397685
2001-09-04,core,60,static,1.1451876,1.5028131
2001-09-05,core,60,static,0.9867531,1.225406
2001-09-06,core,60,static,0.921047,1.0304651
2001-09-07,core,60,static,0.8651238,0.9642587
2001-09-11,core,60,static,0.99968207,0.9988029
2001-09-12,core,60,static,5.145089,2.8789532
2001-09-13,core,60,static,2.1412773,5.782395
2001-09-14,core,60,static,2.7766545,4.9434023
2001-09-17,core,60,static,1.5982653,3.2989252
2001-09-18,core,60,static,1.3887355,2.0398977
2001-09-19,core,60,static,1.334155,1.6686951
2001-09-20,core,60,static,1.503243,1.4363111
2001-09-21,core,60,static,1.4434581,1.2134156
2001-09-24,core,60,static,1.1199275,1.2150815
2001-09-25,core,60,static,1.5513935,1.8217396
2001-09-26,core,60,static,1.3735356,1.6984675
2001-09-27,core,60,static,1.1104246,1.3310066
2001-09-28,core,60,static,1.2660418,1.2111423
2001-10-04,core,60,static,1.1761986,1.1378931
2001-10-05,core,60,static,0.9124375,1.0003666
2001-10-08,core,60,static,0.9601295,0.9690769
2001-10-09,core,60,static,0.8911104,1.0544509
2001-10-10,core,60,static,0.8368023,1.011232
2001-10-11,core,60,static,0.7732897,0.9763201
2001-10-12,core,60,static,1.1201193,1.1960939
2001-10-15,core,60,static,0.892548,1.0042684
2001-10-16,core,60,static,0.7437714,1.0362592
2001-10-17,core,60,static,0.8790355,1.0542742
2001-10-18,core,60,static,1.102222,0.951653
2001-10-19,core,60,static,0.9248605,0.9099157
2001-10-22,core,60,static,0.9472694,0.8875918
2001-10-23,core,60,static,0.95647055,0.93275636
2001-10-24,core,60,static,0.7433818,1.0377012
2001-10-25,core,60,static,0.89134675,0.9574107
2001-10-26,core,60,static,0.86082774,0.8651569
2001-10-29,core,60,static,0.8435975,0.8310888
2001-10-30,core,60,static,0.86960524,0.8355807
2001-10-31,core,60,static,0.73506045,0.9918361
2001-11-01,core,60,static,0.80269545,1.0788268
2001-11-02,core,60,static,0.8605295,0.9526185
2001-11-05,core,60,static,0.9249837,0.92806077
2001-11-06,core,60,static,0.810273,0.90948004
2001-11-07,core,60,static,0.7356962,0.9045112
2001-11-08,core,60,static,1.165858,0.96242154
2001-11-09,core,60,static,1.0981371,0.9487219
2001-11-12,core,60,static,1.1535648,0.9030361
2001-11-13,core,60,static,1.5962058,1.026507
2001-11-14,core,60,static,1.0062349,1.1675458
2001-11-15,core,60,static,1.5722888,1.1705652
2001-11-16,core,60,static,1.0510287,1.0127093
2001-11-19,core,60,static,1.5380912,1.2484208
2001-11-20,core,60,static,1.7230455,1.4828883
2001-11-21,core,60,static,1.4946291,1.4025847
2001-11-22,core,60,static,1.1109034,1.3199393
2001-11-23,core,60,static,1.4672333,1.5500387
2001-11-26,core,60,static,1.821557,1.6852987
2001-11-27,core,60,static,2.3764877,1.7257243
2001-11-28,core,60,static,1.8268679,2.2302325
2001-11-30,core,60,static,1.513803,2.4455416
2001-12-03,core,60,static,1.7871368,2.1030881
2001-12-04,core,60,static,1.8108115,1.5869617
2001-12-05,core,60,static,1.9333318,2.285054
2001-12-06,core,60,static,3.2019749,3.077955
2001-12-07,core,60,static,2.0830026,2.7397907
2001-12-10,core,60,static,1.7435644,2.553507
2001-12-11,core,60,static,2.3532186,2.4274004
2001-12-12,core,60,static,2.1861737,2.0388181
2001-12-13,core,60,static,2.2576902,1.6464196
2001-12-14,core,60,static,1.7536687,1.3966273
2001-12-17,core,60,static,1.7037467,1.382034
2001-12-18,core,60,static,1.824488,1.7272717
2001-12-19,core,60,static,1.6069132,1.4795303
2001-12-20,core,60,static,1.7552295,1.7625192
2001-12-21,core,60,static,1.4396634,1.4795386
2001-12-24,core,60,static,1.3682072,1.4300159
2001-12-26,core,60,static,1.0631682,1.2457777
2001-12-27,core,60,static,2.1890788,1.8706158
2001-12-28,core,60,static,1.5163386,1.7663565
2002-01-02,core,60,static,2.1872623,2.610275
2002-01-03,core,60,static,2.1237338,2.245846
2002-01-04,core,60,static,1.3655062,1.6196964
2002-01-07,core,60,static,1.9861394,1.6384016
2002-01-08,core,60,static,1.4465333,1.4923877
2002-01-09,core,60,static,1.6962383,1.7201791
2002-01-10,core,60,static,1.814649,1.7892108
2002-01-11,core,60,static,1.6676846,1.9333183
2002-01-14,core,60,static,1.6295612,1.7833434
2002-01-15,core,60,static,1.532823,1.4950062
2002-01-16,core,60,static,1.7810308,1.5182048
2002-01-17,core,60,static,1.5762987,1.4399759
2002-01-21,core,60,static,1.4824507,1.2768182
2002-01-22,core,60,static,1.311909,1.1549219
2002-01-23,core,60,static,1.3083884,1.7189736
2002-01-24,core,60,static,1.5903313,1.6459404
2002-01-25,core,60,static,1.5989273,1.4148601
2002-01-29,core,60,static,1.632593,1.2604308
2002-01-30,core,60,static,1.3398451,1.2754161
2002-01-31,core,60,static,1.3036908,1.557197
2002-02-01,core,60,static,1.4750715,1.6520798
2002-02-04,core,60,static,1.483779,1.3945781
2002-02-05,core,60,static,1.6120082,1.4689413
2002-02-06,core,60,static,1.2598191,1.2131716
2002-02-07,core,60,static,1.2064549,1.3553814
2002-02-08,core,60,static,1.468514,1.4348947
2002-02-14,core,60,static,1.7625515,2.1336558
2002-02-15,core,60,static,1.3534482,1.7912209
2002-02-18,core,60,static,1.2851031,1.3818836
2002-02-19,core,60,static,1.3300374,1.2997674
2002-02-20,core,60,static,0.92501795,1.1369913
2002-02-21,core,60,static,1.448153,1.1794475
2002-02-22,core,60,static,1.3000295,1.1939284
2002-02-25,core,60,static,1.120975,1.0448278
2002-02-26,core,60,static,0.9606085,1.0466824
2002-02-27,core,60,static,1.3606933,1.3015018
2002-02-28,core,60,static,1.2048212,1.1346468
2002-03-04,core,60,static,1.2026724,0.945019
2002-03-05,core,60,static,1.3040849,0.93091786
2002-03-06,core,60,static,1.3490828,0.9743825
2002-03-07,core,60,static,1.1017764,1.1709758
2002-03-08,core,60,static,1.3557613,1.2133763
2002-03-11,core,60,static,1.1236748,1.0484711
2002-03-12,core,60,static,1.1642313,1.1832935
2002-03-13,core,60,static,1.3761994,1.1641325
2002-03-14,core,60,static,1.732135,1.3948785
2002-03-15,core,60,static,1.4195485,1.3415021
2002-03-18,core,60,static,1.1900444,1.1133348
2002-03-19,core,60,static,1.2082579,1.19926
2002-03-20,core,60,static,1.7169394,1.2650391
2002-03-21,core,60,static,1.2304847,1.1318927
2002-03-22,core,60,static,1.4186155,1.2437468
2002-03-25,core,60,static,1.2961278,1.2178719
2002-03-26,core,60,static,1.3374858,1.1063784
2002-03-27,core,60,static,1.1185592,1.1519674
2002-03-28,core,60,static,1.556742,1.2056514
2002-03-29,core,60,static,1.0900412,1.0428699
2001-09-03,momentum,22,static,0.7466042,1.1148024
2001-09-04,momentum,22,static,1.1451876,1.4178574
2001-09-05,momentum,22,static,0.9867531,1.2699444
2001-09-06,momentum,22,static,0.921047,1.0214707
2001-09-07,momentum,22,static,0.8651238,1.0122482
2001-09-11,momentum,22,static,0.99968207,1.112682
2001-09-12,momentum,22,static,5.145089,2.0418985
2001-09-13,momentum,22,static,2.1412773,3.0259345
2001-09-14,momentum,22,static,2.7766545,2.2809858
2001-09-17,momentum,22,static,1.5982653,2.1261902
2001-09-18,momentum,22,static,1.3887355,1.7680801
2001-09-19,momentum,22,static,1.334155,1.758458
2001-09-20,momentum,22,static,1.503243,1.6011769
2001-09-21,momentum,22,static,1.4434581,1.289978
2001-09-24,momentum,22,static,1.1199275,1.2374148
2001-09-25,momentum,22,static,1.5513935,1.8888603
2001-09-26,momentum,22,static,1.3735356,1.6525183
2001-09-27,momentum,22,static,1.1104246,1.3398198
2001-09-28,momentum,22,static,1.2660418,1.2974173
2001-10-04,momentum,22,static,1.1761986,1.2246932
2001-10-05,momentum,22,static,0.9124375,1.2428253
2001-10-08,momentum,22,static,0.9601295,1.1556069
2001-10-09,momentum,22,static,0.8911104,1.1707112
2001-10-10,momentum,22,static,0.8368023,1.1506044
2001-10-11,momentum,22,static,0.7732897,1.0558819
2001-10-12,momentum,22,static,1.1201193,1.2487689
2001-10-15,momentum,22,static,0.892548,1.101354
2001-10-16,momentum,22,static,0.7437714,1.017047
2001-10-17,momentum,22,static,0.8790355,1.0450214
2001-10-18,momentum,22,static,1.102222,1.0265275
2001-10-19,momentum,22,static,0.9248605,0.95959276
2001-10-22,momentum,22,static,0.9472694,0.9416602
2001-10-23,momentum,22,static,0.95647055,0.9225326
2001-10-24,momentum,22,static,0.7433818,0.96360475
2001-10-25,momentum,22,static,0.89134675,0.9513421
2001-10-26,momentum,22,static,0.86082774,0.9065253
2001-10-29,momentum,22,static,0.8435975,0.8909536
2001-10-30,momentum,22,static,0.86960524,0.89364344
2001-10-31,momentum,22,static,0.73506045,0.9036867
2001-11-01,momentum,22,static,0.80269545,0.97767204
2001-11-02,momentum,22,static,0.8605295,0.94345504
2001-11-05,momentum,22,static,0.9249837,0.9243222
2001-11-06,momentum,22,static,0.810273,0.8996875
2001-11-07,momentum,22,static,0.7356962,0.91025954
2001-11-08,momentum,22,static,1.165858,0.9265931
2001-11-09,momentum,22,static,1.0981371,0.94091207
2001-11-12,momentum,22,static,1.1535648,0.91165197
2001-11-13,momentum,22,static,1.5962058,0.9506227
2001-11-14,momentum,22,static,1.0062349,1.0231142
2001-11-15,momentum,22,static,1.5722888,1.1195413
2001-11-16,momentum,22,static,1.0510287,1.0185091
2001-11-19,momentum,22,static,1.5380912,1.1445278
2001-11-20,momentum,22,static,1.7230455,1.4254376
2001-11-21,momentum,22,static,1.4946291,1.2225419
2001-11-22,momentum,22,static,1.1109034,1.1488084
2001-11-23,momentum,22,static,1.4672333,1.3993315
2001-11-26,momentum,22,static,1.821557,1.5099211
2001-11-27,momentum,22,static,2.3764877,1.5560027
2001-11-28,momentum,22,static,1.8268679,1.8553587
2001-11-30,momentum,22,static,1.513803,1.6909186
2001-12-03,momentum,22,static,1.7871368,1.5585285
2001-12-04,momentum,22,static,1.8108115,1.4714645
2001-12-05,momentum,22,static,1.9333318,1.9768094
2001-12-06,momentum,22,static,3.2019749,2.7688031
2001-12-07,momentum,22,static,2.0830026,2.3438258
2001-12-10,momentum,22,static,1.7435644,2.21953
2001-12-11,momentum,22,static,2.3532186,2.009369
2001-12-12,momentum,22,static,2.1861737,1.7884728
2001-12-13,momentum,22,static,2.2576902,1.6769727
2001-12-14,momentum,22,static,1.7536687,1.468316
2001-12-17,momentum,22,static,1.7037467,1.346895
2001-12-18,momentum,22,static,1.824488,1.5760572
2001-12-19,momentum,22,static,1.6069132,1.3716838
2001-12-20,momentum,22,static,1.7552295,1.6449711
2001-12-21,momentum,22,static,1.4396634,1.4178175
2001-12-24,momentum,22,static,1.3682072,1.3735665
2001-12-26,momentum,22,static,1.0631682,1.0855461
2001-12-27,momentum,22,static,2.1890788,1.5689704
2001-12-28,momentum,22,static,1.5163386,1.4061713
2002-01-02,momentum,22,static,2.1872623,1.9983615
2002-01-03,momentum,22,static,2.1237338,1.6984419
2002-01-04,momentum,22,static,1.3655062,1.4085475
2002-01-07,momentum,22,static,1.9861394,1.432719
2002-01-08,momentum,22,static,1.4465333,1.2864639
2002-01-09,momentum,22,static,1.6962383,1.4039432
2002-01-10,momentum,22,static,1.814649,1.4826204
2002-01-11,momentum,22,static,1.6676846,1.631476
2002-01-14,momentum,22,static,1.6295612,1.4756231
2002-01-15,momentum,22,static,1.532823,1.3552408
2002-01-16,momentum,22,static,1.7810308,1.3850762
2002-01-17,momentum,22,static,1.5762987,1.3114641
2002-01-21,momentum,22,static,1.4824507,1.3120589
2002-01-22,momentum,22,static,1.311909,1.2267814
2002-01-23,momentum,22,static,1.3083884,1.6018537
2002-01-24,momentum,22,static,1.5903313,1.538263
2002-01-25,momentum,22,static,1.5989273,1.4860879
2002-01-29,momentum,22,static,1.632593,1.3445898
2002-01-30,momentum,22,static,1.3398451,1.2212743
2002-01-31,momentum,22,static,1.3036908,1.3585228
2002-02-01,momentum,22,static,1.4750715,1.3445092
2002-02-04,momentum,22,static,1.483779,1.2619313
2002-02-05,momentum,22,static,1.6120082,1.3110887
2002-02-06,momentum,22,static,1.2598191,1.1740216
2002-02-07,momentum,22,static,1.2064549,1.3766621
2002-02-08,momentum,22,static,1.468514,1.3482085
2002-02-14,momentum,22,static,1.7625515,1.6719729
2002-02-15,momentum,22,static,1.3534482,1.5186507
2002-02-18,momentum,22,static,1.2851031,1.3535459
2002-02-19,momentum,22,static,1.3300374,1.2601094
2002-02-20,momentum,22,static,0.92501795,1.1508166
2002-02-21,momentum,22,static,1.448153,1.2104179
2002-02-22,momentum,22,static,1.3000295,1.2489818
2002-02-25,momentum,22,static,1.120975,1.1827596
2002-02-26,momentum,22,static,0.9606085,1.1839662
2002-02-27,momentum,22,static,1.3606933,1.3286198
2002-02-28,momentum,22,static,1.2048212,1.2217219
2002-03-04,momentum,22,static,1.2026724,1.2022812
2002-03-05,momentum,22,static,1.3040849,1.2324412
2002-03-06,momentum,22,static,1.3490828,1.2406899
2002-03-07,momentum,22,static,1.1017764,1.3904094
2002-03-08,momentum,22,static,1.3557613,1.4191332
2002-03-11,momentum,22,static,1.1236748,1.2356609
2002-03-12,momentum,22,static,1.1642313,1.4529101
2002-03-13,momentum,22,static,1.3761994,1.527696
