date,feature_set,L,protocol,RV_target,RV_pred
2001-09-04,core,22,static,1.2100633,1.1591711
2001-09-05,core,22,static,1.5679408,1.203754
2001-09-06,core,22,static,1.7411339,1.3621863
2001-09-07,core,22,static,1.6673518,1.4564275
2001-09-10,core,22,static,0.74644005,1.4228473
2001-09-17,core,22,static,2.2967522,2.2006
2001-09-18,core,22,static,1.0420033,1.4905465
2001-09-19,core,22,static,2.0819445,2.4770818
2001-09-20,core,22,static,2.3077028,2.2644184
2001-09-21,core,22,static,3.8494375,2.4380915
2001-09-24,core,22,static,2.7487578,2.2871263
2001-09-25,core,22,static,1.3044777,1.2787787
2001-09-26,core,22,static,1.2184697,1.061991
2001-09-27,core,22,static,1.323603,1.2900689
2001-09-28,core,22,static,1.383098,1.3255447
2001-10-01,core,22,static,1.1153392,1.0320988
2001-10-02,core,22,static,1.1142824,0.993119
2001-10-03,core,22,static,1.4624399,1.417359
2001-10-04,core,22,static,1.4496776,1.1996835
2001-10-05,core,22,static,1.388343,1.1442109
2001-10-09,core,22,static,0.9012264,0.9963337
2001-10-10,core,22,static,1.1528347,1.3593416
2001-10-11,core,22,static,1.3153303,1.1634932
2001-10-12,core,22,static,1.8570796,1.1762304
2001-10-15,core,22,static,1.1521173,0.9836251
2001-10-16,core,22,static,1.086504,0.9495727
2001-10-17,core,22,static,1.5736189,1.5309229
2001-10-18,core,22,static,1.0661162,1.402418
2001-10-19,core,22,static,0.9112782,1.3472815
2001-10-22,core,22,static,0.93944675,1.0575116
2001-10-23,core,22,static,1.1428016,0.9701661
2001-10-25,core,22,static,1.6669167,1.4932184
2001-10-26,core,22,static,1.1963391,1.1058983
2001-10-29,core,22,static,1.1619931,1.1232927
2001-10-30,core,22,static,1.4189671,1.2869414
2001-10-31,core,22,static,1.3224171,1.2534518
2001-11-01,core,22,static,1.3793659,1.4454772
2001-11-02,core,22,static,1.1274173,1.0300237
2001-11-05,core,22,static,1.2020197,0.93220043
2001-11-06,core,22,static,1.1549374,1.0517018
2001-11-07,core,22,static,0.8003076,1.0697442
2001-11-08,core,22,static,1.1623281,1.15572
2001-11-09,core,22,static,1.0823077,0.95270973
2001-11-12,core,22,static,1.8706733,1.0477532
2001-11-13,core,22,static,1.3069998,0.99300575
2001-11-14,core,22,static,0.72449815,0.97874683
2001-11-15,core,22,static,0.9128627,0.9285813
2001-11-16,core,22,static,0.863002,0.9366843
2001-11-19,core,22,static,0.8419718,0.799577
2001-11-20,core,22,static,0.818936,0.80029595
2001-11-21,core,22,static,0.7878766,0.8777252
2001-11-23,core,22,static,0.46533653,0.8622354
2001-11-26,core,22,static,0.7479832,0.71730596
2001-11-27,core,22,static,1.2810916,0.75742996
2001-11-28,core,22,static,1.1399939,1.0167954
2001-11-29,core,22,static,0.9690435,0.99732155
2001-11-30,core,22,static,0.70338136,0.8629993
2001-12-03,core,22,static,1.1231444,0.78526074
2001-12-04,core,22,static,0.7437601,0.8379792
2001-12-05,core,22,static,1.0228494,1.0366411
2001-12-06,core,22,static,0.74097836,0.8974886
2001-12-07,core,22,static,0.9054286,0.8086909
2001-12-10,core,22,static,0.81427985,0.8671862
2001-12-11,core,22,static,0.8531661,0.9226516
2001-12-12,core,22,static,0.9190137,0.9998388
2001-12-13,core,22,static,1.290168,1.0632794
2001-12-14,core,22,static,0.8951791,0.960809
2001-12-17,core,22,static,0.73835754,0.87200385
2001-12-18,core,22,static,0.8728666,0.80897635
2001-12-19,core,22,static,0.98670614,0.88740396
2001-12-20,core,22,static,0.670085,0.88576734
2001-12-21,core,22,static,0.7076453,0.77281934
2001-12-24,core,22,static,0.2745382,0.6883233
2001-12-26,core,22,static,0.6585761,0.6966039
2001-12-27,core,22,static,0.501013,0.6866704
2001-12-28,core,22,static,0.60416377,0.6541693
2001-12-31,core,22,static,0.6412162,0.659954
2002-01-02,core,22,static,0.9662686,0.7077496
2002-01-03,core,22,static,0.6566055,0.7011845
2002-01-04,core,22,static,1.0448201,0.6744102
2002-01-07,core,22,static,0.68711996,0.6782321
2002-01-08,core,22,static,0.7378895,0.72600603
2002-01-09,core,22,static,1.0054343,0.9292197
2002-01-10,core,22,static,0.73413384,0.8473297
