date,feature_set,L,protocol,RV_target,RV_pred
2020-01-06,core,60,static,0.44382903,0.50253695
2020-01-07,core,60,static,0.44791958,0.5241441
2020-01-08,core,60,static,1.0271528,0.79466367
2020-01-09,core,60,static,0.40029523,0.66082764
2020-01-10,core,60,static,0.50816536,0.4994831
2020-01-14,core,60,static,0.4712035,0.42640847
2020-01-15,core,60,static,0.34357914,0.414932
2020-01-16,core,60,static,0.33070755,0.4024673
2020-01-17,core,60,static,0.2753261,0.39765292
2020-01-20,core,60,static,0.24701275,0.38549054
2020-01-21,core,60,static,0.6026988,0.43321192
2020-01-22,core,60,static,0.33330953,0.44090503
2020-01-23,core,60,static,0.5190674,0.43896776
2020-01-24,core,60,static,0.35779923,0.41188318
2020-01-27,core,60,static,0.5440839,0.49981654
2020-01-28,core,60,static,0.60429853,0.45257854
2020-01-29,core,60,static,0.41658565,0.44973958
2020-01-30,core,60,static,0.64967036,0.991568
2020-01-31,core,60,static,0.7667314,0.78455794
2020-02-03,core,60,static,0.7104763,0.66637576
2020-02-04,core,60,static,0.5517053,0.6470119
2020-02-05,core,60,static,0.5521484,0.50373054
2020-02-06,core,60,static,0.61236733,0.7719768
2020-02-07,core,60,static,0.5950724,0.5913689
2020-02-10,core,60,static,0.5692523,0.4846186
2020-02-12,core,60,static,0.5979088,0.44526488
2020-02-13,core,60,static,0.50525135,0.42622977
2020-02-14,core,60,static,0.43281853,0.4375255
2020-02-17,core,60,static,0.68583125,0.52846915
2020-02-18,core,60,static,0.5501335,0.6783962
2020-02-19,core,60,static,0.45302433,0.6134225
2020-02-20,core,60,static,0.90920395,0.83706284
2020-02-21,core,60,static,0.69606656,0.65547407
2020-02-25,core,60,static,1.9779071,1.4041959
2020-02-26,core,60,static,1.144741,1.1234056
2020-02-27,core,60,static,0.9997437,1.2333945
2020-02-28,core,60,static,1.8126712,1.8713568
2020-03-02,core,60,static,1.69042,1.8574983
2020-03-03,core,60,static,1.2993041,1.5823542
2020-03-04,core,60,static,1.2761705,1.2691523
2020-03-05,core,60,static,0.89602184,0.89316016
2020-03-06,core,60,static,0.92434686,1.4187566
2020-03-09,core,60,static,2.1368737,2.6522417
2020-03-10,core,60,static,2.9922836,2.8648314
2020-03-11,core,60,static,1.9073552,1.8937658
2020-03-12,core,60,static,2.3385322,2.801805
2020-03-13,core,60,static,6.2040453,5.778275
2020-03-16,core,60,static,3.7857985,3.4311888
2020-03-17,core,60,static,4.355637,3.2503073
2020-03-18,core,60,static,2.641052,2.57161
2020-03-19,core,60,static,2.735579,2.994646
2020-03-23,core,60,static,2.3729339,2.3634305
2020-03-24,core,60,static,3.0436535,2.7408307
2020-03-25,core,60,static,3.0308642,3.2786334
2020-03-26,core,60,static,2.714887,2.9883094
2020-03-27,core,60,static,2.8818197,2.1659527
2020-03-30,core,60,static,1.6537532,1.7877436
2020-03-31,core,60,static,1.782464,1.7427593
2020-04-01,core,60,static,1.9083135,3.0738285
2020-04-02,core,60,static,2.137784,2.0974798
2020-04-03,core,60,static,1.4161434,1.5054833
2020-04-06,core,60,static,2.1911533,2.3486426
2020-04-07,core,60,static,2.2000232,2.0039957
2020-04-08,core,60,static,2.1747363,2.1367524
2020-04-09,core,60,static,1.1293111,1.4626085
2020-04-10,core,60,static,0.944081,1.2195789
2020-04-13,core,60,static,0.9757498,1.4524621
2020-04-14,core,60,static,1.2967237,1.6505283
2020-04-15,core,60,static,1.2495824,1.1399798
2020-04-16,core,60,static,0.83327824,1.1108084
2020-04-17,core,60,static,1.1986153,1.173245
2020-04-20,core,60,static,0.8171136,1.0027155
2020-04-21,core,60,static,1.1040707,1.2858155
2020-04-22,core,60,static,1.151931,1.1988287
2020-04-23,core,60,static,0.8686289,0.9457849
2020-04-24,core,60,static,0.66154623,0.9467453
2020-04-27,core,60,static,0.8998703,1.1193322
2020-04-28,core,60,static,0.77641505,0.8576375
2020-04-30,core,60,static,1.134217,0.8553053
2020-05-01,core,60,static,0.88407654,1.3603423
2020-05-07,core,60,static,0.7189698,1.0541345
2020-05-08,core,60,static,0.964118,0.8481559
2020-05-11,core,60,static,0.70183384,0.8208203
2020-05-12,core,60,static,0.7655016,0.6593089
2020-05-13,core,60,static,0.7385725,0.81201625
2020-05-14,core,60,static,0.7860958,1.0231404
2020-05-15,core,60,static,1.06585,1.066628
2020-05-18,core,60,static,0.7189533,0.7560551
2020-05-19,core,60,static,0.98682386,0.68442535
2020-05-20,core,60,static,0.54295725,0.69399863
2020-05-21,core,60,static,0.63715106,0.7513735
2020-05-22,core,60,static,0.88088787,0.9042024
2020-05-25,core,60,static,0.4803144,0.6307959
2020-05-26,core,60,static,0.6801239,0.91125804
2020-05-27,core,60,static,1.0993152,0.8896377
2020-05-28,core,60,static,1.2409343,0.9083076
2020-05-29,core,60,static,0.74741215,0.8627517
2020-06-01,core,60,static,0.77988225,0.7764516
2020-06-02,core,60,static,0.74083364,0.7814183
2020-06-03,core,60,static,1.1755095,0.8804293
2020-06-04,core,60,static,1.0190725,1.0074719
2020-06-05,core,60,static,0.752185,0.9211333
2020-06-08,core,60,static,0.70580775,0.620888
2020-06-09,core,60,static,0.80062586,0.68602616
2020-06-10,core,60,static,0.6440068,0.72690636
2020-06-11,core,60,static,1.0577861,1.243807
2020-06-12,core,60,static,1.8735307,1.4402319
2020-06-15,core,60,static,1.2531884,1.829136
