date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,22,static,0.8925091,0.62333816
2020-01-03,core,22,static,0.8655617,0.68571895
2020-01-06,core,22,static,0.64004916,0.66567034
2020-01-07,core,22,static,0.61568403,0.5944284
2020-01-08,core,22,static,0.8261563,0.6901318
2020-01-09,core,22,static,0.58667445,0.64542204
2020-01-10,core,22,static,0.7661299,0.57096094
2020-01-13,core,22,static,0.6040833,0.53974336
2020-01-14,core,22,static,0.6655603,0.52940446
2020-01-15,core,22,static,0.56905633,0.5458999
2020-01-16,core,22,static,0.58116597,0.5508548
2020-01-17,core,22,static,0.63811225,0.5272872
2020-01-20,core,22,static,0.67395675,0.49157417
2020-01-21,core,22,static,0.5681763,0.6044205
2020-01-22,core,22,static,0.68830997,0.6593384
2020-01-23,core,22,static,0.72636735,0.7052696
2020-01-28,core,22,static,0.88319975,0.8705236
2020-01-29,core,22,static,0.8074044,0.851079
2020-01-30,core,22,static,0.8236806,0.93383545
2020-01-31,core,22,static,0.8683717,1.0305626
2020-02-03,core,22,static,1.6001309,0.9425535
2020-02-04,core,22,static,0.99906355,0.8527077
2020-02-05,core,22,static,0.9396403,0.7858096
2020-02-06,core,22,static,0.8091606,0.8251944
2020-02-07,core,22,static,0.78680825,0.8346338
2020-02-10,core,22,static,0.7722622,0.7465019
2020-02-11,core,22,static,0.60671264,0.6655557
2020-02-12,core,22,static,0.71207774,0.6456842
2020-02-13,core,22,static,0.8955175,0.6558934
2020-02-14,core,22,static,0.74798423,0.63297474
2020-02-17,core,22,static,0.703522,0.57554096
2020-02-18,core,22,static,0.6943836,0.69428843
2020-02-19,core,22,static,0.95025545,0.74270797
2020-02-20,core,22,static,0.8966674,0.837864
2020-02-21,core,22,static,0.8840929,0.8648595
2020-02-24,core,22,static,1.0130543,1.0763395
2020-02-25,core,22,static,1.1149325,1.0133357
2020-02-26,core,22,static,0.9713678,0.86338764
2020-02-27,core,22,static,1.096685,0.89364797
2020-02-28,core,22,static,1.0540459,1.1606665
2020-03-02,core,22,static,1.3627888,1.1475059
2020-03-03,core,22,static,1.0404245,0.9062165
2020-03-04,core,22,static,1.3947695,0.9477834
2020-03-05,core,22,static,1.1107405,0.8925259
2020-03-06,core,22,static,0.88189816,0.96032745
2020-03-09,core,22,static,0.9158199,1.2228236
2020-03-10,core,22,static,1.5066711,1.1247399
2020-03-11,core,22,static,1.3666302,1.3285675
2020-03-12,core,22,static,2.3275516,1.9407393
2020-03-13,core,22,static,4.240512,2.9905534
2020-03-16,core,22,static,3.102806,2.821031
2020-03-17,core,22,static,3.1042266,2.5285916
2020-03-18,core,22,static,2.1478994,2.9370654
2020-03-19,core,22,static,5.106524,5.737192
2020-03-20,core,22,static,3.461034,4.4679213
2020-03-23,core,22,static,2.9401298,3.1348114
2020-03-24,core,22,static,2.4058669,2.6270502
2020-03-25,core,22,static,3.186184,1.791661
2020-03-26,core,22,static,3.3640313,1.5864701
2020-03-27,core,22,static,2.3679667,2.0502348
2020-03-30,core,22,static,1.7741219,2.1105943
2020-03-31,core,22,static,1.8786575,1.6507341
2020-04-01,core,22,static,1.5038444,1.9705808
2020-04-02,core,22,static,3.0579274,1.8594936
2020-04-03,core,22,static,1.454066,1.3808889
2020-04-06,core,22,static,1.4193306,1.213023
2020-04-07,core,22,static,1.825698,1.232582
2020-04-08,core,22,static,1.42916,1.325625
2020-04-09,core,22,static,1.1514325,1.1957179
2020-04-10,core,22,static,1.2350382,1.1398383
2020-04-13,core,22,static,0.7029782,1.1448443
2020-04-14,core,22,static,0.9109103,1.0226833
2020-04-16,core,22,static,0.98536414,0.97636074
2020-04-17,core,22,static,1.0865109,0.88888925
2020-04-20,core,22,static,1.0786573,0.9651522
2020-04-21,core,22,static,2.1421676,1.2552154
2020-04-22,core,22,static,1.0999987,1.3671054
2020-04-23,core,22,static,1.2316594,1.173126
2020-04-24,core,22,static,0.99207103,1.1065501
2020-04-27,core,22,static,0.7388897,0.9926953
2020-04-28,core,22,static,1.0467181,0.9003563
2020-04-29,core,22,static,0.9343769,0.800713
2020-05-04,core,22,static,0.9064175,0.9347573
2020-05-06,core,22,static,0.7964782,0.8899399
2020-05-07,core,22,static,0.6942912,0.7507882
2020-05-08,core,22,static,0.6208556,0.6291017
2020-05-11,core,22,static,0.814888,0.6731375
2020-05-12,core,22,static,1.0388311,0.7944514
2020-05-13,core,22,static,0.89658505,0.91985804
2020-05-14,core,22,static,0.8146667,0.9004312
2020-05-15,core,22,static,0.91806823,0.79810303
2020-05-18,core,22,static,0.574851,0.6892236
2020-05-19,core,22,static,0.71427006,0.59559125
2020-05-20,core,22,static,0.5795682,0.59761745
2020-05-21,core,22,static,0.6458906,0.56843454
2020-05-22,core,22,static,0.81480575,0.8205689
2020-05-25,core,22,static,0.69699764,0.76870304
2020-05-26,core,22,static,0.74352235,0.6993596
2020-05-27,core,22,static,0.8157638,0.65950173
2020-05-28,core,22,static,1.162163,0.83988506
2020-05-29,core,22,static,0.97077924,0.8022168
2020-06-01,core,22,static,0.6808788,0.71152914
2020-06-02,core,22,static,0.71813905,0.6812653
2020-06-03,core,22,static,0.974479,0.8046269
2020-06-04,core,22,static,1.5348704,0.93795
2020-06-05,core,22,static,0.9500666,0.9392489
2020-06-08,core,22,static,1.2369232,0.89722604
2020-06-09,core,22,static,1.1788765,0.88823646
2020-06-10,core,22,static,0.7851555,0.8040263
2020-06-11,core,22,static,1.0741744,0.992583
2020-06-12,core,22,static,1.3512856,1.1651965
2020-06-15,core,22,static,1.6652087,1.7500552
2020-06-16,core,22,static,1.279926,1.5518112
2020-06-17,core,22,static,2.0011058,1.0800922
2020-06-18,core,22,static,1.0711188,0.8624581
2020-06-19,core,22,static,1.3147469,0.88226753
2020-06-22,core,22,static,0.9381533,0.86035144
2020-06-23,core,22,static,1.4316689,0.91831446
2020-06-24,core,22,static,0.82364184,0.876722
2020-06-25,core,22,static,1.0901093,0.996947
2020-06-26,core,22,static,1.0487251,0.9113501
2020-06-29,core,22,static,0.9529297,0.9757813
2020-06-30,core,22,static,0.90718454,0.8757456
2020-07-01,core,22,static,0.8848482,0.7923748
2020-07-02,core,22,static,0.71939707,0.7201048
2020-07-03,core,22,static,0.7971212,0.651789
2020-07-06,core,22,static,0.6302711,0.6531089
2020-07-07,core,22,static,1.0224646,0.85466963
2020-07-08,core,22,static,1.0925791,0.82323474
2020-07-09,core,22,static,0.6573447,0.7345132
2020-07-10,core,22,static,0.85970616,0.7934218
2020-07-13,core,22,static,0.7903394,0.720593
2020-07-14,core,22,static,0.7758081,0.65920943
2020-07-15,core,22,static,0.69883895,0.6495146
2020-07-16,core,22,static,0.807998,0.77688247
2020-07-17,core,22,static,0.7174348,0.7032953
2020-07-20,core,22,static,0.66419315,0.65017754
2020-07-21,core,22,static,0.5248831,0.58542377
2020-07-22,core,22,static,0.85102683,0.5717109
2020-07-23,core,22,static,0.7028111,0.62757504
2020-07-24,core,22,static,0.73021305,0.6807308
2020-07-27,core,22,static,0.7561659,0.6535433
2020-07-28,core,22,static,0.8034776,0.62237257
2020-07-29,core,22,static,1.124659,0.6285729
2020-07-30,core,22,static,0.6978779,0.6160715
2020-07-31,core,22,static,0.8043342,0.71030456
2020-08-03,core,22,static,0.78379637,0.64245445
2020-08-04,core,22,static,0.5697663,0.5734606
2020-08-05,core,22,static,0.6791901,0.5921647
2020-08-06,core,22,static,0.83224666,0.62083954
2020-08-07,core,22,static,1.0421315,0.60600084
2020-08-10,core,22,static,0.774224,0.63496
2020-08-11,core,22,static,0.8842718,0.6425306
2020-08-12,core,22,static,1.152268,0.7042434
2020-08-13,core,22,static,0.7132213,0.7995828
2020-08-14,core,22,static,1.1485844,0.95741725
2020-08-18,core,22,static,1.3214118,1.3411489
2020-08-19,core,22,static,0.99441165,1.1333485
2020-08-20,core,22,static,1.3530253,1.5135434
2020-08-21,core,22,static,1.3588558,1.3244787
2020-08-24,core,22,static,1.6466806,0.9463766
2020-08-25,core,22,static,0.8695733,0.74345237
2020-08-26,core,22,static,1.032218,0.7596163
2020-08-27,core,22,static,0.914999,0.8572404
2020-08-28,core,22,static,0.9371361,0.8259772
2020-08-31,core,22,static,0.9515168,1.0179498
2020-09-01,core,22,static,1.0548676,0.8582776
2020-09-02,core,22,static,0.75345546,0.7602588
2020-09-03,core,22,static,0.75722885,0.6786241
2020-09-04,core,22,static,0.9928399,0.81263036
2020-09-07,core,22,static,1.0624291,0.74857575
2020-09-08,core,22,static,0.7275021,0.65270513
2020-09-09,core,22,static,0.655464,0.71678656
2020-09-10,core,22,static,0.55759543,0.68659633
2020-09-11,core,22,static,0.7925922,0.6344146
2020-09-14,core,22,static,0.5266621,0.55160075
2020-09-15,core,22,static,0.6635065,0.53038776
2020-09-16,core,22,static,0.61183393,0.5620422
2020-09-17,core,22,static,0.9530079,0.76559365
2020-09-18,core,22,static,0.81390494,0.7200531
2020-09-21,core,22,static,0.99853915,0.83628994
2020-09-22,core,22,static,1.0884483,1.1384174
2020-09-23,core,22,static,1.5240895,1.2028942
2020-09-24,core,22,static,1.2488427,1.2426823
2020-09-25,core,22,static,0.85400593,1.0455061
2020-09-28,core,22,static,0.64856,0.7588635
2020-09-29,core,22,static,0.69983035,0.61267954
2020-10-05,core,22,static,0.68317914,0.6094485
2020-10-06,core,22,static,0.6998313,0.58656883
2020-10-07,core,22,static,0.65920067,0.65079194
2020-10-08,core,22,static,0.6884461,0.6533012
2020-10-12,core,22,static,0.66511315,0.547412
2020-10-13,core,22,static,0.715091,0.56953055
2020-10-14,core,22,static,0.732076,0.69033915
2020-10-15,core,22,static,0.89396816,0.7671825
2020-10-16,core,22,static,1.0595201,0.87033653
2020-10-19,core,22,static,0.78329605,0.744124
2020-10-20,core,22,static,1.0163735,0.70721173
2020-10-21,core,22,static,0.7459961,0.643838
2020-10-22,core,22,static,0.71047103,0.6770841
2020-10-23,core,22,static,0.83819497,0.6484378
2020-10-26,core,22,static,0.8008202,0.70364183
2020-10-27,core,22,static,0.8315384,0.7225189
2020-10-28,core,22,static,0.5566449,0.7137775
2020-10-29,core,22,static,0.96774065,0.7777094
2020-10-30,core,22,static,0.8352188,0.99900264
2020-11-02,core,22,static,0.8078183,0.92180556
2020-11-03,core,22,static,0.64777946,0.71723264
2020-11-04,core,22,static,1.1803854,0.64417213
2020-11-05,core,22,static,0.6849921,0.6966359
2020-11-06,core,22,static,0.97662157,0.6745215
2020-11-09,core,22,static,0.66611433,0.5963005
2020-11-10,core,22,static,0.78982884,0.5850999
2020-11-11,core,22,static,0.53830534,0.60362554
2020-11-12,core,22,static,0.7463583,0.6415644
2020-11-13,core,22,static,0.82453954,0.63677174
2020-11-16,core,22,static,0.75213057,0.62506324
2020-11-17,core,22,static,0.772861,0.60436755
2020-11-18,core,22,static,0.80839944,0.5894535
2020-11-19,core,22,static,0.67235494,0.5736279
2020-11-20,core,22,static,0.71284306,0.53243357
2020-11-23,core,22,static,0.71161485,0.60961056
2020-11-24,core,22,static,0.85441583,0.58007675
2020-11-25,core,22,static,0.9719984,0.79265076
2020-11-26,core,22,static,0.722663,0.7955486
2020-11-27,core,22,static,0.6707049,0.6721502
2020-11-30,core,22,static,0.7571212,0.8609506
2020-12-01,core,22,static,0.65049654,0.77073276
2020-12-02,core,22,static,0.8181416,0.67840034
2020-12-03,core,22,static,0.886736,0.61443365
2020-12-04,core,22,static,0.85403544,0.5947979
2020-12-07,core,22,static,1.009764,0.624124
2020-12-08,core,22,static,0.8619752,0.8102769
2020-12-09,core,22,static,0.8649668,0.8527522
2020-12-10,core,22,static,0.9057589,0.8560613
2020-12-11,core,22,static,0.69542485,0.72526485
2020-12-14,core,22,static,0.96283966,0.65360016
2020-12-15,core,22,static,0.8988821,0.6447945
2020-12-16,core,22,static,0.56504804,0.6268397
2020-12-17,core,22,static,0.57198644,0.6321686
2020-12-18,core,22,static,0.6335128,0.56931955
2020-12-21,core,22,static,0.11959955,0.540018
2020-12-22,core,22,static,0.7572007,0.68383676
2020-12-23,core,22,static,0.9341778,0.73551106
2020-12-24,core,22,static,1.0065945,0.72168154
2020-12-28,core,22,static,0.2795235,0.6469663
2020-12-29,core,22,static,0.96774805,0.5948634
2020-12-30,core,22,static,0.66715527,0.7566866
2020-01-02,momentum,22,static,0.8925091,0.5832178
2020-01-03,momentum,22,static,0.8655617,0.63195884
2020-01-06,momentum,22,static,0.64004916,0.6487393
2020-01-07,momentum,22,static,0.61568403,0.5974378
2020-01-08,momentum,22,static,0.8261563,0.6813542
2020-01-09,momentum,22,static,0.58667445,0.6092046
2020-01-10,momentum,22,static,0.7661299,0.54171
2020-01-13,momentum,22,static,0.6040833,0.52466446
2020-01-14,momentum,22,static,0.6655603,0.5080499
2020-01-15,momentum,22,static,0.56905633,0.52982706
2020-01-16,momentum,22,static,0.58116597,0.55428904
2020-01-17,momentum,22,static,0.63811225,0.5356661
2020-01-20,momentum,22,static,0.67395675,0.5053268
2020-01-21,momentum,22,static,0.5681763,0.5866492
2020-01-22,momentum,22,static,0.68830997,0.6226565
2020-01-23,momentum,22,static,0.72636735,0.6699379
2020-01-28,momentum,22,static,0.88319975,0.9780635
2020-01-29,momentum,22,static,0.8074044,0.8585711
2020-01-30,momentum,22,static,0.8236806,0.96818644
2020-01-31,momentum,22,static,0.8683717,1.1249068
2020-02-03,momentum,22,static,1.6001309,1.0692911
2020-02-04,momentum,22,static,0.99906355,0.9326473
2020-02-05,momentum,22,static,0.9396403,0.81558734
2020-02-06,momentum,22,static,0.8091606,0.855941
2020-02-07,momentum,22,static,0.78680825,0.82461447
2020-02-10,momentum,22,static,0.7722622,0.77511984
2020-02-11,momentum,22,static,0.60671264,0.697856
2020-02-12,momentum,22,static,0.71207774,0.6705664
2020-02-13,momentum,22,static,0.8955175,0.65578264
2020-02-14,momentum,22,static,0.74798423,0.6358738
2020-02-17,momentum,22,static,0.703522,0.58233476
2020-02-18,momentum,22,static,0.6943836,0.6911258
2020-02-19,momentum,22,static,0.95025545,0.73212415
2020-02-20,momentum,22,static,0.8966674,0.8220249
2020-02-21,momentum,22,static,0.8840929,0.86812276
2020-02-24,momentum,22,static,1.0130543,1.2402478
2020-02-25,momentum,22,static,1.1149325,1.0537142
2020-02-26,momentum,22,static,0.9713678,0.8925298
2020-02-27,momentum,22,static,1.096685,0.94741714
2020-02-28,momentum,22,static,1.0540459,1.3182452
2020-03-02,momentum,22,static,1.3627888,1.1763742
2020-03-03,momentum,22,static,1.0404245,0.9494292
2020-03-04,momentum,22,static,1.3947695,1.0145013
2020-03-05,momentum,22,static,1.1107405,0.9315236
2020-03-06,momentum,22,static,0.88189816,0.99176913
2020-03-09,momentum,22,static,0.9158199,1.4525152
2020-03-10,momentum,22,static,1.5066711,1.2199295
2020-03-11,momentum,22,static,1.3666302,1.5564824
2020-03-12,momentum,22,static,2.3275516,2.356226
2020-03-13,momentum,22,static,4.240512,3.6669693
2020-03-16,momentum,22,static,3.102806,3.8360505
2020-03-17,momentum,22,static,3.1042266,3.5906942
2020-03-18,momentum,22,static,2.1478994,3.9462714
2020-03-19,momentum,22,static,5.106524,7.247631
2020-03-20,momentum,22,static,3.461034,5.6952534
2020-03-23,momentum,22,static,2.9401298,4.747181
2020-03-24,momentum,22,static,2.4058669,3.961152
2020-03-25,momentum,22,static,3.186184,2.8530378
2020-03-26,momentum,22,static,3.3640313,2.2408595
2020-03-27,momentum,22,static,2.3679667,2.6137602
2020-03-30,momentum,22,static,1.7741219,2.6285214
2020-03-31,momentum,22,static,1.8786575,2.1861339
2020-04-01,momentum,22,static,1.5038444,2.5158863
2020-04-02,momentum,22,static,3.0579274,2.182281
2020-04-03,momentum,22,static,1.454066,1.6329247
2020-04-06,momentum,22,static,1.4193306,1.4893627
2020-04-07,momentum,22,static,1.825698,1.4499085
2020-04-08,momentum,22,static,1.42916,1.4471219
2020-04-09,momentum,22,static,1.1514325,1.2940834
2020-04-10,momentum,22,static,1.2350382,1.215218
2020-04-13,momentum,22,static,0.7029782,1.218894
2020-04-14,momentum,22,static,0.9109103,1.1048279
2020-04-16,momentum,22,static,0.98536414,1.0184985
