date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,252,static,0.39189517,0.33744374
2020-01-03,core,252,static,0.57780653,0.40666464
2020-01-06,core,252,static,0.32529518,0.50767064
2020-01-07,core,252,static,0.34476992,0.36901453
2020-01-08,core,252,static,0.49492148,0.45788407
2020-01-09,core,252,static,0.3705553,0.32286844
2020-01-10,core,252,static,0.40058494,0.4012856
2020-01-13,core,252,static,0.23661307,0.33729827
2020-01-14,core,252,static,0.3889446,0.3365718
2020-01-15,core,252,static,0.40533447,0.3471174
2020-01-16,core,252,static,0.2643698,0.31052867
2020-01-17,core,252,static,0.30481642,0.28836754
2020-01-21,core,252,static,0.34118327,0.309148
2020-01-22,core,252,static,0.35213205,0.33647212
2020-01-23,core,252,static,0.4966379,0.40021485
2020-01-24,core,252,static,0.73585385,0.6356051
2020-01-27,core,252,static,0.64604306,0.5125859
2020-01-28,core,252,static,0.452649,0.54185784
2020-01-29,core,252,static,0.50535023,0.4817689
2020-01-30,core,252,static,0.72819614,0.6410104
2020-01-31,core,252,static,0.9274307,0.89915156
2020-02-03,core,252,static,0.6683946,0.6499518
2020-02-04,core,252,static,0.4575791,0.4855953
2020-02-05,core,252,static,0.5100799,0.3725731
2020-02-06,core,252,static,0.44047529,0.3225179
2020-02-07,core,252,static,0.5289929,0.3926208
2020-02-10,core,252,static,0.42343602,0.50459063
2020-02-11,core,252,static,0.48149973,0.41292226
2020-02-12,core,252,static,0.3780177,0.3306861
2020-02-13,core,252,static,0.50131303,0.40807778
2020-02-14,core,252,static,0.36170778,0.3344752
2020-02-18,core,252,static,0.47965696,0.3830151
2020-02-19,core,252,static,0.24694817,0.33353022
2020-02-20,core,252,static,0.94577426,0.63490623
2020-02-21,core,252,static,0.74495405,0.565119
2020-02-24,core,252,static,1.0896305,1.0677776
2020-02-25,core,252,static,1.5687497,2.1843495
2020-02-26,core,252,static,1.6612145,1.5754108
2020-02-27,core,252,static,2.6818995,1.8890955
2020-02-28,core,252,static,3.7478864,2.1432602
2020-03-02,core,252,static,2.504804,1.9900907
2020-03-03,core,252,static,4.2940593,1.9636648
2020-03-04,core,252,static,1.6346346,1.8736082
2020-03-05,core,252,static,1.9132732,1.7708992
