date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,60,static,0.8801034,1.0278648
2007-08-02,core,60,static,1.4408923,1.1926596
2007-08-03,core,60,static,1.0649017,0.9682471
2007-08-06,core,60,static,0.9231945,1.0717435
2007-08-07,core,60,static,0.7631564,0.82745826
2007-08-08,core,60,static,0.7670764,0.823066
2007-08-09,core,60,static,0.72914207,0.7103518
2007-08-10,core,60,static,1.1996056,1.0467196
2007-08-13,core,60,static,0.9357482,0.95886236
2007-08-14,core,60,static,0.60116553,0.7019194
2007-08-15,core,60,static,0.8692643,0.9080303
2007-08-16,core,60,static,1.7035085,1.3492067
2007-08-17,core,60,static,1.8911664,2.0132873
2007-08-20,core,60,static,1.8842937,1.5982466
2007-08-21,core,60,static,1.2399241,1.3723972
2007-08-22,core,60,static,0.92904145,1.0488285
2007-08-23,core,60,static,1.2037963,1.0755012
2007-08-24,core,60,static,0.75902826,0.9662153
2007-08-27,core,60,static,0.7493133,0.9544482
2007-08-28,core,60,static,0.6436693,0.85544544
2007-08-29,core,60,static,1.3607227,0.9041777
2007-08-30,core,60,static,0.8844781,0.8480061
2007-08-31,core,60,static,0.76592296,0.99149495
2007-09-03,core,60,static,0.7356174,0.74449444
2007-09-04,core,60,static,0.6469597,0.6954917
2007-09-05,core,60,static,0.82220393,1.0302243
2007-09-06,core,60,static,1.2827791,1.2565944
2007-09-07,core,60,static,0.94838935,1.0037684
2007-09-10,core,60,static,1.3983003,0.9677538
2007-09-11,core,60,static,1.0835041,1.1152186
2007-09-12,core,60,static,1.3109461,1.1141336
2007-09-13,core,60,static,0.81548774,0.93426776
2007-09-14,core,60,static,0.82872677,1.0041378
2007-09-18,core,60,static,0.8804546,0.9852687
2007-09-19,core,60,static,1.3267688,1.1296134
2007-09-20,core,60,static,0.6548281,0.87863153
2007-09-21,core,60,static,0.64813536,0.7996771
2007-09-25,core,60,static,0.7388924,0.7757254
2007-09-26,core,60,static,0.6000896,0.62983173
2007-09-27,core,60,static,0.7981365,0.9105131
2007-09-28,core,60,static,0.62373877,0.8131656
2007-10-01,core,60,static,0.8118753,0.8281459
2007-10-02,core,60,static,0.5797593,0.62726766
2007-10-03,core,60,static,0.6384781,0.6694601
2007-10-04,core,60,static,0.7074501,0.6026114
2007-10-05,core,60,static,0.5344448,0.5746922
2007-10-09,core,60,static,0.565423,0.52096593
2007-10-10,core,60,static,0.49269378,0.51271427
2007-10-11,core,60,static,1.0300627,0.89133906
2007-10-12,core,60,static,0.6092255,0.7682855
2007-10-15,core,60,static,0.62283504,0.6476276
2007-10-16,core,60,static,0.7858034,0.6740093
2007-10-17,core,60,static,1.2261579,1.0262911
2007-10-18,core,60,static,0.84842515,0.91244215
2007-10-19,core,60,static,0.9328719,0.94809353
2007-10-22,core,60,static,1.5827135,1.091063
2007-10-23,core,60,static,0.719069,0.8569366
2007-10-24,core,60,static,0.8917337,0.8722696
2007-10-25,core,60,static,0.9904997,1.0240381
2007-10-26,core,60,static,0.7622867,0.8824365
2007-10-29,core,60,static,0.75400984,0.7350696
2007-10-30,core,60,static,0.7734535,0.796014
2007-10-31,core,60,static,0.7115207,0.74443
2007-11-01,core,60,static,0.6431613,0.6275066
2007-11-02,core,60,static,0.96520317,0.77158445
2007-11-05,core,60,static,0.84878254,0.8934758
2007-11-06,core,60,static,0.86974025,0.94451916
2007-11-07,core,60,static,0.76526433,0.9219553
2007-11-08,core,60,static,1.0955954,1.0977538
2007-11-09,core,60,static,1.2420065,1.1247911
2007-11-12,core,60,static,1.4491807,1.2439983
2007-11-13,core,60,static,1.3986118,1.1592193
2007-11-14,core,60,static,0.83256733,1.0077477
2007-11-15,core,60,static,0.7714589,0.95135164
2007-11-16,core,60,static,1.2273935,0.98417616
2007-11-19,core,60,static,0.9978828,1.0071874
2007-11-20,core,60,static,1.379404,1.3892648
2007-11-21,core,60,static,1.3258077,1.2811599
2007-11-22,core,60,static,1.4661254,1.3263569
2007-11-26,core,60,static,1.1383275,1.2806067
2007-11-27,core,60,static,2.463901,1.4114738
2007-11-28,core,60,static,1.0777344,1.1138649
2007-11-29,core,60,static,1.1031961,1.0540988
2007-11-30,core,60,static,0.77607155,1.0187117
2007-12-03,core,60,static,1.1192423,0.9716347
2007-12-04,core,60,static,0.8677149,0.9915169
2007-12-05,core,60,static,0.8952151,1.0310683
2007-12-06,core,60,static,0.7495637,0.8493276
2007-12-07,core,60,static,0.86016476,0.80327564
2007-12-10,core,60,static,0.87988734,0.7827334
2007-12-11,core,60,static,0.71187633,0.6689108
2007-12-12,core,60,static,1.000316,0.91922164
2007-12-13,core,60,static,0.89545405,1.0113567
2007-12-14,core,60,static,1.4914306,1.0317838
2007-12-17,core,60,static,1.033565,1.0594678
2007-12-18,core,60,static,1.3484181,1.1863656
2007-12-19,core,60,static,0.83504623,1.084754
2007-12-20,core,60,static,0.71832126,0.899275
2007-12-21,core,60,static,1.198401,1.0692501
2007-12-25,core,60,static,0.8315531,0.81821734
2007-12-26,core,60,static,0.40275282,0.7179437
2007-12-27,core,60,static,0.51416916,0.63875836
2007-12-28,core,60,static,0.6100839,0.78980434
2008-01-04,core,60,static,1.6814002,1.5282292
2008-01-07,core,60,static,1.1760688,1.1737587
2008-01-08,core,60,static,1.2171863,0.96132225
2008-01-09,core,60,static,1.2883667,1.121047
2008-01-10,core,60,static,0.8183584,1.13975
2008-01-11,core,60,static,1.3772194,1.2843194
2008-01-15,core,60,static,1.2154658,1.2375925
2008-01-16,core,60,static,1.8376912,1.4570193
2008-01-17,core,60,static,1.6769547,1.4290247
2008-01-18,core,60,static,2.0982952,1.6235738
2008-01-21,core,60,static,1.8114805,1.4534676
2008-01-22,core,60,static,2.846119,1.9149852
2008-01-23,core,60,static,2.6428788,1.8490374
2008-01-24,core,60,static,1.705175,1.3212454
2008-01-25,core,60,static,1.282452,1.554126
2008-01-28,core,60,static,1.1922202,1.5632446
2008-01-29,core,60,static,1.6987835,1.3376157
2008-01-30,core,60,static,1.470199,1.1735594
2008-01-31,core,60,static,1.6594957,1.4915133
2008-02-01,core,60,static,1.4009969,1.1764286
2008-02-04,core,60,static,1.2741902,1.1122663
2008-02-05,core,60,static,0.97218794,0.95345366
2008-02-06,core,60,static,1.716777,1.400775
2008-02-07,core,60,static,1.2926532,1.2847979
2008-02-08,core,60,static,1.4193152,1.2319722
2008-02-12,core,60,static,1.1911092,1.0788445
2008-02-13,core,60,static,1.1491308,1.0701416
2008-02-14,core,60,static,1.3668795,1.2857733
2008-02-15,core,60,static,1.2876648,1.2222884
2008-02-18,core,60,static,1.3829021,1.0234902
2008-02-19,core,60,static,1.0288566,0.9024568
2008-02-20,core,60,static,1.2348869,1.2188311
2008-02-21,core,60,static,1.3892696,1.2678912
2008-02-22,core,60,static,1.3457806,1.0503793
2008-02-25,core,60,static,1.2751386,1.1774988
2008-02-26,core,60,static,0.9564344,1.0733831
2008-02-27,core,60,static,1.203966,0.9410839
2008-02-28,core,60,static,0.99435985,0.9099662
2008-02-29,core,60,static,1.1301521,1.003268
2008-03-03,core,60,static,1.7108192,1.4104576
2008-03-04,core,60,static,1.4820001,1.2407527
2008-03-05,core,60,static,1.1221273,0.98834795
2008-03-06,core,60,static,1.0432024,1.2116046
2008-03-07,core,60,static,1.6545572,1.2336645
2008-03-10,core,60,static,1.3408215,1.1844053
2008-03-11,core,60,static,1.3021135,1.3916588
2008-03-12,core,60,static,1.7157757,1.2480757
2008-03-13,core,60,static,1.6251465,1.4680538
2008-03-14,core,60,static,1.614607,1.5269852
2008-03-17,core,60,static,2.001694,1.8108525
2008-03-18,core,60,static,1.999982,1.4292793
2008-03-19,core,60,static,2.039671,1.195322
2008-03-21,core,60,static,0.89049405,1.1947916
2008-03-24,core,60,static,1.0234107,1.0021086
2008-03-25,core,60,static,0.90599746,1.0194416
2008-03-26,core,60,static,0.92750955,0.8615877
2008-03-27,core,60,static,1.0831254,0.8425039
2008-03-28,core,60,static,1.3782159,1.1763313
2008-03-31,core,60,static,1.3233589,1.1032991
2008-04-01,core,60,static,1.2880524,1.1617239
2008-04-02,core,60,static,1.621259,1.1912735
2008-04-03,core,60,static,1.0128379,1.1850228
2008-04-04,core,60,static,0.9192272,0.959725
2008-04-07,core,60,static,1.0134681,1.0114102
2008-04-08,core,60,static,0.79805744,0.89282274
2008-04-09,core,60,static,1.1313485,1.1619139
2008-04-10,core,60,static,1.1032866,0.9725891
2008-04-11,core,60,static,1.0569413,1.0939801
2008-04-14,core,60,static,1.4995741,1.0393739
2008-04-15,core,60,static,0.9028159,1.007658
2008-04-16,core,60,static,0.7043831,0.7845047
2008-04-17,core,60,static,0.96897554,0.87968117
2008-04-18,core,60,static,0.8219587,0.8580255
2008-04-21,core,60,static,0.99544686,0.7092318
2008-04-22,core,60,static,0.7392888,0.69571203
2008-04-23,core,60,static,1.0151398,1.0254998
2008-04-24,core,60,static,0.9876941,0.8946419
2008-04-25,core,60,static,1.1150815,1.0253949
2008-04-28,core,60,static,0.9894523,0.9722947
2008-04-30,core,60,static,0.92818063,1.016865
2008-05-01,core,60,static,1.0319159,0.88759905
2008-05-02,core,60,static,0.8584468,0.82565683
2008-05-07,core,60,static,0.85936075,0.85584545
2008-05-08,core,60,static,0.7566445,0.7623009
2008-05-09,core,60,static,0.9570968,1.027972
2008-05-12,core,60,static,0.79994583,1.0814421
2008-05-13,core,60,static,1.0803016,1.0115757
2008-05-14,core,60,static,1.0343906,0.9895833
2008-05-15,core,60,static,0.8929005,0.93570846
2008-05-16,core,60,static,1.0157291,0.9407362
2008-05-19,core,60,static,0.8096849,0.79742765
2008-05-20,core,60,static,0.94519293,0.80343264
2008-05-21,core,60,static,0.85700375,0.9447137
2008-05-22,core,60,static,1.0711634,1.2414486
2008-05-23,core,60,static,1.1137314,1.0770681
2008-05-26,core,60,static,0.90227026,0.96489453
2008-05-27,core,60,static,0.90454996,0.9389777
2008-05-28,core,60,static,1.128666,1.0875869
2008-05-29,core,60,static,1.1789294,1.2108147
2008-05-30,core,60,static,0.99576324,0.9728431
2008-06-02,core,60,static,1.5123595,1.041615
2008-06-03,core,60,static,1.1571387,0.93440336
2008-06-04,core,60,static,0.8997946,0.88290435
2008-06-05,core,60,static,0.9108968,0.8008904
2008-06-06,core,60,static,0.6596254,0.79352975
2008-06-09,core,60,static,1.3027848,0.86767346
2008-06-10,core,60,static,0.9825508,1.002568
2008-06-11,core,60,static,0.99781346,0.9879028
2008-06-12,core,60,static,1.1354691,1.0174423
2008-06-13,core,60,static,1.1201208,1.0332502
2008-06-16,core,60,static,1.1563852,1.0208032
2008-06-17,core,60,static,0.8463808,0.771984
2008-06-18,core,60,static,0.77250206,0.85583633
2008-06-19,core,60,static,0.8628132,0.9747715
2008-06-20,core,60,static,1.1801904,1.1077592
2008-06-23,core,60,static,1.0864068,1.0966911
2008-06-24,core,60,static,0.8667414,0.87408096
2008-06-25,core,60,static,1.0348911,0.8847386
2008-06-26,core,60,static,0.98884976,0.88050073
2008-06-27,core,60,static,1.3256215,0.93417454
2008-06-30,core,60,static,0.7973037,0.8871656
2008-07-01,core,60,static,0.9060192,0.7537006
2008-07-02,core,60,static,1.0970969,0.9867201
2008-07-03,core,60,static,1.135586,1.0497441
2008-07-04,core,60,static,0.87046796,0.94254565
2008-07-07,core,60,static,0.88238806,0.9635824
2008-07-08,core,60,static,1.0845361,1.085114
2008-07-09,core,60,static,1.076775,1.1534891
2008-07-10,core,60,static,1.2258283,1.1027889
2008-07-11,core,60,static,1.5754012,1.0885243
2008-07-14,core,60,static,1.3783153,1.0153112
2008-07-15,core,60,static,1.1607703,1.0133977
2008-07-16,core,60,static,1.0245421,0.9623611
2008-07-17,core,60,static,0.68464833,0.8012633
2008-07-18,core,60,static,0.8515759,1.0002329
2008-07-22,core,60,static,0.87311286,1.0535288
2008-07-23,core,60,static,0.88910645,0.87462646
2008-07-24,core,60,static,0.9936929,0.9230291
2008-07-25,core,60,static,0.6507649,0.8423146
2008-07-28,core,60,static,0.7511878,0.75440294
2008-07-29,core,60,static,0.92757744,0.9246414
2008-07-30,core,60,static,0.6542957,0.71919245
2008-07-31,core,60,static,0.94606847,0.86156505
2008-08-01,core,60,static,0.9989986,0.993084
