date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,60,static,2.05777,1.4590147
2007-08-02,core,60,static,2.6701517,1.9695288
2007-08-03,core,60,static,1.363984,1.441886
2007-08-06,core,60,static,1.2901113,1.1983794
2007-08-07,core,60,static,1.1834062,1.1803027
2007-08-08,core,60,static,0.9152647,1.0436641
2007-08-09,core,60,static,1.280956,1.0488719
2007-08-10,core,60,static,1.2562598,1.0865068
2007-08-13,core,60,static,1.3104532,1.0156921
2007-08-14,core,60,static,1.4153055,1.2340064
2007-08-16,core,60,static,2.237005,1.6244192
2007-08-17,core,60,static,2.4822638,1.7828238
2007-08-20,core,60,static,1.287377,1.3559799
2007-08-21,core,60,static,1.8663054,1.3573422
2007-08-22,core,60,static,1.1827067,1.191778
2007-08-23,core,60,static,0.99989235,0.9964184
2007-08-24,core,60,static,1.2254853,1.0534352
2007-08-27,core,60,static,0.90142137,1.0044411
2007-08-28,core,60,static,1.2708368,1.040507
2007-08-29,core,60,static,1.4099318,1.4204392
2007-08-30,core,60,static,1.1340998,1.2128386
2007-08-31,core,60,static,1.1562414,0.99759245
2007-09-03,core,60,static,1.1932604,0.9006781
2007-09-04,core,60,static,1.01928,0.94511414
2007-09-05,core,60,static,1.2170386,1.1100826
2007-09-06,core,60,static,1.2430456,1.2079685
2007-09-07,core,60,static,1.1114899,1.0663831
2007-09-10,core,60,static,1.3573148,1.0272039
2007-09-11,core,60,static,1.0158844,0.9701264
2007-09-12,core,60,static,1.1811479,1.1226444
2007-09-13,core,60,static,1.7420055,1.2090335
2007-09-14,core,60,static,0.93704087,1.056931
2007-09-17,core,60,static,1.0048081,0.9429672
2007-09-18,core,60,static,1.0260617,0.9816618
2007-09-19,core,60,static,0.8076436,0.7576791
2007-09-20,core,60,static,1.1965716,0.8139385
2007-09-21,core,60,static,0.8722111,0.79056937
2007-09-27,core,60,static,0.7664867,0.7135876
2007-09-28,core,60,static,0.8080792,0.690767
2007-10-01,core,60,static,0.55029327,0.68718773
2007-10-02,core,60,static,0.73205364,0.71772736
2007-10-04,core,60,static,0.8805932,0.788837
2007-10-05,core,60,static,0.95414627,0.72640747
2007-10-08,core,60,static,0.7031264,0.6537378
2007-10-09,core,60,static,0.8863164,0.70338297
2007-10-10,core,60,static,0.71955174,0.66104954
2007-10-11,core,60,static,0.9430567,0.70161813
2007-10-12,core,60,static,1.0431364,0.87228954
2007-10-15,core,60,static,1.0965738,0.8894246
2007-10-16,core,60,static,1.2687054,0.99023646
2007-10-17,core,60,static,2.190527,1.4623431
2007-10-18,core,60,static,1.457985,1.2134621
2007-10-19,core,60,static,1.4555875,1.1312265
2007-10-22,core,60,static,1.6968491,1.0587567
2007-10-23,core,60,static,1.1384182,1.1143112
2007-10-24,core,60,static,2.0703144,1.5980244
2007-10-25,core,60,static,1.6585242,1.3187842
2007-10-26,core,60,static,1.4482919,1.337796
2007-10-29,core,60,static,1.0666195,1.1025847
2007-10-30,core,60,static,1.2415206,1.0780884
2007-10-31,core,60,static,1.0872763,0.926408
2007-11-01,core,60,static,1.2955594,1.0296993
2007-11-02,core,60,static,1.2118694,0.99716693
2007-11-05,core,60,static,1.3327944,1.0271926
2007-11-06,core,60,static,0.8215985,0.913873
2007-11-07,core,60,static,1.1780224,1.0828499
2007-11-08,core,60,static,1.5529814,1.112731
2007-11-09,core,60,static,1.9720455,1.2912124
2007-11-12,core,60,static,1.654565,1.3062215
2007-11-13,core,60,static,1.8451928,1.467621
2007-11-14,core,60,static,1.0495719,1.1780403
2007-11-15,core,60,static,1.4030455,1.3526818
2007-11-16,core,60,static,1.318906,1.2292378
2007-11-19,core,60,static,1.3881841,1.2087711
2007-11-20,core,60,static,1.5132523,1.4012994
2007-11-21,core,60,static,1.9621775,1.5056607
2007-11-22,core,60,static,2.1563525,1.6028945
2007-11-23,core,60,static,2.3852265,1.8065872
2007-11-26,core,60,static,1.2843764,1.5838463
2007-11-27,core,60,static,2.5158398,1.9219754
2007-11-28,core,60,static,1.972666,1.682437
2007-11-29,core,60,static,1.0736676,1.2072697
2007-11-30,core,60,static,1.0982945,1.109616
2007-12-03,core,60,static,1.1432711,1.0583243
2007-12-04,core,60,static,1.0152545,0.9273409
2007-12-05,core,60,static,0.946601,1.0402629
2007-12-06,core,60,static,0.9068366,0.98197824
2007-12-07,core,60,static,1.0303735,1.0069926
2007-12-10,core,60,static,1.1731564,0.9971592
2007-12-11,core,60,static,1.1103985,0.8539705
2007-12-12,core,60,static,1.0512801,1.007484
2007-12-13,core,60,static,1.5374365,1.1370491
2007-12-14,core,60,static,1.1925555,1.1653076
2007-12-17,core,60,static,1.236179,1.1560602
2007-12-18,core,60,static,1.4378381,1.4286966
2007-12-20,core,60,static,1.6452428,1.3757371
2007-12-21,core,60,static,1.4536052,1.2559153
2007-12-24,core,60,static,0.9410586,1.0100865
2007-12-26,core,60,static,1.0318445,1.028314
2007-12-27,core,60,static,0.86023796,0.98207366
2007-12-28,core,60,static,0.87665683,0.92157173
