date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,1.6718278,1.228215
2007-08-02,core,252,static,1.0545318,0.95923084
2007-08-03,core,252,static,1.2634865,1.1477904
2007-08-06,core,252,static,1.5228378,1.2369971
2007-08-07,core,252,static,1.5802648,1.1848865
2007-08-08,core,252,static,1.177296,1.1294954
2007-08-09,core,252,static,2.1938667,1.341908
2007-08-10,core,252,static,2.0329282,1.4122431
2007-08-13,core,252,static,1.0790513,1.0030475
2007-08-14,core,252,static,1.2419599,1.1478922
2007-08-15,core,252,static,1.4086285,1.4379234
2007-08-16,core,252,static,2.3308847,1.6581917
2007-08-17,core,252,static,2.2522154,1.4045193
2007-08-20,core,252,static,1.090452,1.031048
2007-08-21,core,252,static,0.98857677,0.920921
2007-08-22,core,252,static,1.1598293,0.9481682
2007-08-23,core,252,static,0.9439304,1.0295966
2007-08-24,core,252,static,0.59175897,0.9370695
2007-08-27,core,252,static,0.61759686,0.84167856
2007-08-28,core,252,static,0.7875693,1.0502214
2007-08-29,core,252,static,1.0595468,1.1523213
2007-08-30,core,252,static,1.145752,1.0270064
2007-08-31,core,252,static,1.3263122,1.0936937
2007-09-04,core,252,static,0.6176023,0.94396764
2007-09-05,core,252,static,1.0097556,0.976672
2007-09-06,core,252,static,0.75078577,0.8834317
2007-09-07,core,252,static,1.3905553,1.0361867
2007-09-10,core,252,static,1.0879066,1.0078566
2007-09-11,core,252,static,0.8977413,0.88766474
2007-09-12,core,252,static,0.76248676,0.86039
2007-09-13,core,252,static,0.8040983,0.8894822
2007-09-14,core,252,static,0.82566416,0.7559181
2007-09-17,core,252,static,0.56728804,0.70332247
2007-09-18,core,252,static,1.4727147,1.0695148
2007-09-19,core,252,static,0.9417224,0.8153518
2007-09-20,core,252,static,0.6428541,0.74181306
2007-09-21,core,252,static,0.6494903,0.697912
2007-09-24,core,252,static,0.6367967,0.7631096
2007-09-25,core,252,static,0.7038576,0.70688856
2007-09-26,core,252,static,0.61366844,0.57565373
2007-09-27,core,252,static,0.5321781,0.48325962
2007-09-28,core,252,static,0.50032914,0.55568004
2007-10-01,core,252,static,0.54628026,0.667175
2007-10-02,core,252,static,0.43112338,0.45266086
2007-10-03,core,252,static,0.58972424,0.45664948
2007-10-04,core,252,static,0.38272768,0.44518614
2007-10-05,core,252,static,0.71397245,0.6151383
2007-10-08,core,252,static,0.39922196,0.4299016
2007-10-09,core,252,static,0.57080454,0.47978204
2007-10-10,core,252,static,0.5209761,0.4505599
2007-10-11,core,252,static,0.92419004,0.9385403
2007-10-12,core,252,static,0.5672472,0.5371976
2007-10-15,core,252,static,0.7145553,0.82481694
2007-10-16,core,252,static,0.67439115,0.6711696
2007-10-17,core,252,static,0.91757625,0.89632297
2007-10-18,core,252,static,0.6790737,0.6445058
2007-10-19,core,252,static,1.1055093,1.0155559
2007-10-22,core,252,static,1.0594828,0.8492486
2007-10-23,core,252,static,0.8465984,0.78908986
2007-10-24,core,252,static,1.4033185,1.108387
2007-10-25,core,252,static,1.1932651,1.0478961
2007-10-26,core,252,static,0.80886334,0.72066545
2007-10-29,core,252,static,0.60953456,0.49189895
2007-10-30,core,252,static,0.5387273,0.61409026
2007-10-31,core,252,static,1.1165581,0.8269562
2007-11-01,core,252,static,1.4491733,1.0414402
2007-11-02,core,252,static,1.4267976,0.9499126
2007-11-05,core,252,static,1.2828665,0.953126
2007-11-06,core,252,static,0.88201135,0.99398273
2007-11-07,core,252,static,1.4051869,1.1971166
2007-11-08,core,252,static,1.8736414,1.3755124
2007-11-09,core,252,static,1.560577,1.2516351
2007-11-12,core,252,static,1.3244675,1.2139461
2007-11-13,core,252,static,1.122503,1.2665212
2007-11-14,core,252,static,1.1282958,1.1087177
2007-11-15,core,252,static,1.194422,1.1712658
2007-11-16,core,252,static,1.3042824,0.9853702
2007-11-19,core,252,static,1.2105434,1.0395322
2007-11-20,core,252,static,1.7195501,1.2407167
2007-11-21,core,252,static,1.4897027,1.1039275
2007-11-23,core,252,static,0.958754,1.070142
2007-11-26,core,252,static,1.1303153,1.2309873
2007-11-27,core,252,static,1.427426,1.0327125
2007-11-28,core,252,static,1.10864,1.1810453
2007-11-29,core,252,static,1.0607367,0.9948647
2007-11-30,core,252,static,1.302144,0.95396453
2007-12-03,core,252,static,0.8708776,0.80585253
2007-12-04,core,252,static,0.8663291,0.76814204
2007-12-05,core,252,static,1.1051176,0.8948362
2007-12-06,core,252,static,0.6471775,0.9526438
2007-12-07,core,252,static,0.5555198,0.65571153
2007-12-10,core,252,static,0.5558142,0.6661001
2007-12-11,core,252,static,1.5148305,1.1998215
2007-12-12,core,252,static,2.1373532,1.5308352
2007-12-13,core,252,static,1.0571756,1.2101462
2007-12-14,core,252,static,1.0063825,0.95318925
2007-12-17,core,252,static,1.0156853,0.9402521
2007-12-18,core,252,static,1.213597,0.9878915
2007-12-19,core,252,static,0.9898298,0.97401065
2007-12-20,core,252,static,0.8427926,0.895606
2007-12-21,core,252,static,0.94438356,0.88401693
2007-12-24,core,252,static,0.4441711,0.6817731
2007-12-26,core,252,static,0.4618206,0.64788204
2007-12-27,core,252,static,0.6217016,0.7477122
2007-12-28,core,252,static,0.7754581,0.7567422
2007-12-31,core,252,static,0.61130553,0.5826568
2008-01-02,core,252,static,1.0530771,0.9786623
2008-01-03,core,252,static,0.80877495,0.90065134
2008-01-04,core,252,static,1.2991108,1.0803566
2008-01-07,core,252,static,1.3807558,0.9332791
2008-01-08,core,252,static,1.5058283,1.2908051
2008-01-09,core,252,static,1.5742716,1.3674319
2008-01-10,core,252,static,1.8811376,1.3834085
2008-01-11,core,252,static,1.4951758,1.0830231
2008-01-14,core,252,static,0.95996803,0.8967317
2008-01-15,core,252,static,1.2201732,1.1062245
2008-01-16,core,252,static,1.5963427,1.2878187
2008-01-17,core,252,static,1.7128186,1.6810818
2008-01-18,core,252,static,1.9202243,1.8654256
2008-01-22,core,252,static,3.9248676,1.8750446
2008-01-23,core,252,static,3.5173955,2.4390633
2008-01-24,core,252,static,1.7193947,1.6014183
2008-01-25,core,252,static,1.6763679,1.5847442
2008-01-28,core,252,static,1.4217528,1.2677965
2008-01-29,core,252,static,1.0022706,1.085201
2008-01-30,core,252,static,1.5117798,1.4502695
2008-01-31,core,252,static,2.2185607,1.8699145
2008-02-01,core,252,static,1.17771,1.2863109
2008-02-04,core,252,static,0.8220022,0.95510024
2008-02-05,core,252,static,1.8209659,1.291394
2008-02-06,core,252,static,1.1819025,1.4311638
2008-02-07,core,252,static,1.6257067,1.531066
2008-02-08,core,252,static,1.2564852,1.2621922
2008-02-11,core,252,static,0.9540772,1.1644964
2008-02-12,core,252,static,1.261581,1.0997454
2008-02-13,core,252,static,1.1396948,1.0083728
2008-02-14,core,252,static,1.0863839,0.99519885
2008-02-15,core,252,static,0.86097443,0.8476952
2008-02-19,core,252,static,1.1692086,1.0166867
2008-02-20,core,252,static,1.4265395,1.2023618
2008-02-21,core,252,static,1.0697027,1.2186136
2008-02-22,core,252,static,1.2396327,1.2169244
2008-02-25,core,252,static,1.3419789,1.0631713
2008-02-26,core,252,static,0.9973722,1.0741928
2008-02-27,core,252,static,1.082386,0.9901577
2008-02-28,core,252,static,1.0218838,0.9051421
2008-02-29,core,252,static,1.2593355,1.1656001
2008-03-03,core,252,static,1.0989679,0.9335374
2008-03-04,core,252,static,1.4312714,1.1838758
2008-03-05,core,252,static,1.2723385,1.2774074
2008-03-06,core,252,static,1.234841,1.2318289
2008-03-07,core,252,static,1.8052349,1.4425528
2008-03-10,core,252,static,1.222146,1.1637728
2008-03-11,core,252,static,2.320334,1.4720428
2008-03-12,core,252,static,1.0775645,1.2212834
2008-03-13,core,252,static,2.0191429,1.7834644
2008-03-14,core,252,static,2.3841417,1.6500125
2008-03-17,core,252,static,2.2045317,1.6365325
2008-03-18,core,252,static,2.3845148,1.7694094
2008-03-19,core,252,static,1.6087004,1.6220891
2008-03-20,core,252,static,1.1801345,1.9337499
2008-03-24,core,252,static,1.0612916,1.4933393
2008-03-25,core,252,static,0.9686494,1.1261153
2008-03-26,core,252,static,1.0520736,1.0160167
2008-03-27,core,252,static,1.1229486,1.0219495
2008-03-28,core,252,static,0.9389823,1.0665996
2008-03-31,core,252,static,0.91788596,0.8930193
2008-04-01,core,252,static,1.3439156,1.2400787
2008-04-02,core,252,static,0.8817394,1.0183642
2008-04-03,core,252,static,0.8856404,1.0213368
2008-04-04,core,252,static,0.85713655,0.9493695
2008-04-07,core,252,static,0.8542979,0.9377544
2008-04-08,core,252,static,0.8799234,0.7907464
2008-04-09,core,252,static,0.71123165,0.90041584
2008-04-10,core,252,static,0.8668627,0.9123147
2008-04-11,core,252,static,1.1842502,0.9919817
2008-04-14,core,252,static,0.7099435,0.7849642
2008-04-15,core,252,static,0.8432462,0.80123025
2008-04-16,core,252,static,1.0010043,1.0157707
2008-04-17,core,252,static,0.7720801,0.7979887
2008-04-18,core,252,static,1.6248907,1.0036156
2008-04-21,core,252,static,0.59707934,0.64911866
2008-04-22,core,252,static,0.7977572,0.79608804
2008-04-23,core,252,static,0.79788005,0.7847
2008-04-24,core,252,static,1.0890502,1.050842
2008-04-25,core,252,static,0.9663892,0.87863916
2008-04-28,core,252,static,0.6196455,0.586453
2008-04-29,core,252,static,0.57439303,0.6666754
2008-04-30,core,252,static,1.1776272,0.93146396
2008-05-01,core,252,static,0.8206019,0.98662275
2008-05-02,core,252,static,1.2258779,0.8022252
2008-05-05,core,252,static,0.67501754,0.66641575
2008-05-06,core,252,static,0.8485956,0.9522335
2008-05-07,core,252,static,0.7097915,0.9602726
2008-05-08,core,252,static,0.859231,0.8798682
2008-05-09,core,252,static,0.9795941,0.79358864
2008-05-12,core,252,static,0.60077935,0.8787701
2008-05-13,core,252,static,0.52369165,0.65651757
2008-05-14,core,252,static,0.6433611,0.74663633
2008-05-15,core,252,static,0.6959373,0.73968184
2008-05-16,core,252,static,0.6224373,0.5559492
2008-05-19,core,252,static,0.7479857,0.78374195
2008-05-20,core,252,static,0.8097821,0.7168202
2008-05-21,core,252,static,0.9861004,0.9725195
2008-05-22,core,252,static,0.6671489,0.81650245
2008-05-23,core,252,static,0.7917137,0.90725595
2008-05-27,core,252,static,0.77967155,0.8116983
2008-05-28,core,252,static,0.74578756,0.67805576
2008-05-29,core,252,static,0.6745463,0.83595204
2008-05-30,core,252,static,0.6231141,0.5025183
2008-06-02,core,252,static,0.7787525,0.802054
2008-06-03,core,252,static,0.87531495,0.92038465
2008-06-04,core,252,static,1.0268135,0.8753315
2008-06-05,core,252,static,0.8476007,0.9631819
2008-06-06,core,252,static,1.3171287,1.1127478
2008-06-09,core,252,static,1.0381751,0.97547495
2008-06-10,core,252,static,1.1607271,0.9661501
2008-06-11,core,252,static,1.0310018,1.0874219
2008-06-12,core,252,static,1.0975835,1.1819057
2008-06-13,core,252,static,1.1124655,0.8930188
2008-06-16,core,252,static,0.8265463,0.7322579
2008-06-17,core,252,static,0.8965383,0.83987373
2008-06-18,core,252,static,1.0684395,0.8180698
2008-06-19,core,252,static,0.8632503,0.903242
2008-06-20,core,252,static,1.1721535,0.97032857
2008-06-23,core,252,static,0.7635774,0.7430294
2008-06-24,core,252,static,0.95811963,0.9807176
2008-06-25,core,252,static,1.0744005,1.0637884
2008-06-26,core,252,static,1.1540706,1.1582346
2008-06-27,core,252,static,1.0761385,0.9964958
2008-06-30,core,252,static,0.9365819,0.95840234
2008-07-01,core,252,static,1.5240563,1.2499571
2008-07-02,core,252,static,1.1890116,1.2274761
2008-07-03,core,252,static,1.3173423,1.2303886
2008-07-07,core,252,static,1.601295,1.3458555
2008-07-08,core,252,static,1.2554853,1.2657964
2008-07-09,core,252,static,1.1477916,1.3788116
2008-07-10,core,252,static,1.688679,1.3224914
2008-07-11,core,252,static,2.3083982,1.3941045
2008-07-14,core,252,static,1.5208642,1.3451824
2008-07-15,core,252,static,1.7954342,1.5385828
2008-07-16,core,252,static,1.4291751,1.4664123
2008-07-17,core,252,static,1.3366069,1.1758292
2008-07-18,core,252,static,0.9092453,0.867446
2008-07-21,core,252,static,0.7031121,0.8515889
2008-07-22,core,252,static,1.0761218,1.1761663
2008-07-23,core,252,static,1.1627371,0.9922053
2008-07-24,core,252,static,0.9752411,1.1673129
2008-07-25,core,252,static,1.0933106,0.8736761
2008-07-28,core,252,static,0.8555648,1.1103036
2008-07-29,core,252,static,0.9752488,1.1240714
2008-07-30,core,252,static,1.2601446,1.0047855
2008-07-31,core,252,static,1.1173534,0.9849392
2008-08-01,core,252,static,1.0689243,0.96048135
2008-08-04,core,252,static,0.83743495,0.8670172
2008-08-05,core,252,static,0.8706089,1.0206907
2008-08-06,core,252,static,0.78499955,0.8909291
2008-08-07,core,252,static,1.1400515,0.9798338
2008-08-08,core,252,static,0.8982277,1.1963878
2008-08-11,core,252,static,0.84126157,0.91639465
2008-08-12,core,252,static,0.9052927,0.98716056
2008-08-13,core,252,static,1.0556539,1.0557706
2008-08-14,core,252,static,0.9407297,1.0952253
2008-08-15,core,252,static,0.8759848,0.77845824
2008-08-18,core,252,static,0.9083198,0.9647401
2008-08-19,core,252,static,0.95954853,0.87017053
2008-08-20,core,252,static,1.0361773,0.87421703
2008-08-21,core,252,static,0.98858386,0.900397
2008-08-22,core,252,static,0.9252074,0.813696
2008-08-25,core,252,static,0.9087024,0.9085055
2008-08-26,core,252,static,0.8230844,0.7934887
2008-08-27,core,252,static,0.77126145,0.8277394
2008-08-28,core,252,static,0.87900865,0.8758279
2008-08-29,core,252,static,0.7496418,0.8115303
2008-09-02,core,252,static,1.2319531,1.1621947
2008-09-03,core,252,static,1.0995353,0.97969633
2008-09-04,core,252,static,1.2038983,1.3115094
2008-09-05,core,252,static,1.2989593,1.3204083
2008-09-08,core,252,static,2.5495,1.2298927
2008-09-09,core,252,static,1.4697345,1.4835968
2008-09-10,core,252,static,1.3546624,1.4130137
2008-09-11,core,252,static,1.9478952,1.669622
2008-09-12,core,252,static,1.4416677,1.3316488
2008-09-15,core,252,static,3.0239663,1.8913977
2008-09-16,core,252,static,3.5327346,1.9706726
2008-09-17,core,252,static,3.1532457,2.5489645
2008-09-18,core,252,static,4.041712,3.7637014
2008-09-19,core,252,static,3.5335634,2.9348824
2008-09-22,core,252,static,1.6703459,2.2446098
2008-09-23,core,252,static,1.9916995,2.1008782
2008-09-24,core,252,static,1.5598605,1.8393545
2008-09-25,core,252,static,1.672311,1.649719
2008-09-26,core,252,static,2.0559895,1.4679153
2008-09-29,core,252,static,4.4667163,3.4942167
2008-09-30,core,252,static,2.552127,2.3817654
2008-10-01,core,252,static,2.272052,3.3380728
2008-10-02,core,252,static,2.0999002,4.116474
2008-10-03,core,252,static,3.2951825,4.4652953
2008-10-06,core,252,static,4.2527885,4.5965934
2008-10-07,core,252,static,3.012908,4.1699476
2008-10-08,core,252,static,4.996453,4.731205
2008-10-09,core,252,static,4.1916947,6.502654
2008-10-10,core,252,static,8.802125,8.086137
2008-10-13,core,252,static,4.027474,6.8279705
2008-10-14,core,252,static,5.237396,5.0185833
2008-10-15,core,252,static,4.146789,5.658024
2008-10-16,core,252,static,5.7170253,6.107075
2008-10-17,core,252,static,4.2947683,6.207697
2008-10-20,core,252,static,2.846681,4.634414
2008-10-21,core,252,static,2.813511,3.3463967
2008-10-22,core,252,static,3.7902324,4.406113
2008-10-23,core,252,static,5.6097016,4.7830997
2008-10-24,core,252,static,5.945595,4.4785805
2008-10-27,core,252,static,4.3658338,4.1886177
2008-10-28,core,252,static,5.035435,5.4216437
2008-10-29,core,252,static,5.0140386,3.7397351
