date,feature_set,L,protocol,RV_target,RV_pred
2014-01-07,core,22,static,0.9929978,0.7253154
2014-01-08,core,22,static,0.55982196,0.7773796
2014-01-09,core,22,static,0.7221481,0.7564384
2014-01-10,core,22,static,0.8308182,0.7199018
2014-01-14,core,22,static,1.1166403,1.0956994
2014-01-15,core,22,static,0.7597656,0.78340083
2014-01-16,core,22,static,0.7385079,0.85630035
2014-01-17,core,22,static,0.9924829,0.73639315
2014-01-20,core,22,static,0.6351576,0.7445785
2014-01-21,core,22,static,0.68236524,0.72919756
2014-01-22,core,22,static,0.90556103,0.8483399
2014-01-23,core,22,static,0.8677156,0.9804577
2014-01-24,core,22,static,0.9876176,0.9754205
2014-01-27,core,22,static,1.0500518,0.94186074
2014-01-28,core,22,static,0.8367259,0.73863065
2014-01-29,core,22,static,0.7737801,0.81799674
2014-01-30,core,22,static,1.2759646,1.077785
2014-01-31,core,22,static,1.1827918,1.3082039
2014-02-03,core,22,static,1.1922182,1.1688817
2014-02-04,core,22,static,1.6071959,1.4007261
2014-02-05,core,22,static,1.2378954,1.1838205
2014-02-06,core,22,static,0.9547833,0.9756623
2014-02-07,core,22,static,0.73973215,0.785639
2014-02-10,core,22,static,0.70442957,0.76836365
2014-02-12,core,22,static,0.6793457,0.66539633
2014-02-13,core,22,static,0.7595481,1.036181
2014-02-14,core,22,static,1.5592761,1.4586287
2014-02-17,core,22,static,1.0413496,1.1254051
2014-02-18,core,22,static,1.4758527,1.3853014
2014-02-19,core,22,static,0.79908484,1.0532874
2014-02-20,core,22,static,1.1217945,1.2428873
2014-02-21,core,22,static,0.84724355,1.1206994
2014-02-24,core,22,static,1.188368,1.1828511
2014-02-25,core,22,static,0.70223475,0.8527305
2014-02-26,core,22,static,0.8268716,0.86815095
2014-02-27,core,22,static,0.8597349,0.8091815
2014-02-28,core,22,static,1.0540922,0.93688935
2014-03-03,core,22,static,1.2059813,1.0076451
2014-03-04,core,22,static,0.7824622,0.9431133
2014-03-05,core,22,static,0.69540536,0.6872461
2014-03-06,core,22,static,0.9321518,1.0524673
