date,feature_set,L,protocol,RV_target,RV_pred
2013-12-19,core,252,static,0.48027983,0.63252807
2013-12-20,core,252,static,0.56459975,0.51494753
2013-12-23,core,252,static,0.4692802,0.48722434
2013-12-24,core,252,static,0.37592426,0.48879072
2013-12-26,core,252,static,0.34329724,0.49936664
2013-12-27,core,252,static,0.40542945,0.49429408
2013-12-30,core,252,static,0.39755836,0.48027158
2014-01-02,core,252,static,0.745619,0.68175244
2014-01-03,core,252,static,0.83173496,0.7269034
2014-01-06,core,252,static,0.66945153,0.6284509
2014-01-07,core,252,static,0.66912365,0.5790074
2014-01-08,core,252,static,0.6145574,0.56330067
2014-01-09,core,252,static,0.72558045,0.5982461
2014-01-10,core,252,static,0.8143008,0.674627
2014-01-13,core,252,static,0.50973,0.5539353
2014-01-14,core,252,static,0.6865121,0.6169908
2014-01-15,core,252,static,0.45595104,0.5281006
2014-01-16,core,252,static,0.6030574,0.50442106
2014-01-17,core,252,static,0.5502644,0.56780577
2014-01-20,core,252,static,0.55134165,0.5622605
2014-01-21,core,252,static,0.40762115,0.5204537
2014-01-22,core,252,static,0.40055934,0.4966085
2014-01-23,core,252,static,0.55819607,0.5747777
2014-01-24,core,252,static,0.6551958,0.59939027
2014-01-27,core,252,static,0.6563229,0.58705443
2014-01-28,core,252,static,0.5331622,0.56529045
2014-01-29,core,252,static,0.48386818,0.5173839
2014-02-03,core,252,static,0.48515627,0.529089
2014-02-04,core,252,static,0.6177616,0.5521418
2014-02-05,core,252,static,0.4867734,0.5710212
2014-02-06,core,252,static,0.5684755,0.52450067
2014-02-07,core,252,static,0.4129472,0.5002401
2014-02-10,core,252,static,0.47753435,0.49780348
2014-02-11,core,252,static,0.43266043,0.4913941
2014-02-12,core,252,static,0.41571212,0.4821125
2014-02-13,core,252,static,0.5321779,0.54732585
2014-02-14,core,252,static,0.43489394,0.51337254
2014-02-17,core,252,static,0.44116375,0.49180865
2014-02-18,core,252,static,0.4554524,0.49532256
2014-02-19,core,252,static,0.51835936,0.4943326
2014-02-20,core,252,static,0.57120365,0.51241577
2014-02-21,core,252,static,0.2922706,0.48664173
2014-02-24,core,252,static,0.4961578,0.5155762
2014-02-25,core,252,static,0.38584572,0.4743373
2014-02-26,core,252,static,0.38891312,0.49630225
2014-02-27,core,252,static,0.36891544,0.49420217
2014-02-28,core,252,static,0.5748443,0.47654012
2014-03-03,core,252,static,0.49052024,0.49648774
2014-03-04,core,252,static,0.3731192,0.49597788
2014-03-05,core,252,static,0.29578462,0.47035196
2014-03-06,core,252,static,0.36687255,0.4643892
2014-03-07,core,252,static,0.35954282,0.48201174
2014-03-10,core,252,static,0.39663768,0.4909789
2014-03-11,core,252,static,0.36216235,0.48120105
2014-03-12,core,252,static,0.52406615,0.56556
2014-03-13,core,252,static,0.7643156,0.5484091
2014-03-14,core,252,static,0.49179876,0.5501187
2014-03-17,core,252,static,0.440258,0.49662304
2014-03-18,core,252,static,0.4034605,0.48388088
