date,feature_set,L,protocol,RV_target,RV_pred
2014-01-08,core,60,static,0.5049092,0.40734842
2014-01-09,core,60,static,0.44792023,0.4473189
2014-01-10,core,60,static,0.41781142,0.4196319
2014-01-13,core,60,static,0.47251758,0.659581
2014-01-14,core,60,static,0.49484262,0.61853564
2014-01-15,core,60,static,0.389796,0.4425124
2014-01-16,core,60,static,0.3719646,0.40166628
2014-01-17,core,60,static,0.36259443,0.44120497
2014-01-21,core,60,static,0.6656816,0.5081328
2014-01-22,core,60,static,0.31373873,0.40982792
2014-01-23,core,60,static,0.71243316,0.59177387
2014-01-24,core,60,static,0.9068204,0.87972033
2014-01-27,core,60,static,0.81133616,0.85096014
2014-01-28,core,60,static,0.5316145,0.6549714
2014-01-29,core,60,static,1.0421811,0.7294899
2014-01-30,core,60,static,0.78014624,0.72117853
2014-01-31,core,60,static,1.1046423,0.75627106
2014-02-03,core,60,static,0.9668377,1.0982918
2014-02-04,core,60,static,0.819945,0.87143105
2014-02-05,core,60,static,0.9269459,0.8284011
2014-02-06,core,60,static,0.5575153,0.82977265
2014-02-07,core,60,static,0.65374666,0.73534864
2014-02-10,core,60,static,0.31248182,0.44363922
2014-02-11,core,60,static,0.41629142,0.6456745
2014-02-12,core,60,static,0.45831323,0.47857553
2014-02-13,core,60,static,0.49265444,0.6176615
2014-02-14,core,60,static,0.38318944,0.52681017
2014-02-18,core,60,static,0.3537131,0.42623788
2014-02-19,core,60,static,0.54439,0.5950567
2014-02-20,core,60,static,0.51263076,0.61167777
2014-02-21,core,60,static,0.41156575,0.4595942
2014-02-24,core,60,static,0.58284545,0.63054764
2014-02-25,core,60,static,0.56813157,0.49595714
2014-02-26,core,60,static,0.5470898,0.47999984
2014-02-27,core,60,static,0.52451116,0.48018616
2014-02-28,core,60,static,0.6110896,0.6308888
2014-03-03,core,60,static,0.9133794,0.6931754
2014-03-04,core,60,static,0.96754813,0.74380744
2014-03-05,core,60,static,0.41537228,0.45698157
2014-03-06,core,60,static,0.40407717,0.42189932
2014-03-07,core,60,static,0.55469537,0.48785913
