date,feature_set,protocol,RV_target,RV_pred
2001-09-03,core,static,0.7466042277205279,0.9880162111855607
2001-09-04,core,static,1.145187657080707,1.3064179776842701
2001-09-05,core,static,0.9867531322563172,0.9293561853847295
2001-09-06,core,static,0.921046958756567,0.9862803389783528
2001-09-07,core,static,0.8651238258540369,1.0529437872614666
2001-09-11,core,static,0.99968206501107,1.1095409916607806
2001-09-12,core,static,5.145089169831461,0.43911645878653816
2001-09-13,core,static,2.141277241582463,2.2098861493217097
2001-09-14,core,static,2.776654382596077,2.5171157673435345
2001-09-17,core,static,1.598265313075398,1.889876573883478
2001-09-18,core,static,1.388735551759585,1.460891206418356
2001-09-19,core,static,1.33415494338926,1.7999109230520018
2001-09-20,core,static,1.503242950553236,1.4531472536744743
2001-09-21,core,static,1.443458076821423,1.384537382423242
2001-09-24,core,static,1.119927516331302,1.3577995529094222
2001-09-25,core,static,1.551393454439589,2.030180940964082
2001-09-26,core,static,1.373535612432746,1.3528665308149774
2001-09-27,core,static,1.110424643576952,1.3284281367198543
2001-09-28,core,static,1.266041739793361,1.2693041440440307
2001-10-04,core,static,1.176198578616723,1.0397594297571744
2001-10-05,core,static,0.912437491369051,1.0571425516562052
2001-10-08,core,static,0.9601295174541788,1.0416185128029012
2001-10-09,core,static,0.8911104435597336,1.012899890013796
2001-10-10,core,static,0.8368022970997714,0.9209897905335099
2001-10-11,core,static,0.7732897061975551,0.8146351945538884
2001-10-12,core,static,1.120119325351991,1.2846438421289028
2001-10-15,core,static,0.8925480027266013,0.9300554601795921
2001-10-16,core,static,0.7437713553921258,0.9393497523194304
2001-10-17,core,static,0.879035460374567,0.875346839133609
2001-10-18,core,static,1.102221938638948,0.9126441942795912
2001-10-19,core,static,0.9248604870898496,1.0226951477920525
2001-10-22,core,static,0.9472693825919452,0.9215376208328081
2001-10-23,core,static,0.9564705608955496,0.9643277528781985
2001-10-24,core,static,0.7433818266000797,1.075859313171952
2001-10-25,core,static,0.891346758804074,0.8195472017447395
2001-10-26,core,static,0.8608277187194561,0.8769762794132858
2001-10-29,core,static,0.8435974880065753,0.8112130783238258
2001-10-30,core,static,0.8696052711125825,0.7486054527443701
2001-10-31,core,static,0.7350604556807154,0.931583532631656
2001-11-01,core,static,0.8026954234925082,0.9289585148620698
2001-11-02,core,static,0.8605294848512386,0.7489569821944855
2001-11-05,core,static,0.924983694445086,0.8168281793540865
2001-11-06,core,static,0.8102730077664028,0.7553009268344609
2001-11-07,core,static,0.7356961945444321,0.8536841180510498
2001-11-08,core,static,1.165858047465042,0.8736356545941516
2001-11-09,core,static,1.098137123554704,1.010696462585767
2001-11-12,core,static,1.153564781501672,0.9494000745363426
2001-11-13,core,static,1.596205823640548,1.1910797892946188
2001-11-14,core,static,1.006234922982203,1.3651250762853233
2001-11-15,core,static,1.572288792449402,1.2002452591868926
2001-11-16,core,static,1.051028718128577,1.231964149666167
2001-11-19,core,static,1.538091223995183,1.441290605864015
2001-11-20,core,static,1.723045519214742,1.8021678618923527
2001-11-21,core,static,1.494629199332062,1.4719857333404136
2001-11-22,core,static,1.110903421767617,1.4978341304621507
2001-11-23,core,static,1.467233277016303,1.4779732151864557
2001-11-26,core,static,1.82155706255802,1.5075767800211524
2001-11-27,core,static,2.376487829359536,1.761808695944806
2001-11-28,core,static,1.826867989283572,2.4221593524050054
2001-11-30,core,static,1.513803035473572,1.3476710415027915
2001-12-03,core,static,1.787136773097124,1.8799781146613752
2001-12-04,core,static,1.810811548301756,1.6316789344377554
2001-12-05,core,static,1.933331873981805,2.394211004853432
2001-12-06,core,static,3.201974888641383,2.806922084003988
2001-12-07,core,static,2.083002605611428,2.2526374784606866
2001-12-10,core,static,1.743564335427288,2.5124479089282654
2001-12-11,core,static,2.353218627950238,1.7814997242471808
2001-12-12,core,static,2.186173563740766,2.3329240747702533
2001-12-13,core,static,2.257690252861539,1.9174007184315383
2001-12-14,core,static,1.753668615952284,1.7945777359792394
2001-12-17,core,static,1.703746631209582,1.6436760691714438
2001-12-18,core,static,1.824488052476913,2.1020616756319277
2001-12-19,core,static,1.606913198559586,1.6362253942244491
2001-12-20,core,static,1.755229414515379,1.9903055453621938
2001-12-21,core,static,1.439663388505452,1.3826494644746532
2001-12-24,core,static,1.368207245133207,1.454165272923227
2001-12-26,core,static,1.063168211085151,1.2225037484386834
2001-12-27,core,static,2.189078874110981,1.8936457395988389
2001-12-28,core,static,1.516338632175214,1.5630878565736255
2002-01-02,core,static,2.187262210942255,2.336589818114609
2002-01-03,core,static,2.12373366999325,1.6263134548363323
2002-01-04,core,static,1.36550615514065,1.4632187021726115
2002-01-07,core,static,1.98613936437527,1.7548398940623025
2002-01-08,core,static,1.446533371115233,1.622204026200536
2002-01-09,core,static,1.696238280823481,1.7843929262584717
2002-01-10,core,static,1.814648978833648,1.785584725898375
2002-01-11,core,static,1.667684558567357,1.9132008229601594
2002-01-14,core,static,1.629561197807557,1.787903997783626
2002-01-15,core,static,1.532822962650286,1.418972728679865
2002-01-16,core,static,1.781030740964344,1.4724482548880398
2002-01-17,core,static,1.576298760937152,1.7129205009301423
2002-01-21,core,static,1.482450774994232,1.5391217880777277
2002-01-22,core,static,1.311908978403609,1.4137956541590306
2002-01-23,core,static,1.308388373391479,1.9500256877900446
2002-01-24,core,static,1.590331369100792,1.3642504533811348
2002-01-25,core,static,1.598927209093647,1.4386971795428796
2002-01-29,core,static,1.63259299481714,1.4532883651700215
2002-01-30,core,static,1.339845044935794,1.3064409486245168
2002-01-31,core,static,1.303690811634415,1.58913845010174
2002-02-01,core,static,1.475071606322893,1.658169943438353
2002-02-04,core,static,1.483778937040488,1.5007470349399332
2002-02-05,core,static,1.612008231331342,1.6456317194107521
2002-02-06,core,static,1.259819171113061,1.3153706823045492
2002-02-07,core,static,1.206454851699391,1.6193323324517086
2002-02-08,core,static,1.468513969991433,1.3601489395013548
2002-02-14,core,static,1.762551567628874,1.941557846647888
2002-02-15,core,static,1.353448126977905,1.3046842382879293
2002-02-18,core,static,1.285103075163623,1.2211491363319298
2002-02-19,core,static,1.330037295978951,1.4174711583767259
2002-02-20,core,static,0.9250179465406608,1.263737866705385
