date,feature_set,protocol,RV_target,RV_pred
2014-01-08,core,static,0.504909194,0.3544279004075293
2014-01-09,core,static,0.447920243,0.4724934711014425
2014-01-10,core,static,0.417811428,0.3960570324998537
2014-01-13,core,static,0.472517594,0.7480900363549083
2014-01-14,core,static,0.494842611,0.488479125391167
2014-01-15,core,static,0.389795974,0.3946650182718984
2014-01-16,core,static,0.371964599,0.34420294934687495
2014-01-17,core,static,0.362594427,0.39535526246140024
2014-01-21,core,static,0.665681588,0.4679573929206621
2014-01-22,core,static,0.313738731,0.3811330790330699
2014-01-23,core,static,0.712433166,0.597263128814535
2014-01-24,core,static,0.90682039,0.9906126467944361
2014-01-27,core,static,0.811336139,0.8172996170417557
2014-01-28,core,static,0.531614497,0.6074448448057682
2014-01-29,core,static,1.042181106,0.6988693718231452
2014-01-30,core,static,0.780146235,0.8057954426037286
2014-01-31,core,static,1.104642255,0.8344099144404641
2014-02-03,core,static,0.966837678,1.3811335575286419
2014-02-04,core,static,0.819944974,0.7121743617107704
2014-02-05,core,static,0.926945914,0.8049889701806822
2014-02-06,core,static,0.557515312,0.8100603830974411
2014-02-07,core,static,0.65374668,0.7194208271380806
2014-02-10,core,static,0.312481814,0.5178732323131455
2014-02-11,core,static,0.416291426,0.6203309349693863
2014-02-12,core,static,0.458313231,0.4546185408884909
2014-02-13,core,static,0.492654453,0.598414447333613
2014-02-14,core,static,0.38318943,0.5109176542056213
2014-02-18,core,static,0.353713093,0.3341682929062906
2014-02-19,core,static,0.544390049,0.5912088673745182
2014-02-20,core,static,0.512630761,0.5550108509829209
2014-02-21,core,static,0.411565747,0.4472038401185171
2014-02-24,core,static,0.582845441,0.5780329266254446
2014-02-25,core,static,0.568131575,0.5084951782554992
2014-02-26,core,static,0.54708981,0.5016799117558419
2014-02-27,core,static,0.524511154,0.494720707671708
2014-02-28,core,static,0.611089583,0.6195555503468123
2014-03-03,core,static,0.913379347,0.7481088053696624
2014-03-04,core,static,0.967548115,0.8017622925352514
2014-03-05,core,static,0.415372286,0.5285559898002259
2014-03-06,core,static,0.404077169,0.41868866603304405
2014-03-07,core,static,0.554695362,0.500495594347298
2014-03-10,core,static,0.475148278,0.501869423383182
2014-03-11,core,static,0.500703224,0.6107232115048314
2014-03-12,core,static,0.676949381,0.49131939227778737
2014-03-13,core,static,0.730791296,0.9308668778745078
2014-03-14,core,static,0.681550393,0.5786307003024875
2014-03-17,core,static,0.747608226,0.6301800415139515
2014-03-18,core,static,0.482317565,0.5895481920047286
2014-03-19,core,static,0.757435679,0.7502612069191806
2014-03-20,core,static,0.543073394,0.6783904740938269
2014-03-21,core,static,0.711109266,0.687040016705819
2014-03-24,core,static,0.69544133,0.7946551485970511
2014-03-25,core,static,0.763626392,0.6061203103192707
2014-03-26,core,static,0.644809343,0.826876145821922
2014-03-27,core,static,0.798746061,0.5971802986364013
2014-03-28,core,static,0.616768448,0.6667963016309497
2014-03-31,core,static,0.706260756,0.5887038544204125
2014-04-01,core,static,0.476379581,0.5429933376791897
2014-04-02,core,static,0.372951577,0.4499551195701032
2014-04-03,core,static,0.382439156,0.4543169308359721
2014-04-04,core,static,0.775319627,0.8729060549324527
2014-04-07,core,static,0.732988089,0.7683521926830342
2014-04-08,core,static,0.626038683,0.623378879996835
2014-04-09,core,static,0.547166824,0.6185370572715181
2014-04-10,core,static,0.831249397,1.0929242416793286
2014-04-11,core,static,1.007360736,0.8025741151123477
2014-04-14,core,static,0.852953609,0.7372056011828418
2014-04-15,core,static,0.917920251,0.8962304090738893
2014-04-16,core,static,0.685983056,0.6921343597622737
2014-04-17,core,static,0.473644765,0.6322020865803922
2014-04-21,core,static,0.341622003,0.468141740054348
2014-04-22,core,static,0.328088233,0.4563473115901596
2014-04-23,core,static,0.364509594,0.3441202743415808
2014-04-24,core,static,0.589108042,0.4388636012026304
2014-04-25,core,static,0.586394131,0.6002323551227369
2014-04-28,core,static,0.823585357,0.717677292602231
2014-04-29,core,static,0.500189445,0.49632715964509716
2014-04-30,core,static,0.49780339,0.48661441885087775
2014-05-01,core,static,0.451168098,0.4750811740933471
2014-05-02,core,static,0.562668713,0.4956446813494807
2014-05-05,core,static,0.729559416,0.6108399671079461
2014-05-06,core,static,0.513074086,0.63646202035979
2014-05-07,core,static,0.896976768,0.588278176690979
2014-05-08,core,static,0.519382227,0.7366700957795309
2014-05-09,core,static,0.558155441,0.5002295720894663
2014-05-12,core,static,0.480186622,0.5621018955735919
2014-05-13,core,static,0.316968238,0.38570268978034683
2014-05-14,core,static,0.387529962,0.44033602724892335
2014-05-15,core,static,0.691119402,0.6993733116639286
2014-05-16,core,static,0.467639438,0.5143368556685459
2014-05-19,core,static,0.342351811,0.4491974453075075
2014-05-20,core,static,0.523482527,0.5055694725510982
2014-05-21,core,static,0.494206952,0.48472547316519005
2014-05-22,core,static,0.301708835,0.43328719267257754
2014-05-23,core,static,0.205924272,0.2884915862819132
2014-05-27,core,static,0.424970694,0.27010000933448275
2014-05-28,core,static,0.293135887,0.328334968884123
2014-05-29,core,static,0.362905922,0.2913985830608956
2014-05-30,core,static,0.289627191,0.2681293064150162
2014-06-02,core,static,0.390078154,0.28992337533112067
2014-06-03,core,static,0.307638088,0.2795857331421989
2014-06-04,core,static,0.294142636,0.3012536555460792
2014-06-05,core,static,0.390073771,0.4222924386449571
2014-06-06,core,static,0.268965703,0.25668234562272685
2014-06-09,core,static,0.277190725,0.25664233102253065
2014-06-10,core,static,0.297002237,0.22178136390603864
2014-06-11,core,static,0.411385069,0.2946116865135959
2014-06-12,core,static,0.418304726,0.4874792721650137
2014-06-13,core,static,0.434302699,0.31153414130988466
2014-06-16,core,static,0.441614383,0.34749779685930177
2014-06-17,core,static,0.371123286,0.3541909789572434
2014-06-18,core,static,0.419305676,0.453391884645795
2014-06-19,core,static,0.29128067,0.3170096490208264
2014-06-20,core,static,0.233441948,0.2180770373751797
2014-06-23,core,static,0.266755184,0.1941297636523892
2014-06-24,core,static,0.431724213,0.4683802880447505
2014-06-25,core,static,0.378548036,0.36604513724315213
2014-06-26,core,static,0.496284695,0.41078121861119415
2014-06-27,core,static,0.354368647,0.33953048594055474
2014-06-30,core,static,0.271267267,0.2639357925246827
2014-07-01,core,static,0.36892692,0.3747247621690271
2014-07-02,core,static,0.261517037,0.23330771407639428
2014-07-03,core,static,0.317315219,0.2581221319895456
2014-07-07,core,static,0.363144738,0.2952256124157008
2014-07-08,core,static,0.558941902,0.447726169064734
2014-07-09,core,static,0.458191834,0.34578278710121224
2014-07-10,core,static,0.761119956,0.49946180962151826
2014-07-11,core,static,0.350848385,0.44742461333852784
2014-07-14,core,static,0.413443254,0.3395576167506149
2014-07-15,core,static,0.538845935,0.5168604735880351
2014-07-16,core,static,0.447078049,0.37449181901530487
2014-07-17,core,static,0.641926092,0.705001417421532
2014-07-18,core,static,0.397797625,0.540063048210711
2014-07-21,core,static,0.408854253,0.40548795943838456
2014-07-22,core,static,0.376511476,0.3646301747236178
2014-07-23,core,static,0.252551329,0.3035272101633498
2014-07-24,core,static,0.275801924,0.24068462313209316
2014-07-25,core,static,0.432928348,0.31652536266261233
2014-07-28,core,static,0.422293114,0.4088744875755552
2014-07-29,core,static,0.458571923,0.4410655426362496
2014-07-30,core,static,0.606133765,0.4689225339916378
2014-07-31,core,static,0.865961588,0.8640407456871301
2014-08-01,core,static,0.832430148,0.7248044183865151
2014-08-04,core,static,0.479405158,0.7020886811202903
2014-08-05,core,static,0.886747203,0.7034777828461255
2014-08-06,core,static,0.675062787,0.6953459023360608
2014-08-07,core,static,0.713378642,0.8116189281875853
2014-08-08,core,static,0.515885845,0.7131863194119059
2014-08-11,core,static,0.418755397,0.48027956064371125
2014-08-12,core,static,0.467782806,0.47160279257474846
2014-08-13,core,static,0.458245663,0.4467572830302322
2014-08-14,core,static,0.265934587,0.3591277385109702
2014-08-15,core,static,0.749850811,0.5431466547991363
2014-08-18,core,static,0.464969766,0.4867463092649701
2014-08-19,core,static,0.254568979,0.3744067993257374
2014-08-20,core,static,0.301621112,0.3316972669351737
2014-08-21,core,static,0.289569745,0.28504197157187294
2014-08-22,core,static,0.426761488,0.31676194097202526
2014-08-25,core,static,0.353253821,0.32299707037324493
2014-08-26,core,static,0.237598403,0.2548136284690289
2014-08-27,core,static,0.241476348,0.21794358519091928
2014-08-28,core,static,0.402917957,0.25605787500590416
2014-08-29,core,static,0.253895749,0.29520495854277584
2014-09-02,core,static,0.363318877,0.2977196742152639
2014-09-03,core,static,0.371441337,0.33288473110966244
2014-09-04,core,static,0.408924752,0.4713183015363643
2014-09-05,core,static,0.457331444,0.43868343167378254
2014-09-08,core,static,0.387098629,0.3913905250602507
2014-09-09,core,static,0.533857089,0.4726687556015601
2014-09-10,core,static,0.520188615,0.4397593119187975
2014-09-11,core,static,0.430318485,0.42734947166725107
2014-09-12,core,static,0.474533647,0.5070154972821207
2014-09-15,core,static,0.419088642,0.3715589880547882
2014-09-16,core,static,0.440577303,0.5609658595884363
2014-09-17,core,static,0.717094429,0.497446156449121
2014-09-18,core,static,0.370395869,0.42611330513427864
2014-09-19,core,static,0.457360871,0.4106391535452252
2014-09-22,core,static,0.44572679,0.546513842618735
2014-09-23,core,static,0.493050456,0.454675855805481
2014-09-24,core,static,0.409743645,0.5564170463260499
2014-09-25,core,static,0.703658884,0.7565089680467165
2014-09-26,core,static,0.598559759,0.5897779119837552
2014-09-29,core,static,0.942536125,0.5773467338014329
2014-09-30,core,static,0.604216138,0.6728441639916796
