date,protocol,RV_target,RV_pred
2020-01-02,static,0.39189518,0.5645101085288675
2020-01-03,static,0.577806551,0.6124171806233216
2020-01-06,static,0.325295175,0.6348310389623666
2020-01-07,static,0.344769939,0.6212720310197989
2020-01-08,static,0.494921468,0.6050452292314801
2020-01-09,static,0.370555304,0.6052255577140165
2020-01-10,static,0.400584944,0.6233370621733075
2020-01-13,static,0.236613059,0.6071666206758779
2020-01-14,static,0.388944592,0.6287797383836841
2020-01-15,static,0.40533448,0.606755423595414
2020-01-16,static,0.264369795,0.5879403834635321
2020-01-17,static,0.304816433,0.631220028221888
2020-01-21,static,0.341183266,0.6201919344541162
2020-01-22,static,0.352132052,0.6033219880148224
2020-01-23,static,0.496637902,0.5816347022383239
2020-01-24,static,0.735853876,0.5631776528609675
2020-01-27,static,0.646043035,0.6228121792681959
2020-01-28,static,0.452648986,0.797024591324519
2020-01-29,static,0.505350248,0.8278037427110276
2020-01-30,static,0.72819615,0.7873307768393603
2020-01-31,static,0.92743066,0.7567518082595042
2020-02-03,static,0.668394618,0.9333752839785503
2020-02-04,static,0.457579108,0.9159710721377549
2020-02-05,static,0.510079941,0.9981623475636249
2020-02-06,static,0.440475285,1.0141482962061958
2020-02-07,static,0.528992915,0.9650080657143139
2020-02-10,static,0.423436009,0.9307641918360317
2020-02-11,static,0.481499738,0.9142668643933531
2020-02-12,static,0.378017696,0.868257318362943
2020-02-13,static,0.501313051,0.8512509858025004
2020-02-14,static,0.36170778,0.8101889597370681
2020-02-18,static,0.479656975,0.7730238631493026
2020-02-19,static,0.246948161,0.7428274437008965
2020-02-20,static,0.945774286,0.7256678305853151
2020-02-21,static,0.744954064,0.7045610708124749
2020-02-24,static,1.089630515,0.7594558877521695
2020-02-25,static,1.568749691,1.3418603247094054
2020-02-26,static,1.661214432,1.6225320023254248
2020-02-27,static,2.681899641,1.5288028063781491
2020-02-28,static,3.747886488,2.0746674279160033
2020-03-02,static,2.504803923,1.9641940634076884
2020-03-03,static,4.294059327,2.3702761840889823
2020-03-04,static,1.634634651,2.4133903555049483
2020-03-05,static,1.913273268,2.6436294404730893
2020-03-06,static,2.356969354,2.72727027144849
2020-03-09,static,4.796297025,2.616774880738392
2020-03-10,static,3.306274296,3.5865551040714148
2020-03-11,static,2.287294328,3.7173977351134733
2020-03-12,static,6.444407584,3.854658271512499
2020-03-13,static,5.127025776,4.897121611400713
2020-03-16,static,6.419546501,5.445071971199854
2020-03-17,static,4.766582777,6.621088549631629
2020-03-18,static,4.987786228,6.486076488334827
2020-03-19,static,4.569097481,6.317400903918475
2020-03-20,static,3.922572175,5.910528335312001
2020-03-23,static,5.348251637,5.720050724021359
2020-03-24,static,3.039526088,5.440116424638123
2020-03-25,static,3.639101824,5.892998604980073
2020-03-26,static,3.305655419,5.5248740189230405
2020-03-27,static,2.387249956,5.543602767155167
2020-03-30,static,1.860393776,5.308133043864475
2020-03-31,static,2.006963785,5.083925669719812
2020-04-01,static,1.794748905,4.78558474799851
2020-04-02,static,2.752688482,4.720196024631276
2020-04-03,static,1.906945339,4.478585476030883
2020-04-06,static,1.541893373,4.220261023868422
2020-04-07,static,2.541715295,4.545870004584074
2020-04-08,static,1.490273754,4.253083504568225
2020-04-09,static,1.883515388,4.131054865354155
2020-04-13,static,1.672511207,3.8944197954073596
2020-04-14,static,1.268737563,3.659548889509523
2020-04-15,static,1.426217065,3.5670830590688594
2020-04-16,static,1.361583533,3.4188975226647957
2020-04-17,static,1.171081508,3.205571658651732
2020-04-20,static,1.289294739,3.1258982656399947
2020-04-21,static,1.675444675,2.9866175089421003
2020-04-22,static,0.915721565,2.980637722372702
2020-04-23,static,1.392246695,2.8898792477890995
2020-04-24,static,0.939433445,2.705800166822422
2020-04-27,static,0.72414469,2.574954728129123
2020-04-28,static,1.21782543,2.4598450108748926
2020-04-29,static,0.829149635,2.3108783540114275
2020-04-30,static,1.280883885,2.333373561414023
2020-05-01,static,1.176369895,2.2076996928097086
2020-05-05,static,0.934751054,2.2739042575450807
2020-05-06,static,1.037440324,2.175521090831881
2020-05-07,static,0.83236059,2.0521958400682636
2020-05-08,static,0.591020501,1.9610059381604807
2020-05-11,static,0.785306541,1.9207678814577138
2020-05-12,static,0.962028008,1.8014892732352428
2020-05-13,static,1.748135102,1.8249603730486323
2020-05-14,static,1.589803426,1.8090052174796585
2020-05-15,static,1.240451592,1.7392923318890405
2020-05-18,static,1.03093146,1.637535694456205
2020-05-19,static,1.172460537,1.8495629001408378
2020-05-20,static,0.720020108,1.7699288574523828
2020-05-21,static,0.997253813,1.7487699826056406
2020-05-22,static,0.692567044,1.6614608505055422
2020-05-26,static,0.737166159,1.5618356131997553
2020-05-27,static,1.145117392,1.521971640595268
2020-05-28,static,1.019735326,1.5109634308840878
2020-05-29,static,1.462957729,1.4215332479330631
2020-06-01,static,0.571293271,1.3460726240733631
2020-06-02,static,0.668129789,1.2725628139217642
2020-06-03,static,0.580023033,1.2284873528260658
