date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,extended,22,static,1.1162918,1.6292181
2001-09-04,extended,22,static,2.0407026,1.7203443
2001-09-05,extended,22,static,1.9308276,1.4544151
2001-09-06,extended,22,static,2.2984583,1.7025846
2001-09-07,extended,22,static,1.6795223,1.4715573
2001-09-11,extended,22,static,1.5307633,1.5105315
2001-09-12,extended,22,static,2.9791594,2.2138033
2001-09-13,extended,22,static,2.1383514,2.1913552
2001-09-14,extended,22,static,2.6557584,2.3484845
2001-09-17,extended,22,static,1.9450941,2.3881848
2001-09-18,extended,22,static,2.4098809,2.1375196
2001-09-19,extended,22,static,2.3552494,2.0776277
2001-09-20,extended,22,static,1.6585617,1.5106915
2001-09-21,extended,22,static,1.7568865,2.0252638
2001-09-25,extended,22,static,1.8962106,1.87042
2001-09-26,extended,22,static,1.4537836,1.5799093
2001-09-27,extended,22,static,1.2037674,1.6774185
2001-09-28,extended,22,static,1.4054729,1.5614625
2001-10-01,extended,22,static,1.8121343,2.025644
2001-10-02,extended,22,static,1.2978135,1.7217855
2001-10-03,extended,22,static,1.6023628,1.8396031
2001-10-04,extended,22,static,1.4444504,1.5238769
2001-10-05,extended,22,static,1.4616369,1.4292048
2001-10-09,extended,22,static,1.3781606,1.3048203
2001-10-10,extended,22,static,1.0720345,1.2843384
2001-10-11,extended,22,static,1.2359428,1.7024753
2001-10-12,extended,22,static,1.6532644,1.4110651
2001-10-15,extended,22,static,1.0386,1.1998664
2001-10-16,extended,22,static,1.2261803,1.6064205
2001-10-17,extended,22,static,1.2315547,1.4006214
2001-10-18,extended,22,static,1.12609,1.282915
2001-10-19,extended,22,static,0.9049973,1.312775
2001-10-22,extended,22,static,0.6510661,1.1544662
2001-10-23,extended,22,static,1.2846167,1.2420194
2001-10-24,extended,22,static,1.302556,1.3259627
2001-10-25,extended,22,static,1.3072278,1.2744409
2001-10-26,extended,22,static,1.1498301,1.3830681
2001-10-29,extended,22,static,1.0187558,1.2246225
2001-10-30,extended,22,static,1.2031951,1.1856738
2001-10-31,extended,22,static,0.8309624,1.2118224
2001-11-01,extended,22,static,0.9647422,1.2213345
2001-11-02,extended,22,static,1.450916,1.2957095
2001-11-05,extended,22,static,0.6997015,0.99687225
2001-11-06,extended,22,static,0.91230756,1.0781265
2001-11-07,extended,22,static,1.213562,1.4794021
2001-11-08,extended,22,static,1.2132354,1.3186585
2001-11-09,extended,22,static,1.3137938,1.3067392
2001-11-12,extended,22,static,1.0898567,1.1958996
2001-11-13,extended,22,static,0.87020963,1.3066571
2001-11-14,extended,22,static,1.2052678,1.141843
2001-11-15,extended,22,static,1.2514703,1.4746876
2001-11-16,extended,22,static,2.1688633,1.7733064
2001-11-19,extended,22,static,1.5463173,1.3942384
2001-11-20,extended,22,static,1.6622303,1.431212
2001-11-21,extended,22,static,1.7681742,1.5972683
2001-11-22,extended,22,static,1.2729993,1.3011589
2001-11-26,extended,22,static,1.4711521,1.3751227
2001-11-27,extended,22,static,1.4325883,1.3405477
2001-11-28,extended,22,static,1.4102099,1.3463675
2001-11-30,extended,22,static,1.2161804,1.3822033
2001-12-03,extended,22,static,1.4683616,1.4513903
2001-12-04,extended,22,static,1.3313465,1.2063314
2001-12-05,extended,22,static,1.1900908,1.1554048
2001-12-06,extended,22,static,1.8679303,1.3679264
2001-12-07,extended,22,static,1.0733515,1.2049139
2001-12-10,extended,22,static,0.93792796,1.14548
2001-12-11,extended,22,static,1.022902,1.2223653
2001-12-12,extended,22,static,1.6226773,1.4943119
2001-12-13,extended,22,static,1.1153,1.4512496
2001-12-14,extended,22,static,1.4686747,1.4872855
2001-12-17,extended,22,static,1.1992097,1.0716013
2001-12-18,extended,22,static,1.5933192,1.2601254
2001-12-19,extended,22,static,1.5499549,1.0742707
2001-12-20,extended,22,static,1.1386887,1.0790231
2001-12-21,extended,22,static,1.0471654,1.1314223
2001-12-25,extended,22,static,1.0677977,1.1327543
2001-12-26,extended,22,static,1.0058322,1.1195236
2001-12-27,extended,22,static,1.0679196,1.2691349
2002-01-07,extended,22,static,1.0932148,1.0687711
2002-01-08,extended,22,static,1.1639675,1.0924733
2002-01-09,extended,22,static,1.1235802,1.0246823
2002-01-10,extended,22,static,1.2643216,1.1065221
2002-01-11,extended,22,static,0.9711793,0.9570693
2002-01-15,extended,22,static,1.0283325,0.9878086
2002-01-16,extended,22,static,1.0653367,1.1746532
2002-01-17,extended,22,static,1.2711087,1.0645503
2002-01-21,extended,22,static,1.0141083,1.0630264
2002-01-22,extended,22,static,1.1118968,1.0800033
2002-01-23,extended,22,static,1.0210612,0.98956037
2002-01-24,extended,22,static,1.3695625,1.1118507
2002-01-25,extended,22,static,1.3686211,0.9217727
2002-01-29,extended,22,static,1.17725,0.8736059
2002-01-30,extended,22,static,0.9733158,1.1066166
2002-01-31,extended,22,static,0.9758415,0.98047864
2002-02-01,extended,22,static,1.2524565,1.3265362
2002-02-04,extended,22,static,0.92524797,1.2018242
2002-02-05,extended,22,static,1.2981555,1.4402815
2002-02-06,extended,22,static,1.2677865,1.2286886
2002-02-07,extended,22,static,1.4968977,1.2783598
2002-02-08,extended,22,static,1.6193671,1.3800037
2002-02-12,extended,22,static,1.1070732,1.046126
2002-02-13,extended,22,static,1.434199,1.1596878
2002-02-14,extended,22,static,1.6110401,1.2611624
2002-02-15,extended,22,static,1.4196908,1.015776
2002-02-18,extended,22,static,0.75287354,1.0852734
2002-02-19,extended,22,static,1.106537,1.3184632
