date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,extended,60,static,0.7466042,0.98663294
2001-09-04,extended,60,static,1.1451876,1.2430732
2001-09-05,extended,60,static,0.9867531,0.84988195
2001-09-06,extended,60,static,0.921047,0.84299356
2001-09-07,extended,60,static,0.8651238,0.9761447
2001-09-11,extended,60,static,0.99968207,0.9359219
2001-09-12,extended,60,static,5.145089,3.2058198
2001-09-13,extended,60,static,2.1412773,2.4180703
2001-09-14,extended,60,static,2.7766545,2.6929553
2001-09-17,extended,60,static,1.5982653,2.3382611
2001-09-18,extended,60,static,1.3887355,1.9575628
2001-09-19,extended,60,static,1.334155,1.9136164
2001-09-20,extended,60,static,1.503243,1.7918155
2001-09-21,extended,60,static,1.4434581,1.5940297
2001-09-24,extended,60,static,1.1199275,1.5971222
2001-09-25,extended,60,static,1.5513935,2.1353016
2001-09-26,extended,60,static,1.3735356,1.7677644
2001-09-27,extended,60,static,1.1104246,1.6241969
2001-09-28,extended,60,static,1.2660418,1.5765605
2001-10-04,extended,60,static,1.1761986,1.294764
2001-10-05,extended,60,static,0.9124375,1.375987
2001-10-08,extended,60,static,0.9601295,1.3027061
2001-10-09,extended,60,static,0.8911104,1.320453
2001-10-10,extended,60,static,0.8368023,1.3272207
2001-10-11,extended,60,static,0.7732897,1.380406
2001-10-12,extended,60,static,1.1201193,1.429644
2001-10-15,extended,60,static,0.892548,1.2179725
2001-10-16,extended,60,static,0.7437714,1.2711064
2001-10-17,extended,60,static,0.8790355,1.3634632
2001-10-18,extended,60,static,1.102222,1.2191083
2001-10-19,extended,60,static,0.9248605,1.3378056
2001-10-22,extended,60,static,0.9472694,1.3213687
2001-10-23,extended,60,static,0.95647055,1.3180153
2001-10-24,extended,60,static,0.7433818,1.4925773
2001-10-25,extended,60,static,0.89134675,1.2229321
2001-10-26,extended,60,static,0.86082774,1.2772673
2001-10-29,extended,60,static,0.8435975,1.2282648
2001-10-30,extended,60,static,0.86960524,1.2471216
2001-10-31,extended,60,static,0.73506045,1.3737272
2001-11-01,extended,60,static,0.80269545,1.3657933
2001-11-02,extended,60,static,0.8605295,1.2420254
2001-11-05,extended,60,static,0.9249837,1.3236611
2001-11-06,extended,60,static,0.810273,1.3302817
2001-11-07,extended,60,static,0.7356962,1.3738499
2001-11-08,extended,60,static,1.165858,1.5352254
2001-11-09,extended,60,static,1.0981371,1.6207217
2001-11-12,extended,60,static,1.1535648,1.3644043
2001-11-13,extended,60,static,1.5962058,1.6913334
2001-11-14,extended,60,static,1.0062349,1.8553727
2001-11-15,extended,60,static,1.5722888,1.6057047
2001-11-16,extended,60,static,1.0510287,1.6285914
2001-11-19,extended,60,static,1.5380912,1.846559
2001-11-20,extended,60,static,1.7230455,1.9424713
2001-11-21,extended,60,static,1.4946291,1.7050964
2001-11-22,extended,60,static,1.1109034,1.8228562
2001-11-23,extended,60,static,1.4672333,1.8234377
2001-11-26,extended,60,static,1.821557,1.8701587
2001-11-27,extended,60,static,2.3764877,2.0549006
2001-11-28,extended,60,static,1.8268679,2.0252833
2001-11-30,extended,60,static,1.513803,1.7429959
2001-12-03,extended,60,static,1.7871368,2.0169454
2001-12-04,extended,60,static,1.8108115,1.7672639
2001-12-05,extended,60,static,1.9333318,2.6695523
2001-12-06,extended,60,static,3.2019749,2.7505195
2001-12-07,extended,60,static,2.0830026,2.4259918
2001-12-10,extended,60,static,1.7435644,2.02544
2001-12-11,extended,60,static,2.3532186,1.6248208
2001-12-12,extended,60,static,2.1861737,2.2181633
2001-12-13,extended,60,static,2.2576902,1.8613759
2001-12-14,extended,60,static,1.7536687,1.7977912
2001-12-17,extended,60,static,1.7037467,1.5374582
2001-12-18,extended,60,static,1.824488,1.9116446
2001-12-19,extended,60,static,1.6069132,1.5837003
2001-12-20,extended,60,static,1.7552295,1.8818706
2001-12-21,extended,60,static,1.4396634,1.2750494
2001-12-24,extended,60,static,1.3682072,1.261101
2001-12-26,extended,60,static,1.0631682,1.2364955
2001-12-27,extended,60,static,2.1890788,1.8936979
2001-12-28,extended,60,static,1.5163386,1.3585106
2002-01-02,extended,60,static,2.1872623,2.3640294
2002-01-03,extended,60,static,2.1237338,1.5306247
2002-01-04,extended,60,static,1.3655062,1.4476707
2002-01-07,extended,60,static,1.9861394,1.6260651
2002-01-08,extended,60,static,1.4465333,1.3941287
2002-01-09,extended,60,static,1.6962383,1.6468594
2002-01-10,extended,60,static,1.814649,1.6141769
