date,feature_set,L,protocol,RV_target,RV_pred
2001-09-04,extended,22,static,1.2100633,1.3706236
2001-09-05,extended,22,static,1.5679408,1.124291
2001-09-06,extended,22,static,1.7411339,1.4472953
2001-09-07,extended,22,static,1.6673518,1.4374082
2001-09-10,extended,22,static,0.74644005,1.3510106
2001-09-17,extended,22,static,2.2967522,2.2170682
2001-09-18,extended,22,static,1.0420033,1.648227
2001-09-19,extended,22,static,2.0819445,2.73733
2001-09-20,extended,22,static,2.3077028,2.3277292
2001-09-21,extended,22,static,3.8494375,2.6810665
2001-09-24,extended,22,static,2.7487578,2.5936453
2001-09-25,extended,22,static,1.3044777,1.557263
2001-09-26,extended,22,static,1.2184697,1.6402208
2001-09-27,extended,22,static,1.323603,1.7266891
2001-09-28,extended,22,static,1.383098,1.5149775
2001-10-01,extended,22,static,1.1153392,1.3388952
2001-10-02,extended,22,static,1.1142824,1.3588393
2001-10-03,extended,22,static,1.4624399,1.7589266
2001-10-04,extended,22,static,1.4496776,1.4038883
2001-10-05,extended,22,static,1.388343,1.2210536
2001-10-09,extended,22,static,0.9012264,1.3336848
2001-10-10,extended,22,static,1.1528347,1.429899
2001-10-11,extended,22,static,1.3153303,1.185488
2001-10-12,extended,22,static,1.8570796,1.3934685
2001-10-15,extended,22,static,1.1521173,1.2607116
2001-10-16,extended,22,static,1.086504,1.2160177
2001-10-17,extended,22,static,1.5736189,1.5246688
2001-10-18,extended,22,static,1.0661162,1.4411241
2001-10-19,extended,22,static,0.9112782,1.3733442
2001-10-22,extended,22,static,0.93944675,1.2228911
2001-10-23,extended,22,static,1.1428016,1.2301084
2001-10-25,extended,22,static,1.6669167,1.6614822
2001-10-26,extended,22,static,1.1963391,1.0695379
2001-10-29,extended,22,static,1.1619931,1.213648
2001-10-30,extended,22,static,1.4189671,1.2016629
2001-10-31,extended,22,static,1.3224171,1.3649944
2001-11-01,extended,22,static,1.3793659,1.6219928
2001-11-02,extended,22,static,1.1274173,1.133623
2001-11-05,extended,22,static,1.2020197,1.0263672
2001-11-06,extended,22,static,1.1549374,1.0771165
2001-11-07,extended,22,static,0.8003076,1.022465
2001-11-08,extended,22,static,1.1623281,1.1404754
2001-11-09,extended,22,static,1.0823077,0.7511548
2001-11-12,extended,22,static,1.8706733,1.1536828
2001-11-13,extended,22,static,1.3069998,0.98832506
2001-11-14,extended,22,static,0.72449815,1.1050239
2001-11-15,extended,22,static,0.9128627,1.1786785
2001-11-16,extended,22,static,0.863002,0.88420844
2001-11-19,extended,22,static,0.8419718,0.8946046
2001-11-20,extended,22,static,0.818936,0.8191008
2001-11-21,extended,22,static,0.7878766,1.0381343
2001-11-23,extended,22,static,0.46533653,0.8402955
2001-11-26,extended,22,static,0.7479832,0.7764926
2001-11-27,extended,22,static,1.2810916,0.8726304
2001-11-28,extended,22,static,1.1399939,1.1262724
2001-11-29,extended,22,static,0.9690435,1.0305641
2001-11-30,extended,22,static,0.70338136,0.7142507
2001-12-03,extended,22,static,1.1231444,0.8192367
2001-12-04,extended,22,static,0.7437601,0.96319383
2001-12-05,extended,22,static,1.0228494,1.0815009
2001-12-06,extended,22,static,0.74097836,0.85745156
2001-12-07,extended,22,static,0.9054286,0.79130214
2001-12-10,extended,22,static,0.81427985,0.90335006
2001-12-11,extended,22,static,0.8531661,0.87634194
2001-12-12,extended,22,static,0.9190137,0.9276065
2001-12-13,extended,22,static,1.290168,1.0826191
2001-12-14,extended,22,static,0.8951791,0.97291696
2001-12-17,extended,22,static,0.73835754,0.7260343
2001-12-18,extended,22,static,0.8728666,0.78609824
2001-12-19,extended,22,static,0.98670614,0.8645784
2001-12-20,extended,22,static,0.670085,0.82342273
2001-12-21,extended,22,static,0.7076453,0.67556435
2001-12-24,extended,22,static,0.2745382,0.600809
2001-12-26,extended,22,static,0.6585761,0.7352718
2001-12-27,extended,22,static,0.501013,0.64140844
2001-12-28,extended,22,static,0.60416377,0.61487675
2001-12-31,extended,22,static,0.6412162,0.6676348
2002-01-02,extended,22,static,0.9662686,0.6977928
2002-01-03,extended,22,static,0.6566055,0.6884704
2002-01-04,extended,22,static,1.0448201,0.59890896
2002-01-07,extended,22,static,0.68711996,0.58647645
2002-01-08,extended,22,static,0.7378895,0.69743913
2002-01-09,extended,22,static,1.0054343,0.97749954
2002-01-10,extended,22,static,0.73413384,0.61037034
2002-01-11,extended,22,static,0.7880538,0.7111531
2002-01-14,extended,22,static,0.6233585,0.65954334
2002-01-15,extended,22,static,0.8214684,0.6686205
2002-01-16,extended,22,static,0.9989457,0.7859927
2002-01-18,extended,22,static,0.5346062,0.8918341
2002-01-22,extended,22,static,0.84008074,0.8128213
2002-01-23,extended,22,static,0.7616886,0.7552921
2002-01-24,extended,22,static,0.8008953,0.64439905
2002-01-25,extended,22,static,0.7255604,0.6874247
2002-01-28,extended,22,static,0.31458977,0.70134664
2002-01-29,extended,22,static,1.0338218,1.1861621
2002-01-30,extended,22,static,1.7252316,1.3111393
2002-01-31,extended,22,static,0.9295723,0.88481724
2002-02-04,extended,22,static,1.0101187,1.2620485
2002-02-05,extended,22,static,1.4079877,1.165216
2002-02-06,extended,22,static,1.3372043,1.220439
2002-02-07,extended,22,static,1.1120787,1.2849331
2002-02-08,extended,22,static,1.0008774,1.0495937
2002-02-11,extended,22,static,0.7202531,0.84288096
2002-02-12,extended,22,static,0.8822179,0.8649476
2002-02-13,extended,22,static,0.79892343,0.91795594
2002-02-14,extended,22,static,0.82857335,0.9246693
2002-02-15,extended,22,static,0.88856053,0.80207026
2002-02-19,extended,22,static,1.0459048,1.206606
2002-02-20,extended,22,static,1.050849,1.2340014
2002-02-21,extended,22,static,1.087847,1.1502006
2002-02-22,extended,22,static,1.2664633,1.0373979
2002-02-25,extended,22,static,0.9294254,1.0717707
2002-02-26,extended,22,static,1.062882,0.97697634
2002-02-27,extended,22,static,1.1307786,1.0378747
2002-02-28,extended,22,static,0.9938109,0.7973613
2002-03-01,extended,22,static,0.95901006,1.0136874
2002-03-04,extended,22,static,0.8169425,0.80391955
2002-03-05,extended,22,static,1.0788753,0.67626053
2002-03-06,extended,22,static,0.7701601,0.89673597
2002-03-07,extended,22,static,1.0364548,0.71380603
2002-03-08,extended,22,static,1.0599722,0.7738078
2002-03-11,extended,22,static,0.64660805,0.70633924
2002-03-12,extended,22,static,1.3386738,0.7506046
2002-03-13,extended,22,static,0.78072965,0.80702776
2002-03-14,extended,22,static,0.5378052,0.5714379
2002-03-15,extended,22,static,0.6818829,0.6846028
2002-03-18,extended,22,static,0.7869819,0.74315566
2002-03-19,extended,22,static,0.7443468,0.67756665
2002-03-20,extended,22,static,0.91664755,0.7465796
2002-03-21,extended,22,static,0.7908327,0.90156186
2002-03-22,extended,22,static,0.76969403,0.8124371
2002-03-25,extended,22,static,0.67752117,0.7944147
2002-03-26,extended,22,static,0.94941515,0.84949696
2002-03-27,extended,22,static,0.6792484,0.76248354
2002-03-28,extended,22,static,0.65848863,0.7091355
2001-09-04,extended,22,expanding,1.2100633382797241,1.4378950595855713
2001-09-05,extended,22,expanding,1.5679408311843872,1.300569772720337
2001-09-06,extended,22,expanding,1.7411339282989502,1.6175167560577393
2001-09-07,extended,22,expanding,1.6673518419265747,1.5734575986862183
2001-09-10,extended,22,expanding,0.746440052986145,1.4917609691619873
2001-09-17,extended,22,expanding,2.2967522144317627,2.143583059310913
2001-09-18,extended,22,expanding,1.0420032739639282,1.8662762641906738
2001-09-19,extended,22,expanding,2.081944465637207,2.881655216217041
2001-09-20,extended,22,expanding,2.3077027797698975,2.392239570617676
2001-09-21,extended,22,expanding,3.8494374752044678,2.78999662399292
2001-09-24,extended,22,expanding,2.748757839202881,2.7163197994232178
2001-09-25,extended,22,expanding,1.3044776916503906,1.7179043292999268
2001-09-26,extended,22,expanding,1.2184697389602661,1.7595465183258057
2001-09-27,extended,22,expanding,1.3236030340194702,1.775019645690918
2001-09-28,extended,22,expanding,1.3830980062484741,1.5523499250411987
2001-10-01,extended,22,expanding,1.1153391599655151,1.450837254524231
2001-10-02,extended,22,expanding,1.1142823696136475,1.4599441289901733
2001-10-03,extended,22,expanding,1.4624398946762085,1.8205043077468872
2001-10-04,extended,22,expanding,1.449677586555481,1.47780442237854
2001-10-05,extended,22,expanding,1.3883429765701294,1.3459270000457764
2001-10-09,extended,22,expanding,0.9012264013290405,1.4280763864517212
2001-10-10,extended,22,expanding,1.1528346538543701,1.4655969142913818
2001-10-11,extended,22,expanding,1.3153302669525146,1.2090003490447998
2001-10-12,extended,22,expanding,1.8570796251296997,1.4105619192123413
2001-10-15,extended,22,expanding,1.1521172523498535,1.393680453300476
2001-10-16,extended,22,expanding,1.0865039825439453,1.2070817947387695
2001-10-17,extended,22,expanding,1.5736188888549805,1.5975432395935059
2001-10-18,extended,22,expanding,1.066116213798523,1.5169849395751953
2001-10-19,extended,22,expanding,0.9112781882286072,1.3481614589691162
2001-10-22,extended,22,expanding,0.939446747303009,1.2502868175506592
2001-10-23,extended,22,expanding,1.1428016424179077,1.2046064138412476
2001-10-25,extended,22,expanding,1.6669167280197144,1.4820703268051147
2001-10-26,extended,22,expanding,1.1963391304016113,1.0005276203155518
2001-10-29,extended,22,expanding,1.161993145942688,1.2548084259033203
2001-10-30,extended,22,expanding,1.4189671277999878,1.346339225769043
2001-10-31,extended,22,expanding,1.322417140007019,1.3872653245925903
2001-11-01,extended,22,expanding,1.3793659210205078,1.5746111869812012
2001-11-02,extended,22,expanding,1.1274173259735107,1.163287878036499
2001-11-05,extended,22,expanding,1.2020196914672852,1.0619380474090576
2001-11-06,extended,22,expanding,1.1549373865127563,1.105945348739624
2001-11-07,extended,22,expanding,0.80030757188797,1.0360114574432373
2001-11-08,extended,22,expanding,1.1623281240463257,1.0908366441726685
2001-11-09,extended,22,expanding,1.0823076963424683,0.8555517196655273
2001-11-12,extended,22,expanding,1.8706732988357544,1.2079170942306519
2001-11-13,extended,22,expanding,1.3069998025894165,1.0730026960372925
2001-11-14,extended,22,expanding,0.7244981527328491,1.1327306032180786
2001-11-15,extended,22,expanding,0.9128627181053162,1.1429105997085571
2001-11-16,extended,22,expanding,0.8630020022392273,0.9035291075706482
2001-11-19,extended,22,expanding,0.8419718146324158,0.9393265843391418
2001-11-20,extended,22,expanding,0.8189359903335571,0.8196337819099426
2001-11-21,extended,22,expanding,0.7878766059875488,1.0481197834014893
2001-11-23,extended,22,expanding,0.46533653140068054,0.8771875500679016
2001-11-26,extended,22,expanding,0.7479832172393799,0.85218346118927
2001-11-27,extended,22,expanding,1.281091570854187,0.9094008803367615
2001-11-28,extended,22,expanding,1.1399939060211182,1.122790813446045
2001-11-29,extended,22,expanding,0.969043493270874,1.02471125125885
2001-11-30,extended,22,expanding,0.703381359577179,0.8063735365867615
2001-12-03,extended,22,expanding,1.1231443881988525,0.8526297211647034
2001-12-04,extended,22,expanding,0.7437601089477539,0.9799808263778687
2001-12-05,extended,22,expanding,1.022849440574646,1.2062196731567383
2001-12-06,extended,22,expanding,0.7409783601760864,0.8266865611076355
2001-12-07,extended,22,expanding,0.9054285883903503,0.7895390391349792
2001-12-10,extended,22,expanding,0.8142798542976379,0.8433632850646973
2001-12-11,extended,22,expanding,0.8531661033630371,0.8185891509056091
2001-12-12,extended,22,expanding,0.9190136790275574,0.8670108318328857
2001-12-13,extended,22,expanding,1.290168046951294,1.0081008672714233
2001-12-14,extended,22,expanding,0.8951790928840637,0.9300040602684021
2001-12-17,extended,22,expanding,0.7383575439453125,0.7396258115768433
2001-12-18,extended,22,expanding,0.8728665709495544,0.7716107368469238
2001-12-19,extended,22,expanding,0.9867061376571655,0.8577690720558167
2001-12-20,extended,22,expanding,0.6700850129127502,0.8570660352706909
2001-12-21,extended,22,expanding,0.7076452970504761,0.7386123538017273
2001-12-24,extended,22,expanding,0.27453818917274475,0.6963873505592346
2001-12-26,extended,22,expanding,0.6585760712623596,0.7208757996559143
2001-12-27,extended,22,expanding,0.5010129809379578,0.7040464878082275
2001-12-28,extended,22,expanding,0.6041637659072876,0.6715002059936523
2001-12-31,extended,22,expanding,0.6412162184715271,0.7112077474594116
2002-01-02,extended,22,expanding,0.9662685990333557,0.7135409116744995
2002-01-03,extended,22,expanding,0.6566054821014404,0.721885085105896
2002-01-04,extended,22,expanding,1.0448200702667236,0.6313434839248657
2002-01-07,extended,22,expanding,0.6871199607849121,0.6787389516830444
2002-01-08,extended,22,expanding,0.7378895282745361,0.7663169503211975
2002-01-09,extended,22,expanding,1.005434274673462,0.9587040543556213
2002-01-10,extended,22,expanding,0.7341338396072388,0.7009344696998596
2002-01-11,extended,22,expanding,0.7880538105964661,0.7734637260437012
2002-01-14,extended,22,expanding,0.6233584880828857,0.6913428902626038
2002-01-15,extended,22,expanding,0.8214684128761292,0.6866592764854431
2002-01-16,extended,22,expanding,0.9989457130432129,0.8661036491394043
2002-01-18,extended,22,expanding,0.5346062183380127,0.792733371257782
2002-01-22,extended,22,expanding,0.840080738067627,0.8236022591590881
2002-01-23,extended,22,expanding,0.7616885900497437,0.7489504814147949
2002-01-24,extended,22,expanding,0.8008952736854553,0.7051340937614441
2002-01-25,extended,22,expanding,0.7255604267120361,0.755702555179596
2002-01-28,extended,22,expanding,0.3145897686481476,0.6850448250770569
2002-01-29,extended,22,expanding,1.0338218212127686,1.119637370109558
2002-01-30,extended,22,expanding,1.725231647491455,1.1372764110565186
2002-01-31,extended,22,expanding,0.9295722842216492,0.8947030901908875
2002-02-04,extended,22,expanding,1.0101187229156494,1.1591027975082397
2002-02-05,extended,22,expanding,1.4079877138137817,1.0830127000808716
2002-02-06,extended,22,expanding,1.3372043371200562,1.1173070669174194
2002-02-07,extended,22,expanding,1.1120786666870117,1.1577001810073853
2002-02-08,extended,22,expanding,1.0008773803710938,1.0054212808609009
2002-02-11,extended,22,expanding,0.7202531099319458,0.7511754035949707
2002-02-12,extended,22,expanding,0.8822178840637207,0.7568086385726929
2002-02-13,extended,22,expanding,0.7989234328269958,0.8949322700500488
2002-02-14,extended,22,expanding,0.8285733461380005,0.8478302955627441
2002-02-15,extended,22,expanding,0.8885605335235596,0.8799800276756287
2002-02-19,extended,22,expanding,1.0459047555923462,1.0604859590530396
2002-02-20,extended,22,expanding,1.0508489608764648,1.092922568321228
2002-02-21,extended,22,expanding,1.0878469944000244,1.1631113290786743
2002-02-22,extended,22,expanding,1.266463279724121,0.9477097392082214
2002-02-25,extended,22,expanding,0.9294254183769226,1.0872608423233032
2002-02-26,extended,22,expanding,1.0628819465637207,0.9131479263305664
2002-02-27,extended,22,expanding,1.1307785511016846,0.8447875380516052
2002-02-28,extended,22,expanding,0.9938108921051025,0.7983112335205078
2002-03-01,extended,22,expanding,0.9590100646018982,1.0629199743270874
2002-03-04,extended,22,expanding,0.8169425129890442,0.763967752456665
2002-03-05,extended,22,expanding,1.0788753032684326,0.7532439231872559
2002-03-06,extended,22,expanding,0.7701600790023804,0.9757019281387329
2002-03-07,extended,22,expanding,1.0364547967910767,0.7125929594039917
2002-03-08,extended,22,expanding,1.0599721670150757,0.859442412853241
2002-03-11,extended,22,expanding,0.6466080546379089,0.7408472299575806
2002-03-12,extended,22,expanding,1.3386738300323486,0.7796890139579773
2002-03-13,extended,22,expanding,0.7807296514511108,0.8604406118392944
2002-03-14,extended,22,expanding,0.5378051996231079,0.6848005652427673
2002-03-15,extended,22,expanding,0.681882917881012,0.7146783471107483
2002-03-18,extended,22,expanding,0.7869818806648254,0.7640997767448425
2002-03-19,extended,22,expanding,0.7443467974662781,0.781427800655365
2002-03-20,extended,22,expanding,0.9166475534439087,0.8447285294532776
2002-03-21,extended,22,expanding,0.7908326983451843,0.8889541625976562
2002-03-22,extended,22,expanding,0.7696940302848816,0.9164562821388245
2002-03-25,extended,22,expanding,0.6775211691856384,0.8824895024299622
2002-03-26,extended,22,expanding,0.9494151473045349,0.8646658062934875
2002-03-27,extended,22,expanding,0.6792483925819397,0.8408077359199524
2002-03-28,extended,22,expanding,0.6584886312484741,0.8049336671829224
