date,feature_set,L,protocol,RV_target,RV_pred
2020-01-06,extended,22,static,0.44382903,0.56048673
2020-01-07,extended,22,static,0.44791958,0.46128747
2020-01-08,extended,22,static,1.0271528,0.6524775
2020-01-09,extended,22,static,0.40029523,0.5997543
2020-01-10,extended,22,static,0.50816536,0.36417344
2020-01-14,extended,22,static,0.4712035,0.35280246
2020-01-15,extended,22,static,0.34357914,0.37784716
2020-01-16,extended,22,static,0.33070755,0.33151633
2020-01-17,extended,22,static,0.2753261,0.31758195
2020-01-20,extended,22,static,0.24701275,0.29513106
2020-01-21,extended,22,static,0.6026988,0.43607068
2020-01-22,extended,22,static,0.33330953,0.42853582
2020-01-23,extended,22,static,0.5190674,0.36696944
2020-01-24,extended,22,static,0.35779923,0.36425173
2020-01-27,extended,22,static,0.5440839,0.45599127
2020-01-28,extended,22,static,0.60429853,0.4976241
2020-01-29,extended,22,static,0.41658565,0.52109987
2020-01-30,extended,22,static,0.64967036,0.846902
2020-01-31,extended,22,static,0.7667314,0.6529603
2020-02-03,extended,22,static,0.7104763,0.66650355
2020-02-04,extended,22,static,0.5517053,0.61689866
2020-02-05,extended,22,static,0.5521484,0.50865406
2020-02-06,extended,22,static,0.61236733,0.7348865
2020-02-07,extended,22,static,0.5950724,0.5073144
2020-02-10,extended,22,static,0.5692523,0.4814626
2020-02-12,extended,22,static,0.5979088,0.45348865
2020-02-13,extended,22,static,0.50525135,0.43947357
2020-02-14,extended,22,static,0.43281853,0.46264127
2020-02-17,extended,22,static,0.68583125,0.5303319
2020-02-18,extended,22,static,0.5501335,0.6801267
2020-02-19,extended,22,static,0.45302433,0.6704569
2020-02-20,extended,22,static,0.90920395,0.77614653
2020-02-21,extended,22,static,0.69606656,0.66610193
2020-02-25,extended,22,static,1.9779071,1.2033381
2020-02-26,extended,22,static,1.144741,1.149221
2020-02-27,extended,22,static,0.9997437,1.2476805
2020-02-28,extended,22,static,1.8126712,1.9494685
2020-03-02,extended,22,static,1.69042,1.9106786
2020-03-03,extended,22,static,1.2993041,1.7735778
2020-03-04,extended,22,static,1.2761705,1.2196552
2020-03-05,extended,22,static,0.89602184,0.8319214
2020-03-06,extended,22,static,0.92434686,1.4375978
