date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,extended,22,static,0.8925091,0.72566426
2020-01-03,extended,22,static,0.8655617,0.83886373
2020-01-06,extended,22,static,0.64004916,0.6541226
2020-01-07,extended,22,static,0.61568403,0.5628929
2020-01-08,extended,22,static,0.8261563,0.6682563
2020-01-09,extended,22,static,0.58667445,0.5496824
2020-01-10,extended,22,static,0.7661299,0.5784271
2020-01-13,extended,22,static,0.6040833,0.6150614
2020-01-14,extended,22,static,0.6655603,0.56026804
2020-01-15,extended,22,static,0.56905633,0.58961153
2020-01-16,extended,22,static,0.58116597,0.62140536
2020-01-17,extended,22,static,0.63811225,0.613008
2020-01-20,extended,22,static,0.67395675,0.5828537
2020-01-21,extended,22,static,0.5681763,0.6840844
2020-01-22,extended,22,static,0.68830997,0.6449444
2020-01-23,extended,22,static,0.72636735,0.6430272
2020-01-28,extended,22,static,0.88319975,0.8003198
2020-01-29,extended,22,static,0.8074044,0.7378439
2020-01-30,extended,22,static,0.8236806,1.0520303
2020-01-31,extended,22,static,0.8683717,1.1441494
2020-02-03,extended,22,static,1.6001309,1.1026934
2020-02-04,extended,22,static,0.99906355,0.89275205
2020-02-05,extended,22,static,0.9396403,0.7556325
2020-02-06,extended,22,static,0.8091606,0.87041616
2020-02-07,extended,22,static,0.78680825,0.769369
2020-02-10,extended,22,static,0.7722622,0.7099204
2020-02-11,extended,22,static,0.60671264,0.6274686
2020-02-12,extended,22,static,0.71207774,0.67049456
2020-02-13,extended,22,static,0.8955175,0.72749615
2020-02-14,extended,22,static,0.74798423,0.73169076
2020-02-17,extended,22,static,0.703522,0.62876177
2020-02-18,extended,22,static,0.6943836,0.74148464
2020-02-19,extended,22,static,0.95025545,0.8280295
2020-02-20,extended,22,static,0.8966674,1.015204
2020-02-21,extended,22,static,0.8840929,0.88653576
2020-02-24,extended,22,static,1.0130543,1.1534747
2020-02-25,extended,22,static,1.1149325,0.9747672
2020-02-26,extended,22,static,0.9713678,1.1177467
2020-02-27,extended,22,static,1.096685,1.1588358
2020-02-28,extended,22,static,1.0540459,1.3010746
2020-03-02,extended,22,static,1.3627888,1.1789018
2020-03-03,extended,22,static,1.0404245,1.1002059
2020-03-04,extended,22,static,1.3947695,1.1141914
2020-03-05,extended,22,static,1.1107405,0.7927505
2020-03-06,extended,22,static,0.88189816,0.8656955
2020-03-09,extended,22,static,0.9158199,1.2509935
2020-03-10,extended,22,static,1.5066711,1.2942377
2020-03-11,extended,22,static,1.3666302,1.7150941
2020-03-12,extended,22,static,2.3275516,2.274876
2020-03-13,extended,22,static,4.240512,4.082956
2020-03-16,extended,22,static,3.102806,2.8481517
2020-03-17,extended,22,static,3.1042266,3.2380693
2020-03-18,extended,22,static,2.1478994,3.3348317
2020-03-19,extended,22,static,5.106524,6.4759836
2020-03-20,extended,22,static,3.461034,3.8249812
2020-03-23,extended,22,static,2.9401298,2.705011
