date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,extended,252,static,0.39189517,0.32637438
2020-01-03,extended,252,static,0.57780653,0.44830257
2020-01-06,extended,252,static,0.32529518,0.43305194
2020-01-07,extended,252,static,0.34476992,0.3465425
2020-01-08,extended,252,static,0.49492148,0.40465575
2020-01-09,extended,252,static,0.3705553,0.3165983
2020-01-10,extended,252,static,0.40058494,0.34842432
2020-01-13,extended,252,static,0.23661307,0.2919035
2020-01-14,extended,252,static,0.3889446,0.30133772
2020-01-15,extended,252,static,0.40533447,0.33391824
2020-01-16,extended,252,static,0.2643698,0.2898324
2020-01-17,extended,252,static,0.30481642,0.26462227
2020-01-21,extended,252,static,0.34118327,0.30711353
2020-01-22,extended,252,static,0.35213205,0.33371603
2020-01-23,extended,252,static,0.4966379,0.35482943
2020-01-24,extended,252,static,0.73585385,0.67199516
2020-01-27,extended,252,static,0.64604306,0.63721895
2020-01-28,extended,252,static,0.452649,0.5077364
2020-01-29,extended,252,static,0.50535023,0.4604183
2020-01-30,extended,252,static,0.72819614,0.6361265
2020-01-31,extended,252,static,0.9274307,0.8238485
2020-02-03,extended,252,static,0.6683946,0.51089764
2020-02-04,extended,252,static,0.4575791,0.40849763
2020-02-05,extended,252,static,0.5100799,0.36696315
2020-02-06,extended,252,static,0.44047529,0.32733628
2020-02-07,extended,252,static,0.5289929,0.39726698
2020-02-10,extended,252,static,0.42343602,0.46425685
2020-02-11,extended,252,static,0.48149973,0.34511662
2020-02-12,extended,252,static,0.3780177,0.29488218
2020-02-13,extended,252,static,0.50131303,0.3841079
2020-02-14,extended,252,static,0.36170778,0.30035934
2020-02-18,extended,252,static,0.47965696,0.360495
2020-02-19,extended,252,static,0.24694817,0.33859435
2020-02-20,extended,252,static,0.94577426,0.6407883
2020-02-21,extended,252,static,0.74495405,0.537186
2020-02-24,extended,252,static,1.0896305,1.0738237
2020-02-25,extended,252,static,1.5687497,1.6077538
2020-02-26,extended,252,static,1.6612145,1.6489198
2020-02-27,extended,252,static,2.6818995,2.009447
2020-02-28,extended,252,static,3.7478864,2.6148348
2020-03-02,extended,252,static,2.504804,2.4423923
2020-03-03,extended,252,static,4.2940593,2.0839667
2020-03-04,extended,252,static,1.6346346,1.4851521
2020-03-05,extended,252,static,1.9132732,1.210931
2020-03-06,extended,252,static,2.3569694,2.104264
2020-03-09,extended,252,static,4.796297,4.9967313
2020-03-10,extended,252,static,3.3062744,3.0074368
2020-03-11,extended,252,static,2.2872944,2.6210065
2020-03-12,extended,252,static,6.4444075,4.6472597
2020-03-13,extended,252,static,5.1270256,4.8466682
2020-03-16,extended,252,static,6.4195466,6.1814566
2020-03-17,extended,252,static,4.766583,5.4368606
2020-03-18,extended,252,static,4.9877863,5.4483767
2020-03-19,extended,252,static,4.5690975,4.19314
2020-03-20,extended,252,static,3.9225721,4.671904
2020-03-23,extended,252,static,5.348252,3.3068333
2020-03-24,extended,252,static,3.039526,3.0881767
2020-03-25,extended,252,static,3.6391017,3.4132252
2020-03-26,extended,252,static,3.3056555,3.113284
2020-03-27,extended,252,static,2.38725,2.0920749
2020-03-30,extended,252,static,1.8603938,1.982689
2020-03-31,extended,252,static,2.0069637,1.7300801
2020-04-01,extended,252,static,1.7947489,2.2587657
2020-04-02,extended,252,static,2.7526884,2.419088
2020-04-03,extended,252,static,1.9069453,2.0370831
2020-04-06,extended,252,static,1.5418934,2.0671053
2020-04-07,extended,252,static,2.5417154,1.8748782
