date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,extended,60,static,0.8801034,0.923259
2007-08-02,extended,60,static,1.4408923,1.0610702
2007-08-03,extended,60,static,1.0649017,0.89141953
2007-08-06,extended,60,static,0.9231945,1.095005
2007-08-07,extended,60,static,0.7631564,0.7408738
2007-08-08,extended,60,static,0.7670764,0.71223307
2007-08-09,extended,60,static,0.72914207,0.73193276
2007-08-10,extended,60,static,1.1996056,1.076677
2007-08-13,extended,60,static,0.9357482,0.88952184
2007-08-14,extended,60,static,0.60116553,0.60801196
2007-08-15,extended,60,static,0.8692643,0.91983974
2007-08-16,extended,60,static,1.7035085,1.4621984
2007-08-17,extended,60,static,1.8911664,1.9282602
2007-08-20,extended,60,static,1.8842937,1.6703095
2007-08-21,extended,60,static,1.2399241,1.386334
2007-08-22,extended,60,static,0.92904145,1.0215071
2007-08-23,extended,60,static,1.2037963,1.0499989
2007-08-24,extended,60,static,0.75902826,0.96606934
2007-08-27,extended,60,static,0.7493133,0.89027333
2007-08-28,extended,60,static,0.6436693,0.74822676
2007-08-29,extended,60,static,1.3607227,0.91015506
2007-08-30,extended,60,static,0.8844781,0.87063456
2007-08-31,extended,60,static,0.76592296,0.9383888
2007-09-03,extended,60,static,0.7356174,0.65286636
2007-09-04,extended,60,static,0.6469597,0.6444094
2007-09-05,extended,60,static,0.82220393,1.0444897
2007-09-06,extended,60,static,1.2827791,1.2453057
2007-09-07,extended,60,static,0.94838935,0.92474616
2007-09-10,extended,60,static,1.3983003,1.0300368
2007-09-11,extended,60,static,1.0835041,1.1043153
2007-09-12,extended,60,static,1.3109461,1.0754461
2007-09-13,extended,60,static,0.81548774,0.86492825
2007-09-14,extended,60,static,0.82872677,0.9426533
2007-09-18,extended,60,static,0.8804546,0.8658128
2007-09-19,extended,60,static,1.3267688,1.0053536
2007-09-20,extended,60,static,0.6548281,0.8189409
2007-09-21,extended,60,static,0.64813536,0.68309927
2007-09-25,extended,60,static,0.7388924,0.700245
2007-09-26,extended,60,static,0.6000896,0.61915326
2007-09-27,extended,60,static,0.7981365,0.8961699
2007-09-28,extended,60,static,0.62373877,0.6864599
2007-10-01,extended,60,static,0.8118753,0.7009156
2007-10-02,extended,60,static,0.5797593,0.58188117
2007-10-03,extended,60,static,0.6384781,0.6234726
2007-10-04,extended,60,static,0.7074501,0.60223377
2007-10-05,extended,60,static,0.5344448,0.6056652
2007-10-09,extended,60,static,0.565423,0.57765293
2007-10-10,extended,60,static,0.49269378,0.5960498
2007-10-11,extended,60,static,1.0300627,0.8270564
2007-10-12,extended,60,static,0.6092255,0.6946049
2007-10-15,extended,60,static,0.62283504,0.58340096
2007-10-16,extended,60,static,0.7858034,0.67267144
2007-10-17,extended,60,static,1.2261579,0.9564972
2007-10-18,extended,60,static,0.84842515,0.8508874
2007-10-19,extended,60,static,0.9328719,0.8663738
2007-10-22,extended,60,static,1.5827135,1.1407325
2007-10-23,extended,60,static,0.719069,0.8159517
2007-10-24,extended,60,static,0.8917337,0.87981033
2007-10-25,extended,60,static,0.9904997,0.95566726
2007-10-26,extended,60,static,0.7622867,0.743644
