date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,extended,22,static,2.05777,1.5287824
2007-08-02,extended,22,static,2.6701517,2.053338
2007-08-03,extended,22,static,1.363984,1.1895885
2007-08-06,extended,22,static,1.2901113,1.1407804
2007-08-07,extended,22,static,1.1834062,1.3462977
2007-08-08,extended,22,static,0.9152647,0.9744988
2007-08-09,extended,22,static,1.280956,1.1071749
2007-08-10,extended,22,static,1.2562598,1.0988209
2007-08-13,extended,22,static,1.3104532,1.1551435
2007-08-14,extended,22,static,1.4153055,1.4054921
2007-08-16,extended,22,static,2.237005,1.8231249
2007-08-17,extended,22,static,2.4822638,2.2150636
2007-08-20,extended,22,static,1.287377,1.2542763
2007-08-21,extended,22,static,1.8663054,1.497977
2007-08-22,extended,22,static,1.1827067,1.3004818
2007-08-23,extended,22,static,0.99989235,1.0346264
2007-08-24,extended,22,static,1.2254853,1.1261544
2007-08-27,extended,22,static,0.90142137,1.097446
2007-08-28,extended,22,static,1.2708368,1.0708531
2007-08-29,extended,22,static,1.4099318,1.4614708
2007-08-30,extended,22,static,1.1340998,1.1336334
2007-08-31,extended,22,static,1.1562414,0.95946866
2007-09-03,extended,22,static,1.1932604,0.8791421
2007-09-04,extended,22,static,1.01928,1.0275301
2007-09-05,extended,22,static,1.2170386,1.2343984
2007-09-06,extended,22,static,1.2430456,1.2048821
2007-09-07,extended,22,static,1.1114899,1.0180643
2007-09-10,extended,22,static,1.3573148,1.0949883
2007-09-11,extended,22,static,1.0158844,1.0090797
2007-09-12,extended,22,static,1.1811479,1.2673268
2007-09-13,extended,22,static,1.7420055,1.1583903
2007-09-14,extended,22,static,0.93704087,1.0561633
2007-09-17,extended,22,static,1.0048081,1.1003909
2007-09-18,extended,22,static,1.0260617,1.0312996
2007-09-19,extended,22,static,0.8076436,0.8231
2007-09-20,extended,22,static,1.1965716,0.923612
2007-09-21,extended,22,static,0.8722111,0.8329636
2007-09-27,extended,22,static,0.7664867,0.95815355
2007-09-28,extended,22,static,0.8080792,0.8052798
2007-10-01,extended,22,static,0.55029327,0.79267704
2007-10-02,extended,22,static,0.73205364,0.8675241
2007-10-04,extended,22,static,0.8805932,0.87381727
2007-10-05,extended,22,static,0.95414627,0.82948315
2007-10-08,extended,22,static,0.7031264,0.75777614
2007-10-09,extended,22,static,0.8863164,0.8912451
2007-10-10,extended,22,static,0.71955174,0.8555809
2007-10-11,extended,22,static,0.9430567,0.89773214
2007-10-12,extended,22,static,1.0431364,1.0867738
2007-10-15,extended,22,static,1.0965738,1.0761704
2007-10-16,extended,22,static,1.2687054,1.0437443
2007-10-17,extended,22,static,2.190527,1.7289343
2007-10-18,extended,22,static,1.457985,1.2836101
2007-10-19,extended,22,static,1.4555875,1.1432362
2007-10-22,extended,22,static,1.6968491,1.025945
2007-10-23,extended,22,static,1.1384182,1.1881816
2007-10-24,extended,22,static,2.0703144,1.998029
2007-10-25,extended,22,static,1.6585242,1.4039285
2007-10-26,extended,22,static,1.4482919,1.4378617
2007-10-29,extended,22,static,1.0666195,1.0337129
2007-10-30,extended,22,static,1.2415206,1.1723793
2007-10-31,extended,22,static,1.0872763,1.1918392
2007-11-01,extended,22,static,1.2955594,1.1636181
2007-11-02,extended,22,static,1.2118694,1.1069705
2007-11-05,extended,22,static,1.3327944,1.1975718
2007-11-06,extended,22,static,0.8215985,1.0945753
2007-11-07,extended,22,static,1.1780224,1.0932839
2007-11-08,extended,22,static,1.5529814,1.1640141
2007-11-09,extended,22,static,1.9720455,1.3993113
2007-11-12,extended,22,static,1.654565,1.3120599
2007-11-13,extended,22,static,1.8451928,1.5413337
2007-11-14,extended,22,static,1.0495719,1.1323423
2007-11-15,extended,22,static,1.4030455,1.368387
2007-11-16,extended,22,static,1.318906,1.3866899
2007-11-19,extended,22,static,1.3881841,1.1720338
2007-11-20,extended,22,static,1.5132523,1.4031174
2007-11-21,extended,22,static,1.9621775,1.607538
2007-11-22,extended,22,static,2.1563525,1.5751245
2007-11-23,extended,22,static,2.3852265,1.9928081
2007-11-26,extended,22,static,1.2843764,1.3889186
2007-11-27,extended,22,static,2.5158398,1.8877907
2007-11-28,extended,22,static,1.972666,1.5003247
2007-11-29,extended,22,static,1.0736676,0.9965073
2007-11-30,extended,22,static,1.0982945,1.1384532
2007-12-03,extended,22,static,1.1432711,1.0287158
2007-12-04,extended,22,static,1.0152545,0.9269058
2007-12-05,extended,22,static,0.946601,1.1258662
2007-12-06,extended,22,static,0.9068366,0.95876217
2007-12-07,extended,22,static,1.0303735,0.9666186
2007-12-10,extended,22,static,1.1731564,0.94305325
2007-12-11,extended,22,static,1.1103985,0.9798525
2007-12-12,extended,22,static,1.0512801,1.2612236
2007-12-13,extended,22,static,1.5374365,1.2113855
2007-12-14,extended,22,static,1.1925555,1.2372055
2007-12-17,extended,22,static,1.236179,1.1911709
2007-12-18,extended,22,static,1.4378381,1.4885864
2007-12-20,extended,22,static,1.6452428,1.4196656
2007-12-21,extended,22,static,1.4536052,1.3336635
2007-12-24,extended,22,static,0.9410586,0.99162215
2007-12-26,extended,22,static,1.0318445,1.0276036
2007-12-27,extended,22,static,0.86023796,1.0178525
2007-12-28,extended,22,static,0.87665683,0.8659759
2008-01-02,extended,22,static,1.0612322,1.1349342
2008-01-03,extended,22,static,1.334792,1.0844327
2008-01-04,extended,22,static,1.251795,1.236229
2008-01-07,extended,22,static,0.9978981,0.958198
2008-01-08,extended,22,static,1.0890847,1.0230494
2008-01-09,extended,22,static,1.0940617,1.2118146
2008-01-10,extended,22,static,1.2355698,1.0503199
2008-01-11,extended,22,static,1.3557851,1.4301047
2008-01-14,extended,22,static,1.6360885,1.3055811
2008-01-15,extended,22,static,1.6973455,1.4728327
2008-01-16,extended,22,static,1.553334,1.3226714
2008-01-17,extended,22,static,1.630197,1.5140324
2008-01-18,extended,22,static,1.5269089,1.5936625
2008-01-21,extended,22,static,1.615431,1.4154
2008-01-22,extended,22,static,2.3567367,1.3581376
2008-01-23,extended,22,static,2.046865,1.7841973
2008-01-24,extended,22,static,1.3832077,1.2020755
2008-01-25,extended,22,static,1.0376173,1.0332465
2008-01-28,extended,22,static,1.1668031,1.2236962
2008-01-29,extended,22,static,1.5260189,1.2812612
2008-01-30,extended,22,static,2.0415008,1.6829159
2008-01-31,extended,22,static,2.031805,1.6537755
2008-02-01,extended,22,static,1.2811161,1.3432755
2008-02-04,extended,22,static,1.0596933,1.1354592
2008-02-05,extended,22,static,1.042306,1.0157127
2008-02-11,extended,22,static,1.0512664,1.1492832
2008-02-12,extended,22,static,0.94236434,1.031482
2008-02-13,extended,22,static,1.0275909,1.2617819
2008-02-14,extended,22,static,0.7526247,1.0213522
2008-02-15,extended,22,static,0.96943927,0.97912073
2008-02-18,extended,22,static,1.3434831,1.082947
2008-02-19,extended,22,static,0.713919,0.9610167
2008-02-20,extended,22,static,1.0903367,1.0231407
2008-02-21,extended,22,static,0.99236196,0.9035096
2008-02-22,extended,22,static,0.916679,0.93145996
2008-02-25,extended,22,static,0.68167835,0.8062701
2008-02-26,extended,22,static,0.7038082,0.86667544
2008-02-27,extended,22,static,0.8071035,0.7904735
2008-02-28,extended,22,static,0.945067,0.8976552
2008-02-29,extended,22,static,0.7695022,0.8525083
2008-03-03,extended,22,static,0.8726147,0.765929
2008-03-04,extended,22,static,0.98186886,0.8986189
2008-03-05,extended,22,static,0.6185771,0.9651248
2008-03-06,extended,22,static,0.71502817,0.8718427
2008-03-07,extended,22,static,1.5105511,0.91604906
2008-03-10,extended,22,static,0.90956914,1.0804276
2008-03-11,extended,22,static,1.1042689,1.1581926
2008-03-12,extended,22,static,0.71705884,1.001785
2008-03-13,extended,22,static,1.3794587,1.1588223
2008-03-14,extended,22,static,1.6007447,1.7083921
2008-03-17,extended,22,static,2.0240762,1.4469142
