date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,extended,22,static,1.6718278,1.1186167
2007-08-02,extended,22,static,1.0545318,0.8158965
2007-08-03,extended,22,static,1.2634865,1.0629622
2007-08-06,extended,22,static,1.5228378,1.0425705
2007-08-07,extended,22,static,1.5802648,1.0215691
2007-08-08,extended,22,static,1.177296,0.912331
2007-08-09,extended,22,static,2.1938667,1.1107856
2007-08-10,extended,22,static,2.0329282,1.1628369
2007-08-13,extended,22,static,1.0790513,0.85337555
2007-08-14,extended,22,static,1.2419599,1.0960084
2007-08-15,extended,22,static,1.4086285,1.4416884
2007-08-16,extended,22,static,2.3308847,1.6018792
2007-08-17,extended,22,static,2.2522154,1.2227892
2007-08-20,extended,22,static,1.090452,0.9751514
2007-08-21,extended,22,static,0.98857677,0.7546632
2007-08-22,extended,22,static,1.1598293,0.8845291
2007-08-23,extended,22,static,0.9439304,0.906716
2007-08-24,extended,22,static,0.59175897,0.80171
2007-08-27,extended,22,static,0.61759686,0.67790854
2007-08-28,extended,22,static,0.7875693,0.9398992
2007-08-29,extended,22,static,1.0595468,0.91896105
2007-08-30,extended,22,static,1.145752,0.8450414
2007-08-31,extended,22,static,1.3263122,0.82228494
2007-09-04,extended,22,static,0.6176023,0.8198893
2007-09-05,extended,22,static,1.0097556,0.8010049
2007-09-06,extended,22,static,0.75078577,0.7685207
2007-09-07,extended,22,static,1.3905553,0.8993124
2007-09-10,extended,22,static,1.0879066,0.90642214
2007-09-11,extended,22,static,0.8977413,0.8010119
2007-09-12,extended,22,static,0.76248676,0.74386275
2007-09-13,extended,22,static,0.8040983,0.77638686
2007-09-14,extended,22,static,0.82566416,0.69282687
2007-09-17,extended,22,static,0.56728804,0.64506483
2007-09-18,extended,22,static,1.4727147,0.92177224
2007-09-19,extended,22,static,0.9417224,0.78637373
2007-09-20,extended,22,static,0.6428541,0.7057085
2007-09-21,extended,22,static,0.6494903,0.5944793
2007-09-24,extended,22,static,0.6367967,0.6292659
2007-09-25,extended,22,static,0.7038576,0.5803525
2007-09-26,extended,22,static,0.61366844,0.5785533
2007-09-27,extended,22,static,0.5321781,0.47694674
2007-09-28,extended,22,static,0.50032914,0.5800111
2007-10-01,extended,22,static,0.54628026,0.6246263
2007-10-02,extended,22,static,0.43112338,0.46804222
2007-10-03,extended,22,static,0.58972424,0.4684858
2007-10-04,extended,22,static,0.38272768,0.41770872
2007-10-05,extended,22,static,0.71397245,0.57025665
2007-10-08,extended,22,static,0.39922196,0.4406573
2007-10-09,extended,22,static,0.57080454,0.5097767
2007-10-10,extended,22,static,0.5209761,0.48613498
2007-10-11,extended,22,static,0.92419004,0.8948772
2007-10-12,extended,22,static,0.5672472,0.51310456
2007-10-15,extended,22,static,0.7145553,0.7342541
2007-10-16,extended,22,static,0.67439115,0.56046927
2007-10-17,extended,22,static,0.91757625,0.8977177
2007-10-18,extended,22,static,0.6790737,0.6010659
2007-10-19,extended,22,static,1.1055093,0.985885
2007-10-22,extended,22,static,1.0594828,0.7810947
2007-10-23,extended,22,static,0.8465984,0.7662256
2007-10-24,extended,22,static,1.4033185,0.9582828
2007-10-25,extended,22,static,1.1932651,0.9668212
2007-10-26,extended,22,static,0.80886334,0.6393802
2007-10-29,extended,22,static,0.60953456,0.46922645
2007-10-30,extended,22,static,0.5387273,0.5308833
2007-10-31,extended,22,static,1.1165581,0.688925
2007-11-01,extended,22,static,1.4491733,0.86370003
2007-11-02,extended,22,static,1.4267976,0.81009245
2007-11-05,extended,22,static,1.2828665,0.8186768
2007-11-06,extended,22,static,0.88201135,0.7558142
2007-11-07,extended,22,static,1.4051869,1.0855758
2007-11-08,extended,22,static,1.8736414,1.1813691
2007-11-09,extended,22,static,1.560577,1.1244117
2007-11-12,extended,22,static,1.3244675,1.1539688
2007-11-13,extended,22,static,1.122503,1.0905602
2007-11-14,extended,22,static,1.1282958,0.9324902
2007-11-15,extended,22,static,1.194422,1.0620575
2007-11-16,extended,22,static,1.3042824,0.8181461
2007-11-19,extended,22,static,1.2105434,0.90410733
2007-11-20,extended,22,static,1.7195501,1.1056086
2007-11-21,extended,22,static,1.4897027,1.0207437
2007-11-23,extended,22,static,0.958754,1.0026813
2007-11-26,extended,22,static,1.1303153,1.104269
2007-11-27,extended,22,static,1.427426,0.8783071
2007-11-28,extended,22,static,1.10864,1.115331
2007-11-29,extended,22,static,1.0607367,0.94917655
2007-11-30,extended,22,static,1.302144,0.8623526
2007-12-03,extended,22,static,0.8708776,0.7809367
2007-12-04,extended,22,static,0.8663291,0.7220712
2007-12-05,extended,22,static,1.1051176,0.8707379
2007-12-06,extended,22,static,0.6471775,0.8738266
2007-12-07,extended,22,static,0.5555198,0.5909807
2007-12-10,extended,22,static,0.5558142,0.5684493
2007-12-11,extended,22,static,1.5148305,0.93182266
2007-12-12,extended,22,static,2.1373532,1.1609261
2007-12-13,extended,22,static,1.0571756,0.98140156
2007-12-14,extended,22,static,1.0063825,0.9141159
2007-12-17,extended,22,static,1.0156853,0.9843956
2007-12-18,extended,22,static,1.213597,0.925962
2007-12-19,extended,22,static,0.9898298,0.9533806
2007-12-20,extended,22,static,0.8427926,0.8166776
2007-12-21,extended,22,static,0.94438356,0.7546977
2007-12-24,extended,22,static,0.4441711,0.61606896
2007-12-26,extended,22,static,0.4618206,0.61824995
2007-12-27,extended,22,static,0.6217016,0.7205101
2007-12-28,extended,22,static,0.7754581,0.6908469
2007-12-31,extended,22,static,0.61130553,0.651268
2008-01-02,extended,22,static,1.0530771,1.0160576
2008-01-03,extended,22,static,0.80877495,0.77826464
2008-01-04,extended,22,static,1.2991108,1.0718594
2008-01-07,extended,22,static,1.3807558,0.9737191
2008-01-08,extended,22,static,1.5058283,1.4850136
2008-01-09,extended,22,static,1.5742716,1.1321766
2008-01-10,extended,22,static,1.8811376,1.2444571
2008-01-11,extended,22,static,1.4951758,1.0969214
2008-01-14,extended,22,static,0.95996803,0.8181026
2008-01-15,extended,22,static,1.2201732,0.97569263
2008-01-16,extended,22,static,1.5963427,1.3175849
2008-01-17,extended,22,static,1.7128186,1.6441956
2008-01-18,extended,22,static,1.9202243,1.5771129
2008-01-22,extended,22,static,3.9248676,1.627558
2008-01-23,extended,22,static,3.5173955,2.2527635
2008-01-24,extended,22,static,1.7193947,1.2428991
2008-01-25,extended,22,static,1.6763679,1.4589492
2008-01-28,extended,22,static,1.4217528,1.214101
2008-01-29,extended,22,static,1.0022706,1.0205647
2008-01-30,extended,22,static,1.5117798,1.3548888
2008-01-31,extended,22,static,2.2185607,1.6471581
2008-02-01,extended,22,static,1.17771,1.0066425
2008-02-04,extended,22,static,0.8220022,0.9025221
2008-02-05,extended,22,static,1.8209659,1.2478722
2008-02-06,extended,22,static,1.1819025,1.3569772
2008-02-07,extended,22,static,1.6257067,1.3600285
2008-02-08,extended,22,static,1.2564852,1.1994412
2008-02-11,extended,22,static,0.9540772,1.0132569
2008-02-12,extended,22,static,1.261581,0.94824016
2008-02-13,extended,22,static,1.1396948,0.92131054
2008-02-14,extended,22,static,1.0863839,1.0387114
2008-02-15,extended,22,static,0.86097443,0.8324965
2008-02-19,extended,22,static,1.1692086,0.94776607
2008-02-20,extended,22,static,1.4265395,1.0412686
2008-02-21,extended,22,static,1.0697027,1.0886929
2008-02-22,extended,22,static,1.2396327,0.95909095
2008-02-25,extended,22,static,1.3419789,0.9770448
2008-02-26,extended,22,static,0.9973722,0.89593387
2008-02-27,extended,22,static,1.082386,0.83575845
2008-02-28,extended,22,static,1.0218838,0.85850513
2008-02-29,extended,22,static,1.2593355,1.0764266
2008-03-03,extended,22,static,1.0989679,0.90315104
2008-03-04,extended,22,static,1.4312714,1.0890057
2008-03-05,extended,22,static,1.2723385,1.1243697
2008-03-06,extended,22,static,1.234841,1.2362779
2008-03-07,extended,22,static,1.8052349,1.255149
2008-03-10,extended,22,static,1.222146,1.1618068
2008-03-11,extended,22,static,2.320334,1.3001727
2008-03-12,extended,22,static,1.0775645,1.2428979
2008-03-13,extended,22,static,2.0191429,1.4643998
2008-03-14,extended,22,static,2.3841417,1.4310007
2008-03-17,extended,22,static,2.2045317,1.3005238
