date,feature_set,L,protocol,RV_target,RV_pred
2014-01-07,extended,252,static,0.9929978,0.68041027
2014-01-08,extended,252,static,0.55982196,0.7647684
2014-01-09,extended,252,static,0.7221481,0.70446295
2014-01-10,extended,252,static,0.8308182,0.7113708
2014-01-14,extended,252,static,1.1166403,0.94629
2014-01-15,extended,252,static,0.7597656,0.7290479
2014-01-16,extended,252,static,0.7385079,0.78838724
2014-01-17,extended,252,static,0.9924829,0.6723503
2014-01-20,extended,252,static,0.6351576,0.72907597
2014-01-21,extended,252,static,0.68236524,0.65289736
2014-01-22,extended,252,static,0.90556103,0.73518026
2014-01-23,extended,252,static,0.8677156,0.9109534
2014-01-24,extended,252,static,0.9876176,0.83505946
2014-01-27,extended,252,static,1.0500518,0.9143663
2014-01-28,extended,252,static,0.8367259,0.766945
2014-01-29,extended,252,static,0.7737801,0.83616596
2014-01-30,extended,252,static,1.2759646,1.0409002
2014-01-31,extended,252,static,1.1827918,1.2312956
2014-02-03,extended,252,static,1.1922182,1.0443335
2014-02-04,extended,252,static,1.6071959,1.4595208
2014-02-05,extended,252,static,1.2378954,1.235764
2014-02-06,extended,252,static,0.9547833,0.96432114
2014-02-07,extended,252,static,0.73973215,0.7785572
2014-02-10,extended,252,static,0.70442957,0.7431494
2014-02-12,extended,252,static,0.6793457,0.6148946
2014-02-13,extended,252,static,0.7595481,1.0008171
2014-02-14,extended,252,static,1.5592761,1.2127032
2014-02-17,extended,252,static,1.0413496,0.93472975
2014-02-18,extended,252,static,1.4758527,1.2252045
2014-02-19,extended,252,static,0.79908484,0.77755016
2014-02-20,extended,252,static,1.1217945,1.1266717
2014-02-21,extended,252,static,0.84724355,1.0403243
2014-02-24,extended,252,static,1.188368,0.9989995
2014-02-25,extended,252,static,0.70223475,0.751626
2014-02-26,extended,252,static,0.8268716,0.7458307
2014-02-27,extended,252,static,0.8597349,0.7255511
2014-02-28,extended,252,static,1.0540922,0.8320507
2014-03-03,extended,252,static,1.2059813,0.9353433
2014-03-04,extended,252,static,0.7824622,0.88306355
2014-03-05,extended,252,static,0.69540536,0.6048418
2014-03-06,extended,252,static,0.9321518,0.97083294
2014-03-07,extended,252,static,0.70667803,0.7179065
2014-03-10,extended,252,static,0.83244985,0.71124816
2014-03-11,extended,252,static,0.8417272,0.60582983
