date,feature_set,L,protocol,RV_target,RV_pred
2013-12-19,extended,22,static,0.48027983,0.5732845
2013-12-20,extended,22,static,0.56459975,0.44105315
2013-12-23,extended,22,static,0.4692802,0.41445935
2013-12-24,extended,22,static,0.37592426,0.4369005
2013-12-26,extended,22,static,0.34329724,0.47177085
2013-12-27,extended,22,static,0.40542945,0.46673205
2013-12-30,extended,22,static,0.39755836,0.40109769
2014-01-02,extended,22,static,0.745619,0.7700691
2014-01-03,extended,22,static,0.83173496,0.71237
2014-01-06,extended,22,static,0.66945153,0.59462345
2014-01-07,extended,22,static,0.66912365,0.5729583
2014-01-08,extended,22,static,0.6145574,0.5747174
2014-01-09,extended,22,static,0.72558045,0.5942024
2014-01-10,extended,22,static,0.8143008,0.6715485
2014-01-13,extended,22,static,0.50973,0.49649101
2014-01-14,extended,22,static,0.6865121,0.58429503
2014-01-15,extended,22,static,0.45595104,0.4393117
2014-01-16,extended,22,static,0.6030574,0.42958567
2014-01-17,extended,22,static,0.5502644,0.59915096
2014-01-20,extended,22,static,0.55134165,0.5507721
2014-01-21,extended,22,static,0.40762115,0.48020554
2014-01-22,extended,22,static,0.40055934,0.41945422
2014-01-23,extended,22,static,0.55819607,0.6136348
2014-01-24,extended,22,static,0.6551958,0.5786186
2014-01-27,extended,22,static,0.6563229,0.6139661
2014-01-28,extended,22,static,0.5331622,0.5582672
2014-01-29,extended,22,static,0.48386818,0.47503507
2014-02-03,extended,22,static,0.48515627,0.50107384
2014-02-04,extended,22,static,0.6177616,0.5180274
2014-02-05,extended,22,static,0.4867734,0.5153543
2014-02-06,extended,22,static,0.5684755,0.5090519
2014-02-07,extended,22,static,0.4129472,0.45139277
2014-02-10,extended,22,static,0.47753435,0.4225645
2014-02-11,extended,22,static,0.43266043,0.438632
2014-02-12,extended,22,static,0.41571212,0.3984238
2014-02-13,extended,22,static,0.5321779,0.5177709
2014-02-14,extended,22,static,0.43489394,0.47713017
2014-02-17,extended,22,static,0.44116375,0.4226864
2014-02-18,extended,22,static,0.4554524,0.46992818
2014-02-19,extended,22,static,0.51835936,0.4023667
2014-02-20,extended,22,static,0.57120365,0.51790327
2014-02-21,extended,22,static,0.2922706,0.4118929
2014-02-24,extended,22,static,0.4961578,0.5146398
2014-02-25,extended,22,static,0.38584572,0.4548063
2014-02-26,extended,22,static,0.38891312,0.45815116
2014-02-27,extended,22,static,0.36891544,0.48561
2014-02-28,extended,22,static,0.5748443,0.40057155
2014-03-03,extended,22,static,0.49052024,0.48414075
2014-03-04,extended,22,static,0.3731192,0.42781448
2014-03-05,extended,22,static,0.29578462,0.35242718
2014-03-06,extended,22,static,0.36687255,0.3897225
2014-03-07,extended,22,static,0.35954282,0.4264916
2014-03-10,extended,22,static,0.39663768,0.43065482
2014-03-11,extended,22,static,0.36216235,0.39895523
2014-03-12,extended,22,static,0.52406615,0.59038675
2014-03-13,extended,22,static,0.7643156,0.5086148
2014-03-14,extended,22,static,0.49179876,0.57370293
2014-03-17,extended,22,static,0.440258,0.42449147
2014-03-18,extended,22,static,0.4034605,0.4140189
2014-03-19,extended,22,static,0.37717324,0.40837514
2014-03-20,extended,22,static,0.49770895,0.5167764
2014-03-21,extended,22,static,0.30561572,0.39911473
2014-03-24,extended,22,static,0.55959314,0.4174487
2014-03-25,extended,22,static,0.47395012,0.4305309
2014-03-26,extended,22,static,0.3636279,0.39606938
2014-03-27,extended,22,static,0.3300193,0.4496755
2014-03-28,extended,22,static,0.44567809,0.4409665
2014-03-31,extended,22,static,0.5329057,0.4477439
2014-04-01,extended,22,static,0.45367453,0.4237023
2014-04-02,extended,22,static,0.238201,0.37254113
2014-04-03,extended,22,static,0.3425025,0.43847948
2014-04-04,extended,22,static,0.38496485,0.41665226
2014-04-07,extended,22,static,0.5002975,0.41598684
2014-04-08,extended,22,static,0.4536314,0.45586735
2014-04-09,extended,22,static,0.37307066,0.37860566
2014-04-10,extended,22,static,0.50099003,0.400474
2014-04-11,extended,22,static,0.40514937,0.44582176
2014-04-14,extended,22,static,0.46094933,0.4102459
2014-04-15,extended,22,static,0.39984715,0.43247074
2014-04-16,extended,22,static,0.34781387,0.3915574
2014-04-17,extended,22,static,0.34906006,0.4170574
2014-04-18,extended,22,static,0.33066025,0.37917474
2014-04-21,extended,22,static,0.32748717,0.4071198
2014-04-22,extended,22,static,0.39831004,0.3826661
2014-04-23,extended,22,static,0.381451,0.41081572
2014-04-24,extended,22,static,0.36006987,0.44609973
2014-04-25,extended,22,static,0.37953928,0.55786467
2014-04-28,extended,22,static,0.46890783,0.3853093
2014-04-29,extended,22,static,0.4484777,0.47059292
2014-04-30,extended,22,static,0.3416393,0.500503
2014-05-02,extended,22,static,0.34048426,0.45803797
2014-05-07,extended,22,static,0.48494962,0.5325061
2014-05-08,extended,22,static,0.4457768,0.45863563
2014-05-09,extended,22,static,0.39555353,0.42134967
2014-05-12,extended,22,static,0.3764048,0.4538821
2014-05-13,extended,22,static,0.3723531,0.39680913
2014-05-14,extended,22,static,0.4369127,0.43506843
