date,feature_set,L,protocol,RV_target,RV_pred
2014-01-08,extended,60,static,0.5049092,0.44007248
2014-01-09,extended,60,static,0.44792023,0.4991883
2014-01-10,extended,60,static,0.41781142,0.44336993
2014-01-13,extended,60,static,0.47251758,0.6432003
2014-01-14,extended,60,static,0.49484262,0.47268093
2014-01-15,extended,60,static,0.389796,0.43509954
2014-01-16,extended,60,static,0.3719646,0.36972
2014-01-17,extended,60,static,0.36259443,0.43638426
2014-01-21,extended,60,static,0.6656816,0.5325152
2014-01-22,extended,60,static,0.31373873,0.4126367
2014-01-23,extended,60,static,0.71243316,0.6793454
2014-01-24,extended,60,static,0.9068204,0.8196244
2014-01-27,extended,60,static,0.81133616,0.91872066
2014-01-28,extended,60,static,0.5316145,0.6889836
2014-01-29,extended,60,static,1.0421811,0.7270698
2014-01-30,extended,60,static,0.78014624,0.7092166
2014-01-31,extended,60,static,1.1046423,0.7516273
2014-02-03,extended,60,static,0.9668377,1.0086116
2014-02-04,extended,60,static,0.819945,0.68036413
2014-02-05,extended,60,static,0.9269459,1.0008609
2014-02-06,extended,60,static,0.5575153,0.7043601
2014-02-07,extended,60,static,0.65374666,0.69689304
2014-02-10,extended,60,static,0.31248182,0.4507838
2014-02-11,extended,60,static,0.41629142,0.59387386
2014-02-12,extended,60,static,0.45831323,0.457995
2014-02-13,extended,60,static,0.49265444,0.5609972
2014-02-14,extended,60,static,0.38318944,0.5341771
2014-02-18,extended,60,static,0.3537131,0.36540616
2014-02-19,extended,60,static,0.54439,0.53637934
2014-02-20,extended,60,static,0.51263076,0.51948684
2014-02-21,extended,60,static,0.41156575,0.45243162
2014-02-24,extended,60,static,0.58284545,0.69738173
2014-02-25,extended,60,static,0.56813157,0.58433574
2014-02-26,extended,60,static,0.5470898,0.43825042
2014-02-27,extended,60,static,0.52451116,0.44333714
2014-02-28,extended,60,static,0.6110896,0.5898496
2014-03-03,extended,60,static,0.9133794,0.68442243
2014-03-04,extended,60,static,0.96754813,0.6573936
2014-03-05,extended,60,static,0.41537228,0.41080555
2014-03-06,extended,60,static,0.40407717,0.3877626
2014-03-07,extended,60,static,0.55469537,0.4173314
2014-03-10,extended,60,static,0.4751483,0.41499442
2014-03-11,extended,60,static,0.5007032,0.5985823
2014-03-12,extended,60,static,0.6769494,0.5008846
2014-03-13,extended,60,static,0.7307913,0.81349814
2014-03-14,extended,60,static,0.6815504,0.5317325
2014-03-17,extended,60,static,0.74760824,0.631195
2014-03-18,extended,60,static,0.48231757,0.48560846
2014-03-19,extended,60,static,0.7574357,0.76870203
2014-03-20,extended,60,static,0.5430734,0.59307045
2014-03-21,extended,60,static,0.7111093,0.6522924
2014-03-24,extended,60,static,0.6954413,0.7301762
2014-03-25,extended,60,static,0.7636264,0.5325294
2014-03-26,extended,60,static,0.64480937,0.6798661
2014-03-27,extended,60,static,0.79874605,0.5360042
2014-03-28,extended,60,static,0.6167684,0.5779287
2014-03-31,extended,60,static,0.70626074,0.4948244
2014-04-01,extended,60,static,0.47637957,0.45064986
2014-04-02,extended,60,static,0.37295157,0.4046154
2014-04-03,extended,60,static,0.38243917,0.417516
2014-04-04,extended,60,static,0.77531964,0.7970824
2014-04-07,extended,60,static,0.73298806,0.6404005
2014-04-08,extended,60,static,0.6260387,0.6726079
2014-04-09,extended,60,static,0.5471668,0.58863616
2014-04-10,extended,60,static,0.8312494,0.8930254
2014-04-11,extended,60,static,1.0073607,0.69416803
2014-04-14,extended,60,static,0.8529536,0.63671654
2014-04-15,extended,60,static,0.91792023,0.7995119
2014-04-16,extended,60,static,0.68598306,0.5871468
2014-04-17,extended,60,static,0.47364476,0.5060116
2014-04-21,extended,60,static,0.341622,0.3925962
2014-04-22,extended,60,static,0.32808822,0.42360187
2014-04-23,extended,60,static,0.36450958,0.38647586
2014-04-24,extended,60,static,0.58910805,0.43630385
2014-04-25,extended,60,static,0.58639413,0.54646826
2014-04-28,extended,60,static,0.82358533,0.72362715
2014-04-29,extended,60,static,0.5001894,0.42043298
2014-04-30,extended,60,static,0.4978034,0.4595979
2014-05-01,extended,60,static,0.4511681,0.43848664
2014-05-02,extended,60,static,0.56266874,0.46375358
2014-05-05,extended,60,static,0.7295594,0.57538074
2014-05-06,extended,60,static,0.5130741,0.54017985
2014-05-07,extended,60,static,0.89697677,0.5432637
2014-05-08,extended,60,static,0.51938224,0.6934127
2014-05-09,extended,60,static,0.5581554,0.51427215
2014-05-12,extended,60,static,0.4801866,0.5107972
2014-05-13,extended,60,static,0.31696823,0.35399413
2014-05-14,extended,60,static,0.38752997,0.43790823
2014-05-15,extended,60,static,0.6911194,0.6063136
2014-05-16,extended,60,static,0.46763945,0.4692685
2014-05-19,extended,60,static,0.34235182,0.4497611
2014-05-20,extended,60,static,0.5234825,0.53797925
2014-05-21,extended,60,static,0.49420696,0.48008013
2014-05-22,extended,60,static,0.30170885,0.4435882
2014-05-23,extended,60,static,0.20592427,0.32366288
2014-05-27,extended,60,static,0.4249707,0.37773168
2014-05-28,extended,60,static,0.29313588,0.42535466
2014-05-29,extended,60,static,0.36290592,0.3728916
2014-05-30,extended,60,static,0.2896272,0.34280288
2014-06-02,extended,60,static,0.39007816,0.38540983
2014-06-03,extended,60,static,0.30763808,0.33351147
2014-06-04,extended,60,static,0.29414263,0.390118
2014-06-05,extended,60,static,0.39007378,0.46274775
2014-06-06,extended,60,static,0.2689657,0.34084517
2014-06-09,extended,60,static,0.27719072,0.33366668
2014-06-10,extended,60,static,0.29700223,0.35574833
2014-06-11,extended,60,static,0.41138506,0.36919588
2014-06-12,extended,60,static,0.4183047,0.5102126
2014-06-13,extended,60,static,0.4343027,0.39068076
2014-06-16,extended,60,static,0.4416144,0.4057758
2014-06-17,extended,60,static,0.37112328,0.40959698
2014-06-18,extended,60,static,0.41930568,0.4489931
2014-06-19,extended,60,static,0.29128066,0.47487146
2014-06-20,extended,60,static,0.23344195,0.30529183
2014-06-23,extended,60,static,0.2667552,0.3321221
2014-06-24,extended,60,static,0.43172422,0.4904673
2014-06-25,extended,60,static,0.37854803,0.41123113
2014-06-26,extended,60,static,0.4962847,0.46683675
2014-06-27,extended,60,static,0.35436866,0.3792223
2014-06-30,extended,60,static,0.27126727,0.3849854
2014-07-01,extended,60,static,0.3689269,0.41767633
2014-07-02,extended,60,static,0.26151705,0.3560214
2014-07-03,extended,60,static,0.31731522,0.3923167
2014-07-07,extended,60,static,0.36314473,0.3723364
2014-07-08,extended,60,static,0.5589419,0.49787223
2014-07-09,extended,60,static,0.45819184,0.4408847
2014-07-10,extended,60,static,0.76111996,0.58795655
2014-07-11,extended,60,static,0.35084838,0.459893
2014-07-14,extended,60,static,0.41344327,0.38719416
2014-07-15,extended,60,static,0.53884596,0.57632184
2014-07-16,extended,60,static,0.44707805,0.38943595
2014-07-17,extended,60,static,0.6419261,0.6981004
2014-07-18,extended,60,static,0.3977976,0.50820327
2014-07-21,extended,60,static,0.40885425,0.45823705
2014-07-22,extended,60,static,0.37651148,0.42179483
2014-07-23,extended,60,static,0.25255132,0.38934767
2014-07-24,extended,60,static,0.27580193,0.35275343
2014-07-25,extended,60,static,0.43292835,0.42113137
2014-07-28,extended,60,static,0.42229313,0.4278533
2014-07-29,extended,60,static,0.4585719,0.5534751
2014-07-30,extended,60,static,0.60613376,0.55965996
2014-07-31,extended,60,static,0.8659616,0.79710776
2014-08-01,extended,60,static,0.8324301,0.78720576
2014-08-04,extended,60,static,0.47940516,0.67680496
2014-08-05,extended,60,static,0.8867472,0.7472075
2014-08-06,extended,60,static,0.6750628,0.74152994
2014-08-07,extended,60,static,0.71337867,0.8113015
2014-08-08,extended,60,static,0.51588583,0.6302942
2014-08-11,extended,60,static,0.41875538,0.5467535
2014-08-12,extended,60,static,0.4677828,0.4882189
2014-08-13,extended,60,static,0.45824566,0.48259956
2014-08-14,extended,60,static,0.2659346,0.43907398
2014-08-15,extended,60,static,0.7498508,0.69768226
2014-08-18,extended,60,static,0.46496975,0.47590482
2014-08-19,extended,60,static,0.25456896,0.48183197
2014-08-20,extended,60,static,0.3016211,0.3998624
2014-08-21,extended,60,static,0.28956974,0.37176389
2014-08-22,extended,60,static,0.42676148,0.3878035
2014-08-25,extended,60,static,0.3532538,0.38136572
2014-08-26,extended,60,static,0.2375984,0.35780707
2014-08-27,extended,60,static,0.24147634,0.37062228
2014-08-28,extended,60,static,0.40291795,0.3921325
2014-08-29,extended,60,static,0.25389576,0.35825104
2014-09-02,extended,60,static,0.3633189,0.44971788
2014-09-03,extended,60,static,0.37144133,0.4563462
2014-09-04,extended,60,static,0.40892476,0.70938873
2014-09-05,extended,60,static,0.45733145,0.45891112
2014-09-08,extended,60,static,0.38709864,0.48071718
2014-09-09,extended,60,static,0.5338571,0.511354
2014-09-10,extended,60,static,0.5201886,0.48129898
2014-09-11,extended,60,static,0.43031847,0.4517185
2014-09-12,extended,60,static,0.47453365,0.53390914
2014-09-15,extended,60,static,0.41908863,0.41976804
2014-09-16,extended,60,static,0.4405773,0.6017592
2014-09-17,extended,60,static,0.7170944,0.53090614
2014-09-18,extended,60,static,0.37039587,0.41078708
2014-09-19,extended,60,static,0.45736086,0.45127994
2014-09-22,extended,60,static,0.44572678,0.50110054
2014-09-23,extended,60,static,0.49305046,0.5237439
2014-09-24,extended,60,static,0.40974364,0.5665791
2014-09-25,extended,60,static,0.7036589,0.7283387
2014-09-26,extended,60,static,0.59855974,0.6085489
2014-09-29,extended,60,static,0.9425361,0.59936893
2014-09-30,extended,60,static,0.60421616,0.728027
2014-10-01,extended,60,static,0.77547735,0.7857576
2014-10-02,extended,60,static,0.74889135,0.9366469
2014-10-03,extended,60,static,0.8084318,0.930135
2014-10-06,extended,60,static,0.65416896,0.82602125
2014-10-07,extended,60,static,0.85882276,0.7346389
2014-10-08,extended,60,static,0.89283293,0.99477565
2014-10-09,extended,60,static,1.0456964,0.9173645
2014-10-10,extended,60,static,1.1059687,0.92770153
2014-10-13,extended,60,static,1.1766608,1.0641434
2014-10-14,extended,60,static,1.2357146,1.1342424
2014-10-15,extended,60,static,2.3037503,1.7081848
2014-10-16,extended,60,static,1.6580957,1.5249171
2014-10-17,extended,60,static,1.249785,1.0141838
2014-10-20,extended,60,static,0.7233674,0.82162225
2014-10-21,extended,60,static,0.7497316,0.76562065
2014-10-22,extended,60,static,0.7443962,0.89671314
2014-10-23,extended,60,static,1.0316818,0.7581717
2014-10-24,extended,60,static,0.5909021,0.6700627
2014-10-27,extended,60,static,0.6280629,0.5237339
2014-10-28,extended,60,static,0.51385987,0.56718427
2014-10-29,extended,60,static,0.71735823,0.6828092
2014-10-30,extended,60,static,0.56094754,0.66454154
2014-10-31,extended,60,static,0.7405169,0.621558
2014-11-03,extended,60,static,0.45962167,0.49667954
2014-11-04,extended,60,static,0.523288,0.5004337
2014-11-05,extended,60,static,0.5897601,0.42578322
2014-11-06,extended,60,static,0.39968556,0.5415324
2014-11-07,extended,60,static,0.44907498,0.42897505
2014-11-10,extended,60,static,0.28444538,0.3761223
2014-11-11,extended,60,static,0.25874946,0.34037393
2014-11-12,extended,60,static,0.40562358,0.36502442
2014-11-13,extended,60,static,0.50771856,0.4889686
2014-11-14,extended,60,static,0.32405505,0.39718616
2014-11-17,extended,60,static,0.35571715,0.37025613
2014-11-18,extended,60,static,0.29249278,0.4677865
2014-11-19,extended,60,static,0.5172247,0.3827166
2014-11-20,extended,60,static,0.3773044,0.40600592
2014-11-21,extended,60,static,0.6609857,0.41724598
2014-11-24,extended,60,static,0.30394414,0.3468464
2014-11-25,extended,60,static,0.3310994,0.36842632
2014-11-26,extended,60,static,0.18774037,0.37525034
2014-11-28,extended,60,static,0.30118117,0.7406689
2014-12-01,extended,60,static,0.6036726,0.62281126
2014-12-02,extended,60,static,0.38313457,0.58249617
2014-12-03,extended,60,static,0.26875728,0.4119981
2014-12-04,extended,60,static,0.42954367,0.46426928
2014-12-05,extended,60,static,0.3647365,0.43234545
2014-12-08,extended,60,static,0.5491243,0.5747784
2014-12-09,extended,60,static,1.0170497,0.7804281
2014-12-10,extended,60,static,0.8344766,0.8018322
2014-12-11,extended,60,static,0.8538369,0.8427017
2014-12-12,extended,60,static,0.91419786,0.80747837
2014-12-15,extended,60,static,1.2775683,1.0582701
2014-12-16,extended,60,static,1.2446512,1.140698
2014-12-17,extended,60,static,1.2861887,1.1114156
2014-12-18,extended,60,static,1.0341269,0.928209
2014-12-19,extended,60,static,0.58917046,0.62648416
2014-12-22,extended,60,static,0.3526901,0.4810632
2014-12-23,extended,60,static,0.33187222,0.43339097
2014-12-24,extended,60,static,0.21517335,0.43192333
2014-12-26,extended,60,static,0.25206396,0.37674555
2014-12-29,extended,60,static,0.23829924,0.3810554
2014-12-30,extended,60,static,0.30083942,0.4771545
2014-12-31,extended,60,static,0.48846406,0.6450239
2015-01-02,extended,60,static,0.91617084,0.8032145
2015-01-05,extended,60,static,0.8366753,0.88723505
2015-01-06,extended,60,static,1.0535302,0.99578726
2015-01-07,extended,60,static,0.9043862,0.7491077
