epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr,regime,country,L,protocol
1,0.5882334748697579,0.06103890844791266,0.0531301167480677,0.06103890844791266,0.001,normal,US,22,static
2,0.22748427094790388,0.04964102515127655,0.04429859419172932,0.04964102515127655,0.001,normal,US,22,static
3,0.12360749529200968,0.05151102181396186,0.0445450311710712,0.05151102181396186,0.001,normal,US,22,static
4,0.10728583838167886,0.05601988173449714,0.04829818983617507,0.05601988173449714,0.001,normal,US,22,static
5,0.1274799607437493,0.052407174082172374,0.04646264612232979,0.052407174082172374,0.001,normal,US,22,static
6,0.14280994062345603,0.04797211968079769,0.041003073274853676,0.04797211968079769,0.001,normal,US,22,static
7,0.11280532127918726,0.04982041852266747,0.04224134270440449,0.04982041852266747,0.001,normal,US,22,static
8,0.10070024461072467,0.04092943202232242,0.035861054634152664,0.04092943202232242,0.001,normal,US,22,static
9,0.10380775216250998,0.039369236792692684,0.03879925760665077,0.039369236792692684,0.001,normal,US,22,static
10,0.084890008868498,0.03437521146528521,0.032375426631671166,0.03437521146528521,0.001,normal,US,22,static
11,0.08571288178082617,0.04259029213314032,0.037368728643055016,0.04259029213314032,0.001,normal,US,22,static
12,0.0738508034999489,0.03906595696640973,0.034773136595845695,0.03906595696640973,0.001,normal,US,22,static
13,0.07122575924585535,0.036493478660079265,0.03298210683223523,0.036493478660079265,0.001,normal,US,22,static
14,0.0832936267083217,0.041148427103950135,0.03767372854422086,0.041148427103950135,0.001,normal,US,22,static
15,0.06787503603311135,0.03200148866454653,0.03056642581734497,0.03200148866454653,0.001,normal,US,22,static
16,0.07822973355751552,0.03681991506441812,0.03456661849477781,0.03681991506441812,0.001,normal,US,22,static
17,0.07250398484507511,0.02963887600586323,0.029623356331213425,0.02963887600586323,0.001,normal,US,22,static
18,0.06726475181520408,0.038932418181584716,0.03586437896247438,0.038932418181584716,0.001,normal,US,22,static
19,0.0658229096858375,0.03125233211803451,0.030553278907132244,0.03125233211803451,0.001,normal,US,22,static
20,0.07412801042314882,0.03983364548263298,0.03539542254546414,0.03983364548263298,0.001,normal,US,22,static
21,0.0772488804188724,0.04172758031987135,0.03782465411975921,0.04172758031987135,0.001,normal,US,22,static
22,0.12005141839430325,0.03268572688796499,0.03337819895269018,0.03268572688796499,0.001,normal,US,22,static
23,0.1380830955701386,0.03659741831857239,0.035173751141419525,0.03659741831857239,0.001,normal,US,22,static
24,0.06908660299436883,0.03627075297868769,0.03296756513210625,0.03627075297868769,0.0005,normal,US,22,static
25,0.06358904450910392,0.03190290509478634,0.0303364730119823,0.03190290509478634,0.0005,normal,US,22,static
26,0.06333742098431759,0.03077709058292401,0.02988708565534339,0.03077709058292401,0.0005,normal,US,22,static
27,0.06103272202630093,0.031131073111058578,0.030275554304184178,0.031131073111058578,0.0005,normal,US,22,static
1,0.4970635206445292,0.05415846602452635,0.04933528086030672,0.05415846602452635,0.001,normal,US,60,static
2,0.3255394809801938,0.04439695698312076,0.04037176379602653,0.04439695698312076,0.001,normal,US,60,static
3,0.13932140316308217,0.05521820490672838,0.047057330461123245,0.05521820490672838,0.001,normal,US,60,static
4,0.1321342481638608,0.04488956380284206,0.04333554264599745,0.04488956380284206,0.001,normal,US,60,static
5,0.11900427825353833,0.053119045357983036,0.04196583732167487,0.053119045357983036,0.001,normal,US,60,static
6,0.2115566655611119,0.04567235818573327,0.041051589997978546,0.04567235818573327,0.001,normal,US,60,static
7,0.11198842558108736,0.040389824130221276,0.03689206911346658,0.040389824130221276,0.001,normal,US,60,static
8,0.09929055426163988,0.03510651125278119,0.03402946115261599,0.03510651125278119,0.001,normal,US,60,static
9,0.09693806052330296,0.03272556670036123,0.03118939101769637,0.03272556670036123,0.001,normal,US,60,static
10,0.08000267828485552,0.0341096854353098,0.03139645382835578,0.0341096854353098,0.001,normal,US,60,static
11,0.08363348957797333,0.042947018746955785,0.03801414003161338,0.042947018746955785,0.001,normal,US,60,static
12,0.08107049527169906,0.04257545878427265,0.037558390180996284,0.04257545878427265,0.001,normal,US,60,static
13,0.09715581800772073,0.03847894638502197,0.038585415249874466,0.03847894638502197,0.001,normal,US,60,static
14,0.09841588507092575,0.030347057558142345,0.030241648972093353,0.030347057558142345,0.001,normal,US,60,static
15,0.14046469553565882,0.032746548510944405,0.03190490676333075,0.032746548510944405,0.001,normal,US,60,static
16,0.08928133208295723,0.034024567864925,0.03346693304113366,0.034024567864925,0.001,normal,US,60,static
17,0.08170754647279414,0.02974463527359762,0.0296463335867927,0.02974463527359762,0.001,normal,US,60,static
18,0.08297285674636265,0.029977275751883966,0.029462784451428845,0.029977275751883966,0.001,normal,US,60,static
19,0.07003278317636633,0.0349238804092647,0.03213694599630098,0.0349238804092647,0.001,normal,US,60,static
20,0.07386563255939425,0.030891652054386442,0.030543267119513905,0.030891652054386442,0.001,normal,US,60,static
21,0.0708968088851577,0.028474445387524076,0.029049527073065518,0.028474445387524076,0.001,normal,US,60,static
22,0.0716141810869461,0.029316633541935807,0.029374863459128635,0.029316633541935807,0.001,normal,US,60,static
23,0.07302797467199613,0.031581657028682576,0.03147557958327381,0.031581657028682576,0.001,normal,US,60,static
24,0.07328593280272169,0.032516391537304,0.032599095494409085,0.032516391537304,0.001,normal,US,60,static
25,0.0805626320606464,0.029074934430175715,0.029763515004262386,0.029074934430175715,0.001,normal,US,60,static
26,0.07867271410574703,0.030313157496784458,0.030181227178264984,0.030313157496784458,0.001,normal,US,60,static
27,0.06700463506341837,0.033297570391620825,0.03151798063498947,0.033297570391620825,0.001,normal,US,60,static
28,0.07246979070350074,0.03559103974953515,0.03551949617331442,0.03559103974953515,0.0005,normal,US,60,static
29,0.05865755335154127,0.02984874819045277,0.029676963140812553,0.02984874819045277,0.0005,normal,US,60,static
30,0.06054713460035288,0.03135813675635616,0.0313585308884738,0.03135813675635616,0.0005,normal,US,60,static
31,0.057175722869136664,0.028051627672313027,0.02887324850800127,0.028051627672313027,0.0005,normal,US,60,static
32,0.059277096692519855,0.028225504993206,0.028828007412021576,0.028225504993206,0.0005,normal,US,60,static
33,0.055827620897723765,0.027973857691724602,0.02877543735954719,0.027973857691724602,0.0005,normal,US,60,static
34,0.05815163217013395,0.030517429081466877,0.029995768209514412,0.030517429081466877,0.0005,normal,US,60,static
35,0.05781102486609842,0.028090851260880158,0.029044902283448006,0.028090851260880158,0.0005,normal,US,60,static
36,0.056629716738258125,0.029245431011397927,0.029722319533054535,0.029245431011397927,0.0005,normal,US,60,static
37,0.06351146628564651,0.031482984308271324,0.03144417014782843,0.031482984308271324,0.0005,normal,US,60,static
38,0.057920793352410925,0.03251481640993115,0.03108690123960906,0.03251481640993115,0.0005,normal,US,60,static
39,0.06106050450927054,0.03130308841957,0.030640319777512737,0.03130308841957,0.0005,normal,US,60,static
40,0.054000974863798214,0.028658748901621203,0.029748554606535454,0.028658748901621203,0.00025,normal,US,60,static
41,0.050244382417879,0.028504384854235978,0.029583925782544575,0.028504384854235978,0.00025,normal,US,60,static
42,0.05279062975872228,0.028050559107871253,0.029222359505331093,0.028050559107871253,0.00025,normal,US,60,static
43,0.05391746451501523,0.028251873732537312,0.029394689030768608,0.028251873732537312,0.00025,normal,US,60,static
1,0.6874747891122279,0.0537692911470771,0.05142920325867272,0.0537692911470771,0.001,normal,US,252,static
2,0.27508242917187437,0.04779738741630861,0.044911135415079094,0.04779738741630861,0.001,normal,US,252,static
3,0.14529182043039768,0.05031318888336694,0.044448686726833046,0.05031318888336694,0.001,normal,US,252,static
4,0.1275217691453461,0.049954094560791036,0.04597396243054405,0.049954094560791036,0.001,normal,US,252,static
5,0.19592824949313764,0.057523855453778645,0.04637295524534501,0.057523855453778645,0.001,normal,US,252,static
6,0.15008731041797915,0.05144845350614461,0.04914875482411488,0.05144845350614461,0.001,normal,US,252,static
7,0.11535108545048252,0.047331185875070174,0.04554545555425727,0.047331185875070174,0.001,normal,US,252,static
8,0.11902212193055015,0.039816526547567815,0.03720265690958783,0.039816526547567815,0.001,normal,US,252,static
9,0.10692411425435817,0.04305994016582092,0.03957498971770403,0.04305994016582092,0.001,normal,US,252,static
10,0.09858271147863457,0.049638223481029704,0.05428917819391126,0.049638223481029704,0.001,normal,US,252,static
11,0.13135773325437855,0.03964342207908878,0.037687050752901276,0.03964342207908878,0.001,normal,US,252,static
12,0.09216006590699329,0.039466388729731246,0.03589989818455909,0.039466388729731246,0.001,normal,US,252,static
13,0.08612455769756783,0.03994350085144222,0.04183953274188659,0.03994350085144222,0.001,normal,US,252,static
14,0.09402503193799762,0.048991935329381425,0.04248954405779895,0.048991935329381425,0.001,normal,US,252,static
15,0.09661308406190268,0.0415500809825966,0.03832921798050168,0.0415500809825966,0.001,normal,US,252,static
16,0.09652191816298178,0.03368194428722997,0.033700609502378895,0.03368194428722997,0.001,normal,US,252,static
17,0.08314338467226759,0.03732722763757338,0.03644849558401367,0.03732722763757338,0.001,normal,US,252,static
18,0.07372830083020132,0.03422920495033915,0.03287059087085394,0.03422920495033915,0.001,normal,US,252,static
19,0.09030884494496894,0.03186091415391077,0.03162993532292574,0.03186091415391077,0.001,normal,US,252,static
20,0.08988456186336809,0.035347743521779065,0.03317025965705455,0.035347743521779065,0.001,normal,US,252,static
21,0.08915651385839149,0.03171340880262464,0.03203237720437554,0.03171340880262464,0.001,normal,US,252,static
22,0.09593452213666938,0.03930135953367617,0.03475723387636686,0.03930135953367617,0.001,normal,US,252,static
23,0.0717909321248946,0.03371453190765853,0.03505919783527083,0.03371453190765853,0.001,normal,US,252,static
24,0.07885621658876588,0.029578930736976074,0.030488544331473324,0.029578930736976074,0.001,normal,US,252,static
25,0.07750482826126404,0.034385859786800005,0.032223893859581985,0.034385859786800005,0.001,normal,US,252,static
26,0.07177244416526367,0.03606274209032199,0.03717323075685459,0.03606274209032199,0.001,normal,US,252,static
27,0.07632789111800876,0.036815391794317566,0.034042917825134376,0.036815391794317566,0.001,normal,US,252,static
28,0.08472418178354414,0.030626033021801623,0.03149440379540911,0.030626033021801623,0.001,normal,US,252,static
29,0.07119147009200903,0.029245408245753744,0.029455352983190845,0.029245408245753744,0.001,normal,US,252,static
30,0.08373907716424418,0.039647764209435235,0.03478349245377916,0.039647764209435235,0.001,normal,US,252,static
31,0.07237114681184008,0.031719593489942154,0.03261032261381389,0.031719593489942154,0.001,normal,US,252,static
32,0.07437274451986506,0.030348644484860025,0.031004073370704537,0.030348644484860025,0.001,normal,US,252,static
33,0.07187474830842026,0.03272793375926858,0.03199091949040004,0.03272793375926858,0.001,normal,US,252,static
34,0.06883937711900776,0.030111200275917613,0.03053912150824494,0.030111200275917613,0.001,normal,US,252,static
35,0.08541179679986191,0.038023809316371775,0.0348364984388408,0.038023809316371775,0.001,normal,US,252,static
36,0.06169140610621553,0.03145880702054247,0.031149052528907425,0.03145880702054247,0.0005,normal,US,252,static
37,0.0574383163563457,0.03218784671951231,0.031540924565417496,0.03218784671951231,0.0005,normal,US,252,static
38,0.06145700366559896,0.030499973418129114,0.030688737165698185,0.030499973418129114,0.0005,normal,US,252,static
39,0.05738694553342943,0.02870318792488748,0.029089372380537243,0.02870318792488748,0.0005,normal,US,252,static
40,0.05357411409124967,0.0291586919866214,0.029701086836075596,0.0291586919866214,0.0005,normal,US,252,static
41,0.06160002578553242,0.031461257793717744,0.031582443419063515,0.031461257793717744,0.0005,normal,US,252,static
42,0.0566169705033215,0.029610512721140413,0.030103507105688095,0.029610512721140413,0.0005,normal,US,252,static
43,0.057583340827316996,0.030983110540521826,0.0313888714232817,0.030983110540521826,0.0005,normal,US,252,static
44,0.057518371699036196,0.02958561036683922,0.030453976663381687,0.02958561036683922,0.0005,normal,US,252,static
45,0.05758604474423002,0.0322391076439261,0.032090619574540215,0.0322391076439261,0.0005,normal,US,252,static
46,0.05902180369740133,0.028810669763365198,0.02960883345631625,0.028810669763365198,0.00025,normal,US,252,static
47,0.06170746011312346,0.029293808965803227,0.03013761523050871,0.029293808965803227,0.00025,normal,US,252,static
48,0.060434709084487934,0.029872231234110033,0.030537278435594242,0.029872231234110033,0.00025,normal,US,252,static
49,0.05405404443260254,0.031109138951333465,0.03173621529676462,0.031109138951333465,0.00025,normal,US,252,static
1,0.47150622564695205,0.025094005646042437,0.020831991048132787,0.025094005646042437,0.001,normal,KR,22,static
2,0.14733065838964174,0.026764355649468004,0.021003507398313186,0.026764355649468004,0.001,normal,KR,22,static
3,0.13577537090454683,0.020086787014479884,0.015520311128653463,0.020086787014479884,0.001,normal,KR,22,static
4,0.1689142944073489,0.02527852172869363,0.020099203132825795,0.02527852172869363,0.001,normal,KR,22,static
5,0.14292813967025808,0.020293560741492904,0.015941079415869516,0.020293560741492904,0.001,normal,KR,22,static
6,0.11119480976910881,0.023317485840851367,0.017697639244257428,0.023317485840851367,0.001,normal,KR,22,static
7,0.10674253027192689,0.024422836180741612,0.018563692778593203,0.024422836180741612,0.001,normal,KR,22,static
8,0.09691604113421458,0.0282116058621379,0.021680144409908623,0.0282116058621379,0.001,normal,KR,22,static
9,0.1032847760013411,0.023906447581526408,0.01865192563807378,0.023906447581526408,0.001,normal,KR,22,static
10,0.12299706374751937,0.025490610525338644,0.01981584275843667,0.025490610525338644,0.0005,normal,KR,22,static
11,0.14503779487328697,0.020191694638201092,0.015407257896588474,0.020191694638201092,0.0005,normal,KR,22,static
12,0.10484704928505204,0.02204015454449467,0.016966205670452508,0.02204015454449467,0.0005,normal,KR,22,static
13,0.10317860540279715,0.01999297950918985,0.015349334334863013,0.01999297950918985,0.0005,normal,KR,22,static
14,0.10893630849393542,0.02260571106992735,0.017486501164490083,0.02260571106992735,0.0005,normal,KR,22,static
15,0.11314290876120053,0.0255148547737907,0.020075949000530554,0.0255148547737907,0.0005,normal,KR,22,static
16,0.1243997507913496,0.029867071197578393,0.02404628697110981,0.029867071197578393,0.0005,normal,KR,22,static
17,0.08427890327835394,0.028755599225097468,0.02316231759967374,0.028755599225097468,0.0005,normal,KR,22,static
18,0.08434963198094528,0.031034532724294715,0.025568923882407245,0.031034532724294715,0.0005,normal,KR,22,static
19,0.10630556874112557,0.018593228366378195,0.014627145130004062,0.018593228366378195,0.0005,normal,KR,22,static
20,0.08334752059336349,0.020590803304254564,0.016488735319771727,0.020590803304254564,0.0005,normal,KR,22,static
21,0.08572800031821327,0.017202464745105554,0.013572761216429903,0.017202464745105554,0.0005,normal,KR,22,static
22,0.07393696444300007,0.01504667171450089,0.01195318577811122,0.01504667171450089,0.0005,normal,KR,22,static
23,0.07703382640637721,0.016194857000967976,0.01308907164627167,0.016194857000967976,0.0005,normal,KR,22,static
24,0.0739639108482701,0.015036588922255765,0.012257854896979253,0.015036588922255765,0.0005,normal,KR,22,static
25,0.08473977384616914,0.014085122928533733,0.011034845267651512,0.014085122928533733,0.0005,normal,KR,22,static
