date,feature_set,protocol,RV_target,RV_pred
2001-09-03,core,static,1.116291730746493,1.6277281509627937
2001-09-04,core,static,2.040702688703575,2.022792652690072
2001-09-05,core,static,1.930827560106288,1.448240815952399
2001-09-06,core,static,2.298458283148946,1.701281951812346
2001-09-07,core,static,1.679522244445426,1.316442485391418
2001-09-11,core,static,1.530763277821558,1.3839705106869242
2001-09-12,core,static,2.979159320821396,2.2517931175891883
2001-09-13,core,static,2.138351542033256,1.950521105235959
2001-09-14,core,static,2.655758442307395,2.158817324409438
2001-09-17,core,static,1.945094081702734,2.169696533755761
2001-09-18,core,static,2.409880909745957,2.043525298978743
2001-09-19,core,static,2.355249427034853,2.0932947316795216
2001-09-20,core,static,1.658561722954259,1.4738416165117216
2001-09-21,core,static,1.756886441944385,1.8526644731103872
2001-09-25,core,static,1.896210555918567,1.6696384395258925
2001-09-26,core,static,1.453783593946843,1.3164551043845685
2001-09-27,core,static,1.203767457794071,1.3130093976586348
2001-09-28,core,static,1.405472906802547,1.3658182399332737
2001-10-01,core,static,1.812134316781182,1.7612201299381915
2001-10-02,core,static,1.297813488243592,1.5467051810321122
2001-10-03,core,static,1.602362747303806,1.5988114761165275
2001-10-04,core,static,1.444450352635216,1.375941124314226
2001-10-05,core,static,1.461636897047964,1.3978176639582442
2001-10-09,core,static,1.378160557156894,1.0788418567023959
2001-10-10,core,static,1.072034484106738,1.071932240794455
2001-10-11,core,static,1.235942899010306,1.5497661820495072
2001-10-12,core,static,1.653264453497988,1.3567354611582267
2001-10-15,core,static,1.038599919385227,0.9349294914724728
2001-10-16,core,static,1.226180302649655,1.4590595173394327
2001-10-17,core,static,1.231554787002592,1.3188162558225631
2001-10-18,core,static,1.126090019233809,1.2090288947007146
2001-10-19,core,static,0.904997295846914,1.2020934064192303
2001-10-22,core,static,0.6510661514367845,0.6991301478852987
2001-10-23,core,static,1.28461675029014,1.1073978856001236
2001-10-24,core,static,1.302556058222831,1.125973933721606
2001-10-25,core,static,1.307227792628354,1.1949885481164293
2001-10-26,core,static,1.149830147419609,1.2848572424420681
2001-10-29,core,static,1.018755773400082,1.1936340771280867
2001-10-30,core,static,1.203195138621329,1.0901586188626966
2001-10-31,core,static,0.8309624067730063,0.9801047779446216
2001-11-01,core,static,0.964742207272123,1.096387684344756
2001-11-02,core,static,1.450916029885948,1.168412685059693
2001-11-05,core,static,0.6997014862523588,0.8751021239651467
2001-11-06,core,static,0.9123075437988514,0.8964204657448963
2001-11-07,core,static,1.213561969127247,1.4811641503292101
2001-11-08,core,static,1.21323531993509,1.2478742115928676
2001-11-09,core,static,1.313793782462453,1.1767179679537774
2001-11-12,core,static,1.08985673035404,1.2141275096252848
2001-11-13,core,static,0.8702096478270717,0.9943218497504323
2001-11-14,core,static,1.205267732740738,1.0452720895689844
2001-11-15,core,static,1.251470294500433,1.6149562639973425
