date,feature_set,protocol,RV_target,RV_pred
2007-08-01,core,static,0.880103381,0.9906961069483295
2007-08-02,core,static,1.440892311,1.1167952814015232
2007-08-03,core,static,1.064901696,0.9619308850264505
2007-08-06,core,static,0.923194533,1.0553625929719423
2007-08-07,core,static,0.763156427,0.8286666628269456
2007-08-08,core,static,0.767076401,0.8240135611955585
2007-08-09,core,static,0.729142043,0.7385890800518058
2007-08-10,core,static,1.199605537,1.0019617179516256
2007-08-13,core,static,0.935748199,0.9280106219067593
2007-08-14,core,static,0.601165523,0.6770609038882816
2007-08-15,core,static,0.869264329,0.8603771214616123
2007-08-16,core,static,1.703508475,1.325850704540346
2007-08-17,core,static,1.891166394,1.9670574923083282
2007-08-20,core,static,1.884293639,1.7398997481209646
2007-08-21,core,static,1.239924028,1.370343500041253
2007-08-22,core,static,0.92904145,1.0532602641872508
2007-08-23,core,static,1.203796327,1.1303422215097758
2007-08-24,core,static,0.759028228,0.9745243809515314
2007-08-27,core,static,0.74931331,0.9752576106970944
2007-08-28,core,static,0.643669331,0.8063915149617608
2007-08-29,core,static,1.360722677,0.8984500765276128
2007-08-30,core,static,0.884478117,0.9383575225405248
2007-08-31,core,static,0.765922942,1.0303006473959293
2007-09-03,core,static,0.73561737,0.6834021393937116
2007-09-04,core,static,0.646959721,0.6821777112940486
2007-09-05,core,static,0.822203926,1.1169356258420557
2007-09-06,core,static,1.282779039,1.3508605060652636
2007-09-07,core,static,0.948389339,0.9219434970481537
2007-09-10,core,static,1.398300264,1.015512707196851
2007-09-11,core,static,1.083504123,1.2063604296439143
2007-09-12,core,static,1.310946124,1.131602369680926
2007-09-13,core,static,0.815487722,0.9457221968460778
2007-09-14,core,static,0.828726744,1.0418478573050427
2007-09-18,core,static,0.880454616,0.9883015751073049
2007-09-19,core,static,1.326768719,1.1392908814238256
2007-09-20,core,static,0.65482805,0.893854813100171
2007-09-21,core,static,0.648135339,0.7075894879091273
2007-09-25,core,static,0.738892381,0.7764493273268337
2007-09-26,core,static,0.60008959,0.5989178453795688
2007-09-27,core,static,0.798136474,0.9655676021960116
2007-09-28,core,static,0.623738756,0.7166106053269158
2007-10-01,core,static,0.811875287,0.7504002694137987
2007-10-02,core,static,0.579759285,0.5611797373989965
2007-10-03,core,static,0.638478086,0.6937828340402359
2007-10-04,core,static,0.707450117,0.611969951615738
2007-10-05,core,static,0.534444803,0.6002948856507615
2007-10-09,core,static,0.565422982,0.5132042545109872
2007-10-10,core,static,0.492693793,0.5311292518557886
2007-10-11,core,static,1.030062627,0.8811257898766833
2007-10-12,core,static,0.609225496,0.7216866198490501
2007-10-15,core,static,0.622835026,0.5830869307328761
2007-10-16,core,static,0.785803349,0.6715812471115924
2007-10-17,core,static,1.226157962,0.963123042332754
2007-10-18,core,static,0.848425144,0.88077439972151
2007-10-19,core,static,0.932871884,0.9000984760244658
2007-10-22,core,static,1.582713517,1.101356235742609
2007-10-23,core,static,0.719069013,0.9009140622834915
2007-10-24,core,static,0.891733735,0.9497334451181126
2007-10-25,core,static,0.990499651,0.9930756628526305
2007-10-26,core,static,0.762286712,0.8491668651248685
2007-10-29,core,static,0.754009821,0.7680485164598501
2007-10-30,core,static,0.77345349,0.7639347841830766
2007-10-31,core,static,0.711520648,0.7932582278278416
2007-11-01,core,static,0.643161325,0.6188508694537054
2007-11-02,core,static,0.965203163,0.7315459367051854
2007-11-05,core,static,0.84878256,0.914965126832995
2007-11-06,core,static,0.869740242,0.8859855756851166
2007-11-07,core,static,0.765264309,0.8958344194079851
