date,feature_set,protocol,RV_target,RV_pred
2007-08-01,core,static,2.057769983,1.9300549221413852
2007-08-02,core,static,2.670151613,2.2475389625215954
2007-08-03,core,static,1.363984034,1.4679978638648996
2007-08-06,core,static,1.290111297,1.3015613025944488
2007-08-07,core,static,1.18340618,1.458750761182609
2007-08-08,core,static,0.915264742,1.2255522701707064
2007-08-09,core,static,1.28095602,1.2067896093022008
2007-08-10,core,static,1.256259747,1.1347314443238805
2007-08-13,core,static,1.310453133,1.0995847427295662
2007-08-14,core,static,1.415305541,1.5289506549365743
2007-08-16,core,static,2.237005099,1.5501547264152458
2007-08-17,core,static,2.482263853,2.2432953279460137
2007-08-20,core,static,1.287377013,1.3783011251231816
2007-08-21,core,static,1.86630533,1.5765852815910728
2007-08-22,core,static,1.182706771,1.435572596570581
2007-08-23,core,static,0.999892354,1.1676757352406075
2007-08-24,core,static,1.225485272,1.2490865718613429
2007-08-27,core,static,0.90142136,1.232750788925687
2007-08-28,core,static,1.270836772,1.1649219375746531
2007-08-29,core,static,1.409931797,1.6247673900447062
2007-08-30,core,static,1.134099788,1.207680487278177
2007-08-31,core,static,1.156241396,1.0751020129364974
2007-09-03,core,static,1.193260375,1.0042046422899817
2007-09-04,core,static,1.019279945,1.1593449234980933
2007-09-05,core,static,1.217038686,1.269667074073068
2007-09-06,core,static,1.243045509,1.313463777913222
2007-09-07,core,static,1.111489892,1.176715477831152
2007-09-10,core,static,1.357314866,1.1125619490132248
2007-09-11,core,static,1.015884387,1.0982409361728311
2007-09-12,core,static,1.181147922,1.2704441329017173
2007-09-13,core,static,1.74200541,1.2751126882506045
2007-09-14,core,static,0.937040885,1.2055851925396859
2007-09-17,core,static,1.004808032,1.0412001945403948
2007-09-18,core,static,1.026061632,1.1182151564261922
2007-09-19,core,static,0.807643574,0.8130228388372736
2007-09-20,core,static,1.19657164,0.9454951602458586
2007-09-21,core,static,0.872211106,0.942989167400186
2007-09-27,core,static,0.766486699,0.8159892948766401
2007-09-28,core,static,0.808079164,0.7985559514556413
2007-10-01,core,static,0.550293284,0.8295792292133639
2007-10-02,core,static,0.732053659,0.7433518457306005
2007-10-04,core,static,0.880593175,0.7849337300634309
2007-10-05,core,static,0.95414626,0.781728378049504
2007-10-08,core,static,0.703126351,0.7620330326371941
2007-10-09,core,static,0.886316416,0.8351035489857803
2007-10-10,core,static,0.71955173,0.7427240069485641
2007-10-11,core,static,0.943056714,0.8118991623529128
2007-10-12,core,static,1.043136334,0.9764420859542232
2007-10-15,core,static,1.096573874,0.9976228481695988
2007-10-16,core,static,1.268705312,1.1060026001250922
2007-10-17,core,static,2.190526979,1.7156000564914309
2007-10-18,core,static,1.457985082,1.356341708605849
2007-10-19,core,static,1.455587547,1.24099187671972
2007-10-22,core,static,1.696849151,1.1885700587050043
2007-10-23,core,static,1.138418238,1.3881109929394346
2007-10-24,core,static,2.070314387,1.9837930547507625
2007-10-25,core,static,1.658524141,1.4390192675525864
2007-10-26,core,static,1.448291953,1.5825044075104615
2007-10-29,core,static,1.066619534,1.1613343855699605
2007-10-30,core,static,1.241520598,1.1638245679381753
2007-10-31,core,static,1.087276372,1.135601737792112
2007-11-01,core,static,1.295559405,1.2538735486591008
2007-11-02,core,static,1.211869312,1.1607740371097224
2007-11-05,core,static,1.332794444,1.194212051212922
2007-11-06,core,static,0.821598494,1.131900715842081
2007-11-07,core,static,1.178022345,1.194241621280809
2007-11-08,core,static,1.55298138,1.2916241902803098
2007-11-09,core,static,1.972045547,1.4417448029169115
2007-11-12,core,static,1.654564988,1.5423228129504318
2007-11-13,core,static,1.845192811,1.5427554924407976
2007-11-14,core,static,1.049571895,1.2935553834008973
2007-11-15,core,static,1.403045571,1.562639646430165
2007-11-16,core,static,1.318905953,1.420742537760089
2007-11-19,core,static,1.388184069,1.3933388372716218
2007-11-20,core,static,1.513252292,1.624041885492077
2007-11-21,core,static,1.962177503,1.8067719108172555
2007-11-22,core,static,2.156352412,1.6452524614434667
2007-11-23,core,static,2.385226379,2.204751676590982
2007-11-26,core,static,1.284376391,1.7458649520945198
2007-11-27,core,static,2.515839714,2.1340700089086893
2007-11-28,core,static,1.972666042,1.9024913766155915
2007-11-29,core,static,1.073667652,1.3376585027463117
2007-11-30,core,static,1.098294502,1.3130688083666167
2007-12-03,core,static,1.143271095,1.2122121811005777
2007-12-04,core,static,1.015254539,1.1259863063478206
2007-12-05,core,static,0.946600966,1.243180707875904
2007-12-06,core,static,0.906836611,1.016095808868897
2007-12-07,core,static,1.030373513,1.1029446715231732
2007-12-10,core,static,1.173156406,1.0897549195806482
2007-12-11,core,static,1.110398519,1.0031517985913434
2007-12-12,core,static,1.05128011,1.269576807174939
2007-12-13,core,static,1.537436505,1.2428784446524055
2007-12-14,core,static,1.192555506,1.4017710508214438
2007-12-17,core,static,1.236178982,1.2897646022193034
2007-12-18,core,static,1.437838024,1.5862243292480591
2007-12-20,core,static,1.64524277,1.3852656980012292
2007-12-21,core,static,1.453605221,1.4539830216463412
2007-12-24,core,static,0.941058569,1.1120910756178672
2007-12-26,core,static,1.031844492,1.1037110233588665
2007-12-27,core,static,0.860237971,1.1253118135170077
2007-12-28,core,static,0.876656813,0.9805851600725413
2008-01-02,core,static,1.061232168,1.110312083753282
2008-01-03,core,static,1.334792039,1.176666831528351
2008-01-04,core,static,1.251795001,1.3254407480226829
2008-01-07,core,static,0.997898107,1.03261495438468
2008-01-08,core,static,1.089084709,0.9982702912732616
2008-01-09,core,static,1.094061677,1.3877928365352656
2008-01-10,core,static,1.235569804,1.1408742677373036
2008-01-11,core,static,1.355785161,1.7303323876374463
2008-01-14,core,static,1.636088549,1.2652761827416568
2008-01-15,core,static,1.697345456,1.712813758847846
2008-01-16,core,static,1.553333982,1.3494607842648638
2008-01-17,core,static,1.630196989,1.567425541286817
2008-01-18,core,static,1.526908928,1.7332741387659065
2008-01-21,core,static,1.615430981,1.5957134995067417
2008-01-22,core,static,2.35673658,1.6800967822742994
2008-01-23,core,static,2.046865,1.9518278863399754
2008-01-24,core,static,1.383207643,1.416914971771326
2008-01-25,core,static,1.03761727,1.1831680911798679
2008-01-28,core,static,1.166803122,1.5407566185968316
2008-01-29,core,static,1.526018832,1.4776006319656938
2008-01-30,core,static,2.041500786,2.1143684603837807
2008-01-31,core,static,2.031805061,1.871222824334438
2008-02-01,core,static,1.281116101,1.4638996045182227
2008-02-04,core,static,1.059693361,1.332300364854018
2008-02-05,core,static,1.042305966,1.1337752826664274
2008-02-11,core,static,1.051266431,0.9766858199955056
2008-02-12,core,static,0.942364327,1.012425922459302
2008-02-13,core,static,1.027590874,1.2193113483837648
