date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,60,static,1.1162918,1.5820178
2001-09-04,core,60,static,2.0407026,1.9484683
2001-09-05,core,60,static,1.9308276,1.5690936
2001-09-06,core,60,static,2.2984583,1.7561703
2001-09-07,core,60,static,1.6795223,1.4646972
2001-09-11,core,60,static,1.5307633,1.50621
2001-09-12,core,60,static,2.9791594,2.1726224
2001-09-13,core,60,static,2.1383514,1.9173474
2001-09-14,core,60,static,2.6557584,2.1531985
2001-09-17,core,60,static,1.9450941,2.1658819
2001-09-18,core,60,static,2.4098809,2.0840046
2001-09-19,core,60,static,2.3552494,2.1000185
2001-09-20,core,60,static,1.6585617,1.6487951
2001-09-21,core,60,static,1.7568865,1.8758775
2001-09-25,core,60,static,1.8962106,1.7636343
2001-09-26,core,60,static,1.4537836,1.4499398
2001-09-27,core,60,static,1.2037674,1.3972883
2001-09-28,core,60,static,1.4054729,1.2972372
2001-10-01,core,60,static,1.8121343,1.6858008
2001-10-02,core,60,static,1.2978135,1.5172333
2001-10-03,core,60,static,1.6023628,1.5384188
2001-10-04,core,60,static,1.4444504,1.4781438
2001-10-05,core,60,static,1.4616369,1.3792766
2001-10-09,core,60,static,1.3781606,1.178908
2001-10-10,core,60,static,1.0720345,1.1950716
2001-10-11,core,60,static,1.2359428,1.4172454
2001-10-12,core,60,static,1.6532644,1.1985432
2001-10-15,core,60,static,1.0386,1.0512142
2001-10-16,core,60,static,1.2261803,1.3133868
2001-10-17,core,60,static,1.2315547,1.2234441
2001-10-18,core,60,static,1.12609,1.2143108
2001-10-19,core,60,static,0.9049973,1.2461717
2001-10-22,core,60,static,0.6510661,0.94000036
2001-10-23,core,60,static,1.2846167,0.9955602
2001-10-24,core,60,static,1.302556,1.0261147
2001-10-25,core,60,static,1.3072278,1.108727
2001-10-26,core,60,static,1.1498301,1.1626081
2001-10-29,core,60,static,1.0187558,1.195386
2001-10-30,core,60,static,1.2031951,1.2257746
2001-10-31,core,60,static,0.8309624,1.148441
2001-11-01,core,60,static,0.9647422,1.156993
2001-11-02,core,60,static,1.450916,1.1577687
2001-11-05,core,60,static,0.6997015,0.9783795
2001-11-06,core,60,static,0.91230756,0.903295
2001-11-07,core,60,static,1.213562,1.317648
2001-11-08,core,60,static,1.2132354,1.3534112
2001-11-09,core,60,static,1.3137938,1.2529444
2001-11-12,core,60,static,1.0898567,1.2834857
2001-11-13,core,60,static,0.87020963,1.1979898
2001-11-14,core,60,static,1.2052678,1.1304313
2001-11-15,core,60,static,1.2514703,1.5390637
2001-11-16,core,60,static,2.1688633,1.6785592
2001-11-19,core,60,static,1.5463173,1.4238648
2001-11-20,core,60,static,1.6622303,1.3152806
2001-11-21,core,60,static,1.7681742,1.6779784
2001-11-22,core,60,static,1.2729993,1.4064503
2001-11-26,core,60,static,1.4711521,1.4149418
2001-11-27,core,60,static,1.4325883,1.3122039
2001-11-28,core,60,static,1.4102099,1.5392516
2001-11-30,core,60,static,1.2161804,1.4200406
2001-12-03,core,60,static,1.4683616,1.5542659
2001-12-04,core,60,static,1.3313465,1.460179
2001-12-05,core,60,static,1.1900908,1.3556108
2001-12-06,core,60,static,1.8679303,1.3382301
2001-12-07,core,60,static,1.0733515,1.2099681
2001-12-10,core,60,static,0.93792796,1.1670651
2001-12-11,core,60,static,1.022902,1.2093148
2001-12-12,core,60,static,1.6226773,1.5137725
2001-12-13,core,60,static,1.1153,1.5373698
2001-12-14,core,60,static,1.4686747,1.55059
2001-12-17,core,60,static,1.1992097,1.3001671
2001-12-18,core,60,static,1.5933192,1.3789397
2001-12-19,core,60,static,1.5499549,1.2451217
2001-12-20,core,60,static,1.1386887,1.1757171
2001-12-21,core,60,static,1.0471654,1.18356
2001-12-25,core,60,static,1.0677977,1.1281773
2001-12-26,core,60,static,1.0058322,1.099009
2001-12-27,core,60,static,1.0679196,1.3785878
2002-01-07,core,60,static,1.0932148,1.0149913
2002-01-08,core,60,static,1.1639675,1.0324823
2002-01-09,core,60,static,1.1235802,1.0970197
2002-01-10,core,60,static,1.2643216,1.2024192
2002-01-11,core,60,static,0.9711793,1.1236273
2002-01-15,core,60,static,1.0283325,1.1652108
2002-01-16,core,60,static,1.0653367,1.2915072
2002-01-17,core,60,static,1.2711087,1.2374569
2002-01-21,core,60,static,1.0141083,1.2195872
2002-01-22,core,60,static,1.1118968,1.2268105
2002-01-23,core,60,static,1.0210612,1.1795839
2002-01-24,core,60,static,1.3695625,1.2776626
2002-01-25,core,60,static,1.3686211,1.0800432
2002-01-29,core,60,static,1.17725,1.0455781
2002-01-30,core,60,static,0.9733158,1.2197376
2002-01-31,core,60,static,0.9758415,1.0935591
2002-02-01,core,60,static,1.2524565,1.3764385
2002-02-04,core,60,static,0.92524797,1.3682542
2002-02-05,core,60,static,1.2981555,1.4433874
2002-02-06,core,60,static,1.2677865,1.3956954
2002-02-07,core,60,static,1.4968977,1.3290652
2002-02-08,core,60,static,1.6193671,1.3296212
2002-02-12,core,60,static,1.1070732,1.0818294
2002-02-13,core,60,static,1.434199,1.1259491
2002-02-14,core,60,static,1.6110401,1.2441624
2002-02-15,core,60,static,1.4196908,1.0836813
2002-02-18,core,60,static,0.75287354,1.0800401
2002-02-19,core,60,static,1.106537,1.2609805
2002-02-20,core,60,static,1.1141962,1.3748282
2002-02-21,core,60,static,1.4723452,1.773329
2002-02-22,core,60,static,1.3975843,1.5076174
2002-02-25,core,60,static,1.1679044,1.1977514
2002-02-26,core,60,static,1.3548403,1.3535304
2002-02-27,core,60,static,1.6635308,1.591792
2002-02-28,core,60,static,1.4728757,1.3624786
2002-03-01,core,60,static,1.4157524,1.4562962
2002-03-04,core,60,static,1.6944981,1.8590301
2002-03-05,core,60,static,1.5808456,1.4193453
2002-03-06,core,60,static,1.6998894,1.6061305
2002-03-07,core,60,static,1.4181366,1.4226948
2002-03-08,core,60,static,1.5497043,1.6055094
2002-03-11,core,60,static,1.4475812,1.3836482
2002-03-12,core,60,static,1.4893879,1.481328
2002-03-13,core,60,static,1.5849034,1.7856163
2002-03-14,core,60,static,1.5570505,1.5557766
2002-03-15,core,60,static,1.3856069,1.2972388
2002-03-18,core,60,static,1.5257525,1.4068054
2002-03-19,core,60,static,1.4020627,1.3367853
2002-03-20,core,60,static,1.267281,1.4788073
2002-03-22,core,60,static,1.1313033,1.5426297
2002-03-25,core,60,static,1.12239,1.4060044
2002-03-26,core,60,static,1.7357447,1.6300099
2002-03-27,core,60,static,1.1872008,1.4582423
2002-03-28,core,60,static,1.1916806,1.1588364
2002-03-29,core,60,static,1.6994226,1.503995
2001-09-03,momentum,22,static,1.1162918,1.4777108
2001-09-04,momentum,22,static,2.0407026,1.9344214
2001-09-05,momentum,22,static,1.9308276,1.5527173
2001-09-06,momentum,22,static,2.2984583,1.6935798
2001-09-07,momentum,22,static,1.6795223,1.4566116
2001-09-11,momentum,22,static,1.5307633,1.5262799
2001-09-12,momentum,22,static,2.9791594,2.0605383
2001-09-13,momentum,22,static,2.1383514,1.9662145
2001-09-14,momentum,22,static,2.6557584,2.0342045
2001-09-17,momentum,22,static,1.9450941,2.0054812
2001-09-18,momentum,22,static,2.4098809,2.0297775
2001-09-19,momentum,22,static,2.3552494,1.9765977
2001-09-20,momentum,22,static,1.6585617,1.6398015
2001-09-21,momentum,22,static,1.7568865,1.8035393
2001-09-25,momentum,22,static,1.8962106,1.6605275
2001-09-26,momentum,22,static,1.4537836,1.4453969
