date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,60,static,0.7466042,1.1397638
2001-09-04,core,60,static,1.1451876,1.4991939
2001-09-05,core,60,static,0.9867531,1.0837612
2001-09-06,core,60,static,0.921047,0.9724395
2001-09-07,core,60,static,0.8651238,1.0227615
2001-09-11,core,60,static,0.99968207,1.1681824
2001-09-12,core,60,static,5.145089,1.296899
2001-09-13,core,60,static,2.1412773,2.1246388
2001-09-14,core,60,static,2.7766545,2.516823
2001-09-17,core,60,static,1.5982653,2.0859396
2001-09-18,core,60,static,1.3887355,1.4006689
2001-09-19,core,60,static,1.334155,1.5713689
2001-09-20,core,60,static,1.503243,1.4542022
2001-09-21,core,60,static,1.4434581,1.2693126
2001-09-24,core,60,static,1.1199275,1.2309794
2001-09-25,core,60,static,1.5513935,1.9465231
2001-09-26,core,60,static,1.3735356,1.5876447
2001-09-27,core,60,static,1.1104246,1.2733027
2001-09-28,core,60,static,1.2660418,1.1839522
2001-10-04,core,60,static,1.1761986,1.067935
2001-10-05,core,60,static,0.9124375,1.0505483
2001-10-08,core,60,static,0.9601295,1.0626925
2001-10-09,core,60,static,0.8911104,1.1128626
2001-10-10,core,60,static,0.8368023,0.99870795
2001-10-11,core,60,static,0.7732897,0.94033736
2001-10-12,core,60,static,1.1201193,1.3035876
2001-10-15,core,60,static,0.892548,1.1217955
2001-10-16,core,60,static,0.7437714,1.1096176
2001-10-17,core,60,static,0.8790355,1.0309309
2001-10-18,core,60,static,1.102222,1.0080674
2001-10-19,core,60,static,0.9248605,1.0075954
2001-10-22,core,60,static,0.9472694,1.047347
2001-10-23,core,60,static,0.95647055,1.0268258
2001-10-24,core,60,static,0.7433818,1.0697541
2001-10-25,core,60,static,0.89134675,0.90459764
2001-10-26,core,60,static,0.86082774,0.899783
2001-10-29,core,60,static,0.8435975,0.90278494
2001-10-30,core,60,static,0.86960524,0.854231
2001-10-31,core,60,static,0.73506045,0.9786243
2001-11-01,core,60,static,0.80269545,0.9651727
2001-11-02,core,60,static,0.8605295,0.914607
2001-11-05,core,60,static,0.9249837,0.9615566
2001-11-06,core,60,static,0.810273,0.8811554
2001-11-07,core,60,static,0.7356962,0.8652531
2001-11-08,core,60,static,1.165858,0.91727245
2001-11-09,core,60,static,1.0981371,0.97636825
2001-11-12,core,60,static,1.1535648,0.96839744
2001-11-13,core,60,static,1.5962058,1.1138388
2001-11-14,core,60,static,1.0062349,1.1931651
2001-11-15,core,60,static,1.5722888,1.1524953
2001-11-16,core,60,static,1.0510287,1.0558288
2001-11-19,core,60,static,1.5380912,1.3044105
2001-11-20,core,60,static,1.7230455,1.6441149
2001-11-21,core,60,static,1.4946291,1.419352
2001-11-22,core,60,static,1.1109034,1.3555398
2001-11-23,core,60,static,1.4672333,1.491777
2001-11-26,core,60,static,1.821557,1.5447283
2001-11-27,core,60,static,2.3764877,1.66162
2001-11-28,core,60,static,1.8268679,2.3469625
2001-11-30,core,60,static,1.513803,2.1192477
2001-12-03,core,60,static,1.7871368,1.9220079
2001-12-04,core,60,static,1.8108115,1.519042
2001-12-05,core,60,static,1.9333318,2.2683709
2001-12-06,core,60,static,3.2019749,3.0890193
2001-12-07,core,60,static,2.0830026,2.2440867
2001-12-10,core,60,static,1.7435644,2.5219245
2001-12-11,core,60,static,2.3532186,2.433547
2001-12-12,core,60,static,2.1861737,2.2736697
2001-12-13,core,60,static,2.2576902,1.8858259
2001-12-14,core,60,static,1.7536687,1.6917413
2001-12-17,core,60,static,1.7037467,1.5911974
2001-12-18,core,60,static,1.824488,2.0928178
2001-12-19,core,60,static,1.6069132,1.6197673
2001-12-20,core,60,static,1.7552295,1.8574702
2001-12-21,core,60,static,1.4396634,1.4855324
2001-12-24,core,60,static,1.3682072,1.3819629
2001-12-26,core,60,static,1.0631682,1.1437436
2001-12-27,core,60,static,2.1890788,1.7569417
2001-12-28,core,60,static,1.5163386,1.6176699
2002-01-02,core,60,static,2.1872623,2.374825
2002-01-03,core,60,static,2.1237338,1.755678
2002-01-04,core,60,static,1.3655062,1.2161803
2002-01-07,core,60,static,1.9861394,1.5827656
2002-01-08,core,60,static,1.4465333,1.5467672
2002-01-09,core,60,static,1.6962383,1.7811947
2002-01-10,core,60,static,1.814649,1.8918128
2002-01-11,core,60,static,1.6676846,1.9661596
2002-01-14,core,60,static,1.6295612,1.7889191
2002-01-15,core,60,static,1.532823,1.4984529
2002-01-16,core,60,static,1.7810308,1.5088686
2002-01-17,core,60,static,1.5762987,1.6014616
2002-01-21,core,60,static,1.4824507,1.4283266
2002-01-22,core,60,static,1.311909,1.2796315
2002-01-23,core,60,static,1.3083884,1.9272153
2002-01-24,core,60,static,1.5903313,1.6164813
2002-01-25,core,60,static,1.5989273,1.4456387
2002-01-29,core,60,static,1.632593,1.3004177
2002-01-30,core,60,static,1.3398451,1.2886071
2002-01-31,core,60,static,1.3036908,1.5861672
2002-02-01,core,60,static,1.4750715,1.6465665
2002-02-04,core,60,static,1.483779,1.4825926
2002-02-05,core,60,static,1.6120082,1.5930219
2002-02-06,core,60,static,1.2598191,1.2498442
2002-02-07,core,60,static,1.2064549,1.5663623
2002-02-08,core,60,static,1.468514,1.4534194
2002-02-14,core,60,static,1.7625515,2.004286
2002-02-15,core,60,static,1.3534482,1.5795785
2002-02-18,core,60,static,1.2851031,1.2164316
2002-02-19,core,60,static,1.3300374,1.2950832
2002-02-20,core,60,static,0.92501795,1.1670238
2002-02-21,core,60,static,1.448153,1.2665895
2002-02-22,core,60,static,1.3000295,1.3502983
2002-02-25,core,60,static,1.120975,1.2630436
2002-02-26,core,60,static,0.9606085,1.1908705
2002-02-27,core,60,static,1.3606933,1.3733288
2002-02-28,core,60,static,1.2048212,1.1992369
2002-03-04,core,60,static,1.2026724,1.0640218
2002-03-05,core,60,static,1.3040849,1.0577782
2002-03-06,core,60,static,1.3490828,1.0153016
2002-03-07,core,60,static,1.1017764,1.347003
2002-03-08,core,60,static,1.3557613,1.2945604
2002-03-11,core,60,static,1.1236748,1.1334993
2002-03-12,core,60,static,1.1642313,1.3126162
2002-03-13,core,60,static,1.3761994,1.198734
2002-03-14,core,60,static,1.732135,1.6285968
2002-03-15,core,60,static,1.4195485,1.5947063
2002-03-18,core,60,static,1.1900444,1.2047061
2002-03-19,core,60,static,1.2082579,1.2561039
2002-03-20,core,60,static,1.7169394,1.3974084
2002-03-21,core,60,static,1.2304847,1.2215699
2002-03-22,core,60,static,1.4186155,1.3661392
2002-03-25,core,60,static,1.2961278,1.4174092
2002-03-26,core,60,static,1.3374858,1.1392477
2002-03-27,core,60,static,1.1185592,1.1811992
2002-03-28,core,60,static,1.556742,1.3509879
2002-03-29,core,60,static,1.0900412,1.1320177
2001-09-03,momentum,22,static,0.7466042,1.0944043
2001-09-04,momentum,22,static,1.1451876,1.1993846
2001-09-05,momentum,22,static,0.9867531,1.160803
2001-09-06,momentum,22,static,0.921047,1.1183262
2001-09-07,momentum,22,static,0.8651238,1.0558519
2001-09-11,momentum,22,static,0.99968207,1.1595937
2001-09-12,momentum,22,static,5.145089,1.5626023
2001-09-13,momentum,22,static,2.1412773,1.871184
2001-09-14,momentum,22,static,2.7766545,2.037555
2001-09-17,momentum,22,static,1.5982653,2.0563996
2001-09-18,momentum,22,static,1.3887355,1.9090779
2001-09-19,momentum,22,static,1.334155,1.8147285
2001-09-20,momentum,22,static,1.503243,1.6568778
2001-09-21,momentum,22,static,1.4434581,1.508997
2001-09-24,momentum,22,static,1.1199275,1.4162291
2001-09-25,momentum,22,static,1.5513935,1.6461396
2001-09-26,momentum,22,static,1.3735356,1.5582093
2001-09-27,momentum,22,static,1.1104246,1.4242628
2001-09-28,momentum,22,static,1.2660418,1.3118365
2001-10-04,momentum,22,static,1.1761986,1.2705238
2001-10-05,momentum,22,static,0.9124375,1.1080004
2001-10-08,momentum,22,static,0.9601295,1.0649887
2001-10-09,momentum,22,static,0.8911104,1.08002
2001-10-10,momentum,22,static,0.8368023,1.0715588
2001-10-11,momentum,22,static,0.7732897,1.0517774
2001-10-12,momentum,22,static,1.1201193,1.0493296
2001-10-15,momentum,22,static,0.892548,0.97882736
2001-10-16,momentum,22,static,0.7437714,0.99387014
2001-10-17,momentum,22,static,0.8790355,1.0185537
2001-10-18,momentum,22,static,1.102222,1.0145073
2001-10-19,momentum,22,static,0.9248605,0.978964
2001-10-22,momentum,22,static,0.9472694,0.9295646
2001-10-23,momentum,22,static,0.95647055,0.9470572
2001-10-24,momentum,22,static,0.7433818,1.0106704
2001-10-25,momentum,22,static,0.89134675,0.9819656
2001-10-26,momentum,22,static,0.86082774,0.94145525
2001-10-29,momentum,22,static,0.8435975,0.912146
2001-10-30,momentum,22,static,0.86960524,0.9786884
2001-10-31,momentum,22,static,0.73506045,1.0114805
2001-11-01,momentum,22,static,0.80269545,1.0079547
2001-11-02,momentum,22,static,0.8605295,0.9502717
2001-11-05,momentum,22,static,0.9249837,0.9293534
2001-11-06,momentum,22,static,0.810273,0.91777915
2001-11-07,momentum,22,static,0.7356962,0.95286566
2001-11-08,momentum,22,static,1.165858,0.97426283
2001-11-09,momentum,22,static,1.0981371,0.9457605
2001-11-12,momentum,22,static,1.1535648,0.9263247
2001-11-13,momentum,22,static,1.5962058,0.96103686
2001-11-14,momentum,22,static,1.0062349,1.0468744
2001-11-15,momentum,22,static,1.5722888,1.0305213
2001-11-16,momentum,22,static,1.0510287,1.0054098
2001-11-19,momentum,22,static,1.5380912,1.0449315
2001-11-20,momentum,22,static,1.7230455,1.1484541
2001-11-21,momentum,22,static,1.4946291,1.1842194
2001-11-22,momentum,22,static,1.1109034,1.2057885
2001-11-23,momentum,22,static,1.4672333,1.19939
2001-11-26,momentum,22,static,1.821557,1.1896286
2001-11-27,momentum,22,static,2.3764877,1.2256091
2001-11-28,momentum,22,static,1.8268679,1.6180509
2001-11-30,momentum,22,static,1.513803,1.5032132
2001-12-03,momentum,22,static,1.7871368,1.4567051
2001-12-04,momentum,22,static,1.8108115,1.4065291
2001-12-05,momentum,22,static,1.9333318,1.6402398
2001-12-06,momentum,22,static,3.2019749,1.7336019
2001-12-07,momentum,22,static,2.0830026,1.6908473
2001-12-10,momentum,22,static,1.7435644,1.8866551
2001-12-11,momentum,22,static,2.3532186,1.7928632
2001-12-12,momentum,22,static,2.1861737,1.8128678
2001-12-13,momentum,22,static,2.2576902,1.6732093
2001-12-14,momentum,22,static,1.7536687,1.5712397
