date,feature_set,L,protocol,RV_target,RV_pred
2001-09-04,core,252,static,1.2100633,1.0763632
2001-09-05,core,252,static,1.5679408,1.1195494
2001-09-06,core,252,static,1.7411339,1.439219
2001-09-07,core,252,static,1.6673518,1.5475073
2001-09-10,core,252,static,0.74644005,1.4140728
2001-09-17,core,252,static,2.2967522,1.8421254
2001-09-18,core,252,static,1.0420033,1.6526446
2001-09-19,core,252,static,2.0819445,1.9436415
2001-09-20,core,252,static,2.3077028,1.9719647
2001-09-21,core,252,static,3.8494375,1.9772214
2001-09-24,core,252,static,2.7487578,1.853742
2001-09-25,core,252,static,1.3044777,1.6939472
2001-09-26,core,252,static,1.2184697,1.6766697
2001-09-27,core,252,static,1.323603,1.6236243
2001-09-28,core,252,static,1.383098,1.5006689
2001-10-01,core,252,static,1.1153392,1.3677709
2001-10-02,core,252,static,1.1142824,1.2896028
2001-10-03,core,252,static,1.4624399,1.42744
2001-10-04,core,252,static,1.4496776,1.3689762
2001-10-05,core,252,static,1.388343,1.2517387
2001-10-09,core,252,static,0.9012264,1.2434274
2001-10-10,core,252,static,1.1528347,1.3216423
2001-10-11,core,252,static,1.3153303,1.2608109
2001-10-12,core,252,static,1.8570796,1.2672404
2001-10-15,core,252,static,1.1521173,1.1142471
2001-10-16,core,252,static,1.086504,1.0320319
2001-10-17,core,252,static,1.5736189,1.4098281
2001-10-18,core,252,static,1.0661162,1.3981932
2001-10-19,core,252,static,0.9112782,1.2709174
2001-10-22,core,252,static,0.93944675,1.1255773
2001-10-23,core,252,static,1.1428016,1.1135122
2001-10-25,core,252,static,1.6669167,1.2949392
2001-10-26,core,252,static,1.1963391,1.137223
2001-10-29,core,252,static,1.1619931,1.3856239
2001-10-30,core,252,static,1.4189671,1.5211077
2001-10-31,core,252,static,1.3224171,1.4861509
2001-11-01,core,252,static,1.3793659,1.5210239
2001-11-02,core,252,static,1.1274173,1.3310987
2001-11-05,core,252,static,1.2020197,1.1786234
2001-11-06,core,252,static,1.1549374,1.1728108
2001-11-07,core,252,static,0.8003076,1.1679218
2001-11-08,core,252,static,1.1623281,1.1539536
2001-11-09,core,252,static,1.0823077,0.9884501
2001-11-12,core,252,static,1.8706733,0.9465262
2001-11-13,core,252,static,1.3069998,0.93224114
2001-11-14,core,252,static,0.72449815,0.95698065
2001-11-15,core,252,static,0.9128627,0.90461993
2001-11-16,core,252,static,0.863002,0.82987463
2001-11-19,core,252,static,0.8419718,0.7065187
2001-11-20,core,252,static,0.818936,0.7338312
2001-11-21,core,252,static,0.7878766,0.81370544
2001-11-23,core,252,static,0.46533653,0.75059754
2001-11-26,core,252,static,0.7479832,0.6671877
2001-11-27,core,252,static,1.2810916,0.7791663
2001-11-28,core,252,static,1.1399939,1.0481966
2001-11-29,core,252,static,0.9690435,1.007029
2001-11-30,core,252,static,0.70338136,0.8655011
2001-12-03,core,252,static,1.1231444,0.8087617
2001-12-04,core,252,static,0.7437601,0.8198216
2001-12-05,core,252,static,1.0228494,0.93959796
2001-12-06,core,252,static,0.74097836,0.8951901
2001-12-07,core,252,static,0.9054286,0.8421749
2001-12-10,core,252,static,0.81427985,0.9090273
2001-12-11,core,252,static,0.8531661,0.8939194
2001-12-12,core,252,static,0.9190137,0.9297537
2001-12-13,core,252,static,1.290168,1.0891367
2001-12-14,core,252,static,0.8951791,0.9755493
2001-12-17,core,252,static,0.73835754,0.8391297
2001-12-18,core,252,static,0.8728666,0.79178226
2001-12-19,core,252,static,0.98670614,0.862419
2001-12-20,core,252,static,0.670085,0.89966196
2001-12-21,core,252,static,0.7076453,0.76617384
2001-12-24,core,252,static,0.2745382,0.68498087
2001-12-26,core,252,static,0.6585761,0.74208355
2001-12-27,core,252,static,0.501013,0.7346236
2001-12-28,core,252,static,0.60416377,0.6647142
2001-12-31,core,252,static,0.6412162,0.7033816
2002-01-02,core,252,static,0.9662686,0.7823532
2002-01-03,core,252,static,0.6566055,0.77409333
2002-01-04,core,252,static,1.0448201,0.70928675
2002-01-07,core,252,static,0.68711996,0.7105957
2002-01-08,core,252,static,0.7378895,0.7258404
2002-01-09,core,252,static,1.0054343,0.8487261
2002-01-10,core,252,static,0.73413384,0.8146287
2002-01-11,core,252,static,0.7880538,0.7998871
2002-01-14,core,252,static,0.6233585,0.7475552
2002-01-15,core,252,static,0.8214684,0.74737346
2002-01-16,core,252,static,0.9989457,0.95644623
2002-01-18,core,252,static,0.5346062,0.8755981
2002-01-22,core,252,static,0.84008074,0.8776783
2002-01-23,core,252,static,0.7616886,0.8977361
2002-01-24,core,252,static,0.8008953,0.86293644
2002-01-25,core,252,static,0.7255604,0.7773908
2002-01-28,core,252,static,0.31458977,0.7174498
2002-01-29,core,252,static,1.0338218,1.1542515
2002-01-30,core,252,static,1.7252316,1.2232844
2002-01-31,core,252,static,0.9295723,1.1614679
2002-02-04,core,252,static,1.0101187,1.4624372
2002-02-05,core,252,static,1.4079877,1.356032
2002-02-06,core,252,static,1.3372043,1.3790987
2002-02-07,core,252,static,1.1120787,1.3399777
2002-02-08,core,252,static,1.0008774,1.1653826
2002-02-11,core,252,static,0.7202531,1.008402
2002-02-12,core,252,static,0.8822179,0.9257701
2002-02-13,core,252,static,0.79892343,0.9410792
2002-02-14,core,252,static,0.82857335,0.9251399
2002-02-15,core,252,static,0.88856053,0.8977525
2002-02-19,core,252,static,1.0459048,1.072471
2002-02-20,core,252,static,1.050849,1.139831
2002-02-21,core,252,static,1.087847,1.30182
2002-02-22,core,252,static,1.2664633,1.1758668
2002-02-25,core,252,static,0.9294254,1.0619186
2002-02-26,core,252,static,1.062882,0.9701478
2002-02-27,core,252,static,1.1307786,1.051265
2002-02-28,core,252,static,0.9938109,1.0312517
2002-03-01,core,252,static,0.95901006,0.9659548
2002-03-04,core,252,static,0.8169425,0.8574772
2002-03-05,core,252,static,1.0788753,0.8403592
2002-03-06,core,252,static,0.7701601,0.9147023
2002-03-07,core,252,static,1.0364548,0.93534034
2002-03-08,core,252,static,1.0599722,0.83701295
2002-03-11,core,252,static,0.64660805,0.7352704
2002-03-12,core,252,static,1.3386738,0.740374
2002-03-13,core,252,static,0.78072965,0.87314147
2002-03-14,core,252,static,0.5378052,0.8365228
2002-03-15,core,252,static,0.6818829,0.7403335
2002-03-18,core,252,static,0.7869819,0.69340616
2002-03-19,core,252,static,0.7443468,0.6922404
2002-03-20,core,252,static,0.91664755,0.90508634
2002-03-21,core,252,static,0.7908327,0.89773595
2002-03-22,core,252,static,0.76969403,0.8106286
2002-03-25,core,252,static,0.67752117,0.86863035
2002-03-26,core,252,static,0.94941515,0.8467137
2002-03-27,core,252,static,0.6792484,0.8671984
2002-03-28,core,252,static,0.65848863,0.83365715
2001-09-04,momentum,22,static,1.2100633,1.2168502
2001-09-05,momentum,22,static,1.5679408,1.2371234
2001-09-06,momentum,22,static,1.7411339,1.5310336
2001-09-07,momentum,22,static,1.6673518,1.6150678
2001-09-10,momentum,22,static,0.74644005,1.4781535
2001-09-17,momentum,22,static,2.2967522,1.8290224
2001-09-18,momentum,22,static,1.0420033,1.6295173
2001-09-19,momentum,22,static,2.0819445,1.96375
2001-09-20,momentum,22,static,2.3077028,2.0213757
2001-09-21,momentum,22,static,3.8494375,2.018429
2001-09-24,momentum,22,static,2.7487578,1.8402252
2001-09-25,momentum,22,static,1.3044777,1.6340629
2001-09-26,momentum,22,static,1.2184697,1.6208874
2001-09-27,momentum,22,static,1.323603,1.5694914
2001-09-28,momentum,22,static,1.383098,1.4646387
2001-10-01,momentum,22,static,1.1153392,1.3380698
2001-10-02,momentum,22,static,1.1142824,1.3121644
2001-10-03,momentum,22,static,1.4624399,1.4331913
2001-10-04,momentum,22,static,1.4496776,1.3192493
2001-10-05,momentum,22,static,1.388343,1.264512
2001-10-09,momentum,22,static,0.9012264,1.3001833
2001-10-10,momentum,22,static,1.1528347,1.3841974
2001-10-11,momentum,22,static,1.3153303,1.284496
2001-10-12,momentum,22,static,1.8570796,1.2972972
2001-10-15,momentum,22,static,1.1521173,1.1865644
2001-10-16,momentum,22,static,1.086504,1.1332134
2001-10-17,momentum,22,static,1.5736189,1.4726317
2001-10-18,momentum,22,static,1.0661162,1.3872317
2001-10-19,momentum,22,static,0.9112782,1.2813556
2001-10-22,momentum,22,static,0.93944675,1.1760063
2001-10-23,momentum,22,static,1.1428016,1.1450955
2001-10-25,momentum,22,static,1.6669167,1.3095989
2001-10-26,momentum,22,static,1.1963391,1.1442645
2001-10-29,momentum,22,static,1.1619931,1.4559268
2001-10-30,momentum,22,static,1.4189671,1.5402542
2001-10-31,momentum,22,static,1.3224171,1.4410297
2001-11-01,momentum,22,static,1.3793659,1.5070119
2001-11-02,momentum,22,static,1.1274173,1.3215482
2001-11-05,momentum,22,static,1.2020197,1.2501252
2001-11-06,momentum,22,static,1.1549374,1.2447883
2001-11-07,momentum,22,static,0.8003076,1.1838955
2001-11-08,momentum,22,static,1.1623281,1.1682047
2001-11-09,momentum,22,static,1.0823077,1.0391656
2001-11-12,momentum,22,static,1.8706733,1.0635929
2001-11-13,momentum,22,static,1.3069998,1.10116
2001-11-14,momentum,22,static,0.72449815,1.081004
2001-11-15,momentum,22,static,0.9128627,0.99623954
2001-11-16,momentum,22,static,0.863002,0.93546647
2001-11-19,momentum,22,static,0.8419718,0.8300394
2001-11-20,momentum,22,static,0.818936,0.83234656
2001-11-21,momentum,22,static,0.7878766,0.8663345
2001-11-23,momentum,22,static,0.46533653,0.81828094
2001-11-26,momentum,22,static,0.7479832,0.72158945
2001-11-27,momentum,22,static,1.2810916,0.80109227
2001-11-28,momentum,22,static,1.1399939,1.0532665
2001-11-29,momentum,22,static,0.9690435,0.97957784
2001-11-30,momentum,22,static,0.70338136,0.8559031
2001-12-03,momentum,22,static,1.1231444,0.87841547
2001-12-04,momentum,22,static,0.7437601,0.8698582
2001-12-05,momentum,22,static,1.0228494,0.9641067
2001-12-06,momentum,22,static,0.74097836,0.86829054
2001-12-07,momentum,22,static,0.9054286,0.85437894
2001-12-10,momentum,22,static,0.81427985,0.9572585
2001-12-11,momentum,22,static,0.8531661,0.94123256
2001-12-12,momentum,22,static,0.9190137,0.9816176
2001-12-13,momentum,22,static,1.290168,1.1457633
2001-12-14,momentum,22,static,0.8951791,1.0475068
2001-12-17,momentum,22,static,0.73835754,0.9535179
2001-12-18,momentum,22,static,0.8728666,0.8828649
2001-12-19,momentum,22,static,0.98670614,0.89254034
2001-12-20,momentum,22,static,0.670085,0.900515
2001-12-21,momentum,22,static,0.7076453,0.76876426
2001-12-24,momentum,22,static,0.2745382,0.679237
2001-12-26,momentum,22,static,0.6585761,0.7191092
2001-12-27,momentum,22,static,0.501013,0.68981326
2001-12-28,momentum,22,static,0.60416377,0.6308089
2001-12-31,momentum,22,static,0.6412162,0.6938827
2002-01-02,momentum,22,static,0.9662686,0.7439931
2002-01-03,momentum,22,static,0.6566055,0.73317206
2002-01-04,momentum,22,static,1.0448201,0.68175924
2002-01-07,momentum,22,static,0.68711996,0.6924014
2002-01-08,momentum,22,static,0.7378895,0.6949309
2002-01-09,momentum,22,static,1.0054343,0.799995
2002-01-10,momentum,22,static,0.73413384,0.7701098
2002-01-11,momentum,22,static,0.7880538,0.80865365
2002-01-14,momentum,22,static,0.6233585,0.7791063
2002-01-15,momentum,22,static,0.8214684,0.7691234
