date,feature_set,L,protocol,RV_target,RV_pred
2020-01-06,core,60,static,0.44382903,0.5538708
2020-01-07,core,60,static,0.44791958,0.5461906
2020-01-08,core,60,static,1.0271528,0.79057956
2020-01-09,core,60,static,0.40029523,0.62540936
2020-01-10,core,60,static,0.50816536,0.49979544
2020-01-14,core,60,static,0.4712035,0.36102986
2020-01-15,core,60,static,0.34357914,0.41835314
2020-01-16,core,60,static,0.33070755,0.3489796
2020-01-17,core,60,static,0.2753261,0.33580887
2020-01-20,core,60,static,0.24701275,0.24463528
2020-01-21,core,60,static,0.6026988,0.4995445
2020-01-22,core,60,static,0.33330953,0.46765584
2020-01-23,core,60,static,0.5190674,0.42537683
2020-01-24,core,60,static,0.35779923,0.36905277
2020-01-27,core,60,static,0.5440839,0.5012383
2020-01-28,core,60,static,0.60429853,0.47131836
2020-01-29,core,60,static,0.41658565,0.44857103
2020-01-30,core,60,static,0.64967036,0.9491974
2020-01-31,core,60,static,0.7667314,0.75352734
2020-02-03,core,60,static,0.7104763,0.68809706
2020-02-04,core,60,static,0.5517053,0.6420054
2020-02-05,core,60,static,0.5521484,0.50404
2020-02-06,core,60,static,0.61236733,0.7994042
2020-02-07,core,60,static,0.5950724,0.5921389
2020-02-10,core,60,static,0.5692523,0.5289615
2020-02-12,core,60,static,0.5979088,0.47969103
2020-02-13,core,60,static,0.50525135,0.44492662
2020-02-14,core,60,static,0.43281853,0.475631
2020-02-17,core,60,static,0.68583125,0.56889653
2020-02-18,core,60,static,0.5501335,0.67890716
2020-02-19,core,60,static,0.45302433,0.59118396
2020-02-20,core,60,static,0.90920395,0.8375489
2020-02-21,core,60,static,0.69606656,0.6563134
2020-02-25,core,60,static,1.9779071,1.2435536
2020-02-26,core,60,static,1.144741,1.0628401
2020-02-27,core,60,static,0.9997437,1.2201341
2020-02-28,core,60,static,1.8126712,1.7076461
2020-03-02,core,60,static,1.69042,1.8279926
2020-03-03,core,60,static,1.2993041,1.7734467
2020-03-04,core,60,static,1.2761705,1.3310797
2020-03-05,core,60,static,0.89602184,0.8517819
2020-03-06,core,60,static,0.92434686,1.2454509
2020-03-09,core,60,static,2.1368737,2.4081192
2020-03-10,core,60,static,2.9922836,2.7921355
2020-03-11,core,60,static,1.9073552,2.1215034
2020-03-12,core,60,static,2.3385322,2.6362343
2020-03-13,core,60,static,6.2040453,4.4998536
2020-03-16,core,60,static,3.7857985,3.2359068
2020-03-17,core,60,static,4.355637,3.3851662
2020-03-18,core,60,static,2.641052,2.937425
2020-03-19,core,60,static,2.735579,2.7936115
2020-03-23,core,60,static,2.3729339,2.3839993
2020-03-24,core,60,static,3.0436535,2.5582418
2020-03-25,core,60,static,3.0308642,3.2223396
2020-03-26,core,60,static,2.714887,2.8310244
2020-03-27,core,60,static,2.8818197,2.2722864
2020-03-30,core,60,static,1.6537532,1.9110092
2020-03-31,core,60,static,1.782464,1.7840832
2020-04-01,core,60,static,1.9083135,2.8912435
2020-04-02,core,60,static,2.137784,2.0290594
2020-04-03,core,60,static,1.4161434,1.6391424
2020-04-06,core,60,static,2.1911533,2.2263973
2020-04-07,core,60,static,2.2000232,2.0767536
2020-04-08,core,60,static,2.1747363,2.1315675
2020-04-09,core,60,static,1.1293111,1.596696
2020-04-10,core,60,static,0.944081,1.2753601
2020-04-13,core,60,static,0.9757498,1.2342825
2020-04-14,core,60,static,1.2967237,1.5289547
2020-04-15,core,60,static,1.2495824,1.1032126
2020-04-16,core,60,static,0.83327824,1.0044577
2020-04-17,core,60,static,1.1986153,1.1180559
2020-04-20,core,60,static,0.8171136,0.89791757
2020-04-21,core,60,static,1.1040707,1.0216334
2020-04-22,core,60,static,1.151931,1.035321
2020-04-23,core,60,static,0.8686289,0.82606477
2020-04-24,core,60,static,0.66154623,0.8238628
2020-04-27,core,60,static,0.8998703,0.99925435
2020-04-28,core,60,static,0.77641505,0.8174145
2020-04-30,core,60,static,1.134217,0.82495195
2020-05-01,core,60,static,0.88407654,1.1374531
2020-05-07,core,60,static,0.7189698,0.9561018
2020-05-08,core,60,static,0.964118,0.9408366
2020-05-11,core,60,static,0.70183384,0.8331289
2020-05-12,core,60,static,0.7655016,0.68510747
2020-05-13,core,60,static,0.7385725,0.7914207
2020-05-14,core,60,static,0.7860958,0.8466889
2020-05-15,core,60,static,1.06585,0.97372997
2020-05-18,core,60,static,0.7189533,0.72683704
2020-05-19,core,60,static,0.98682386,0.6939482
2020-05-20,core,60,static,0.54295725,0.7135536
2020-05-21,core,60,static,0.63715106,0.7269963
2020-05-22,core,60,static,0.88088787,0.82092655
2020-05-25,core,60,static,0.4803144,0.5761679
2020-05-26,core,60,static,0.6801239,0.858584
2020-05-27,core,60,static,1.0993152,0.84752405
2020-05-28,core,60,static,1.2409343,0.9374887
2020-05-29,core,60,static,0.74741215,0.8265946
2020-06-01,core,60,static,0.77988225,0.74657756
2020-06-02,core,60,static,0.74083364,0.74823266
2020-06-03,core,60,static,1.1755095,0.83172756
2020-06-04,core,60,static,1.0190725,1.0068702
2020-06-05,core,60,static,0.752185,0.9000592
2020-06-08,core,60,static,0.70580775,0.5934235
2020-06-09,core,60,static,0.80062586,0.6932286
2020-06-10,core,60,static,0.6440068,0.72652763
2020-06-11,core,60,static,1.0577861,1.0434662
2020-06-12,core,60,static,1.8735307,1.312673
2020-06-15,core,60,static,1.2531884,1.794328
2020-06-16,core,60,static,1.762281,1.5685568
2020-06-17,core,60,static,1.1323292,1.0208282
