date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,22,static,0.8925091,0.7001147
2020-01-03,core,22,static,0.8655617,0.8650171
2020-01-06,core,22,static,0.64004916,0.6290847
2020-01-07,core,22,static,0.61568403,0.55643165
2020-01-08,core,22,static,0.8261563,0.66587627
2020-01-09,core,22,static,0.58667445,0.5256566
2020-01-10,core,22,static,0.7661299,0.5466167
2020-01-13,core,22,static,0.6040833,0.6162226
2020-01-14,core,22,static,0.6655603,0.5636008
2020-01-15,core,22,static,0.56905633,0.56199676
2020-01-16,core,22,static,0.58116597,0.6010244
2020-01-17,core,22,static,0.63811225,0.62539136
2020-01-20,core,22,static,0.67395675,0.5621165
2020-01-21,core,22,static,0.5681763,0.6534834
2020-01-22,core,22,static,0.68830997,0.67484623
2020-01-23,core,22,static,0.72636735,0.6253576
2020-01-28,core,22,static,0.88319975,0.7753814
2020-01-29,core,22,static,0.8074044,0.7708939
2020-01-30,core,22,static,0.8236806,1.057699
2020-01-31,core,22,static,0.8683717,1.1892757
2020-02-03,core,22,static,1.6001309,1.1132805
2020-02-04,core,22,static,0.99906355,0.9034089
2020-02-05,core,22,static,0.9396403,0.8352365
2020-02-06,core,22,static,0.8091606,0.82034147
2020-02-07,core,22,static,0.78680825,0.865227
2020-02-10,core,22,static,0.7722622,0.77195793
2020-02-11,core,22,static,0.60671264,0.6253811
2020-02-12,core,22,static,0.71207774,0.65907377
2020-02-13,core,22,static,0.8955175,0.6955482
2020-02-14,core,22,static,0.74798423,0.7380796
2020-02-17,core,22,static,0.703522,0.6503484
2020-02-18,core,22,static,0.6943836,0.70498455
2020-02-19,core,22,static,0.95025545,0.8524848
2020-02-20,core,22,static,0.8966674,0.9604743
2020-02-21,core,22,static,0.8840929,0.8616496
2020-02-24,core,22,static,1.0130543,1.162868
2020-02-25,core,22,static,1.1149325,0.98530215
2020-02-26,core,22,static,0.9713678,0.97831804
2020-02-27,core,22,static,1.096685,1.0763795
2020-02-28,core,22,static,1.0540459,1.4117961
2020-03-02,core,22,static,1.3627888,1.3515034
2020-03-03,core,22,static,1.0404245,1.1747165
2020-03-04,core,22,static,1.3947695,1.1476283
2020-03-05,core,22,static,1.1107405,0.968165
2020-03-06,core,22,static,0.88189816,1.0670482
2020-03-09,core,22,static,0.9158199,1.378159
2020-03-10,core,22,static,1.5066711,1.1511086
2020-03-11,core,22,static,1.3666302,1.7819092
2020-03-12,core,22,static,2.3275516,2.616189
2020-03-13,core,22,static,4.240512,4.14358
2020-03-16,core,22,static,3.102806,3.509247
2020-03-17,core,22,static,3.1042266,3.2757692
2020-03-18,core,22,static,2.1478994,3.6909652
2020-03-19,core,22,static,5.106524,4.368892
2020-03-20,core,22,static,3.461034,4.647207
2020-03-23,core,22,static,2.9401298,3.1876044
2020-03-24,core,22,static,2.4058669,3.9878898
2020-03-25,core,22,static,3.186184,2.8983164
2020-03-26,core,22,static,3.3640313,2.772196
2020-03-27,core,22,static,2.3679667,3.1501849
2020-03-30,core,22,static,1.7741219,2.6680532
2020-03-31,core,22,static,1.8786575,1.5969508
2020-04-01,core,22,static,1.5038444,2.2118778
2020-04-02,core,22,static,3.0579274,2.2935843
2020-04-03,core,22,static,1.454066,1.8762786
2020-04-06,core,22,static,1.4193306,1.395637
2020-04-07,core,22,static,1.825698,1.6516194
2020-04-08,core,22,static,1.42916,1.6458948
2020-04-09,core,22,static,1.1514325,1.2394683
2020-04-10,core,22,static,1.2350382,1.2627778
2020-04-13,core,22,static,0.7029782,1.2687767
2020-04-14,core,22,static,0.9109103,1.0123808
2020-04-16,core,22,static,0.98536414,1.2250113
2020-04-17,core,22,static,1.0865109,0.88806385
2020-04-20,core,22,static,1.0786573,1.1802745
2020-04-21,core,22,static,2.1421676,1.4913716
2020-04-22,core,22,static,1.0999987,1.5822682
2020-04-23,core,22,static,1.2316594,1.1551569
2020-04-24,core,22,static,0.99207103,1.1773515
2020-04-27,core,22,static,0.7388897,1.0449833
2020-04-28,core,22,static,1.0467181,1.0095136
2020-04-29,core,22,static,0.9343769,0.85105175
2020-05-04,core,22,static,0.9064175,0.9550908
2020-05-06,core,22,static,0.7964782,0.8196234
2020-05-07,core,22,static,0.6942912,0.8356226
2020-05-08,core,22,static,0.6208556,0.6435952
2020-05-11,core,22,static,0.814888,0.80902654
2020-05-12,core,22,static,1.0388311,0.9139373
2020-05-13,core,22,static,0.89658505,1.0084245
2020-05-14,core,22,static,0.8146667,0.831948
2020-05-15,core,22,static,0.91806823,0.85085815
2020-05-18,core,22,static,0.574851,0.74174696
2020-05-19,core,22,static,0.71427006,0.47507012
2020-05-20,core,22,static,0.5795682,0.63445354
2020-05-21,core,22,static,0.6458906,0.5585575
2020-05-22,core,22,static,0.81480575,0.9590324
2020-05-25,core,22,static,0.69699764,0.75899017
2020-05-26,core,22,static,0.74352235,0.71747315
2020-05-27,core,22,static,0.8157638,0.72425544
2020-05-28,core,22,static,1.162163,1.1348623
2020-05-29,core,22,static,0.97077924,0.9734695
2020-06-01,core,22,static,0.6808788,0.7600673
2020-06-02,core,22,static,0.71813905,0.78565496
2020-06-03,core,22,static,0.974479,0.93803596
2020-06-04,core,22,static,1.5348704,1.3728261
2020-06-05,core,22,static,0.9500666,1.2727339
2020-06-08,core,22,static,1.2369232,1.2014949
2020-06-09,core,22,static,1.1788765,1.2066958
2020-06-10,core,22,static,0.7851555,0.8913073
2020-06-11,core,22,static,1.0741744,1.1689367
2020-06-12,core,22,static,1.3512856,1.3074918
2020-06-15,core,22,static,1.6652087,2.2444186
2020-06-16,core,22,static,1.279926,1.4847109
2020-06-17,core,22,static,2.0011058,1.5728092
2020-06-18,core,22,static,1.0711188,1.1389396
2020-06-19,core,22,static,1.3147469,1.1614354
2020-06-22,core,22,static,0.9381533,0.93895936
2020-06-23,core,22,static,1.4316689,1.1032643
2020-06-24,core,22,static,0.82364184,0.842568
2020-06-25,core,22,static,1.0901093,1.0328019
2020-06-26,core,22,static,1.0487251,0.91568214
2020-06-29,core,22,static,0.9529297,1.0367532
2020-06-30,core,22,static,0.90718454,0.87851244
