date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,252,static,0.39189517,0.34866804
2020-01-03,core,252,static,0.57780653,0.44658566
2020-01-06,core,252,static,0.32529518,0.493259
2020-01-07,core,252,static,0.34476992,0.3804924
2020-01-08,core,252,static,0.49492148,0.474595
2020-01-09,core,252,static,0.3705553,0.2885061
2020-01-10,core,252,static,0.40058494,0.39332843
2020-01-13,core,252,static,0.23661307,0.35635436
2020-01-14,core,252,static,0.3889446,0.356321
2020-01-15,core,252,static,0.40533447,0.40292096
2020-01-16,core,252,static,0.2643698,0.2823845
2020-01-17,core,252,static,0.30481642,0.22761539
2020-01-21,core,252,static,0.34118327,0.29592532
2020-01-22,core,252,static,0.35213205,0.3656547
2020-01-23,core,252,static,0.4966379,0.43303007
2020-01-24,core,252,static,0.73585385,0.6475423
2020-01-27,core,252,static,0.64604306,0.65227944
2020-01-28,core,252,static,0.452649,0.5408424
2020-01-29,core,252,static,0.50535023,0.49751383
2020-01-30,core,252,static,0.72819614,0.69955176
2020-01-31,core,252,static,0.9274307,0.81330055
2020-02-03,core,252,static,0.6683946,0.59433925
2020-02-04,core,252,static,0.4575791,0.36966568
2020-02-05,core,252,static,0.5100799,0.36301777
2020-02-06,core,252,static,0.44047529,0.34136093
2020-02-07,core,252,static,0.5289929,0.3974313
2020-02-10,core,252,static,0.42343602,0.43124533
2020-02-11,core,252,static,0.48149973,0.4293995
2020-02-12,core,252,static,0.3780177,0.29862738
2020-02-13,core,252,static,0.50131303,0.46359378
2020-02-14,core,252,static,0.36170778,0.3054798
2020-02-18,core,252,static,0.47965696,0.41562623
2020-02-19,core,252,static,0.24694817,0.35246137
2020-02-20,core,252,static,0.94577426,0.68136686
2020-02-21,core,252,static,0.74495405,0.5578572
2020-02-24,core,252,static,1.0896305,1.0008821
2020-02-25,core,252,static,1.5687497,3.0746682
2020-02-26,core,252,static,1.6612145,2.1170871
2020-02-27,core,252,static,2.6818995,2.6290033
2020-02-28,core,252,static,3.7478864,2.5109432
2020-03-02,core,252,static,2.504804,3.2991502
2020-03-03,core,252,static,4.2940593,2.8223677
2020-03-04,core,252,static,1.6346346,2.768201
2020-03-05,core,252,static,1.9132732,1.8532068
2020-03-06,core,252,static,2.3569694,2.1779547
2020-03-09,core,252,static,4.796297,2.56101
2020-03-10,core,252,static,3.3062744,3.1551445
2020-03-11,core,252,static,2.2872944,3.4004629
2020-03-12,core,252,static,6.4444075,3.7768443
2020-03-13,core,252,static,5.1270256,5.1942115
2020-03-16,core,252,static,6.4195466,4.4011326
2020-03-17,core,252,static,4.766583,5.1380734
2020-03-18,core,252,static,4.9877863,5.423364
2020-03-19,core,252,static,4.5690975,4.3651476
2020-03-20,core,252,static,3.9225721,5.0478625
2020-03-23,core,252,static,5.348252,4.739529
2020-03-24,core,252,static,3.039526,3.0769389
2020-03-25,core,252,static,3.6391017,4.109895
2020-03-26,core,252,static,3.3056555,3.0728014
2020-03-27,core,252,static,2.38725,2.535123
2020-03-30,core,252,static,1.8603938,2.8987632
2020-03-31,core,252,static,2.0069637,1.9949012
2020-04-01,core,252,static,1.7947489,2.9975886
2020-04-02,core,252,static,2.7526884,2.9827387
2020-04-03,core,252,static,1.9069453,2.684251
2020-04-06,core,252,static,1.5418934,3.1909385
2020-04-07,core,252,static,2.5417154,3.1818376
2020-04-08,core,252,static,1.4902737,3.0506477
2020-04-09,core,252,static,1.8835154,1.4182253
2020-04-13,core,252,static,1.6725112,1.2561351
2020-04-14,core,252,static,1.2687376,1.0184273
2020-04-15,core,252,static,1.4262171,1.2215606
2020-04-16,core,252,static,1.3615836,1.0813475
2020-04-17,core,252,static,1.1710815,1.0156128
2020-04-20,core,252,static,1.2892947,1.183428
2020-04-21,core,252,static,1.6754447,1.4006414
2020-04-22,core,252,static,0.91572154,0.5818821
2020-04-23,core,252,static,1.3922467,1.0599545
2020-04-24,core,252,static,0.93943346,0.76048034
2020-04-27,core,252,static,0.7241447,0.6678284
2020-04-28,core,252,static,1.2178254,1.6636153
2020-04-29,core,252,static,0.82914966,0.5926082
2020-04-30,core,252,static,1.2808839,1.1748137
2020-05-01,core,252,static,1.1763699,1.3175353
2020-05-05,core,252,static,0.93475103,0.90392715
2020-05-06,core,252,static,1.0374403,0.9617638
2020-05-07,core,252,static,0.83236057,0.6412417
2020-05-08,core,252,static,0.5910205,0.68080914
2020-05-11,core,252,static,0.7853065,1.2099738
2020-05-12,core,252,static,0.962028,1.4847724
2020-05-13,core,252,static,1.7481351,2.326355
2020-05-14,core,252,static,1.5898035,2.438927
2020-05-15,core,252,static,1.2404516,1.1018023
2020-05-18,core,252,static,1.0309315,1.1983829
2020-05-19,core,252,static,1.1724606,1.1034333
2020-05-20,core,252,static,0.7200201,0.8380405
2020-05-21,core,252,static,0.99725384,1.0018826
2020-05-22,core,252,static,0.69256705,0.6716208
2020-05-26,core,252,static,0.73716617,0.6528925
2020-05-27,core,252,static,1.1451174,0.6997552
2020-05-28,core,252,static,1.0197353,0.9769897
2020-05-29,core,252,static,1.4629577,0.68218386
2020-06-01,core,252,static,0.5712933,0.64805883
2020-06-02,core,252,static,0.6681298,0.79621863
2020-06-03,core,252,static,0.58002305,0.6740785
2020-06-04,core,252,static,0.8117055,0.8490788
2020-06-05,core,252,static,0.8815963,0.5708595
2020-06-08,core,252,static,0.63393,0.5249809
2020-06-09,core,252,static,0.84415996,0.68620676
2020-06-10,core,252,static,1.2856768,0.7081604
2020-06-11,core,252,static,1.7167212,2.1601145
2020-06-12,core,252,static,2.3175223,2.498563
2020-06-15,core,252,static,1.9292932,3.0547402
2020-06-16,core,252,static,1.7275707,1.683737
2020-06-17,core,252,static,0.88524044,0.8582449
2020-06-18,core,252,static,0.86228484,0.76613426
2020-06-19,core,252,static,1.3585914,1.3203669
2020-06-23,core,252,static,0.67075735,0.87367874
2020-06-24,core,252,static,1.5251178,1.4396145
2020-06-25,core,252,static,1.2592999,0.90416163
2020-06-26,core,252,static,1.1905662,1.5972275
2020-06-29,core,252,static,0.8863607,0.7818949
2020-06-30,core,252,static,0.90190184,0.9989247
2020-07-01,core,252,static,0.8760425,0.8365911
2020-07-02,core,252,static,0.91483134,0.9660479
2020-07-06,core,252,static,0.81962407,0.43344924
2020-07-07,core,252,static,0.7022976,0.9964704
2020-07-08,core,252,static,0.85270464,0.8111874
2020-07-09,core,252,static,1.2225832,1.2418869
2020-07-10,core,252,static,0.89676213,1.1242822
2020-07-13,core,252,static,1.2125746,1.2946167
2020-07-14,core,252,static,1.4073156,1.3527875
2020-07-15,core,252,static,1.0954168,0.79712576
2020-07-16,core,252,static,0.7466605,0.65044147
2020-07-17,core,252,static,0.5126125,0.60156935
2020-07-21,core,252,static,0.6694908,0.48897743
2020-07-22,core,252,static,0.6442449,0.53331584
2020-07-23,core,252,static,0.9061002,0.95918006
2020-07-24,core,252,static,0.8787323,0.7540816
2020-07-27,core,252,static,0.4724914,0.62524325
2020-07-28,core,252,static,0.57962865,0.6972834
