date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,0.8801034,1.0324475
2007-08-02,core,252,static,1.4408923,1.2276328
2007-08-03,core,252,static,1.0649017,0.9861748
2007-08-06,core,252,static,0.9231945,1.004246
2007-08-07,core,252,static,0.7631564,0.7294307
2007-08-08,core,252,static,0.7670764,0.7644738
2007-08-09,core,252,static,0.72914207,0.6668805
2007-08-10,core,252,static,1.1996056,0.99941885
2007-08-13,core,252,static,0.9357482,0.87507236
2007-08-14,core,252,static,0.60116553,0.6537769
2007-08-15,core,252,static,0.8692643,0.8592956
2007-08-16,core,252,static,1.7035085,1.4919305
2007-08-17,core,252,static,1.8911664,2.21515
2007-08-20,core,252,static,1.8842937,1.8804176
2007-08-21,core,252,static,1.2399241,1.4256451
2007-08-22,core,252,static,0.92904145,1.0693597
2007-08-23,core,252,static,1.2037963,1.1044283
2007-08-24,core,252,static,0.75902826,0.97486126
2007-08-27,core,252,static,0.7493133,0.948452
2007-08-28,core,252,static,0.6436693,0.79979944
2007-08-29,core,252,static,1.3607227,0.8477993
2007-08-30,core,252,static,0.8844781,0.8695102
2007-08-31,core,252,static,0.76592296,0.9803333
2007-09-03,core,252,static,0.7356174,0.66748965
2007-09-04,core,252,static,0.6469597,0.7063806
2007-09-05,core,252,static,0.82220393,1.0231528
2007-09-06,core,252,static,1.2827791,1.3934244
2007-09-07,core,252,static,0.94838935,0.98059237
2007-09-10,core,252,static,1.3983003,0.9662175
2007-09-11,core,252,static,1.0835041,1.1734467
2007-09-12,core,252,static,1.3109461,1.0918941
2007-09-13,core,252,static,0.81548774,0.95690334
2007-09-14,core,252,static,0.82872677,0.9982779
2007-09-18,core,252,static,0.8804546,0.92574334
2007-09-19,core,252,static,1.3267688,1.1077472
2007-09-20,core,252,static,0.6548281,0.9069042
2007-09-21,core,252,static,0.64813536,0.6572405
2007-09-25,core,252,static,0.7388924,0.7267406
2007-09-26,core,252,static,0.6000896,0.5722628
2007-09-27,core,252,static,0.7981365,0.8625232
2007-09-28,core,252,static,0.62373877,0.76391864
2007-10-01,core,252,static,0.8118753,0.753333
2007-10-02,core,252,static,0.5797593,0.56286967
2007-10-03,core,252,static,0.6384781,0.6590365
2007-10-04,core,252,static,0.7074501,0.5688436
2007-10-05,core,252,static,0.5344448,0.593621
2007-10-09,core,252,static,0.565423,0.5176685
2007-10-10,core,252,static,0.49269378,0.48480183
2007-10-11,core,252,static,1.0300627,0.853088
2007-10-12,core,252,static,0.6092255,0.73313856
2007-10-15,core,252,static,0.62283504,0.59905815
2007-10-16,core,252,static,0.7858034,0.6675055
2007-10-17,core,252,static,1.2261579,0.95439994
2007-10-18,core,252,static,0.84842515,0.8732747
2007-10-19,core,252,static,0.9328719,0.9101354
2007-10-22,core,252,static,1.5827135,1.0597432
2007-10-23,core,252,static,0.719069,0.84222615
2007-10-24,core,252,static,0.8917337,0.8939872
2007-10-25,core,252,static,0.9904997,1.0106763
2007-10-26,core,252,static,0.7622867,0.8474202
2007-10-29,core,252,static,0.75400984,0.6577424
2007-10-30,core,252,static,0.7734535,0.7546805
2007-10-31,core,252,static,0.7115207,0.7382641
2007-11-01,core,252,static,0.6431613,0.56894976
2007-11-02,core,252,static,0.96520317,0.6915431
2007-11-05,core,252,static,0.84878254,0.86683464
2007-11-06,core,252,static,0.86974025,0.91528535
2007-11-07,core,252,static,0.76526433,0.87702215
2007-11-08,core,252,static,1.0955954,1.119055
2007-11-09,core,252,static,1.2420065,1.1327524
2007-11-12,core,252,static,1.4491807,1.3478199
2007-11-13,core,252,static,1.3986118,1.2208353
2007-11-14,core,252,static,0.83256733,1.0590615
2007-11-15,core,252,static,0.7714589,0.9861232
2007-11-16,core,252,static,1.2273935,0.95969117
2007-11-19,core,252,static,0.9978828,1.0271828
2007-11-20,core,252,static,1.379404,1.5716071
2007-11-21,core,252,static,1.3258077,1.4135691
2007-11-22,core,252,static,1.4661254,1.477267
2007-11-26,core,252,static,1.1383275,1.3815778
2007-11-27,core,252,static,2.463901,1.6087337
2007-11-28,core,252,static,1.0777344,1.3763462
2007-11-29,core,252,static,1.1031961,1.1320325
2007-11-30,core,252,static,0.77607155,1.0539054
2007-12-03,core,252,static,1.1192423,0.9444455
2007-12-04,core,252,static,0.8677149,1.0188498
2007-12-05,core,252,static,0.8952151,0.95228386
2007-12-06,core,252,static,0.7495637,0.77533185
2007-12-07,core,252,static,0.86016476,0.78476155
2007-12-10,core,252,static,0.87988734,0.7984308
2007-12-11,core,252,static,0.71187633,0.7100413
2007-12-12,core,252,static,1.000316,0.89755404
2007-12-13,core,252,static,0.89545405,1.0092282
2007-12-14,core,252,static,1.4914306,0.99548244
2007-12-17,core,252,static,1.033565,1.09759
2007-12-18,core,252,static,1.3484181,1.2139809
2007-12-19,core,252,static,0.83504623,1.1072522
2007-12-20,core,252,static,0.71832126,0.8998251
2007-12-21,core,252,static,1.198401,1.0616827
2007-12-25,core,252,static,0.8315531,0.73960996
2007-12-26,core,252,static,0.40275282,0.676157
2007-12-27,core,252,static,0.51416916,0.5689035
2007-12-28,core,252,static,0.6100839,0.7296567
2008-01-04,core,252,static,1.6814002,1.6003991
2008-01-07,core,252,static,1.1760688,1.2811488
2008-01-08,core,252,static,1.2171863,0.94057906
2008-01-09,core,252,static,1.2883667,1.2398582
2008-01-10,core,252,static,0.8183584,1.1328771
2008-01-11,core,252,static,1.3772194,1.3101189
2008-01-15,core,252,static,1.2154658,1.3085582
2008-01-16,core,252,static,1.8376912,1.5055755
2008-01-17,core,252,static,1.6769547,1.5707512
2008-01-18,core,252,static,2.0982952,1.8755376
2008-01-21,core,252,static,1.8114805,1.6860721
2008-01-22,core,252,static,2.846119,2.3088996
2008-01-23,core,252,static,2.6428788,2.278588
2008-01-24,core,252,static,1.705175,1.5490483
2008-01-25,core,252,static,1.282452,1.7663563
2008-01-28,core,252,static,1.1922202,1.9172963
2008-01-29,core,252,static,1.6987835,1.5757412
2008-01-30,core,252,static,1.470199,1.3765599
2008-01-31,core,252,static,1.6594957,1.7907748
2008-02-01,core,252,static,1.4009969,1.39514
2008-02-04,core,252,static,1.2741902,1.3134949
2008-02-05,core,252,static,0.97218794,1.1071041
2008-02-06,core,252,static,1.716777,1.4599959
2008-02-07,core,252,static,1.2926532,1.4370356
2008-02-08,core,252,static,1.4193152,1.3651476
2008-02-12,core,252,static,1.1911092,1.1538779
2008-02-13,core,252,static,1.1491308,1.1278237
2008-02-14,core,252,static,1.3668795,1.4634571
2008-02-15,core,252,static,1.2876648,1.437013
2008-02-18,core,252,static,1.3829021,1.1515613
2008-02-19,core,252,static,1.0288566,0.98149943
2008-02-20,core,252,static,1.2348869,1.369757
2008-02-21,core,252,static,1.3892696,1.2953868
2008-02-22,core,252,static,1.3457806,1.122867
2008-02-25,core,252,static,1.2751386,1.2565006
2008-02-26,core,252,static,0.9564344,1.1736296
2008-02-27,core,252,static,1.203966,0.9774121
2008-02-28,core,252,static,0.99435985,0.89488816
2008-02-29,core,252,static,1.1301521,0.9388367
2008-03-03,core,252,static,1.7108192,1.4838268
2008-03-04,core,252,static,1.4820001,1.3787347
2008-03-05,core,252,static,1.1221273,1.0470031
2008-03-06,core,252,static,1.0432024,1.2931608
2008-03-07,core,252,static,1.6545572,1.3303165
2008-03-10,core,252,static,1.3408215,1.3189715
2008-03-11,core,252,static,1.3021135,1.6029841
2008-03-12,core,252,static,1.7157757,1.312496
2008-03-13,core,252,static,1.6251465,1.8477042
2008-03-14,core,252,static,1.614607,1.9896723
2008-03-17,core,252,static,2.001694,2.1588519
2008-03-18,core,252,static,1.999982,1.5408762
2008-03-19,core,252,static,2.039671,1.3841326
2008-03-21,core,252,static,0.89049405,1.4642622
2008-03-24,core,252,static,1.0234107,1.1375915
2008-03-25,core,252,static,0.90599746,1.1551348
2008-03-26,core,252,static,0.92750955,0.8993772
2008-03-27,core,252,static,1.0831254,0.85819566
2008-03-28,core,252,static,1.3782159,1.2232025
2008-03-31,core,252,static,1.3233589,1.1701518
2008-04-01,core,252,static,1.2880524,1.2617872
2008-04-02,core,252,static,1.621259,1.3341898
2008-04-03,core,252,static,1.0128379,1.3514829
2008-04-04,core,252,static,0.9192272,1.0271958
2008-04-07,core,252,static,1.0134681,1.0216644
2008-04-08,core,252,static,0.79805744,0.9369112
2008-04-09,core,252,static,1.1313485,1.2549735
2008-04-10,core,252,static,1.1032866,0.8857242
2008-04-11,core,252,static,1.0569413,1.1259427
2008-04-14,core,252,static,1.4995741,1.1016995
2008-04-15,core,252,static,0.9028159,1.0418346
2008-04-16,core,252,static,0.7043831,0.8057723
2008-04-17,core,252,static,0.96897554,0.8584379
2008-04-18,core,252,static,0.8219587,0.90050554
2008-04-21,core,252,static,0.99544686,0.69013166
2008-04-22,core,252,static,0.7392888,0.73147094
2008-04-23,core,252,static,1.0151398,0.958696
2008-04-24,core,252,static,0.9876941,0.8368175
2008-04-25,core,252,static,1.1150815,1.0085429
2008-04-28,core,252,static,0.9894523,0.94475687
2008-04-30,core,252,static,0.92818063,0.9733653
2008-05-01,core,252,static,1.0319159,0.8377906
2008-05-02,core,252,static,0.8584468,0.78843784
2008-05-07,core,252,static,0.85936075,0.8403146
2008-05-08,core,252,static,0.7566445,0.69371665
2008-05-09,core,252,static,0.9570968,1.0168245
2008-05-12,core,252,static,0.79994583,1.0507826
2008-05-13,core,252,static,1.0803016,0.92899776
2008-05-14,core,252,static,1.0343906,1.008946
2008-05-15,core,252,static,0.8929005,0.9681964
2008-05-16,core,252,static,1.0157291,0.91090465
2008-05-19,core,252,static,0.8096849,0.75327325
2008-05-20,core,252,static,0.94519293,0.8119451
2008-05-21,core,252,static,0.85700375,0.9312123
2008-05-22,core,252,static,1.0711634,1.3139582
2008-05-23,core,252,static,1.1137314,1.1015302
2008-05-26,core,252,static,0.90227026,0.9330826
2008-05-27,core,252,static,0.90454996,0.9081242
2008-05-28,core,252,static,1.128666,1.045923
2008-05-29,core,252,static,1.1789294,1.2721194
2008-05-30,core,252,static,0.99576324,0.9748874
2008-06-02,core,252,static,1.5123595,0.99365675
2008-06-03,core,252,static,1.1571387,0.9397769
2008-06-04,core,252,static,0.8997946,0.8804697
2008-06-05,core,252,static,0.9108968,0.7449752
2008-06-06,core,252,static,0.6596254,0.72316396
2008-06-09,core,252,static,1.3027848,0.73656845
2008-06-10,core,252,static,0.9825508,1.0219965
2008-06-11,core,252,static,0.99781346,1.0067649
2008-06-12,core,252,static,1.1354691,0.983909
2008-06-13,core,252,static,1.1201208,1.0281929
2008-06-16,core,252,static,1.1563852,0.9709616
2008-06-17,core,252,static,0.8463808,0.7586107
2008-06-18,core,252,static,0.77250206,0.8252895
2008-06-19,core,252,static,0.8628132,0.8908684
2008-06-20,core,252,static,1.1801904,1.0415581
2008-06-23,core,252,static,1.0864068,1.1333939
2008-06-24,core,252,static,0.8667414,0.83826363
2008-06-25,core,252,static,1.0348911,0.87560534
2008-06-26,core,252,static,0.98884976,0.8920723
2008-06-27,core,252,static,1.3256215,0.88451695
2008-06-30,core,252,static,0.7973037,0.87992156
2008-07-01,core,252,static,0.9060192,0.7743211
2008-07-02,core,252,static,1.0970969,0.9623045
2008-07-03,core,252,static,1.135586,1.0812525
2008-07-04,core,252,static,0.87046796,0.93802047
2008-07-07,core,252,static,0.88238806,0.9649097
2008-07-08,core,252,static,1.0845361,1.0932221
2008-07-09,core,252,static,1.076775,1.1244907
2008-07-10,core,252,static,1.2258283,1.1023604
2008-07-11,core,252,static,1.5754012,1.1342624
2008-07-14,core,252,static,1.3783153,1.0492916
2008-07-15,core,252,static,1.1607703,1.0689001
2008-07-16,core,252,static,1.0245421,0.98458326
2008-07-17,core,252,static,0.68464833,0.79002607
2008-07-18,core,252,static,0.8515759,0.9629797
2008-07-22,core,252,static,0.87311286,1.0333612
2008-07-23,core,252,static,0.88910645,0.8516648
2008-07-24,core,252,static,0.9936929,0.88827133
2008-07-25,core,252,static,0.6507649,0.8154247
2008-07-28,core,252,static,0.7511878,0.7240541
2008-07-29,core,252,static,0.92757744,0.84941256
2008-07-30,core,252,static,0.6542957,0.6764747
2008-07-31,core,252,static,0.94606847,0.82965565
2008-08-01,core,252,static,0.9989986,1.0401388
2008-08-04,core,252,static,1.1536596,0.93067944
2008-08-05,core,252,static,1.1621064,0.9095907
