date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,2.05777,1.7660179
2007-08-02,core,252,static,2.6701517,2.7034235
2007-08-03,core,252,static,1.363984,1.107146
2007-08-06,core,252,static,1.2901113,1.3327546
2007-08-07,core,252,static,1.1834062,1.3865873
2007-08-08,core,252,static,0.9152647,1.0517335
2007-08-09,core,252,static,1.280956,1.2174876
2007-08-10,core,252,static,1.2562598,1.190303
2007-08-13,core,252,static,1.3104532,1.4842049
2007-08-14,core,252,static,1.4153055,1.6214855
2007-08-16,core,252,static,2.237005,2.0394561
2007-08-17,core,252,static,2.4822638,2.0417538
2007-08-20,core,252,static,1.287377,1.5246631
2007-08-21,core,252,static,1.8663054,1.5538079
2007-08-22,core,252,static,1.1827067,1.2394068
2007-08-23,core,252,static,0.99989235,1.2135507
2007-08-24,core,252,static,1.2254853,1.3016909
2007-08-27,core,252,static,0.90142137,1.197876
2007-08-28,core,252,static,1.2708368,1.0961566
2007-08-29,core,252,static,1.4099318,1.3333284
2007-08-30,core,252,static,1.1340998,1.1661121
2007-08-31,core,252,static,1.1562414,1.0978044
2007-09-03,core,252,static,1.1932604,1.1200829
2007-09-04,core,252,static,1.01928,1.1056161
2007-09-05,core,252,static,1.2170386,1.110415
2007-09-06,core,252,static,1.2430456,1.1914461
2007-09-07,core,252,static,1.1114899,1.1975706
2007-09-10,core,252,static,1.3573148,1.1059991
2007-09-11,core,252,static,1.0158844,1.0954924
2007-09-12,core,252,static,1.1811479,1.2361087
2007-09-13,core,252,static,1.7420055,1.3014529
2007-09-14,core,252,static,0.93704087,1.2653444
2007-09-17,core,252,static,1.0048081,1.116958
2007-09-18,core,252,static,1.0260617,1.0911444
2007-09-19,core,252,static,0.8076436,0.750399
2007-09-20,core,252,static,1.1965716,0.9777891
2007-09-21,core,252,static,0.8722111,0.88705605
2007-09-27,core,252,static,0.7664867,0.7435933
2007-09-28,core,252,static,0.8080792,0.7413723
2007-10-01,core,252,static,0.55029327,0.7478161
2007-10-02,core,252,static,0.73205364,0.7636769
2007-10-04,core,252,static,0.8805932,0.8550774
2007-10-05,core,252,static,0.95414627,0.80020034
2007-10-08,core,252,static,0.7031264,0.69458246
2007-10-09,core,252,static,0.8863164,0.85244787
2007-10-10,core,252,static,0.71955174,0.6465715
2007-10-11,core,252,static,0.9430567,0.76184
2007-10-12,core,252,static,1.0431364,1.0073512
2007-10-15,core,252,static,1.0965738,1.0289266
2007-10-16,core,252,static,1.2687054,1.0658623
2007-10-17,core,252,static,2.190527,1.5903902
2007-10-18,core,252,static,1.457985,1.3293523
2007-10-19,core,252,static,1.4555875,1.4147335
2007-10-22,core,252,static,1.6968491,1.1395745
2007-10-23,core,252,static,1.1384182,1.4011409
2007-10-24,core,252,static,2.0703144,1.9574747
2007-10-25,core,252,static,1.6585242,1.2626843
2007-10-26,core,252,static,1.4482919,1.2428921
2007-10-29,core,252,static,1.0666195,1.2219348
2007-10-30,core,252,static,1.2415206,1.1611154
2007-10-31,core,252,static,1.0872763,1.0557187
2007-11-01,core,252,static,1.2955594,1.1656716
2007-11-02,core,252,static,1.2118694,1.0744996
2007-11-05,core,252,static,1.3327944,1.1414837
2007-11-06,core,252,static,0.8215985,1.1079628
2007-11-07,core,252,static,1.1780224,1.2426496
2007-11-08,core,252,static,1.5529814,1.2456615
2007-11-09,core,252,static,1.9720455,1.4952435
2007-11-12,core,252,static,1.654565,1.4878128
2007-11-13,core,252,static,1.8451928,1.745961
2007-11-14,core,252,static,1.0495719,1.1640658
2007-11-15,core,252,static,1.4030455,1.6157337
2007-11-16,core,252,static,1.318906,1.5512433
2007-11-19,core,252,static,1.3881841,1.3735678
2007-11-20,core,252,static,1.5132523,1.5739183
2007-11-21,core,252,static,1.9621775,1.6506511
2007-11-22,core,252,static,2.1563525,2.0009704
2007-11-23,core,252,static,2.3852265,1.9942778
2007-11-26,core,252,static,1.2843764,1.4269767
2007-11-27,core,252,static,2.5158398,1.8813324
2007-11-28,core,252,static,1.972666,1.6914737
2007-11-29,core,252,static,1.0736676,1.434528
2007-11-30,core,252,static,1.0982945,1.3771201
2007-12-03,core,252,static,1.1432711,1.2918546
2007-12-04,core,252,static,1.0152545,1.1068442
2007-12-05,core,252,static,0.946601,1.1603856
2007-12-06,core,252,static,0.9068366,1.1326607
2007-12-07,core,252,static,1.0303735,1.1263199
2007-12-10,core,252,static,1.1731564,1.0614402
2007-12-11,core,252,static,1.1103985,0.98952705
2007-12-12,core,252,static,1.0512801,1.19857
2007-12-13,core,252,static,1.5374365,1.2450137
2007-12-14,core,252,static,1.1925555,1.2473613
2007-12-17,core,252,static,1.236179,1.1713026
2007-12-18,core,252,static,1.4378381,1.7607754
2007-12-20,core,252,static,1.6452428,1.7470074
2007-12-21,core,252,static,1.4536052,1.4860126
2007-12-24,core,252,static,0.9410586,1.0698123
2007-12-26,core,252,static,1.0318445,1.1745579
2007-12-27,core,252,static,0.86023796,1.1363256
2007-12-28,core,252,static,0.87665683,0.920404
2008-01-02,core,252,static,1.0612322,1.0957532
2008-01-03,core,252,static,1.334792,1.3784157
2008-01-04,core,252,static,1.251795,1.2527584
2008-01-07,core,252,static,0.9978981,1.0596567
2008-01-08,core,252,static,1.0890847,1.0481768
2008-01-09,core,252,static,1.0940617,1.2102929
2008-01-10,core,252,static,1.2355698,1.2100612
2008-01-11,core,252,static,1.3557851,1.4212766
2008-01-14,core,252,static,1.6360885,1.3153278
2008-01-15,core,252,static,1.6973455,1.6704526
2008-01-16,core,252,static,1.553334,1.3472102
2008-01-17,core,252,static,1.630197,1.7914373
2008-01-18,core,252,static,1.5269089,1.6212488
2008-01-21,core,252,static,1.615431,1.2326405
2008-01-22,core,252,static,2.3567367,1.4460628
2008-01-23,core,252,static,2.046865,1.9120104
2008-01-24,core,252,static,1.3832077,1.263873
2008-01-25,core,252,static,1.0376173,1.0094984
2008-01-28,core,252,static,1.1668031,1.3879554
2008-01-29,core,252,static,1.5260189,1.9170755
2008-01-30,core,252,static,2.0415008,1.8531116
2008-01-31,core,252,static,2.031805,1.917083
2008-02-01,core,252,static,1.2811161,1.3197739
2008-02-04,core,252,static,1.0596933,1.0090497
2008-02-05,core,252,static,1.042306,1.1107851
2008-02-11,core,252,static,1.0512664,1.2979523
2008-02-12,core,252,static,0.94236434,1.1590989
2008-02-13,core,252,static,1.0275909,1.1751515
2008-02-14,core,252,static,0.7526247,0.90241337
2008-02-15,core,252,static,0.96943927,1.1770546
2008-02-18,core,252,static,1.3434831,1.1254811
2008-02-19,core,252,static,0.713919,0.9000795
2008-02-20,core,252,static,1.0903367,1.0257785
2008-02-21,core,252,static,0.99236196,0.9267791
2008-02-22,core,252,static,0.916679,0.98648083
2008-02-25,core,252,static,0.68167835,0.7933053
2008-02-26,core,252,static,0.7038082,0.92673767
2008-02-27,core,252,static,0.8071035,0.7492268
2008-02-28,core,252,static,0.945067,0.88939387
2008-02-29,core,252,static,0.7695022,0.7977289
2008-03-03,core,252,static,0.8726147,0.79600054
2008-03-04,core,252,static,0.98186886,0.8785283
2008-03-05,core,252,static,0.6185771,0.8487908
2008-03-06,core,252,static,0.71502817,0.8528972
2008-03-07,core,252,static,1.5105511,0.99215984
2008-03-10,core,252,static,0.90956914,0.9469274
2008-03-11,core,252,static,1.1042689,1.2596015
2008-03-12,core,252,static,0.71705884,1.0453293
2008-03-13,core,252,static,1.3794587,1.4140775
2008-03-14,core,252,static,1.6007447,1.7241465
2008-03-17,core,252,static,2.0240762,1.3380339
2008-03-18,core,252,static,1.3853577,1.2582425
2008-03-19,core,252,static,0.8115984,0.91614115
2008-03-20,core,252,static,1.1329504,1.3442688
2008-03-21,core,252,static,0.6696522,0.81192374
2008-03-24,core,252,static,0.78539735,0.8817511
2008-03-25,core,252,static,0.53431225,0.6640779
2008-03-26,core,252,static,0.6995645,0.6392157
2008-03-27,core,252,static,0.74563044,0.7480108
2008-03-28,core,252,static,0.8535481,0.8905169
2008-03-31,core,252,static,0.9022797,0.8703175
2008-04-01,core,252,static,1.1180917,0.8766373
2008-04-02,core,252,static,0.47044745,0.5750774
2008-04-03,core,252,static,0.8979987,0.82444245
2008-04-04,core,252,static,0.8288102,0.77031827
2008-04-07,core,252,static,0.6982692,0.914247
2008-04-08,core,252,static,0.9023342,0.84652007
2008-04-10,core,252,static,1.1930537,0.9665997
2008-04-11,core,252,static,1.0341176,0.8425247
2008-04-14,core,252,static,0.7467988,0.8475671
2008-04-15,core,252,static,1.0453998,0.8796526
2008-04-16,core,252,static,0.64282775,0.67504
2008-04-17,core,252,static,0.5591644,0.7139045
2008-04-18,core,252,static,0.66471505,0.7104837
2008-04-21,core,252,static,0.45434564,0.503787
2008-04-22,core,252,static,0.5677563,0.67974895
2008-04-23,core,252,static,0.6517403,0.71365964
2008-04-24,core,252,static,0.7261488,0.7046874
2008-04-25,core,252,static,0.61676633,0.5606489
2008-04-28,core,252,static,0.7638444,0.6622511
2008-04-29,core,252,static,0.7550253,0.80554587
2008-04-30,core,252,static,0.7941717,0.72795033
2008-05-02,core,252,static,0.5573992,0.5306151
2008-05-06,core,252,static,0.59590334,0.6396376
2008-05-07,core,252,static,0.79133636,0.87029505
2008-05-08,core,252,static,0.98555124,0.8444015
2008-05-09,core,252,static,0.97730815,0.97071826
2008-05-13,core,252,static,0.8500095,0.8842543
2008-05-14,core,252,static,0.8006348,0.7998328
2008-05-15,core,252,static,0.7532399,0.7670273
