date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,60,static,1.6718278,1.3780088
2007-08-02,core,60,static,1.0545318,0.9326374
2007-08-03,core,60,static,1.2634865,1.173443
2007-08-06,core,60,static,1.5228378,1.2636037
2007-08-07,core,60,static,1.5802648,1.2591305
2007-08-08,core,60,static,1.177296,1.0878315
2007-08-09,core,60,static,2.1938667,1.3164701
2007-08-10,core,60,static,2.0329282,1.4738212
2007-08-13,core,60,static,1.0790513,1.0823932
2007-08-14,core,60,static,1.2419599,1.1265808
2007-08-15,core,60,static,1.4086285,1.6150992
2007-08-16,core,60,static,2.3308847,2.1372783
2007-08-17,core,60,static,2.2522154,1.5495838
2007-08-20,core,60,static,1.090452,1.0595084
2007-08-21,core,60,static,0.98857677,0.99903244
2007-08-22,core,60,static,1.1598293,0.9776252
2007-08-23,core,60,static,0.9439304,1.0751191
2007-08-24,core,60,static,0.59175897,0.9356743
2007-08-27,core,60,static,0.61759686,0.71719956
2007-08-28,core,60,static,0.7875693,1.101749
2007-08-29,core,60,static,1.0595468,1.0843498
2007-08-30,core,60,static,1.145752,0.89051926
2007-08-31,core,60,static,1.3263122,0.9801872
2007-09-04,core,60,static,0.6176023,0.93118596
2007-09-05,core,60,static,1.0097556,0.8817237
2007-09-06,core,60,static,0.75078577,0.83428544
2007-09-07,core,60,static,1.3905553,0.9914074
2007-09-10,core,60,static,1.0879066,1.0077894
2007-09-11,core,60,static,0.8977413,0.8302824
2007-09-12,core,60,static,0.76248676,0.81676203
2007-09-13,core,60,static,0.8040983,0.8188239
2007-09-14,core,60,static,0.82566416,0.7289878
2007-09-17,core,60,static,0.56728804,0.6609914
2007-09-18,core,60,static,1.4727147,1.0626892
2007-09-19,core,60,static,0.9417224,0.8429551
2007-09-20,core,60,static,0.6428541,0.7276521
2007-09-21,core,60,static,0.6494903,0.6587375
2007-09-24,core,60,static,0.6367967,0.65030926
2007-09-25,core,60,static,0.7038576,0.6303673
2007-09-26,core,60,static,0.61366844,0.550099
2007-09-27,core,60,static,0.5321781,0.43468332
2007-09-28,core,60,static,0.50032914,0.55291975
2007-10-01,core,60,static,0.54628026,0.6236698
2007-10-02,core,60,static,0.43112338,0.4420538
2007-10-03,core,60,static,0.58972424,0.48443264
2007-10-04,core,60,static,0.38272768,0.42902994
2007-10-05,core,60,static,0.71397245,0.5753884
2007-10-08,core,60,static,0.39922196,0.4059279
2007-10-09,core,60,static,0.57080454,0.50022304
2007-10-10,core,60,static,0.5209761,0.4727264
2007-10-11,core,60,static,0.92419004,0.89454675
2007-10-12,core,60,static,0.5672472,0.4811111
2007-10-15,core,60,static,0.7145553,0.77160084
2007-10-16,core,60,static,0.67439115,0.579412
2007-10-17,core,60,static,0.91757625,0.9203897
2007-10-18,core,60,static,0.6790737,0.6330499
2007-10-19,core,60,static,1.1055093,0.9570039
2007-10-22,core,60,static,1.0594828,0.87003964
2007-10-23,core,60,static,0.8465984,0.73652035
2007-10-24,core,60,static,1.4033185,1.0870183
2007-10-25,core,60,static,1.1932651,1.0660855
2007-10-26,core,60,static,0.80886334,0.70136046
2007-10-29,core,60,static,0.60953456,0.50870925
2007-10-30,core,60,static,0.5387273,0.54804695
2007-10-31,core,60,static,1.1165581,0.7453211
2007-11-01,core,60,static,1.4491733,1.0952295
2007-11-02,core,60,static,1.4267976,1.0092762
2007-11-05,core,60,static,1.2828665,1.001191
2007-11-06,core,60,static,0.88201135,0.8749976
2007-11-07,core,60,static,1.4051869,1.2701964
2007-11-08,core,60,static,1.8736414,1.5336972
2007-11-09,core,60,static,1.560577,1.2014098
2007-11-12,core,60,static,1.3244675,1.3234144
2007-11-13,core,60,static,1.122503,1.254097
2007-11-14,core,60,static,1.1282958,1.1504458
2007-11-15,core,60,static,1.194422,1.1931674
2007-11-16,core,60,static,1.3042824,1.0571517
2007-11-19,core,60,static,1.2105434,0.95775765
2007-11-20,core,60,static,1.7195501,1.368211
2007-11-21,core,60,static,1.4897027,1.024437
2007-11-23,core,60,static,0.958754,1.0786241
2007-11-26,core,60,static,1.1303153,1.2242095
2007-11-27,core,60,static,1.427426,1.0096552
2007-11-28,core,60,static,1.10864,1.2779474
2007-11-29,core,60,static,1.0607367,0.97514665
2007-11-30,core,60,static,1.302144,1.0011644
2007-12-03,core,60,static,0.8708776,0.7622619
2007-12-04,core,60,static,0.8663291,0.72384197
2007-12-05,core,60,static,1.1051176,0.86702085
2007-12-06,core,60,static,0.6471775,0.9221887
2007-12-07,core,60,static,0.5555198,0.6262674
2007-12-10,core,60,static,0.5558142,0.6239517
2007-12-11,core,60,static,1.5148305,1.2758607
2007-12-12,core,60,static,2.1373532,1.7611527
2007-12-13,core,60,static,1.0571756,1.2007277
2007-12-14,core,60,static,1.0063825,0.87332845
2007-12-17,core,60,static,1.0156853,0.9059424
2007-12-18,core,60,static,1.213597,1.038432
2007-12-19,core,60,static,0.9898298,1.0090953
2007-12-20,core,60,static,0.8427926,0.8639843
2007-12-21,core,60,static,0.94438356,0.8428476
2007-12-24,core,60,static,0.4441711,0.6678527
2007-12-26,core,60,static,0.4618206,0.62124276
2007-12-27,core,60,static,0.6217016,0.7713843
2007-12-28,core,60,static,0.7754581,0.7638648
2007-12-31,core,60,static,0.61130553,0.5325173
2008-01-02,core,60,static,1.0530771,0.9361671
2008-01-03,core,60,static,0.80877495,0.79664683
2008-01-04,core,60,static,1.2991108,0.9380977
2008-01-07,core,60,static,1.3807558,1.0459973
2008-01-08,core,60,static,1.5058283,1.5596967
2008-01-09,core,60,static,1.5742716,1.4366045
2008-01-10,core,60,static,1.8811376,1.4877836
2008-01-11,core,60,static,1.4951758,1.0356492
2008-01-14,core,60,static,0.95996803,0.9241771
2008-01-15,core,60,static,1.2201732,1.0654263
2008-01-16,core,60,static,1.5963427,1.3873398
2008-01-17,core,60,static,1.7128186,1.9110372
2008-01-18,core,60,static,1.9202243,2.07431
2008-01-22,core,60,static,3.9248676,2.4410675
2008-01-23,core,60,static,3.5173955,3.0140965
2008-01-24,core,60,static,1.7193947,1.7167264
2008-01-25,core,60,static,1.6763679,1.5822142
2008-01-28,core,60,static,1.4217528,1.4172581
