date,feature_set,L,protocol,RV_target,RV_pred
2014-01-07,core,22,static,0.9929978,0.68978274
2014-01-08,core,22,static,0.55982196,0.72735643
2014-01-09,core,22,static,0.7221481,0.7437583
2014-01-10,core,22,static,0.8308182,0.7174784
2014-01-14,core,22,static,1.1166403,1.0614854
2014-01-15,core,22,static,0.7597656,0.68740535
2014-01-16,core,22,static,0.7385079,0.87256694
2014-01-17,core,22,static,0.9924829,0.7422737
2014-01-20,core,22,static,0.6351576,0.7153623
2014-01-21,core,22,static,0.68236524,0.7041718
2014-01-22,core,22,static,0.90556103,0.8071239
2014-01-23,core,22,static,0.8677156,0.96379316
2014-01-24,core,22,static,0.9876176,0.9393648
2014-01-27,core,22,static,1.0500518,0.93659437
2014-01-28,core,22,static,0.8367259,0.73562014
2014-01-29,core,22,static,0.7737801,0.79831517
2014-01-30,core,22,static,1.2759646,1.0769684
2014-01-31,core,22,static,1.1827918,1.3424169
2014-02-03,core,22,static,1.1922182,1.1795942
2014-02-04,core,22,static,1.6071959,1.5247911
2014-02-05,core,22,static,1.2378954,1.0935847
2014-02-06,core,22,static,0.9547833,0.91779745
2014-02-07,core,22,static,0.73973215,0.71314204
2014-02-10,core,22,static,0.70442957,0.7129941
2014-02-12,core,22,static,0.6793457,0.60824835
2014-02-13,core,22,static,0.7595481,1.1067173
2014-02-14,core,22,static,1.5592761,1.5293506
2014-02-17,core,22,static,1.0413496,1.0846916
2014-02-18,core,22,static,1.4758527,1.334588
2014-02-19,core,22,static,0.79908484,0.9588535
2014-02-20,core,22,static,1.1217945,1.2538248
2014-02-21,core,22,static,0.84724355,1.0915546
2014-02-24,core,22,static,1.188368,1.1633911
2014-02-25,core,22,static,0.70223475,0.8447435
2014-02-26,core,22,static,0.8268716,0.83425033
2014-02-27,core,22,static,0.8597349,0.80751085
2014-02-28,core,22,static,1.0540922,0.9050529
2014-03-03,core,22,static,1.2059813,1.010217
2014-03-04,core,22,static,0.7824622,0.9039931
2014-03-05,core,22,static,0.69540536,0.6482085
2014-03-06,core,22,static,0.9321518,1.0468674
2014-03-07,core,22,static,0.70667803,0.8113365
2014-03-10,core,22,static,0.83244985,0.8142178
2014-03-11,core,22,static,0.8417272,0.6648339
2014-03-12,core,22,static,0.77094215,0.8402604
2014-03-13,core,22,static,0.83867455,0.666942
2014-03-14,core,22,static,1.1113584,1.1564963
2014-03-17,core,22,static,1.1761091,0.7841053
2014-03-18,core,22,static,0.88540554,0.6849611
2014-03-19,core,22,static,1.3912756,1.1331238
2014-03-25,core,22,static,0.9714549,1.0203133
2014-03-26,core,22,static,0.96506923,0.86166835
2014-03-27,core,22,static,1.3056054,1.3899226
2014-03-28,core,22,static,0.89101136,1.0513568
2014-03-31,core,22,static,0.69621205,0.7703824
2014-04-01,core,22,static,0.7554367,0.69801486
2014-04-02,core,22,static,0.8529638,0.7302445
2014-04-03,core,22,static,0.7055742,0.7659849
2014-04-04,core,22,static,0.5401592,0.6283503
2014-04-07,core,22,static,0.6578506,0.70043397
2014-04-08,core,22,static,0.9137992,0.71367395
2014-04-09,core,22,static,1.009909,0.9565772
2014-04-10,core,22,static,0.8897711,1.0706655
2014-04-11,core,22,static,1.0655437,1.0161096
2014-04-14,core,22,static,0.8920437,0.78922033
2014-04-15,core,22,static,0.7417469,0.67964697
2014-04-16,core,22,static,0.9056222,0.9848614
2014-04-17,core,22,static,0.95001894,0.7663641
2014-04-18,core,22,static,0.5880501,0.64477897
2014-04-21,core,22,static,0.68551946,0.6770474
2014-04-22,core,22,static,0.6050715,0.8318194
2014-04-23,core,22,static,0.6681907,0.5460708
2014-04-24,core,22,static,0.7531964,0.79431176
2014-04-25,core,22,static,0.8171542,0.8735974
2014-04-28,core,22,static,0.5202675,0.6444284
2014-04-30,core,22,static,0.7706513,0.61280614
2014-05-01,core,22,static,0.84712476,0.6401286
2014-05-02,core,22,static,0.44685054,0.53901696
2014-05-07,core,22,static,0.68703073,1.0603805
2014-05-08,core,22,static,0.6638346,0.6681291
2014-05-09,core,22,static,0.8249565,0.75938845
2014-05-12,core,22,static,0.64987975,0.5761595
2014-05-13,core,22,static,0.5705969,0.506103
2014-05-14,core,22,static,0.44689208,0.466959
2014-05-15,core,22,static,0.64376944,0.56057876
2014-05-16,core,22,static,0.5206161,0.61760014
2014-05-19,core,22,static,0.6803092,0.6690419
2014-05-20,core,22,static,0.55800164,0.5148134
2014-05-21,core,22,static,0.6375392,0.47873145
2014-05-22,core,22,static,0.6842453,0.761608
2014-05-23,core,22,static,0.44052288,0.5961097
2014-05-26,core,22,static,0.37913492,0.44761732
2014-05-27,core,22,static,0.6434642,0.55966043
2014-05-28,core,22,static,0.6203026,0.48774177
2014-05-29,core,22,static,0.61157197,0.5613794
2014-05-30,core,22,static,0.6328049,0.6136737
2014-06-02,core,22,static,0.6377771,0.6280087
2014-06-03,core,22,static,0.46424276,0.44175246
2014-06-04,core,22,static,0.62038946,0.44373894
2014-06-05,core,22,static,0.42855427,0.5159198
2014-06-06,core,22,static,0.48644966,0.47999904
2014-06-09,core,22,static,0.39111125,0.41718534
2014-06-10,core,22,static,0.62941206,0.7045249
2014-06-11,core,22,static,0.38836092,0.4341097
2014-06-12,core,22,static,0.55599385,0.5372545
2014-06-13,core,22,static,0.6853583,0.89913344
2014-06-16,core,22,static,0.6171051,0.7240467
2014-06-17,core,22,static,0.5108878,0.4646211
2014-06-18,core,22,static,0.5292312,0.5284047
2014-06-19,core,22,static,0.715569,0.77432215
2014-06-20,core,22,static,0.6328794,0.5611663
2014-06-23,core,22,static,0.54107994,0.48983014
2014-06-24,core,22,static,0.6010311,0.58573365
2014-06-25,core,22,static,0.4700113,0.47915116
2014-06-26,core,22,static,0.3968126,0.431986
2014-06-27,core,22,static,0.84021884,0.9462764
2014-06-30,core,22,static,0.57549506,0.53215086
