date,feature_set,L,protocol,RV_target,RV_pred
2013-12-19,core,22,static,0.48027983,0.6569772
2013-12-20,core,22,static,0.56459975,0.4508248
2013-12-23,core,22,static,0.4692802,0.3957913
2013-12-24,core,22,static,0.37592426,0.4374256
2013-12-26,core,22,static,0.34329724,0.4552452
2013-12-27,core,22,static,0.40542945,0.4669559
2013-12-30,core,22,static,0.39755836,0.38577288
2014-01-02,core,22,static,0.745619,0.9964948
2014-01-03,core,22,static,0.83173496,0.84504646
2014-01-06,core,22,static,0.66945153,0.6836165
2014-01-07,core,22,static,0.66912365,0.6059006
2014-01-08,core,22,static,0.6145574,0.5552509
2014-01-09,core,22,static,0.72558045,0.5980464
2014-01-10,core,22,static,0.8143008,0.71507317
2014-01-13,core,22,static,0.50973,0.49520427
2014-01-14,core,22,static,0.6865121,0.6006501
2014-01-15,core,22,static,0.45595104,0.4461314
2014-01-16,core,22,static,0.6030574,0.4407686
2014-01-17,core,22,static,0.5502644,0.55587125
2014-01-20,core,22,static,0.55134165,0.5495941
2014-01-21,core,22,static,0.40762115,0.47118115
2014-01-22,core,22,static,0.40055934,0.41562617
2014-01-23,core,22,static,0.55819607,0.59295
2014-01-24,core,22,static,0.6551958,0.643704
2014-01-27,core,22,static,0.6563229,0.6157558
2014-01-28,core,22,static,0.5331622,0.5894075
2014-01-29,core,22,static,0.48386818,0.47229838
2014-02-03,core,22,static,0.48515627,0.49637324
2014-02-04,core,22,static,0.6177616,0.5358438
2014-02-05,core,22,static,0.4867734,0.56205654
2014-02-06,core,22,static,0.5684755,0.50799507
2014-02-07,core,22,static,0.4129472,0.46535468
2014-02-10,core,22,static,0.47753435,0.43745285
2014-02-11,core,22,static,0.43266043,0.42603981
2014-02-12,core,22,static,0.41571212,0.37193948
2014-02-13,core,22,static,0.5321779,0.54121023
2014-02-14,core,22,static,0.43489394,0.4727202
2014-02-17,core,22,static,0.44116375,0.41240984
2014-02-18,core,22,static,0.4554524,0.471321
2014-02-19,core,22,static,0.51835936,0.43252373
2014-02-20,core,22,static,0.57120365,0.47601408
2014-02-21,core,22,static,0.2922706,0.39672628
2014-02-24,core,22,static,0.4961578,0.45944983
2014-02-25,core,22,static,0.38584572,0.36893377
2014-02-26,core,22,static,0.38891312,0.478669
2014-02-27,core,22,static,0.36891544,0.5025453
2014-02-28,core,22,static,0.5748443,0.4004559
2014-03-03,core,22,static,0.49052024,0.42951328
2014-03-04,core,22,static,0.3731192,0.42694306
2014-03-05,core,22,static,0.29578462,0.31945622
2014-03-06,core,22,static,0.36687255,0.37806323
2014-03-07,core,22,static,0.35954282,0.4323082
2014-03-10,core,22,static,0.39663768,0.42655712
2014-03-11,core,22,static,0.36216235,0.39374077
2014-03-12,core,22,static,0.52406615,0.5913714
2014-03-13,core,22,static,0.7643156,0.5609001
2014-03-14,core,22,static,0.49179876,0.53642195
2014-03-17,core,22,static,0.440258,0.43823236
2014-03-18,core,22,static,0.4034605,0.4115945
2014-03-19,core,22,static,0.37717324,0.42306834
2014-03-20,core,22,static,0.49770895,0.4990061
2014-03-21,core,22,static,0.30561572,0.38414693
2014-03-24,core,22,static,0.55959314,0.3728937
2014-03-25,core,22,static,0.47395012,0.3701419
2014-03-26,core,22,static,0.3636279,0.3268265
2014-03-27,core,22,static,0.3300193,0.48205912
2014-03-28,core,22,static,0.44567809,0.44230378
2014-03-31,core,22,static,0.5329057,0.45938617
2014-04-01,core,22,static,0.45367453,0.4625075
2014-04-02,core,22,static,0.238201,0.3775914
2014-04-03,core,22,static,0.3425025,0.48978543
2014-04-04,core,22,static,0.38496485,0.3745842
2014-04-07,core,22,static,0.5002975,0.39506942
2014-04-08,core,22,static,0.4536314,0.43317622
2014-04-09,core,22,static,0.37307066,0.36268544
2014-04-10,core,22,static,0.50099003,0.43655938
2014-04-11,core,22,static,0.40514937,0.40512252
2014-04-14,core,22,static,0.46094933,0.36904764
2014-04-15,core,22,static,0.39984715,0.44939035
2014-04-16,core,22,static,0.34781387,0.37315714
2014-04-17,core,22,static,0.34906006,0.46654034
2014-04-18,core,22,static,0.33066025,0.33276877
2014-04-21,core,22,static,0.32748717,0.36604974
2014-04-22,core,22,static,0.39831004,0.35464263
2014-04-23,core,22,static,0.381451,0.3727708
2014-04-24,core,22,static,0.36006987,0.43117064
2014-04-25,core,22,static,0.37953928,0.54792696
2014-04-28,core,22,static,0.46890783,0.4136908
2014-04-29,core,22,static,0.4484777,0.4531957
2014-04-30,core,22,static,0.3416393,0.48684853
2014-05-02,core,22,static,0.34048426,0.43911463
2014-05-07,core,22,static,0.48494962,0.5384741
2014-05-08,core,22,static,0.4457768,0.5109721
2014-05-09,core,22,static,0.39555353,0.404225
2014-05-12,core,22,static,0.3764048,0.40276468
2014-05-13,core,22,static,0.3723531,0.3778104
2014-05-14,core,22,static,0.4369127,0.41618156
2014-05-15,core,22,static,0.35734537,0.44379282
2014-05-16,core,22,static,0.48168162,0.4493515
2014-05-19,core,22,static,0.5512502,0.4161567
2014-05-20,core,22,static,0.3573945,0.40461004
2014-05-21,core,22,static,0.42510924,0.4306811
2014-05-22,core,22,static,0.4092602,0.42729396
2014-05-23,core,22,static,0.2651022,0.35989308
2014-05-26,core,22,static,0.399295,0.36635923
2014-05-27,core,22,static,0.6404549,0.54926634
2014-05-28,core,22,static,0.4267683,0.45134246
2014-05-29,core,22,static,0.27189663,0.46317196
2014-05-30,core,22,static,0.6504426,0.55916315
2014-06-02,core,22,static,0.39264828,0.4479335
2014-06-03,core,22,static,0.60500765,0.45531416
2014-06-05,core,22,static,0.43817604,0.5518923
2014-06-09,core,22,static,0.4332506,0.5518075
2014-06-10,core,22,static,0.49776107,0.38892812
2014-06-11,core,22,static,0.40366834,0.37922278
2014-06-12,core,22,static,0.37406954,0.43892813
2014-06-13,core,22,static,0.50387836,0.52287495
2014-06-16,core,22,static,0.31889334,0.44137472
2014-06-17,core,22,static,0.31693837,0.37789226
2014-06-18,core,22,static,0.38902605,0.42112023
2014-06-19,core,22,static,0.33651564,0.45154208
2014-06-20,core,22,static,0.46845403,0.5695109
2014-06-23,core,22,static,0.4674691,0.4137386
2014-06-24,core,22,static,0.384609,0.44594848
2014-06-25,core,22,static,0.36639097,0.42303595
2014-06-26,core,22,static,0.62370855,0.4449438
2014-06-27,core,22,static,0.45669696,0.45271176
2014-06-30,core,22,static,0.421138,0.3555887
2014-07-01,core,22,static,0.32784396,0.38065815
2014-07-02,core,22,static,0.4311952,0.35826662
2014-07-03,core,22,static,0.31473687,0.3927557
2014-07-04,core,22,static,0.37441212,0.4041314
2014-07-07,core,22,static,0.38168913,0.37057364
2014-07-08,core,22,static,0.47110578,0.35672086
2014-07-09,core,22,static,0.33105847,0.33957914
2014-07-10,core,22,static,0.29468086,0.35334367
2014-07-11,core,22,static,0.29963273,0.34213117
2014-07-14,core,22,static,0.39193794,0.3192338
2014-07-15,core,22,static,0.4075967,0.2757919
2014-07-16,core,22,static,0.3580271,0.3172701
2014-07-17,core,22,static,0.28855145,0.33285946
2014-07-18,core,22,static,0.30281526,0.37440884
2014-07-21,core,22,static,0.3475782,0.36556834
2014-07-22,core,22,static,0.3701284,0.31621814
2014-07-23,core,22,static,0.33715287,0.34473675
2014-07-24,core,22,static,0.3925678,0.40876526
2014-07-25,core,22,static,0.39154992,0.33564723
2014-07-28,core,22,static,0.39611506,0.37436473
2014-07-29,core,22,static,0.4402754,0.35793
2014-07-30,core,22,static,0.5263765,0.58769155
2014-07-31,core,22,static,0.68732923,0.61037314
2014-08-01,core,22,static,0.5611398,0.5254137
2014-08-04,core,22,static,0.5234078,0.486418
2014-08-05,core,22,static,0.5006744,0.5107804
2014-08-06,core,22,static,0.42100957,0.46387523
2014-08-07,core,22,static,0.42803073,0.50447017
2014-08-08,core,22,static,0.54905045,0.595852
2014-08-11,core,22,static,0.40855855,0.4501267
2014-08-12,core,22,static,0.45808536,0.48106843
2014-08-13,core,22,static,0.37273914,0.41206187
2014-08-14,core,22,static,0.41851518,0.50288934
2014-08-18,core,22,static,0.5593621,0.4712878
2014-08-19,core,22,static,0.3205721,0.346995
2014-08-20,core,22,static,0.4542845,0.46316373
2014-08-21,core,22,static,0.5047452,0.6416771
2014-08-22,core,22,static,0.42705104,0.45085984
2014-08-25,core,22,static,0.5974487,0.491081
2014-08-26,core,22,static,0.35681435,0.35760343
2014-08-27,core,22,static,0.45551103,0.3677243
2014-08-28,core,22,static,0.32768294,0.48516512
2014-08-29,core,22,static,0.5166976,0.42379546
2014-09-01,core,22,static,0.42619717,0.3955757
2014-09-02,core,22,static,0.39515647,0.4306773
2014-09-03,core,22,static,0.5543262,0.4325379
2014-09-04,core,22,static,0.4892236,0.4549477
2014-09-05,core,22,static,0.40816993,0.4527862
2014-09-11,core,22,static,0.7266974,0.53167164
2014-09-12,core,22,static,0.4590848,0.46497267
2014-09-15,core,22,static,0.43585527,0.42467457
2014-09-16,core,22,static,0.29281414,0.36329567
2014-09-17,core,22,static,0.37738502,0.3071765
2014-09-18,core,22,static,0.3807929,0.49859625
2014-09-19,core,22,static,0.3251082,0.38446176
2014-09-22,core,22,static,0.43448827,0.47478932
2014-09-23,core,22,static,0.5151247,0.41219103
2014-09-24,core,22,static,0.48339394,0.43890387
2014-09-25,core,22,static,0.41328657,0.48889565
2014-09-26,core,22,static,0.41926065,0.4425239
2014-09-29,core,22,static,0.49092257,0.4336511
2014-09-30,core,22,static,0.4185666,0.50113326
2014-10-01,core,22,static,0.31939605,0.5553627
2014-10-02,core,22,static,0.6898203,0.59472746
2014-10-06,core,22,static,0.5242728,0.58275956
2014-10-07,core,22,static,0.48625708,0.5150945
2014-10-08,core,22,static,0.5505924,0.49796712
