date,feature_set,L,protocol,RV_target,RV_pred
2014-01-08,core,60,static,0.5049092,0.37806106
2014-01-09,core,60,static,0.44792023,0.47994715
2014-01-10,core,60,static,0.41781142,0.41322142
2014-01-13,core,60,static,0.47251758,0.7505783
2014-01-14,core,60,static,0.49484262,0.57499087
2014-01-15,core,60,static,0.389796,0.40541083
2014-01-16,core,60,static,0.3719646,0.37015676
2014-01-17,core,60,static,0.36259443,0.44514167
2014-01-21,core,60,static,0.6656816,0.5595689
2014-01-22,core,60,static,0.31373873,0.35728884
2014-01-23,core,60,static,0.71243316,0.63723695
2014-01-24,core,60,static,0.9068204,0.9732382
2014-01-27,core,60,static,0.81133616,0.95815057
2014-01-28,core,60,static,0.5316145,0.7288957
2014-01-29,core,60,static,1.0421811,0.76238215
2014-01-30,core,60,static,0.78014624,0.71578145
2014-01-31,core,60,static,1.1046423,0.83153516
2014-02-03,core,60,static,0.9668377,1.2422403
2014-02-04,core,60,static,0.819945,0.8419069
2014-02-05,core,60,static,0.9269459,0.8828473
2014-02-06,core,60,static,0.5575153,0.7622702
2014-02-07,core,60,static,0.65374666,0.7009303
2014-02-10,core,60,static,0.31248182,0.4275682
2014-02-11,core,60,static,0.41629142,0.68390065
2014-02-12,core,60,static,0.45831323,0.48102534
2014-02-13,core,60,static,0.49265444,0.654396
2014-02-14,core,60,static,0.38318944,0.5453336
2014-02-18,core,60,static,0.3537131,0.3726474
2014-02-19,core,60,static,0.54439,0.6085825
2014-02-20,core,60,static,0.51263076,0.6078008
2014-02-21,core,60,static,0.41156575,0.4663142
2014-02-24,core,60,static,0.58284545,0.65672505
2014-02-25,core,60,static,0.56813157,0.52435976
2014-02-26,core,60,static,0.5470898,0.50243807
2014-02-27,core,60,static,0.52451116,0.47748923
2014-02-28,core,60,static,0.6110896,0.66133004
2014-03-03,core,60,static,0.9133794,0.7301631
2014-03-04,core,60,static,0.96754813,0.7241126
2014-03-05,core,60,static,0.41537228,0.41311353
2014-03-06,core,60,static,0.40407717,0.38219225
2014-03-07,core,60,static,0.55469537,0.48509526
2014-03-10,core,60,static,0.4751483,0.43149185
2014-03-11,core,60,static,0.5007032,0.6353381
2014-03-12,core,60,static,0.6769494,0.5623304
2014-03-13,core,60,static,0.7307913,0.87143743
2014-03-14,core,60,static,0.6815504,0.6458268
2014-03-17,core,60,static,0.74760824,0.6481555
2014-03-18,core,60,static,0.48231757,0.5326168
2014-03-19,core,60,static,0.7574357,0.72766584
2014-03-20,core,60,static,0.5430734,0.65548486
2014-03-21,core,60,static,0.7111093,0.7648565
2014-03-24,core,60,static,0.6954413,0.8253038
2014-03-25,core,60,static,0.7636264,0.6649903
2014-03-26,core,60,static,0.64480937,0.77510273
2014-03-27,core,60,static,0.79874605,0.6375905
2014-03-28,core,60,static,0.6167684,0.6412916
2014-03-31,core,60,static,0.70626074,0.5067431
2014-04-01,core,60,static,0.47637957,0.44745475
2014-04-02,core,60,static,0.37295157,0.38844556
2014-04-03,core,60,static,0.38243917,0.43070674
2014-04-04,core,60,static,0.77531964,0.915969
2014-04-07,core,60,static,0.73298806,0.78695834
2014-04-08,core,60,static,0.6260387,0.77785814
2014-04-09,core,60,static,0.5471668,0.63996536
2014-04-10,core,60,static,0.8312494,1.1052532
2014-04-11,core,60,static,1.0073607,0.8817279
2014-04-14,core,60,static,0.8529536,0.8332699
2014-04-15,core,60,static,0.91792023,0.9368468
2014-04-16,core,60,static,0.68598306,0.6510606
2014-04-17,core,60,static,0.47364476,0.58045644
2014-04-21,core,60,static,0.341622,0.4509676
2014-04-22,core,60,static,0.32808822,0.48172235
2014-04-23,core,60,static,0.36450958,0.36562553
2014-04-24,core,60,static,0.58910805,0.487351
2014-04-25,core,60,static,0.58639413,0.604986
2014-04-28,core,60,static,0.82358533,0.7878276
2014-04-29,core,60,static,0.5001894,0.46383065
