date,feature_set,protocol,RV_target,RV_pred
2020-01-02,core,static,0.892509098,0.6472064853864888
2020-01-03,core,static,0.865561735,0.8879434557940246
2020-01-06,core,static,0.640049162,0.5946972656819816
2020-01-07,core,static,0.615684034,0.5764027700170093
2020-01-08,core,static,0.826156294,0.7053913536701879
2020-01-09,core,static,0.586674467,0.5620961877335171
2020-01-10,core,static,0.766129933,0.5814448506277295
2020-01-13,core,static,0.604083317,0.678688478875837
2020-01-14,core,static,0.665560285,0.5859894967480602
2020-01-15,core,static,0.569056342,0.594544011517258
2020-01-16,core,static,0.581165987,0.617581800455367
2020-01-17,core,static,0.63811227,0.6433627468649473
2020-01-20,core,static,0.673956732,0.607401634119472
2020-01-21,core,static,0.568176305,0.7167357734968364
2020-01-22,core,static,0.688309944,0.6942064676744961
2020-01-23,core,static,0.726367373,0.6456803272236782
2020-01-28,core,static,0.883199722,0.8078786946853175
2020-01-29,core,static,0.807404421,0.7431574593590835
2020-01-30,core,static,0.823680575,0.9884635848639921
2020-01-31,core,static,0.868371713,1.0300831641441743
2020-02-03,core,static,1.60013092,1.0618787265328953
2020-02-04,core,static,0.99906357,1.0767813985464505
2020-02-05,core,static,0.939640295,0.9304883761446296
2020-02-06,core,static,0.809160562,0.8576183737519166
2020-02-07,core,static,0.786808282,0.8989282210357539
2020-02-10,core,static,0.772262236,0.7713285457296016
2020-02-11,core,static,0.60671266,0.6904531124689122
2020-02-12,core,static,0.712077758,0.7766391264256247
2020-02-13,core,static,0.895517512,0.8292427558313041
2020-02-14,core,static,0.747984233,0.880589546470511
2020-02-17,core,static,0.703522043,0.7214979275414735
2020-02-18,core,static,0.694383635,0.8134182777135118
2020-02-19,core,static,0.950255475,0.8948470665579419
2020-02-20,core,static,0.896667428,1.0519704187523302
2020-02-21,core,static,0.884092952,0.8646491131820838
2020-02-24,core,static,1.013054269,1.0340149229904851
2020-02-25,core,static,1.11493254,0.9197902523541703
2020-02-26,core,static,0.971367795,1.054922099445192
2020-02-27,core,static,1.09668509,1.0533527315575144
2020-02-28,core,static,1.054045973,1.3028197330308335
2020-03-02,core,static,1.362788848,1.2900044998825617
2020-03-03,core,static,1.04042443,1.3329914755796757
2020-03-04,core,static,1.394769558,1.030357013588499
2020-03-05,core,static,1.110740593,1.0222248798574123
2020-03-06,core,static,0.881898166,1.0717285843096918
2020-03-09,core,static,0.915819908,1.1026280353892972
2020-03-10,core,static,1.506671077,1.0556061745753091
2020-03-11,core,static,1.366630159,1.568996401720227
2020-03-12,core,static,2.327551614,1.913067330421547
2020-03-13,core,static,4.240511891,3.5551161414219834
2020-03-16,core,static,3.102806174,3.087785074182129
2020-03-17,core,static,3.104226702,2.612264560981463
2020-03-18,core,static,2.147899468,3.5193452626093347
2020-03-19,core,static,5.106524093,3.7606795807505042
2020-03-20,core,static,3.461033974,4.129849999894251
2020-03-23,core,static,2.940129717,3.1677612967078215
2020-03-24,core,static,2.405866777,3.9454310649936573
2020-03-25,core,static,3.186183836,2.7310751315372976
2020-03-26,core,static,3.364031199,2.727420177976663
2020-03-27,core,static,2.367966552,3.566930609136838
2020-03-30,core,static,1.774121823,2.6932087281391635
2020-03-31,core,static,1.878657508,1.6579174925562168
2020-04-01,core,static,1.503844435,1.9869002850678246
2020-04-02,core,static,3.057927365,2.073037777001619
2020-04-03,core,static,1.454066036,1.8915511014821078
2020-04-06,core,static,1.4193306,1.6751355447110694
2020-04-07,core,static,1.825697976,1.6614699276707046
2020-04-08,core,static,1.429160034,1.797651675002955
2020-04-09,core,static,1.151432473,1.1160985848271072
2020-04-10,core,static,1.235038191,1.3901887219010547
2020-04-13,core,static,0.702978172,1.2302023198315504
2020-04-14,core,static,0.910910309,1.047712949406595
2020-04-16,core,static,0.985364145,1.1285961259241284
2020-04-17,core,static,1.086510952,0.9269143950236196
2020-04-20,core,static,1.07865721,1.0651580959857423
2020-04-21,core,static,2.142167641,1.5028210357190919
2020-04-22,core,static,1.099998697,1.7068657456037066
2020-04-23,core,static,1.231659394,1.1398247872662217
2020-04-24,core,static,0.992071023,1.1739209010581961
2020-04-27,core,static,0.73888968,1.131590975472815
2020-04-28,core,static,1.046718146,1.0997204447942812
2020-04-29,core,static,0.934376897,0.9216744555693109
2020-05-04,core,static,0.90641751,0.9295072376039686
2020-05-06,core,static,0.796478229,0.8886865466898207
2020-05-07,core,static,0.694291182,0.8431489005671144
2020-05-08,core,static,0.620855646,0.7038378149718642
2020-05-11,core,static,0.814887989,0.8431533936742488
2020-05-12,core,static,1.038831096,0.9520243140184224
2020-05-13,core,static,0.896585055,1.114884987296513
2020-05-14,core,static,0.814666686,0.8472699147796848
2020-05-15,core,static,0.91806825,0.9139543385312808
2020-05-18,core,static,0.57485095,0.8705601471294353
2020-05-19,core,static,0.714270059,0.6335576602749312
2020-05-20,core,static,0.579568203,0.7679452777317576
2020-05-21,core,static,0.645890571,0.5355247568333824
2020-05-22,core,static,0.814805772,0.9562394956384567
2020-05-25,core,static,0.696997623,0.7524015265700179
2020-05-26,core,static,0.743522345,0.779530477364999
2020-05-27,core,static,0.815763764,0.8138901869405393
2020-05-28,core,static,1.162162989,1.0760301812336899
