date,feature_set,protocol,RV_target,RV_pred
2007-08-01,core,static,2.057769983,1.8714293769299952
2007-08-02,core,static,2.670151613,2.531941545696328
2007-08-03,core,static,1.363984034,1.3752686486439578
2007-08-06,core,static,1.290111297,1.2866340876892994
2007-08-07,core,static,1.18340618,1.7153384208556877
2007-08-08,core,static,0.915264742,1.1754871265209845
2007-08-09,core,static,1.28095602,1.256982406311771
2007-08-10,core,static,1.256259747,1.1074174212744063
2007-08-13,core,static,1.310453133,1.1201973391367794
2007-08-14,core,static,1.415305541,1.4857853835095098
2007-08-16,core,static,2.237005099,1.871215940496424
2007-08-17,core,static,2.482263853,2.1545270002466763
2007-08-20,core,static,1.287377013,1.4280472498450154
2007-08-21,core,static,1.86630533,1.792887255386908
2007-08-22,core,static,1.182706771,1.4669006284850445
2007-08-23,core,static,0.999892354,1.2034804252648452
2007-08-24,core,static,1.225485272,1.3463301066209057
2007-08-27,core,static,0.90142136,1.2343518147295083
2007-08-28,core,static,1.270836772,1.2555325219572047
2007-08-29,core,static,1.409931797,1.7032077755717452
2007-08-30,core,static,1.134099788,1.2180905918245575
2007-08-31,core,static,1.156241396,1.0414339391520648
2007-09-03,core,static,1.193260375,0.8845388100349357
2007-09-04,core,static,1.019279945,1.1635061442343024
2007-09-05,core,static,1.217038686,1.2027272258710249
2007-09-06,core,static,1.243045509,1.3921009547581482
2007-09-07,core,static,1.111489892,1.1948810815887034
2007-09-10,core,static,1.357314866,1.1058305032783806
2007-09-11,core,static,1.015884387,1.066100384484237
2007-09-12,core,static,1.181147922,1.2510463441028277
2007-09-13,core,static,1.74200541,1.2444827554511304
2007-09-14,core,static,0.937040885,1.221276112484716
2007-09-17,core,static,1.004808032,1.0482481083450104
2007-09-18,core,static,1.026061632,1.1475353108332045
2007-09-19,core,static,0.807643574,0.8650020596616732
2007-09-20,core,static,1.19657164,0.9633774568231089
2007-09-21,core,static,0.872211106,0.8864249254193637
2007-09-27,core,static,0.766486699,0.7696166222563566
2007-09-28,core,static,0.808079164,0.7629051556458969
2007-10-01,core,static,0.550293284,0.8531372365488397
2007-10-02,core,static,0.732053659,0.7767353896676856
2007-10-04,core,static,0.880593175,0.7745670957861343
2007-10-05,core,static,0.95414626,0.7729391346699752
2007-10-08,core,static,0.703126351,0.7088210285568037
2007-10-09,core,static,0.886316416,0.8904317174070934
2007-10-10,core,static,0.71955173,0.7453477495070542
2007-10-11,core,static,0.943056714,0.8614182053947672
2007-10-12,core,static,1.043136334,1.0517976034856777
2007-10-15,core,static,1.096573874,1.0396015276668071
2007-10-16,core,static,1.268705312,1.1367943227159214
2007-10-17,core,static,2.190526979,1.743014153748385
2007-10-18,core,static,1.457985082,1.3430448017910428
2007-10-19,core,static,1.455587547,1.2656686075918748
