date,feature_set,protocol,RV_target,RV_pred
2013-12-19,core,static,0.480279847,0.6888932389403397
2013-12-20,core,static,0.564599767,0.4770420173654639
2013-12-23,core,static,0.469280214,0.44512906777939737
2013-12-24,core,static,0.375924256,0.4816571929337602
2013-12-26,core,static,0.343297252,0.4974177332914895
2013-12-27,core,static,0.40542946,0.5184520601003291
2013-12-30,core,static,0.397558376,0.4504317781830963
2014-01-02,core,static,0.74561902,1.1224540396602956
2014-01-03,core,static,0.83173497,0.719179861809208
2014-01-06,core,static,0.669451505,0.6235835629244125
2014-01-07,core,static,0.669123668,0.6453011517157307
2014-01-08,core,static,0.614557392,0.6195378238157865
2014-01-09,core,static,0.725580443,0.644323151814899
2014-01-10,core,static,0.814300775,0.7717978129593468
2014-01-13,core,static,0.50972996,0.5269058375253298
2014-01-14,core,static,0.686512093,0.6846952127198086
2014-01-15,core,static,0.455951034,0.5326279005258401
2014-01-16,core,static,0.60305739,0.4545323384823781
2014-01-17,core,static,0.550264396,0.6358824600895138
2014-01-20,core,static,0.551341637,0.6364440893319476
2014-01-21,core,static,0.407621156,0.5387720406703495
2014-01-22,core,static,0.400559329,0.45809826512191804
2014-01-23,core,static,0.558196067,0.6370441396587252
2014-01-24,core,static,0.65519576,0.6443766872997366
2014-01-27,core,static,0.656322901,0.598526400258639
2014-01-28,core,static,0.533162166,0.5682593449277715
2014-01-29,core,static,0.483868196,0.5099032024209015
2014-02-03,core,static,0.48515627,0.5321685652077179
2014-02-04,core,static,0.61776161,0.5211047699339143
2014-02-05,core,static,0.486773395,0.5335731589799741
2014-02-06,core,static,0.56847546,0.4955923364503754
2014-02-07,core,static,0.412947203,0.47870800480904363
2014-02-10,core,static,0.477534353,0.47605126615979587
2014-02-11,core,static,0.432660422,0.49550210283067375
2014-02-12,core,static,0.415712115,0.40380953213397797
2014-02-13,core,static,0.532177918,0.5652330248955679
2014-02-14,core,static,0.434893933,0.5217910670136822
2014-02-17,core,static,0.44116376,0.4558854256892087
2014-02-18,core,static,0.455452399,0.500561843039108
2014-02-19,core,static,0.518359381,0.4696554603518565
2014-02-20,core,static,0.571203674,0.5223890986054667
2014-02-21,core,static,0.292270587,0.45493716875736245
2014-02-24,core,static,0.496157795,0.49833665763396945
2014-02-25,core,static,0.385845733,0.3928902597501519
2014-02-26,core,static,0.388913119,0.4955613330694174
2014-02-27,core,static,0.368915449,0.48388940028953703
2014-02-28,core,static,0.57484431,0.41840184514517653
2014-03-03,core,static,0.490520226,0.48803738235676325
2014-03-04,core,static,0.373119191,0.4578763757265237
2014-03-05,core,static,0.295784611,0.3855825880516081
2014-03-06,core,static,0.36687256,0.41902501505877443
2014-03-07,core,static,0.35954281,0.49980305097719774
2014-03-10,core,static,0.39663767,0.5001322502889872
2014-03-11,core,static,0.362162352,0.44963510757104486
2014-03-12,core,static,0.524066125,0.5741061347148554
2014-03-13,core,static,0.764315617,0.5140180167794092
2014-03-14,core,static,0.491798759,0.545426035761319
2014-03-17,core,static,0.440258001,0.40766083284958965
2014-03-18,core,static,0.403460495,0.4560955677957894
2014-03-19,core,static,0.377173239,0.4895998016773923
2014-03-20,core,static,0.497708935,0.539398802123463
2014-03-21,core,static,0.305615723,0.41388051909055523
2014-03-24,core,static,0.559593151,0.4570506071986744
2014-03-25,core,static,0.473950109,0.41812414990663677
2014-03-26,core,static,0.363627924,0.4298292311389175
2014-03-27,core,static,0.330019281,0.5012940989901818
2014-03-28,core,static,0.445678078,0.4879790065361846
2014-03-31,core,static,0.532905699,0.5094214220287403
2014-04-01,core,static,0.453674514,0.48965748608777443
2014-04-02,core,static,0.238201008,0.40219666620023486
2014-04-03,core,static,0.342502509,0.5135105158429699
2014-04-04,core,static,0.384964852,0.4185000558557111
2014-04-07,core,static,0.500297462,0.47431331276660943
2014-04-08,core,static,0.453631406,0.5131749353021227
2014-04-09,core,static,0.373070647,0.40219666620023486
2014-04-10,core,static,0.500990037,0.4856214833659144
2014-04-11,core,static,0.405149359,0.4862479576753023
2014-04-14,core,static,0.460949335,0.40672691836929536
2014-04-15,core,static,0.399847146,0.5242739897509223
2014-04-16,core,static,0.347813876,0.4030334207170935
2014-04-17,core,static,0.349060049,0.5186102893813165
2014-04-18,core,static,0.330660248,0.4051631772824235
2014-04-21,core,static,0.327487175,0.4797794328318043
2014-04-22,core,static,0.398310023,0.4556675405815414
2014-04-23,core,static,0.381451009,0.4749165546681737
2014-04-24,core,static,0.360069866,0.5053286549658682
2014-04-25,core,static,0.379539276,0.6082703976171531
2014-04-28,core,static,0.46890782,0.4045873222556908
2014-04-29,core,static,0.448477674,0.5041450847288784
2014-04-30,core,static,0.341639306,0.5235081109446598
2014-05-02,core,static,0.340484249,0.47916966025545565
2014-05-07,core,static,0.484949617,0.5912653837082792
2014-05-08,core,static,0.445776797,0.5132964527198944
2014-05-09,core,static,0.395553531,0.4203404413285271
2014-05-12,core,static,0.376404792,0.4738441559364205
2014-05-13,core,static,0.372353112,0.4848242856908509
2014-05-14,core,static,0.436912686,0.46425017648745875
2014-05-15,core,static,0.357345367,0.4360610732348477
2014-05-16,core,static,0.481681614,0.4977864752595292
