date,feature_set,protocol,RV_target,RV_pred
2007-08-01,core,static,0.880103381,0.9849979982428524
2007-08-02,core,static,1.440892311,1.11586124842497
2007-08-03,core,static,1.064901696,0.9673222564327836
2007-08-06,core,static,0.923194533,1.0420750712697473
2007-08-07,core,static,0.763156427,0.8246162800118386
2007-08-08,core,static,0.767076401,0.8231247863653733
2007-08-09,core,static,0.729142043,0.7483071674559924
2007-08-10,core,static,1.199605537,0.9966112609811932
2007-08-13,core,static,0.935748199,0.9249204166824742
2007-08-14,core,static,0.601165523,0.6846102389076391
2007-08-15,core,static,0.869264329,0.8579956782962367
2007-08-16,core,static,1.703508475,1.3389144907127408
2007-08-17,core,static,1.891166394,2.0621911258787775
2007-08-20,core,static,1.884293639,1.7580485210849037
2007-08-21,core,static,1.239924028,1.3747777088784803
2007-08-22,core,static,0.92904145,1.0590600273603492
2007-08-23,core,static,1.203796327,1.132604105563922
2007-08-24,core,static,0.759028228,0.9820805687389754
2007-08-27,core,static,0.74931331,0.9700528359118953
2007-08-28,core,static,0.643669331,0.8046408042783428
2007-08-29,core,static,1.360722677,0.9025587188528071
2007-08-30,core,static,0.884478117,0.9613458281996292
2007-08-31,core,static,0.765922942,1.040602797203571
2007-09-03,core,static,0.73561737,0.6909491692487066
2007-09-04,core,static,0.646959721,0.6880560292362933
2007-09-05,core,static,0.822203926,1.1298642805280132
2007-09-06,core,static,1.282779039,1.3721652232602397
2007-09-07,core,static,0.948389339,0.9387004811833882
2007-09-10,core,static,1.398300264,1.0126358485876097
2007-09-11,core,static,1.083504123,1.2112825561490688
2007-09-12,core,static,1.310946124,1.1422298228267636
2007-09-13,core,static,0.815487722,0.9622338012702633
2007-09-14,core,static,0.828726744,1.0465316059998444
2007-09-18,core,static,0.880454616,0.9883480616441059
2007-09-19,core,static,1.326768719,1.150617889714506
2007-09-20,core,static,0.65482805,0.9148764586485159
2007-09-21,core,static,0.648135339,0.7132558620024598
2007-09-25,core,static,0.738892381,0.7773031245597443
2007-09-26,core,static,0.60008959,0.619058151799748
2007-09-27,core,static,0.798136474,0.9756922937571996
2007-09-28,core,static,0.623738756,0.7296224907575255
2007-10-01,core,static,0.811875287,0.747660406906684
2007-10-02,core,static,0.579759285,0.5754775015699056
2007-10-03,core,static,0.638478086,0.7051585386996312
2007-10-04,core,static,0.707450117,0.6322215164748164
2007-10-05,core,static,0.534444803,0.6161702116390375
2007-10-09,core,static,0.565422982,0.5221178738116485
2007-10-10,core,static,0.492693793,0.5494152459409216
2007-10-11,core,static,1.030062627,0.8919008736931793
2007-10-12,core,static,0.609225496,0.7381061861781469
2007-10-15,core,static,0.622835026,0.5877833106102958
2007-10-16,core,static,0.785803349,0.6696934426377651
2007-10-17,core,static,1.226157962,0.9672837107100638
2007-10-18,core,static,0.848425144,0.8932083740590034
2007-10-19,core,static,0.932871884,0.9049706197697228
2007-10-22,core,static,1.582713517,1.0938537565789637
2007-10-23,core,static,0.719069013,0.9060324216316312
2007-10-24,core,static,0.891733735,0.9497371106791025
2007-10-25,core,static,0.990499651,0.9952579574489285
2007-10-26,core,static,0.762286712,0.8553425575618969
2007-10-29,core,static,0.754009821,0.7643522880871316
2007-10-30,core,static,0.77345349,0.7647869680567109
2007-10-31,core,static,0.711520648,0.8004040050061973
2007-11-01,core,static,0.643161325,0.6377500761627564
2007-11-02,core,static,0.965203163,0.7335556258323854
2007-11-05,core,static,0.84878256,0.9110887254589981
2007-11-06,core,static,0.869740242,0.8814387973993891
2007-11-07,core,static,0.765264309,0.9051920953462667
2007-11-08,core,static,1.095595417,1.0871761656565746
2007-11-09,core,static,1.242006485,1.0779120514480656
2007-11-12,core,static,1.449180757,1.3307690903217795
2007-11-13,core,static,1.398611741,1.1404663189263438
2007-11-14,core,static,0.832567305,1.0905296887178284
2007-11-15,core,static,0.771458899,0.9644533900756554
2007-11-16,core,static,1.227393475,1.0305234638633056
2007-11-19,core,static,0.997882755,1.110688357643026
2007-11-20,core,static,1.379403908,1.4888508179937074
2007-11-21,core,static,1.325807653,1.3359922662717363
2007-11-22,core,static,1.466125343,1.4263846461204652
2007-11-26,core,static,1.138327506,1.3906434682339408
2007-11-27,core,static,2.46390094,1.5579489125926669
2007-11-28,core,static,1.077734356,1.2699378124286869
2007-11-29,core,static,1.103196184,1.1388685751487992
2007-11-30,core,static,0.776071558,1.133093502309145
2007-12-03,core,static,1.119242272,0.9860283632698785
2007-12-04,core,static,0.867714892,1.1004534303127596
2007-12-05,core,static,0.895215094,1.0545096279850161
2007-12-06,core,static,0.749563696,0.852439678462636
2007-12-07,core,static,0.86016477,0.7887119141584558
2007-12-10,core,static,0.87988732,0.8426670496859938
2007-12-11,core,static,0.711876328,0.6888645168185805
2007-12-12,core,static,1.000316048,0.9649013002365057
2007-12-13,core,static,0.895454035,1.0843101693867534
2007-12-14,core,static,1.491430692,1.056865269978151
2007-12-17,core,static,1.033565076,1.16528682101565
2007-12-18,core,static,1.34841812,1.1988254481271556
2007-12-19,core,static,0.835046236,1.1231015712533277
2007-12-20,core,static,0.718321286,0.8862503316443684
2007-12-21,core,static,1.198400933,1.0781055647491784
2007-12-25,core,static,0.831553129,0.8529164412196203
2007-12-26,core,static,0.402752824,0.7293319304790415
2007-12-27,core,static,0.514169137,0.5965148492587442
2007-12-28,core,static,0.610083892,0.7549694712091295
2008-01-04,core,static,1.681400157,1.5387557757896582
2008-01-07,core,static,1.17606884,1.3231675025353569
2008-01-08,core,static,1.217186338,0.9151515003606331
2008-01-09,core,static,1.288366692,1.2616196048588557
2008-01-10,core,static,0.818358424,1.0760951177704021
2008-01-11,core,static,1.377219414,1.2879930668965527
2008-01-15,core,static,1.215465833,1.331378544501739
2008-01-16,core,static,1.837691195,1.4462428154914857
2008-01-17,core,static,1.6769547,1.5151731660183885
2008-01-18,core,static,2.098295284,1.8459556056891016
2008-01-21,core,static,1.811480491,1.6282470383257412
2008-01-22,core,static,2.846118916,2.290017478896449
2008-01-23,core,static,2.642878849,2.1474285707443843
2008-01-24,core,static,1.705175018,1.4933827362859948
2008-01-25,core,static,1.282451954,1.7771795726681208
2008-01-28,core,static,1.192220234,1.6742942291620473
2008-01-29,core,static,1.698783479,1.4621785836730954
2008-01-30,core,static,1.470199039,1.3699016991338508
2008-01-31,core,static,1.659495703,1.840495881058168
2008-02-01,core,static,1.400996942,1.2387536676720006
2008-02-04,core,static,1.274190181,1.2611700859825012
2008-02-05,core,static,0.972187912,1.068522318198392
2008-02-06,core,static,1.716776992,1.6563816131228202
2008-02-07,core,static,1.292653215,1.6313158022197978
2008-02-08,core,static,1.419315188,1.3307587803581522
2008-02-12,core,static,1.191109154,1.2202903572252781
2008-02-13,core,static,1.149130812,1.1514216553671077
2008-02-14,core,static,1.366879476,1.5068413396992693
2008-02-15,core,static,1.287664787,1.3639138135610291
2008-02-18,core,static,1.382902098,1.101680740911975
2008-02-19,core,static,1.028856586,1.0446404544008558
2008-02-20,core,static,1.234886842,1.500224989256204
2008-02-21,core,static,1.389269538,1.5006356543907304
2008-02-22,core,static,1.345780559,1.0803096940571835
2008-02-25,core,static,1.275138655,1.4105671577143997
2008-02-26,core,static,0.956434433,1.1607939104245477
2008-02-27,core,static,1.203966036,0.9622099434739949
2008-02-28,core,static,0.994359872,1.0779817213224407
2008-02-29,core,static,1.13015215,1.0808882038661238
2008-03-03,core,static,1.710819229,1.5649397069993816
2008-03-04,core,static,1.482000136,1.324971470531273
2008-03-05,core,static,1.122127248,1.0485730177626205
2008-03-06,core,static,1.043202383,1.3640658177777611
2008-03-07,core,static,1.654557197,1.2748131862750465
2008-03-10,core,static,1.34082151,1.4177056923451983
2008-03-11,core,static,1.302113477,1.5320928897404544
2008-03-12,core,static,1.715775763,1.2850477098160864
2008-03-13,core,static,1.625146504,1.7309736041204165
2008-03-14,core,static,1.614607012,1.7822152675019802
2008-03-17,core,static,2.00169402,1.9739785389172422
2008-03-18,core,static,1.999981998,1.4357011787695426
2008-03-19,core,static,2.039670866,1.451176201299507
2008-03-21,core,static,0.890494065,1.3774421216342678
2008-03-24,core,static,1.023410653,1.0487697866225463
2008-03-25,core,static,0.90599743,1.1942472667713373
2008-03-26,core,static,0.927509535,0.9573497070325446
2008-03-27,core,static,1.083125299,0.9813820026661922
2008-03-28,core,static,1.378215944,1.3919845957747679
2008-03-31,core,static,1.323358908,1.2455625613765933
2008-04-01,core,static,1.288052479,1.2568642963497425
2008-04-02,core,static,1.621259006,1.434480904505842
2008-04-03,core,static,1.01283783,1.3228013231312656
2008-04-04,core,static,0.919227204,0.9915229284286798
2008-04-07,core,static,1.013468166,1.155356001722158
2008-04-08,core,static,0.798057414,0.9865274474463738
2008-04-09,core,static,1.131348528,1.300842547142078
2008-04-10,core,static,1.103286585,1.065676583962007
2008-04-11,core,static,1.056941277,1.2182826080578653
2008-04-14,core,static,1.499574094,1.151818489259025
2008-04-15,core,static,0.902815871,1.1015215378967993
2008-04-16,core,static,0.704383053,0.8553768468452038
2008-04-17,core,static,0.96897556,0.9488619993435812
2008-04-18,core,static,0.821958719,0.9315357905182681
2008-04-21,core,static,0.995446844,0.729282920338011
2008-04-22,core,static,0.739288822,0.7221036935358686
2008-04-23,core,static,1.015139874,1.0559193378293936
2008-04-24,core,static,0.987694099,0.9053560765560992
2008-04-25,core,static,1.115081552,1.1072787481582942
2008-04-28,core,static,0.989452314,1.067689078587574
2008-04-30,core,static,0.928180615,1.0125969248846816
2008-05-01,core,static,1.031915891,0.9192602590319682
2008-05-02,core,static,0.858446804,0.8578930917383022
2008-05-07,core,static,0.859360768,0.9149714832791629
2008-05-08,core,static,0.756644485,0.8015996635646803
2008-05-09,core,static,0.957096809,1.1078586639651302
2008-05-12,core,static,0.799945836,1.157618224364422
2008-05-13,core,static,1.080301625,0.9413206126052452
2008-05-14,core,static,1.034390572,1.0418524495150545
2008-05-15,core,static,0.892900529,0.9476605332486844
2008-05-16,core,static,1.015729049,0.9276889068768134
2008-05-19,core,static,0.809684856,0.8038196776664877
2008-05-20,core,static,0.945192923,0.838884024253486
2008-05-21,core,static,0.857003722,0.9859443289186893
2008-05-22,core,static,1.071163421,1.2407190403640134
2008-05-23,core,static,1.113731363,1.0307191462661056
2008-05-26,core,static,0.902270251,0.9923949368057717
2008-05-27,core,static,0.904549956,0.9122362202145875
2008-05-28,core,static,1.128666086,1.1597350061716498
2008-05-29,core,static,1.178929489,1.2632060375759215
2008-05-30,core,static,0.995763239,0.9612866684321217
2008-06-02,core,static,1.512359518,1.0708203177212314
2008-06-03,core,static,1.157138687,1.0029372564875787
2008-06-04,core,static,0.899794594,1.0295560965475483
2008-06-05,core,static,0.910896779,0.8840421938291656
2008-06-06,core,static,0.659625434,0.8172594234807323
2008-06-09,core,static,1.302784788,0.8733130652087528
2008-06-10,core,static,0.982550823,1.2194748307079233
2008-06-11,core,static,0.997813456,0.9857416076932977
2008-06-12,core,static,1.135469088,0.9832476054287734
2008-06-13,core,static,1.120120758,1.070931917482889
2008-06-16,core,static,1.156385165,1.119046741065045
2008-06-17,core,static,0.846380787,0.7792928948499397
2008-06-18,core,static,0.77250204,0.9136075512626104
2008-06-19,core,static,0.862813185,1.0533643440383353
2008-06-20,core,static,1.180190395,1.1243723821394547
2008-06-23,core,static,1.08640686,1.2284442942342522
2008-06-24,core,static,0.866741398,0.8465156419548481
2008-06-25,core,static,1.034891174,0.9440484756842101
2008-06-26,core,static,0.988849732,0.9266521440182508
2008-06-27,core,static,1.325621465,0.970575589004105
