date,feature_set,protocol,RV_target,RV_pred
2013-12-19,core,static,0.480279847,0.6545066761109342
2013-12-20,core,static,0.564599767,0.43133494939757944
2013-12-23,core,static,0.469280214,0.42624877353659274
2013-12-24,core,static,0.375924256,0.422661934799042
2013-12-26,core,static,0.343297252,0.4107270421183876
2013-12-27,core,static,0.40542946,0.40868449422107533
2013-12-30,core,static,0.397558376,0.35403143848967855
2014-01-02,core,static,0.74561902,0.8308011789556787
2014-01-03,core,static,0.83173497,0.719084002233013
2014-01-06,core,static,0.669451505,0.603827765957462
2014-01-07,core,static,0.669123668,0.5860037902252658
2014-01-08,core,static,0.614557392,0.6110387640076043
2014-01-09,core,static,0.725580443,0.6472698690304657
2014-01-10,core,static,0.814300775,0.748891156867645
2014-01-13,core,static,0.50972996,0.5683482320555706
2014-01-14,core,static,0.686512093,0.6107593193926992
2014-01-15,core,static,0.455951034,0.5494420919936949
2014-01-16,core,static,0.60305739,0.4557397233688162
2014-01-17,core,static,0.550264396,0.6210796891336544
2014-01-20,core,static,0.551341637,0.5565905750966926
2014-01-21,core,static,0.407621156,0.5044238722451595
2014-01-22,core,static,0.400559329,0.4025635822734298
2014-01-23,core,static,0.558196067,0.5651188744935722
2014-01-24,core,static,0.65519576,0.5964486182283628
2014-01-27,core,static,0.656322901,0.6037026588493462
2014-01-28,core,static,0.533162166,0.5317057587665777
2014-01-29,core,static,0.483868196,0.503027825036451
2014-02-03,core,static,0.48515627,0.5045863512308915
2014-02-04,core,static,0.61776161,0.49922381367658014
2014-02-05,core,static,0.486773395,0.5280231582986575
2014-02-06,core,static,0.56847546,0.4667493676106939
2014-02-07,core,static,0.412947203,0.4693816790332805
2014-02-10,core,static,0.477534353,0.40470678154070017
2014-02-11,core,static,0.432660422,0.4502676552329905
2014-02-12,core,static,0.415712115,0.3792519246741918
2014-02-13,core,static,0.532177918,0.5224923611330632
2014-02-14,core,static,0.434893933,0.4725529896391811
2014-02-17,core,static,0.44116376,0.37927210614483886
2014-02-18,core,static,0.455452399,0.42645149190533915
2014-02-19,core,static,0.518359381,0.4233349698178205
2014-02-20,core,static,0.571203674,0.48597941305429165
2014-02-21,core,static,0.292270587,0.41083277893501047
2014-02-24,core,static,0.496157795,0.3974602953957367
2014-02-25,core,static,0.385845733,0.35840882896254844
2014-02-26,core,static,0.388913119,0.44184944110489555
2014-02-27,core,static,0.368915449,0.40125085709961983
2014-02-28,core,static,0.57484431,0.3040610098465767
2014-03-03,core,static,0.490520226,0.462713489281814
2014-03-04,core,static,0.373119191,0.3979893552553463
2014-03-05,core,static,0.295784611,0.29178853184633
2014-03-06,core,static,0.36687256,0.28230491403792346
2014-03-07,core,static,0.35954281,0.38183102706409844
2014-03-10,core,static,0.39663767,0.3790459877763934
2014-03-11,core,static,0.362162352,0.31939921436532115
2014-03-12,core,static,0.524066125,0.5452711553468264
2014-03-13,core,static,0.764315617,0.44220704397326105
2014-03-14,core,static,0.491798759,0.5541971409498044
2014-03-17,core,static,0.440258001,0.3663899798090817
2014-03-18,core,static,0.403460495,0.40664406104495054
2014-03-19,core,static,0.377173239,0.41950559222589345
2014-03-20,core,static,0.497708935,0.4537156906179739
2014-03-21,core,static,0.305615723,0.3356106771296262
