date,feature_set,protocol,RV_target,RV_pred
2014-01-08,core,static,0.504909194,0.35869886797655437
2014-01-09,core,static,0.447920243,0.4798853551364041
2014-01-10,core,static,0.417811428,0.39044828612549143
2014-01-13,core,static,0.472517594,0.716704418880972
2014-01-14,core,static,0.494842611,0.453539453754086
2014-01-15,core,static,0.389795974,0.39150923918117986
2014-01-16,core,static,0.371964599,0.3582363199729081
2014-01-17,core,static,0.362594427,0.39465363346212284
2014-01-21,core,static,0.665681588,0.4394589485158149
2014-01-22,core,static,0.313738731,0.38813691865430183
2014-01-23,core,static,0.712433166,0.5968506509937067
2014-01-24,core,static,0.90682039,0.9683608756078439
2014-01-27,core,static,0.811336139,0.7872054822775846
2014-01-28,core,static,0.531614497,0.5790257187498455
2014-01-29,core,static,1.042181106,0.6944405256309585
2014-01-30,core,static,0.780146235,0.7947091576796032
2014-01-31,core,static,1.104642255,0.8252819578287242
2014-02-03,core,static,0.966837678,1.341591229889397
2014-02-04,core,static,0.819944974,0.6882995045656113
2014-02-05,core,static,0.926945914,0.8035159595989922
2014-02-06,core,static,0.557515312,0.8034614026790624
2014-02-07,core,static,0.65374668,0.696932182874259
2014-02-10,core,static,0.312481814,0.5081928711451627
2014-02-11,core,static,0.416291426,0.5865914319001818
2014-02-12,core,static,0.458313231,0.46556213148576076
2014-02-13,core,static,0.492654453,0.6032192892796036
2014-02-14,core,static,0.38318943,0.509871793520267
2014-02-18,core,static,0.353713093,0.33186937287718665
2014-02-19,core,static,0.544390049,0.5978336993747134
2014-02-20,core,static,0.512630761,0.5640954958999174
2014-02-21,core,static,0.411565747,0.459434976113552
2014-02-24,core,static,0.582845441,0.5525485437008503
2014-02-25,core,static,0.568131575,0.503480285316889
2014-02-26,core,static,0.54708981,0.5132128001141112
2014-02-27,core,static,0.524511154,0.5079321804883397
2014-02-28,core,static,0.611089583,0.6136281660984053
2014-03-03,core,static,0.913379347,0.7303012959085999
2014-03-04,core,static,0.967548115,0.7643819230147174
2014-03-05,core,static,0.415372286,0.5463834552157207
2014-03-06,core,static,0.404077169,0.43567044777077807
2014-03-07,core,static,0.554695362,0.4983934314826255
2014-03-10,core,static,0.475148278,0.4871847367921892
2014-03-11,core,static,0.500703224,0.5930764201198957
2014-03-12,core,static,0.676949381,0.4943738521984911
2014-03-13,core,static,0.730791296,0.9320524358947369
2014-03-14,core,static,0.681550393,0.5821110948553389
2014-03-17,core,static,0.747608226,0.5985397361741998
2014-03-18,core,static,0.482317565,0.5678992234658196
2014-03-19,core,static,0.757435679,0.7467330388006089
2014-03-20,core,static,0.543073394,0.6813013062455039
2014-03-21,core,static,0.711109266,0.6830613606306665
2014-03-24,core,static,0.69544133,0.773631234999292
2014-03-25,core,static,0.763626392,0.5883057700640655
2014-03-26,core,static,0.644809343,0.8288544442616889
2014-03-27,core,static,0.798746061,0.6148587537990615
2014-03-28,core,static,0.616768448,0.663124093606787
2014-03-31,core,static,0.706260756,0.565345440389131
2014-04-01,core,static,0.476379581,0.5286779369287782
2014-04-02,core,static,0.372951577,0.45967286400493035
2014-04-03,core,static,0.382439156,0.47314431527943956
2014-04-04,core,static,0.775319627,0.8626543979629269
2014-04-07,core,static,0.732988089,0.7540552107233119
2014-04-08,core,static,0.626038683,0.607063818538438
2014-04-09,core,static,0.547166824,0.610260616283538
2014-04-10,core,static,0.831249397,1.0911961314194103
2014-04-11,core,static,1.007360736,0.8055459349194966
2014-04-14,core,static,0.852953609,0.7133383725382495
2014-04-15,core,static,0.917920251,0.8660972549072784
2014-04-16,core,static,0.685983056,0.6884211289611296
2014-04-17,core,static,0.473644765,0.6474494581421513
2014-04-21,core,static,0.341622003,0.456385667548232
2014-04-22,core,static,0.328088233,0.4425678985552462
2014-04-23,core,static,0.364509594,0.3633421834572786
2014-04-24,core,static,0.589108042,0.45540836307329463
2014-04-25,core,static,0.586394131,0.6084352704942139
2014-04-28,core,static,0.823585357,0.6913319657730067
