date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,22,static,1.1162918,1.6352531
2001-09-04,core,22,static,2.0407026,1.8826774
2001-09-05,core,22,static,1.9308276,1.4437549
2001-09-06,core,22,static,2.2984583,1.6516039
2001-09-07,core,22,static,1.6795223,1.2999263
2001-09-11,core,22,static,1.5307633,1.5884581
2001-09-12,core,22,static,2.9791594,2.2922232
2001-09-13,core,22,static,2.1383514,2.3736684
2001-09-14,core,22,static,2.6557584,2.3325837
2001-09-17,core,22,static,1.9450941,2.5950944
2001-09-18,core,22,static,2.4098809,2.4023652
2001-09-19,core,22,static,2.3552494,2.3025742
2001-09-20,core,22,static,1.6585617,1.6496788
2001-09-21,core,22,static,1.7568865,2.1916497
2001-09-25,core,22,static,1.8962106,1.7901138
2001-09-26,core,22,static,1.4537836,1.7038347
2001-09-27,core,22,static,1.2037674,1.4513627
2001-09-28,core,22,static,1.4054729,1.3819729
2001-10-01,core,22,static,1.8121343,1.9325628
2001-10-02,core,22,static,1.2978135,1.5868983
2001-10-03,core,22,static,1.6023628,1.7554498
2001-10-04,core,22,static,1.4444504,1.5168023
2001-10-05,core,22,static,1.4616369,1.3746877
2001-10-09,core,22,static,1.3781606,1.3709345
2001-10-10,core,22,static,1.0720345,1.4156303
2001-10-11,core,22,static,1.2359428,1.5644863
2001-10-12,core,22,static,1.6532644,1.3981161
2001-10-15,core,22,static,1.0386,1.1565001
2001-10-16,core,22,static,1.2261803,1.4368477
2001-10-17,core,22,static,1.2315547,1.4909549
2001-10-18,core,22,static,1.12609,1.294216
2001-10-19,core,22,static,0.9049973,1.3610549
2001-10-22,core,22,static,0.6510661,1.0318978
2001-10-23,core,22,static,1.2846167,1.1331806
2001-10-24,core,22,static,1.302556,1.2213517
2001-10-25,core,22,static,1.3072278,1.305347
2001-10-26,core,22,static,1.1498301,1.319524
2001-10-29,core,22,static,1.0187558,1.2359143
2001-10-30,core,22,static,1.2031951,1.235695
2001-10-31,core,22,static,0.8309624,1.1823235
2001-11-01,core,22,static,0.9647422,1.2863193
2001-11-02,core,22,static,1.450916,1.2748351
2001-11-05,core,22,static,0.6997015,1.0319965
2001-11-06,core,22,static,0.91230756,0.9190552
2001-11-07,core,22,static,1.213562,1.43567
2001-11-08,core,22,static,1.2132354,1.2394581
2001-11-09,core,22,static,1.3137938,1.3254557
2001-11-12,core,22,static,1.0898567,1.3453727
2001-11-13,core,22,static,0.87020963,1.2116877
2001-11-14,core,22,static,1.2052678,1.0697051
2001-11-15,core,22,static,1.2514703,1.6952397
2001-11-16,core,22,static,2.1688633,1.6215274
2001-11-19,core,22,static,1.5463173,1.2835891
2001-11-20,core,22,static,1.6622303,1.2504269
2001-11-21,core,22,static,1.7681742,1.7044533
2001-11-22,core,22,static,1.2729993,1.1802084
2001-11-26,core,22,static,1.4711521,1.4023063
2001-11-27,core,22,static,1.4325883,1.3342781
2001-11-28,core,22,static,1.4102099,1.4867632
2001-11-30,core,22,static,1.2161804,1.088179
2001-12-03,core,22,static,1.4683616,1.5141168
2001-12-04,core,22,static,1.3313465,1.3916304
2001-12-05,core,22,static,1.1900908,1.406547
2001-12-06,core,22,static,1.8679303,1.405812
2001-12-07,core,22,static,1.0733515,1.284511
2001-12-10,core,22,static,0.93792796,1.1343143
2001-12-11,core,22,static,1.022902,1.2422957
2001-12-12,core,22,static,1.6226773,1.5050856
2001-12-13,core,22,static,1.1153,1.5600367
2001-12-14,core,22,static,1.4686747,1.4303
2001-12-17,core,22,static,1.1992097,1.1952219
2001-12-18,core,22,static,1.5933192,1.3555701
2001-12-19,core,22,static,1.5499549,1.2196524
2001-12-20,core,22,static,1.1386887,1.1167946
2001-12-21,core,22,static,1.0471654,1.2727392
2001-12-25,core,22,static,1.0677977,1.1888747
2001-12-26,core,22,static,1.0058322,1.1096715
2001-12-27,core,22,static,1.0679196,1.4518516
2002-01-07,core,22,static,1.0932148,1.059561
2002-01-08,core,22,static,1.1639675,1.147165
2002-01-09,core,22,static,1.1235802,1.1850867
2002-01-10,core,22,static,1.2643216,1.2459421
2002-01-11,core,22,static,0.9711793,1.2377825
2002-01-15,core,22,static,1.0283325,1.2393494
2002-01-16,core,22,static,1.0653367,1.3294278
2002-01-17,core,22,static,1.2711087,1.2438197
2002-01-21,core,22,static,1.0141083,1.1694787
2002-01-22,core,22,static,1.1118968,1.2382288
2002-01-23,core,22,static,1.0210612,1.1816597
2002-01-24,core,22,static,1.3695625,1.2146817
2002-01-25,core,22,static,1.3686211,1.0492272
2002-01-29,core,22,static,1.17725,1.0858613
2002-01-30,core,22,static,0.9733158,1.267457
2002-01-31,core,22,static,0.9758415,1.0856172
2002-02-01,core,22,static,1.2524565,1.5901084
2002-02-04,core,22,static,0.92524797,1.4089136
2002-02-05,core,22,static,1.2981555,1.4663808
2002-02-06,core,22,static,1.2677865,1.3410546
2002-02-07,core,22,static,1.4968977,1.4050859
2002-02-08,core,22,static,1.6193671,1.3430274
2002-02-12,core,22,static,1.1070732,1.1721487
2002-02-13,core,22,static,1.434199,1.2282913
2002-02-14,core,22,static,1.6110401,1.2534418
2002-02-15,core,22,static,1.4196908,1.0192506
2002-02-18,core,22,static,0.75287354,1.0798199
2002-02-19,core,22,static,1.106537,1.2921098
2002-02-20,core,22,static,1.1141962,1.3816099
2002-02-21,core,22,static,1.4723452,1.8251175
2002-02-22,core,22,static,1.3975843,1.6353474
2002-02-25,core,22,static,1.1679044,1.2913082
2002-02-26,core,22,static,1.3548403,1.3405247
2002-02-27,core,22,static,1.6635308,1.5938246
2002-02-28,core,22,static,1.4728757,1.4113146
2002-03-01,core,22,static,1.4157524,1.3765421
2002-03-04,core,22,static,1.6944981,1.8615987
2002-03-05,core,22,static,1.5808456,1.4102217
2002-03-06,core,22,static,1.6998894,1.4616637
2002-03-07,core,22,static,1.4181366,1.1385016
2002-03-08,core,22,static,1.5497043,1.7085589
2002-03-11,core,22,static,1.4475812,1.2830904
2002-03-12,core,22,static,1.4893879,1.4555135
2002-03-13,core,22,static,1.5849034,1.6992198
2002-03-14,core,22,static,1.5570505,1.30747
2002-03-15,core,22,static,1.3856069,1.1632855
2002-03-18,core,22,static,1.5257525,1.511739
2002-03-19,core,22,static,1.4020627,1.1971372
2002-03-20,core,22,static,1.267281,1.4295402
2002-03-22,core,22,static,1.1313033,1.5107172
2002-03-25,core,22,static,1.12239,1.3665553
2002-03-26,core,22,static,1.7357447,1.8086689
2002-03-27,core,22,static,1.1872008,1.588769
2002-03-28,core,22,static,1.1916806,1.1343306
2002-03-29,core,22,static,1.6994226,1.4762707
2001-09-03,momentum,22,static,1.1162918,1.2431089
2001-09-04,momentum,22,static,2.0407026,1.9959995
2001-09-05,momentum,22,static,1.9308276,1.2486739
2001-09-06,momentum,22,static,2.2984583,1.3707201
2001-09-07,momentum,22,static,1.6795223,1.178722
2001-09-11,momentum,22,static,1.5307633,1.4854196
2001-09-12,momentum,22,static,2.9791594,2.0548816
2001-09-13,momentum,22,static,2.1383514,2.9522285
2001-09-14,momentum,22,static,2.6557584,2.6519198
2001-09-17,momentum,22,static,1.9450941,2.3051999
2001-09-18,momentum,22,static,2.4098809,2.2688615
