date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,22,static,0.7466042,1.0625347
2001-09-04,core,22,static,1.1451876,1.3020445
2001-09-05,core,22,static,0.9867531,0.9505155
2001-09-06,core,22,static,0.921047,0.92674243
2001-09-07,core,22,static,0.8651238,1.0692878
2001-09-11,core,22,static,0.99968207,1.0960943
2001-09-12,core,22,static,5.145089,1.426348
2001-09-13,core,22,static,2.1412773,3.864238
2001-09-14,core,22,static,2.7766545,3.2846854
2001-09-17,core,22,static,1.5982653,2.3361096
2001-09-18,core,22,static,1.3887355,1.8272309
2001-09-19,core,22,static,1.334155,1.9681561
2001-09-20,core,22,static,1.503243,2.0353885
2001-09-21,core,22,static,1.4434581,1.4295762
2001-09-24,core,22,static,1.1199275,2.5095468
2001-09-25,core,22,static,1.5513935,2.2547107
2001-09-26,core,22,static,1.3735356,1.8315482
2001-09-27,core,22,static,1.1104246,1.3594172
2001-09-28,core,22,static,1.2660418,1.7575948
2001-10-04,core,22,static,1.1761986,1.4456308
2001-10-05,core,22,static,0.9124375,1.5648884
2001-10-08,core,22,static,0.9601295,1.158001
2001-10-09,core,22,static,0.8911104,1.2995585
2001-10-10,core,22,static,0.8368023,1.165381
2001-10-11,core,22,static,0.7732897,1.3778851
2001-10-12,core,22,static,1.1201193,1.4561517
2001-10-15,core,22,static,0.892548,1.1846511
2001-10-16,core,22,static,0.7437714,1.1363567
2001-10-17,core,22,static,0.8790355,0.88816893
2001-10-18,core,22,static,1.102222,0.9684764
2001-10-19,core,22,static,0.9248605,1.0732424
2001-10-22,core,22,static,0.9472694,1.169128
2001-10-23,core,22,static,0.95647055,0.9646014
2001-10-24,core,22,static,0.7433818,1.0004625
2001-10-25,core,22,static,0.89134675,0.9053775
2001-10-26,core,22,static,0.86082774,1.0334654
2001-10-29,core,22,static,0.8435975,0.96593523
2001-10-30,core,22,static,0.86960524,0.9433013
2001-10-31,core,22,static,0.73506045,0.9053277
2001-11-01,core,22,static,0.80269545,1.0067402
2001-11-02,core,22,static,0.8605295,0.9775734
2001-11-05,core,22,static,0.9249837,1.002238
2001-11-06,core,22,static,0.810273,0.90648675
2001-11-07,core,22,static,0.7356962,0.8746406
2001-11-08,core,22,static,1.165858,0.92690706
2001-11-09,core,22,static,1.0981371,1.0669065
2001-11-12,core,22,static,1.1535648,1.0368178
2001-11-13,core,22,static,1.5962058,1.0672135
2001-11-14,core,22,static,1.0062349,1.1850951
2001-11-15,core,22,static,1.5722888,1.0711209
2001-11-16,core,22,static,1.0510287,1.1236019
2001-11-19,core,22,static,1.5380912,1.3463615
2001-11-20,core,22,static,1.7230455,1.6833558
2001-11-21,core,22,static,1.4946291,1.2712874
2001-11-22,core,22,static,1.1109034,1.249418
2001-11-23,core,22,static,1.4672333,1.4423428
2001-11-26,core,22,static,1.821557,1.5803375
2001-11-27,core,22,static,2.3764877,1.7344952
2001-11-28,core,22,static,1.8268679,2.1446204
2001-11-30,core,22,static,1.513803,1.8118216
2001-12-03,core,22,static,1.7871368,2.015377
2001-12-04,core,22,static,1.8108115,1.4806755
2001-12-05,core,22,static,1.9333318,2.330994
2001-12-06,core,22,static,3.2019749,2.944251
2001-12-07,core,22,static,2.0830026,2.477422
2001-12-10,core,22,static,1.7435644,2.3419642
2001-12-11,core,22,static,2.3532186,2.2747974
2001-12-12,core,22,static,2.1861737,2.5716064
2001-12-13,core,22,static,2.2576902,2.0356674
2001-12-14,core,22,static,1.7536687,1.68926
2001-12-17,core,22,static,1.7037467,1.5489347
2001-12-18,core,22,static,1.824488,2.1084166
2001-12-19,core,22,static,1.6069132,1.6857878
2001-12-20,core,22,static,1.7552295,1.9015685
2001-12-21,core,22,static,1.4396634,1.336997
2001-12-24,core,22,static,1.3682072,1.654019
2001-12-26,core,22,static,1.0631682,1.4229977
2001-12-27,core,22,static,2.1890788,1.9740362
2001-12-28,core,22,static,1.5163386,1.7024415
2002-01-02,core,22,static,2.1872623,2.6054773
2002-01-03,core,22,static,2.1237338,1.8552275
2002-01-04,core,22,static,1.3655062,1.6544766
2002-01-07,core,22,static,1.9861394,1.7069209
2002-01-08,core,22,static,1.4465333,1.7758147
2002-01-09,core,22,static,1.6962383,1.7632716
2002-01-10,core,22,static,1.814649,1.5980554
2002-01-11,core,22,static,1.6676846,2.0245497
2002-01-14,core,22,static,1.6295612,1.9236109
2002-01-15,core,22,static,1.532823,1.5466281
2002-01-16,core,22,static,1.7810308,1.5319916
2002-01-17,core,22,static,1.5762987,1.5953395
2002-01-21,core,22,static,1.4824507,1.5834334
2002-01-22,core,22,static,1.311909,1.3504574
2002-01-23,core,22,static,1.3083884,1.8121846
2002-01-24,core,22,static,1.5903313,1.5670223
2002-01-25,core,22,static,1.5989273,1.5902572
2002-01-29,core,22,static,1.632593,1.4341974
2002-01-30,core,22,static,1.3398451,1.4105489
2002-01-31,core,22,static,1.3036908,1.5932294
2002-02-01,core,22,static,1.4750715,1.6658734
2002-02-04,core,22,static,1.483779,1.4956107
2002-02-05,core,22,static,1.6120082,1.5542063
2002-02-06,core,22,static,1.2598191,1.2718465
2002-02-07,core,22,static,1.2064549,1.4548359
2002-02-08,core,22,static,1.468514,1.480436
2002-02-14,core,22,static,1.7625515,2.2166495
2002-02-15,core,22,static,1.3534482,1.550605
2002-02-18,core,22,static,1.2851031,1.40791
2002-02-19,core,22,static,1.3300374,1.4147286
2002-02-20,core,22,static,0.92501795,1.3432423
2002-02-21,core,22,static,1.448153,1.1933885
2002-02-22,core,22,static,1.3000295,1.3920977
2002-02-25,core,22,static,1.120975,1.319058
2002-02-26,core,22,static,0.9606085,1.2287295
2002-02-27,core,22,static,1.3606933,1.2215505
2002-02-28,core,22,static,1.2048212,1.157736
2002-03-04,core,22,static,1.2026724,1.1350324
2002-03-05,core,22,static,1.3040849,1.091315
2002-03-06,core,22,static,1.3490828,1.1096262
2002-03-07,core,22,static,1.1017764,1.2692297
2002-03-08,core,22,static,1.3557613,1.2543569
2002-03-11,core,22,static,1.1236748,1.1730037
2002-03-12,core,22,static,1.1642313,1.2318068
2002-03-13,core,22,static,1.3761994,1.1298271
2002-03-14,core,22,static,1.732135,1.5824578
2002-03-15,core,22,static,1.4195485,1.5155592
2002-03-18,core,22,static,1.1900444,1.17942
2002-03-19,core,22,static,1.2082579,1.170462
2002-03-20,core,22,static,1.7169394,1.2897835
2002-03-21,core,22,static,1.2304847,1.2956026
2002-03-22,core,22,static,1.4186155,1.2545078
2002-03-25,core,22,static,1.2961278,1.3506484
2002-03-26,core,22,static,1.3374858,1.1174123
2002-03-27,core,22,static,1.1185592,1.2187688
2002-03-28,core,22,static,1.556742,1.1774542
2002-03-29,core,22,static,1.0900412,1.0970947
2001-09-03,momentum,60,static,0.7466042,0.92706496
2001-09-04,momentum,60,static,1.1451876,1.296184
2001-09-05,momentum,60,static,0.9867531,1.0177445
2001-09-06,momentum,60,static,0.921047,1.1755033
2001-09-07,momentum,60,static,0.8651238,1.0115515
2001-09-11,momentum,60,static,0.99968207,1.2013224
2001-09-12,momentum,60,static,5.145089,7.912152
2001-09-13,momentum,60,static,2.1412773,5.6782355
2001-09-14,momentum,60,static,2.7766545,6.290115
2001-09-17,momentum,60,static,1.5982653,4.6688004
2001-09-18,momentum,60,static,1.3887355,3.9108706
2001-09-19,momentum,60,static,1.334155,2.0633738
2001-09-20,momentum,60,static,1.503243,2.3217905
2001-09-21,momentum,60,static,1.4434581,1.5993204
2001-09-24,momentum,60,static,1.1199275,2.8157043
2001-09-25,momentum,60,static,1.5513935,2.2249453
2001-09-26,momentum,60,static,1.3735356,1.9376937
2001-09-27,momentum,60,static,1.1104246,1.5758376
2001-09-28,momentum,60,static,1.2660418,2.361316
2001-10-04,momentum,60,static,1.1761986,1.4171828
2001-10-05,momentum,60,static,0.9124375,1.312489
2001-10-08,momentum,60,static,0.9601295,1.1628506
2001-10-09,momentum,60,static,0.8911104,1.9769044
2001-10-10,momentum,60,static,0.8368023,1.2767054
2001-10-11,momentum,60,static,0.7732897,1.4553378
2001-10-12,momentum,60,static,1.1201193,1.3705306
2001-10-15,momentum,60,static,0.892548,1.044385
2001-10-16,momentum,60,static,0.7437714,1.1067479
2001-10-17,momentum,60,static,0.8790355,1.1845198
2001-10-18,momentum,60,static,1.102222,1.1410824
2001-10-19,momentum,60,static,0.9248605,1.1021168
2001-10-22,momentum,60,static,0.9472694,1.0595099
2001-10-23,momentum,60,static,0.95647055,1.0594901
2001-10-24,momentum,60,static,0.7433818,1.2250564
2001-10-25,momentum,60,static,0.89134675,1.2435169
2001-10-26,momentum,60,static,0.86082774,1.1972978
2001-10-29,momentum,60,static,0.8435975,1.1639295
2001-10-30,momentum,60,static,0.86960524,1.3175538
2001-10-31,momentum,60,static,0.73506045,1.3109998
2001-11-01,momentum,60,static,0.80269545,1.4179251
2001-11-02,momentum,60,static,0.8605295,1.2751596
2001-11-05,momentum,60,static,0.9249837,1.3221327
2001-11-06,momentum,60,static,0.810273,1.211138
2001-11-07,momentum,60,static,0.7356962,1.32559
2001-11-08,momentum,60,static,1.165858,1.5154297
2001-11-09,momentum,60,static,1.0981371,1.391185
2001-11-12,momentum,60,static,1.1535648,1.2855585
2001-11-13,momentum,60,static,1.5962058,1.3412083
2001-11-14,momentum,60,static,1.0062349,1.4233017
2001-11-15,momentum,60,static,1.5722888,1.5410366
2001-11-16,momentum,60,static,1.0510287,1.335342
2001-11-19,momentum,60,static,1.5380912,1.5344086
2001-11-20,momentum,60,static,1.7230455,1.5249196
2001-11-21,momentum,60,static,1.4946291,1.3928394
2001-11-22,momentum,60,static,1.1109034,1.4601808
2001-11-23,momentum,60,static,1.4672333,1.5540814
2001-11-26,momentum,60,static,1.821557,1.5166485
2001-11-27,momentum,60,static,2.3764877,1.5477774
2001-11-28,momentum,60,static,1.8268679,2.597944
2001-11-30,momentum,60,static,1.513803,2.0357068
2001-12-03,momentum,60,static,1.7871368,1.8076286
2001-12-04,momentum,60,static,1.8108115,1.6857185
2001-12-05,momentum,60,static,1.9333318,2.3137615
2001-12-06,momentum,60,static,3.2019749,1.9960992
2001-12-07,momentum,60,static,2.0830026,1.8110781
2001-12-10,momentum,60,static,1.7435644,2.4061432
2001-12-11,momentum,60,static,2.3532186,2.150909
2001-12-12,momentum,60,static,2.1861737,2.0901232
2001-12-13,momentum,60,static,2.2576902,1.9657571
2001-12-14,momentum,60,static,1.7536687,1.7277608
2001-12-17,momentum,60,static,1.7037467,1.8435113
2001-12-18,momentum,60,static,1.824488,1.6751864
2001-12-19,momentum,60,static,1.6069132,1.5337191
2001-12-20,momentum,60,static,1.7552295,1.808186
2001-12-21,momentum,60,static,1.4396634,1.7341549
2001-12-24,momentum,60,static,1.3682072,1.4724779
2001-12-26,momentum,60,static,1.0631682,1.4230928
2001-12-27,momentum,60,static,2.1890788,1.939654
2001-12-28,momentum,60,static,1.5163386,1.6973422
2002-01-02,momentum,60,static,2.1872623,2.1604729
2002-01-03,momentum,60,static,2.1237338,1.6706781
2002-01-04,momentum,60,static,1.3655062,1.7657018
2002-01-07,momentum,60,static,1.9861394,1.8979527
2002-01-08,momentum,60,static,1.4465333,1.9705825
2002-01-09,momentum,60,static,1.6962383,1.891572
2002-01-10,momentum,60,static,1.814649,2.2462204
2002-01-11,momentum,60,static,1.6676846,1.8212042
2002-01-14,momentum,60,static,1.6295612,1.6811972
2002-01-15,momentum,60,static,1.532823,1.9570556
2002-01-16,momentum,60,static,1.7810308,1.6197138
2002-01-17,momentum,60,static,1.5762987,1.594186
2002-01-21,momentum,60,static,1.4824507,1.5669209
2002-01-22,momentum,60,static,1.311909,1.567795
2002-01-23,momentum,60,static,1.3083884,1.7901075
2002-01-24,momentum,60,static,1.5903313,1.6649606
2002-01-25,momentum,60,static,1.5989273,1.7470161
2002-01-29,momentum,60,static,1.632593,1.7407231
2002-01-30,momentum,60,static,1.3398451,2.0952566
2002-01-31,momentum,60,static,1.3036908,1.8176293
2002-02-01,momentum,60,static,1.4750715,1.7487184
2002-02-04,momentum,60,static,1.483779,1.6455649
2002-02-05,momentum,60,static,1.6120082,1.6695523
2002-02-06,momentum,60,static,1.2598191,1.5153811
2002-02-07,momentum,60,static,1.2064549,1.639893
2002-02-08,momentum,60,static,1.468514,1.4942915
2002-02-14,momentum,60,static,1.7625515,1.8643752
2002-02-15,momentum,60,static,1.3534482,1.5045549
2002-02-18,momentum,60,static,1.2851031,1.6041787
2002-02-19,momentum,60,static,1.3300374,1.5618236
2002-02-20,momentum,60,static,0.92501795,1.6295283
2002-02-21,momentum,60,static,1.448153,1.5231129
2002-02-22,momentum,60,static,1.3000295,1.5396471
2002-02-25,momentum,60,static,1.120975,1.3888423
2002-02-26,momentum,60,static,0.9606085,1.5277727
2002-02-27,momentum,60,static,1.3606933,1.5933646
2002-02-28,momentum,60,static,1.2048212,1.4919555
2002-03-04,momentum,60,static,1.2026724,1.4650092
2002-03-05,momentum,60,static,1.3040849,1.4702879
2002-03-06,momentum,60,static,1.3490828,1.5067098
2002-03-07,momentum,60,static,1.1017764,1.6340438
2002-03-08,momentum,60,static,1.3557613,1.4382197
2002-03-11,momentum,60,static,1.1236748,1.3587139
2002-03-12,momentum,60,static,1.1642313,1.5836974
2002-03-13,momentum,60,static,1.3761994,1.6029875
2002-03-14,momentum,60,static,1.732135,1.7725573
2002-03-15,momentum,60,static,1.4195485,1.6533121
2002-03-18,momentum,60,static,1.1900444,1.7163309
2002-03-19,momentum,60,static,1.2082579,1.8560832
2002-03-20,momentum,60,static,1.7169394,1.9248999
2002-03-21,momentum,60,static,1.2304847,1.8200519
2002-03-22,momentum,60,static,1.4186155,1.945027
2002-03-25,momentum,60,static,1.2961278,2.030163
2002-03-26,momentum,60,static,1.3374858,1.9787956
2002-03-27,momentum,60,static,1.1185592,2.0434277
2002-03-28,momentum,60,static,1.556742,2.025671
2002-03-29,momentum,60,static,1.0900412,1.8803772
2001-09-03,extended,252,static,0.7466042,0.93140996
2001-09-04,extended,252,static,1.1451876,1.0378165
2001-09-05,extended,252,static,0.9867531,1.0990466
2001-09-06,extended,252,static,0.921047,1.0038168
2001-09-07,extended,252,static,0.8651238,0.8467772
2001-09-11,extended,252,static,0.99968207,1.1911743
2001-09-12,extended,252,static,5.145089,3.0149946
2001-09-13,extended,252,static,2.1412773,2.6146011
2001-09-14,extended,252,static,2.7766545,4.619969
2001-09-17,extended,252,static,1.5982653,3.6353655
2001-09-18,extended,252,static,1.3887355,4.4753346
2001-09-19,extended,252,static,1.334155,1.7627466
2001-09-20,extended,252,static,1.503243,1.9827775
2001-09-21,extended,252,static,1.4434581,1.8518786
2001-09-24,extended,252,static,1.1199275,2.9183998
2001-09-25,extended,252,static,1.5513935,1.5287507
2001-09-26,extended,252,static,1.3735356,1.7157668
2001-09-27,extended,252,static,1.1104246,1.6350533
2001-09-28,extended,252,static,1.2660418,2.3348546
2001-10-04,extended,252,static,1.1761986,1.2519668
2001-10-05,extended,252,static,0.9124375,1.6441541
2001-10-08,extended,252,static,0.9601295,1.630268
2001-10-09,extended,252,static,0.8911104,2.1781926
2001-10-10,extended,252,static,0.8368023,1.3924373
2001-10-11,extended,252,static,0.7732897,1.3799984
2001-10-12,extended,252,static,1.1201193,1.5091414
2001-10-15,extended,252,static,0.892548,1.3924279
2001-10-16,extended,252,static,0.7437714,1.4410914
2001-10-17,extended,252,static,0.8790355,1.4073658
2001-10-18,extended,252,static,1.102222,1.4956245
2001-10-19,extended,252,static,0.9248605,1.5084158
2001-10-22,extended,252,static,0.9472694,1.4289124
2001-10-23,extended,252,static,0.95647055,1.465079
2001-10-24,extended,252,static,0.7433818,1.4268588
2001-10-25,extended,252,static,0.89134675,1.4121724
2001-10-26,extended,252,static,0.86082774,1.2123721
2001-10-29,extended,252,static,0.8435975,1.4249744
2001-10-30,extended,252,static,0.86960524,1.5303731
2001-10-31,extended,252,static,0.73506045,1.65498
2001-11-01,extended,252,static,0.80269545,1.6331595
2001-11-02,extended,252,static,0.8605295,1.4245294
2001-11-05,extended,252,static,0.9249837,1.5473325
2001-11-06,extended,252,static,0.810273,1.4650079
2001-11-07,extended,252,static,0.7356962,1.4568336
2001-11-08,extended,252,static,1.165858,1.3973335
2001-11-09,extended,252,static,1.0981371,1.5761651
2001-11-12,extended,252,static,1.1535648,1.4214536
2001-11-13,extended,252,static,1.5962058,1.6772066
2001-11-14,extended,252,static,1.0062349,1.6495885
2001-11-15,extended,252,static,1.5722888,1.5310124
2001-11-16,extended,252,static,1.0510287,1.7162724
2001-11-19,extended,252,static,1.5380912,1.6432748
2001-11-20,extended,252,static,1.7230455,1.6391642
2001-11-21,extended,252,static,1.4946291,1.6714176
2001-11-22,extended,252,static,1.1109034,1.5758189
2001-11-23,extended,252,static,1.4672333,1.5807315
2001-11-26,extended,252,static,1.821557,1.6630123
2001-11-27,extended,252,static,2.3764877,1.6599332
2001-11-28,extended,252,static,1.8268679,1.6623999
2001-11-30,extended,252,static,1.513803,1.7694083
2001-12-03,extended,252,static,1.7871368,2.0518086
2001-12-04,extended,252,static,1.8108115,1.7976875
2001-12-05,extended,252,static,1.9333318,2.1646662
2001-12-06,extended,252,static,3.2019749,1.5881289
2001-12-07,extended,252,static,2.0830026,1.486753
2001-12-10,extended,252,static,1.7435644,1.7121886
2001-12-11,extended,252,static,2.3532186,1.9428388
2001-12-12,extended,252,static,2.1861737,2.1595888
2001-12-13,extended,252,static,2.2576902,1.7142786
2001-12-14,extended,252,static,1.7536687,1.7986039
2001-12-17,extended,252,static,1.7037467,1.6363188
2001-12-18,extended,252,static,1.824488,1.6347558
2001-12-19,extended,252,static,1.6069132,1.4373599
2001-12-20,extended,252,static,1.7552295,1.6999172
2001-12-21,extended,252,static,1.4396634,1.5616032
2001-12-24,extended,252,static,1.3682072,1.6062816
2001-12-26,extended,252,static,1.0631682,1.4019713
2001-12-27,extended,252,static,2.1890788,1.5472437
2001-12-28,extended,252,static,1.5163386,1.5889399
2002-01-02,extended,252,static,2.1872623,1.6983732
2002-01-03,extended,252,static,2.1237338,1.4149235
2002-01-04,extended,252,static,1.3655062,1.5214645
2002-01-07,extended,252,static,1.9861394,1.3716177
2002-01-08,extended,252,static,1.4465333,1.399304
2002-01-09,extended,252,static,1.6962383,1.798605
2002-01-10,extended,252,static,1.814649,1.5124909
2002-01-11,extended,252,static,1.6676846,1.3790329
2002-01-14,extended,252,static,1.6295612,1.4590799
2002-01-15,extended,252,static,1.532823,1.5226783
2002-01-16,extended,252,static,1.7810308,1.5452417
2002-01-17,extended,252,static,1.5762987,1.4288224
2002-01-21,extended,252,static,1.4824507,1.488351
2002-01-22,extended,252,static,1.311909,1.5506784
2002-01-23,extended,252,static,1.3083884,1.5817631
2002-01-24,extended,252,static,1.5903313,1.4867371
2002-01-25,extended,252,static,1.5989273,1.3967022
2002-01-29,extended,252,static,1.632593,1.4719888
2002-01-30,extended,252,static,1.3398451,1.2386395
2002-01-31,extended,252,static,1.3036908,1.4295499
2002-02-01,extended,252,static,1.4750715,1.2587091
2002-02-04,extended,252,static,1.483779,1.442381
2002-02-05,extended,252,static,1.6120082,1.6851889
2002-02-06,extended,252,static,1.2598191,1.2770478
2002-02-07,extended,252,static,1.2064549,1.4042314
2002-02-08,extended,252,static,1.468514,1.3090895
2002-02-14,extended,252,static,1.7625515,1.5732772
2002-02-15,extended,252,static,1.3534482,1.2278115
2002-02-18,extended,252,static,1.2851031,1.3208343
2002-02-19,extended,252,static,1.3300374,1.1890095
2002-02-20,extended,252,static,0.92501795,1.3893875
2002-02-21,extended,252,static,1.448153,1.3319238
2002-02-22,extended,252,static,1.3000295,1.2915217
2002-02-25,extended,252,static,1.120975,1.1488236
2002-02-26,extended,252,static,0.9606085,1.1908008
2002-02-27,extended,252,static,1.3606933,1.2391106
2002-02-28,extended,252,static,1.2048212,1.2129182
2002-03-04,extended,252,static,1.2026724,1.3617828
2002-03-05,extended,252,static,1.3040849,1.1488948
2002-03-06,extended,252,static,1.3490828,1.2005943
2002-03-07,extended,252,static,1.1017764,1.0646323
2002-03-08,extended,252,static,1.3557613,1.034431
2002-03-11,extended,252,static,1.1236748,1.1012232
2002-03-12,extended,252,static,1.1642313,1.3642763
2002-03-13,extended,252,static,1.3761994,1.2904657
2002-03-14,extended,252,static,1.732135,1.3566984
2002-03-15,extended,252,static,1.4195485,1.2467645
2002-03-18,extended,252,static,1.1900444,1.2401398
2002-03-19,extended,252,static,1.2082579,1.465695
2002-03-20,extended,252,static,1.7169394,1.394157
2002-03-21,extended,252,static,1.2304847,1.3388432
2002-03-22,extended,252,static,1.4186155,1.3548338
2002-03-25,extended,252,static,1.2961278,1.2193857
2002-03-26,extended,252,static,1.3374858,1.4388151
2002-03-27,extended,252,static,1.1185592,1.5099037
2002-03-28,extended,252,static,1.556742,1.357283
2002-03-29,extended,252,static,1.0900412,1.265533
2001-09-03,core,22,expanding,0.7466042041778564,1.0895174741744995
2001-09-04,core,22,expanding,1.1451876163482666,1.3233872652053833
2001-09-05,core,22,expanding,0.9867531061172485,0.9895532727241516
2001-09-06,core,22,expanding,0.9210469722747803,0.9343888759613037
2001-09-07,core,22,expanding,0.8651238083839417,1.1104623079299927
2001-09-11,core,22,expanding,0.9996820688247681,1.1850730180740356
2001-09-12,core,22,expanding,5.145089149475098,1.7853773832321167
2001-09-13,core,22,expanding,2.141277313232422,4.147325038909912
2001-09-14,core,22,expanding,2.7766544818878174,2.550081968307495
2001-09-17,core,22,expanding,1.598265290260315,2.4061667919158936
2001-09-18,core,22,expanding,1.3887355327606201,1.5499449968338013
2001-09-19,core,22,expanding,1.3341549634933472,1.9818133115768433
2001-09-20,core,22,expanding,1.5032429695129395,2.018261194229126
2001-09-21,core,22,expanding,1.443458080291748,1.4559639692306519
2001-09-24,core,22,expanding,1.1199275255203247,2.334221124649048
2001-09-25,core,22,expanding,1.5513935089111328,2.3710198402404785
2001-09-26,core,22,expanding,1.3735356330871582,1.8258284330368042
2001-09-27,core,22,expanding,1.1104246377944946,1.237156629562378
2001-09-28,core,22,expanding,1.2660417556762695,1.5234535932540894
2001-10-04,core,22,expanding,1.1761986017227173,1.3738216161727905
2001-10-05,core,22,expanding,0.9124374985694885,1.4100035429000854
2001-10-08,core,22,expanding,0.9601294994354248,1.0620872974395752
2001-10-09,core,22,expanding,0.8911104202270508,1.1638908386230469
2001-10-10,core,22,expanding,0.8368023037910461,1.0437471866607666
2001-10-11,core,22,expanding,0.773289680480957,1.2237763404846191
2001-10-12,core,22,expanding,1.120119333267212,1.3523342609405518
2001-10-15,core,22,expanding,0.8925480246543884,1.030674695968628
2001-10-16,core,22,expanding,0.7437713742256165,0.9952685832977295
2001-10-17,core,22,expanding,0.879035472869873,0.8159371614456177
2001-10-18,core,22,expanding,1.102221965789795,0.8989262580871582
2001-10-19,core,22,expanding,0.9248604774475098,1.0096672773361206
2001-10-22,core,22,expanding,0.9472693800926208,1.059880256652832
2001-10-23,core,22,expanding,0.9564705491065979,0.8842488527297974
2001-10-24,core,22,expanding,0.7433817982673645,0.9875445365905762
2001-10-25,core,22,expanding,0.8913467526435852,0.8538018465042114
2001-10-26,core,22,expanding,0.8608277440071106,1.0005791187286377
2001-10-29,core,22,expanding,0.8435974717140198,0.9513806104660034
2001-10-30,core,22,expanding,0.8696052432060242,0.9486780166625977
2001-10-31,core,22,expanding,0.735060453414917,0.886780858039856
2001-11-01,core,22,expanding,0.8026954531669617,0.9756749868392944
2001-11-02,core,22,expanding,0.8605294823646545,1.0080506801605225
2001-11-05,core,22,expanding,0.9249836802482605,1.0261703729629517
