date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,252,static,0.8925091,0.6342959
2020-01-03,core,252,static,0.8655617,0.7733622
2020-01-06,core,252,static,0.64004916,0.6363536
2020-01-07,core,252,static,0.61568403,0.54496545
2020-01-08,core,252,static,0.8261563,0.65192235
2020-01-09,core,252,static,0.58667445,0.56525147
2020-01-10,core,252,static,0.7661299,0.5697021
2020-01-13,core,252,static,0.6040833,0.6153152
2020-01-14,core,252,static,0.6655603,0.551432
2020-01-15,core,252,static,0.56905633,0.62450564
2020-01-16,core,252,static,0.58116597,0.5537312
2020-01-17,core,252,static,0.63811225,0.6196035
2020-01-20,core,252,static,0.67395675,0.5586121
2020-01-21,core,252,static,0.5681763,0.67165685
2020-01-22,core,252,static,0.68830997,0.631372
2020-01-23,core,252,static,0.72636735,0.63977385
2020-01-28,core,252,static,0.88319975,0.74845946
2020-01-29,core,252,static,0.8074044,0.7819383
2020-01-30,core,252,static,0.8236806,0.88847077
2020-01-31,core,252,static,0.8683717,0.9648895
2020-02-03,core,252,static,1.6001309,0.90214795
2020-02-04,core,252,static,0.99906355,0.89024615
2020-02-05,core,252,static,0.9396403,0.77127314
2020-02-06,core,252,static,0.8091606,0.8316585
2020-02-07,core,252,static,0.78680825,0.78962415
2020-02-10,core,252,static,0.7722622,0.76568675
2020-02-11,core,252,static,0.60671264,0.63785964
2020-02-12,core,252,static,0.71207774,0.6075102
2020-02-13,core,252,static,0.8955175,0.71621263
2020-02-14,core,252,static,0.74798423,0.71745026
2020-02-17,core,252,static,0.703522,0.638005
2020-02-18,core,252,static,0.6943836,0.69923174
2020-02-19,core,252,static,0.95025545,0.76545453
2020-02-20,core,252,static,0.8966674,0.9196922
2020-02-21,core,252,static,0.8840929,0.73448133
2020-02-24,core,252,static,1.0130543,0.8662175
2020-02-25,core,252,static,1.1149325,0.85751724
2020-02-26,core,252,static,0.9713678,0.860726
2020-02-27,core,252,static,1.096685,0.8779092
