date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,0.8801034,1.0455728
2007-08-02,core,252,static,1.4408923,1.1308069
2007-08-03,core,252,static,1.0649017,0.9422598
2007-08-06,core,252,static,0.9231945,1.0321372
2007-08-07,core,252,static,0.7631564,0.79777765
2007-08-08,core,252,static,0.7670764,0.74205154
2007-08-09,core,252,static,0.72914207,0.7702425
2007-08-10,core,252,static,1.1996056,0.9813157
2007-08-13,core,252,static,0.9357482,0.8740073
2007-08-14,core,252,static,0.60116553,0.66191036
2007-08-15,core,252,static,0.8692643,0.8901766
2007-08-16,core,252,static,1.7035085,1.3216412
2007-08-17,core,252,static,1.8911664,2.177013
2007-08-20,core,252,static,1.8842937,1.8685672
2007-08-21,core,252,static,1.2399241,1.3067298
2007-08-22,core,252,static,0.92904145,0.93093836
2007-08-23,core,252,static,1.2037963,1.1036061
2007-08-24,core,252,static,0.75902826,0.9297724
2007-08-27,core,252,static,0.7493133,0.80202353
2007-08-28,core,252,static,0.6436693,0.7655524
2007-08-29,core,252,static,1.3607227,0.91503465
2007-08-30,core,252,static,0.8844781,0.91421705
2007-08-31,core,252,static,0.76592296,0.94770753
2007-09-03,core,252,static,0.7356174,0.6552605
2007-09-04,core,252,static,0.6469597,0.67748904
2007-09-05,core,252,static,0.82220393,0.94324565
2007-09-06,core,252,static,1.2827791,1.2411745
2007-09-07,core,252,static,0.94838935,0.96750385
2007-09-10,core,252,static,1.3983003,0.9424707
2007-09-11,core,252,static,1.0835041,1.2172363
2007-09-12,core,252,static,1.3109461,1.0488982
2007-09-13,core,252,static,0.81548774,0.88894755
2007-09-14,core,252,static,0.82872677,0.8968401
2007-09-18,core,252,static,0.8804546,0.91735446
2007-09-19,core,252,static,1.3267688,1.0847588
2007-09-20,core,252,static,0.6548281,0.8798351
2007-09-21,core,252,static,0.64813536,0.67065823
2007-09-25,core,252,static,0.7388924,0.700786
2007-09-26,core,252,static,0.6000896,0.53668654
2007-09-27,core,252,static,0.7981365,0.96189487
2007-09-28,core,252,static,0.62373877,0.69525033
2007-10-01,core,252,static,0.8118753,0.69545805
2007-10-02,core,252,static,0.5797593,0.5869196
2007-10-03,core,252,static,0.6384781,0.6411505
2007-10-04,core,252,static,0.7074501,0.6015402
2007-10-05,core,252,static,0.5344448,0.56197774
2007-10-09,core,252,static,0.565423,0.46551713
2007-10-10,core,252,static,0.49269378,0.5411269
2007-10-11,core,252,static,1.0300627,0.8808929
2007-10-12,core,252,static,0.6092255,0.6784006
2007-10-15,core,252,static,0.62283504,0.53233105
2007-10-16,core,252,static,0.7858034,0.681883
2007-10-17,core,252,static,1.2261579,1.0082988
2007-10-18,core,252,static,0.84842515,0.87501305
2007-10-19,core,252,static,0.9328719,0.82596636
2007-10-22,core,252,static,1.5827135,1.0668876
2007-10-23,core,252,static,0.719069,0.91392374
2007-10-24,core,252,static,0.8917337,0.86704755
2007-10-25,core,252,static,0.9904997,0.9689752
2007-10-26,core,252,static,0.7622867,0.854477
2007-10-29,core,252,static,0.75400984,0.72632504
2007-10-30,core,252,static,0.7734535,0.7900019
2007-10-31,core,252,static,0.7115207,0.7007686
2007-11-01,core,252,static,0.6431613,0.6326646
2007-11-02,core,252,static,0.96520317,0.7111473
2007-11-05,core,252,static,0.84878254,0.823447
2007-11-06,core,252,static,0.86974025,0.90744483
2007-11-07,core,252,static,0.76526433,0.8220941
2007-11-08,core,252,static,1.0955954,0.9925125
2007-11-09,core,252,static,1.2420065,1.0590723
2007-11-12,core,252,static,1.4491807,1.3032982
2007-11-13,core,252,static,1.3986118,1.1369216
2007-11-14,core,252,static,0.83256733,1.0046563
2007-11-15,core,252,static,0.7714589,0.8673605
2007-11-16,core,252,static,1.2273935,0.9107894
2007-11-19,core,252,static,0.9978828,0.9402491
2007-11-20,core,252,static,1.379404,1.448134
2007-11-21,core,252,static,1.3258077,1.3099737
2007-11-22,core,252,static,1.4661254,1.2099361
2007-11-26,core,252,static,1.1383275,1.2394223
2007-11-27,core,252,static,2.463901,1.4739926
2007-11-28,core,252,static,1.0777344,1.2542322
2007-11-29,core,252,static,1.1031961,1.0145773
2007-11-30,core,252,static,0.77607155,0.9927009
2007-12-03,core,252,static,1.1192423,0.87316823
2007-12-04,core,252,static,0.8677149,1.020744
