date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,1.6718278,1.2895867
2007-08-02,core,252,static,1.0545318,0.9884017
2007-08-03,core,252,static,1.2634865,1.2401137
2007-08-06,core,252,static,1.5228378,1.2301452
2007-08-07,core,252,static,1.5802648,1.329921
2007-08-08,core,252,static,1.177296,1.3333617
2007-08-09,core,252,static,2.1938667,1.5626931
2007-08-10,core,252,static,2.0329282,1.5986758
2007-08-13,core,252,static,1.0790513,0.9381521
2007-08-14,core,252,static,1.2419599,1.2420971
2007-08-15,core,252,static,1.4086285,1.450805
2007-08-16,core,252,static,2.3308847,1.857124
2007-08-17,core,252,static,2.2522154,1.4655623
2007-08-20,core,252,static,1.090452,1.0651151
2007-08-21,core,252,static,0.98857677,0.85176635
2007-08-22,core,252,static,1.1598293,0.82966274
2007-08-23,core,252,static,0.9439304,1.0793778
2007-08-24,core,252,static,0.59175897,0.8184609
2007-08-27,core,252,static,0.61759686,0.6648727
2007-08-28,core,252,static,0.7875693,0.97700536
2007-08-29,core,252,static,1.0595468,0.9230686
2007-08-30,core,252,static,1.145752,1.2146207
2007-08-31,core,252,static,1.3263122,1.136867
2007-09-04,core,252,static,0.6176023,1.0019381
2007-09-05,core,252,static,1.0097556,1.0526851
2007-09-06,core,252,static,0.75078577,0.79811466
2007-09-07,core,252,static,1.3905553,1.0427716
2007-09-10,core,252,static,1.0879066,1.2494882
2007-09-11,core,252,static,0.8977413,0.8177046
2007-09-12,core,252,static,0.76248676,0.956173
2007-09-13,core,252,static,0.8040983,0.9306703
2007-09-14,core,252,static,0.82566416,0.70635456
2007-09-17,core,252,static,0.56728804,0.69391465
2007-09-18,core,252,static,1.4727147,0.9925743
2007-09-19,core,252,static,0.9417224,1.0064893
2007-09-20,core,252,static,0.6428541,0.7592721
2007-09-21,core,252,static,0.6494903,0.65714306
2007-09-24,core,252,static,0.6367967,0.7574025
2007-09-25,core,252,static,0.7038576,0.7163169
2007-09-26,core,252,static,0.61366844,0.6072504
2007-09-27,core,252,static,0.5321781,0.48920515
2007-09-28,core,252,static,0.50032914,0.4599723
2007-10-01,core,252,static,0.54628026,0.5944187
2007-10-02,core,252,static,0.43112338,0.5002906
2007-10-03,core,252,static,0.58972424,0.48264858
2007-10-04,core,252,static,0.38272768,0.4366605
2007-10-05,core,252,static,0.71397245,0.6650656
