date,feature_set,L,protocol,RV_target,RV_pred
2014-01-07,core,60,static,0.9929978,0.7943374
2014-01-08,core,60,static,0.55982196,0.85404664
2014-01-09,core,60,static,0.7221481,0.7872575
2014-01-10,core,60,static,0.8308182,0.7927083
2014-01-14,core,60,static,1.1166403,1.0449766
2014-01-15,core,60,static,0.7597656,0.7850733
2014-01-16,core,60,static,0.7385079,0.90472424
2014-01-17,core,60,static,0.9924829,0.77572435
2014-01-20,core,60,static,0.6351576,0.75168943
2014-01-21,core,60,static,0.68236524,0.7698883
2014-01-22,core,60,static,0.90556103,0.81968653
2014-01-23,core,60,static,0.8677156,1.0192581
2014-01-24,core,60,static,0.9876176,0.97670615
2014-01-27,core,60,static,1.0500518,0.8520539
2014-01-28,core,60,static,0.8367259,0.84830844
2014-01-29,core,60,static,0.7737801,0.83813155
2014-01-30,core,60,static,1.2759646,0.98731565
2014-01-31,core,60,static,1.1827918,1.3158164
2014-02-03,core,60,static,1.1922182,1.1184434
2014-02-04,core,60,static,1.6071959,1.2451814
2014-02-05,core,60,static,1.2378954,1.1105812
2014-02-06,core,60,static,0.9547833,0.95827365
2014-02-07,core,60,static,0.73973215,0.7329088
2014-02-10,core,60,static,0.70442957,0.6817905
2014-02-12,core,60,static,0.6793457,0.65762603
2014-02-13,core,60,static,0.7595481,1.0416021
2014-02-14,core,60,static,1.5592761,1.4625514
2014-02-17,core,60,static,1.0413496,1.0601655
2014-02-18,core,60,static,1.4758527,1.3085943
2014-02-19,core,60,static,0.79908484,1.0427386
2014-02-20,core,60,static,1.1217945,1.2576647
2014-02-21,core,60,static,0.84724355,1.0820005
2014-02-24,core,60,static,1.188368,1.1477083
2014-02-25,core,60,static,0.70223475,0.807883
2014-02-26,core,60,static,0.8268716,0.8614607
2014-02-27,core,60,static,0.8597349,0.7961828
2014-02-28,core,60,static,1.0540922,0.9814321
2014-03-03,core,60,static,1.2059813,0.99563396
2014-03-04,core,60,static,0.7824622,0.9509016
2014-03-05,core,60,static,0.69540536,0.6278572
2014-03-06,core,60,static,0.9321518,1.074837
2014-03-07,core,60,static,0.70667803,0.9000103
2014-03-10,core,60,static,0.83244985,0.81543076
