refit_step,regime,country,feature_set,L,protocol,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,normal,US,core,60,expanding,1,1.5457510217231911,0.0593255765373905,0.0517837837309457,0.0593255765373905,0.001
0,normal,US,core,60,expanding,2,0.32085107152396575,0.037693147394506334,0.0366450900914952,0.037693147394506334,0.001
0,normal,US,core,60,expanding,3,0.12844331852107677,0.031164167060455553,0.032827399190241684,0.031164167060455553,0.001
0,normal,US,core,60,expanding,4,0.09214169477107799,0.03214786462186571,0.03230373357678129,0.03214786462186571,0.001
0,normal,US,core,60,expanding,5,0.09219535600975488,0.030932744063704217,0.03199412045476719,0.030932744063704217,0.001
0,normal,US,core,60,expanding,6,0.08417222767199292,0.029848565940856372,0.030834373998988404,0.029848565940856372,0.001
0,normal,US,core,60,expanding,7,0.07699005041482314,0.03158753982466438,0.032100841524405586,0.03158753982466438,0.001
0,normal,US,core,60,expanding,8,0.07490803401783032,0.03289610308895798,0.03249316656751855,0.03289610308895798,0.001
0,normal,US,core,60,expanding,9,0.08108544932937131,0.03513009278087053,0.03363888529546066,0.03513009278087053,0.001
0,normal,US,core,60,expanding,10,0.06829636747186835,0.033415605619256585,0.032902577968046125,0.033415605619256585,0.001
0,normal,US,core,60,expanding,11,0.07360165261281702,0.035948332656599705,0.03461771844324551,0.035948332656599705,0.001
0,normal,US,core,60,expanding,12,0.07166479859456394,0.03687866365816834,0.03533818036071405,0.03687866365816834,0.001
0,normal,US,core,60,expanding,13,0.058528718301198907,0.02798176884801671,0.029713809324187455,0.02798176884801671,0.0005
0,normal,US,core,60,expanding,14,0.050880392189704735,0.028103124056845487,0.030214807846228292,0.028103124056845487,0.0005
0,normal,US,core,60,expanding,15,0.04929447860599177,0.02759740133841532,0.029525038406863477,0.02759740133841532,0.0005
0,normal,US,core,60,expanding,16,0.048884866045433295,0.02739656362574468,0.029330684676139473,0.02739656362574468,0.0005
0,normal,US,core,60,expanding,17,0.046517110410215105,0.02733348045802418,0.029372715468904374,0.02733348045802418,0.0005
0,normal,US,core,60,expanding,18,0.045519520227332466,0.027143158493811076,0.029193472165654228,0.027143158493811076,0.0005
0,normal,US,core,60,expanding,19,0.04337656685561708,0.027141800153915013,0.029168192446929427,0.027141800153915013,0.0005
0,normal,US,core,60,expanding,20,0.04265999692790913,0.027366500345159986,0.029723164543929845,0.027366500345159986,0.0005
0,normal,US,core,60,expanding,21,0.04599892085044298,0.02725017008044771,0.029430021892450316,0.02725017008044771,0.0005
0,normal,US,core,60,expanding,22,0.04525714812106988,0.027430079645257923,0.0292448215102795,0.027430079645257923,0.0005
0,normal,US,core,60,expanding,23,0.04253700541948986,0.0269587269441921,0.02923515159636736,0.0269587269441921,0.0005
0,normal,US,core,60,expanding,24,0.04241882457587977,0.026706585690816704,0.028865383309674548,0.026706585690816704,0.0005
0,normal,US,core,60,expanding,25,0.0407844633349628,0.02694446798671661,0.029104562155568996,0.02694446798671661,0.0005
0,normal,US,core,60,expanding,26,0.04348001848669854,0.027022510704934544,0.028676497603445913,0.027022510704934544,0.0005
0,normal,US,core,60,expanding,27,0.03975904617413853,0.027178081888116472,0.029106956313668608,0.027178081888116472,0.0005
0,normal,US,core,60,expanding,28,0.03773242192499429,0.027260410606803648,0.029225881430700942,0.027260410606803648,0.0005
0,normal,US,core,60,expanding,29,0.03835513739755591,0.027382397902642863,0.029288992417998004,0.027382397902642863,0.0005
0,normal,US,core,60,expanding,30,0.037645559317047356,0.02728178294200132,0.029190572563935695,0.02728178294200132,0.0005
0,normal,US,core,60,expanding,31,0.03926653075535138,0.029328373086848346,0.03013683958370909,0.029328373086848346,0.00025
0,normal,US,core,60,expanding,32,0.03923419865285962,0.028816776988074472,0.029886388215023468,0.028816776988074472,0.00025
0,normal,US,core,60,expanding,33,0.03534713264292755,0.029083396314512355,0.030036817839756928,0.029083396314512355,0.00025
0,normal,US,core,60,expanding,34,0.03466990828309623,0.02884182553533543,0.029887361500112355,0.02884182553533543,0.00025
1,normal,US,core,60,expanding,1,1.5376883965559904,0.05845324810334535,0.049435868398133284,0.05845324810334535,0.001
1,normal,US,core,60,expanding,2,0.30503593657628253,0.036136631263697296,0.033959446882025644,0.036136631263697296,0.001
1,normal,US,core,60,expanding,3,0.13403329172897144,0.030696007943750672,0.03102694469102347,0.030696007943750672,0.001
1,normal,US,core,60,expanding,4,0.0956515865794308,0.03414199261502117,0.03162560960713853,0.03414199261502117,0.001
1,normal,US,core,60,expanding,5,0.09240612840993993,0.03098013703342002,0.03002532183893414,0.03098013703342002,0.001
1,normal,US,core,60,expanding,6,0.08554017783674991,0.02935006147732364,0.02928033249175295,0.02935006147732364,0.001
1,normal,US,core,60,expanding,7,0.07444456422963214,0.03022268378313466,0.03005585636460804,0.03022268378313466,0.001
1,normal,US,core,60,expanding,8,0.07603278379038607,0.031070506379533354,0.03031520319227093,0.031070506379533354,0.001
1,normal,US,core,60,expanding,9,0.07798874158651084,0.033917908571363196,0.03208077011532664,0.033917908571363196,0.001
1,normal,US,core,60,expanding,10,0.06930479806775448,0.031912723103423975,0.030692364941252038,0.031912723103423975,0.001
1,normal,US,core,60,expanding,11,0.07073864291992552,0.03311084704385025,0.03186999053858235,0.03311084704385025,0.001
1,normal,US,core,60,expanding,12,0.0721162629871544,0.035281181995083837,0.033242256573367164,0.035281181995083837,0.001
1,normal,US,core,60,expanding,13,0.058507801870857384,0.026642045447886446,0.02709640779422607,0.026642045447886446,0.0005
1,normal,US,core,60,expanding,14,0.051171006469658255,0.027189553104387098,0.027959478338117526,0.027189553104387098,0.0005
1,normal,US,core,60,expanding,15,0.04998126963476204,0.02637719648899249,0.02700157539929827,0.02637719648899249,0.0005
1,normal,US,core,60,expanding,16,0.05124997752140521,0.026362234993569406,0.02699503153418434,0.026362234993569406,0.0005
1,normal,US,core,60,expanding,17,0.04713825903843077,0.026143076790378476,0.02700434761334434,0.026143076790378476,0.0005
1,normal,US,core,60,expanding,18,0.046029548222989373,0.026408765718275194,0.027182232948809112,0.026408765718275194,0.0005
1,normal,US,core,60,expanding,19,0.04467922856708503,0.026064184300011905,0.02675820936086791,0.026064184300011905,0.0005
1,normal,US,core,60,expanding,20,0.04543024765030261,0.02638493616063859,0.02734230807487001,0.02638493616063859,0.0005
1,normal,US,core,60,expanding,21,0.045061059326624645,0.02606114837500063,0.026846497162917135,0.02606114837500063,0.0005
1,normal,US,core,60,expanding,22,0.04380628048845073,0.026154054921682064,0.027026018506092535,0.026154054921682064,0.0005
1,normal,US,core,60,expanding,23,0.044036642692749366,0.026133226326244808,0.027233137116844927,0.026133226326244808,0.0005
1,normal,US,core,60,expanding,24,0.04258432846114873,0.026077022845966042,0.026944921162822492,0.026077022845966042,0.0005
1,normal,US,core,60,expanding,25,0.04135962056267961,0.026387503948774014,0.027101890059688796,0.026387503948774014,0.0005
1,normal,US,core,60,expanding,26,0.043231386350821015,0.026442578516760757,0.02714826607611931,0.026442578516760757,0.0005
1,normal,US,core,60,expanding,27,0.04054566098715078,0.026561317094121357,0.02715799802593613,0.026561317094121357,0.0005
1,normal,US,core,60,expanding,28,0.03746983518704548,0.02703689450953447,0.027516415807449148,0.02703689450953447,0.00025
1,normal,US,core,60,expanding,29,0.037288298202731926,0.027849142060682196,0.02802928144065393,0.027849142060682196,0.00025
2,normal,US,core,60,expanding,1,1.5293166498868658,0.05646237836817487,0.04726115298958925,0.05646237836817487,0.001
2,normal,US,core,60,expanding,2,0.22192970669435805,0.03188251929235515,0.031058602321606416,0.03188251929235515,0.001
2,normal,US,core,60,expanding,3,0.12614737324910563,0.02867374403324663,0.028847807473861255,0.02867374403324663,0.001
2,normal,US,core,60,expanding,4,0.1009715874232516,0.030095080697658847,0.02962934337556362,0.030095080697658847,0.001
2,normal,US,core,60,expanding,5,0.08160598010643332,0.027093055926972493,0.027757332817866253,0.027093055926972493,0.001
2,normal,US,core,60,expanding,6,0.07870029562388832,0.02854571156267486,0.02844876340375497,0.02854571156267486,0.001
2,normal,US,core,60,expanding,7,0.08046932629078737,0.027112072098988763,0.027627513844233294,0.027112072098988763,0.001
2,normal,US,core,60,expanding,8,0.07002955340209017,0.0291871480468098,0.028386742965533184,0.0291871480468098,0.001
2,normal,US,core,60,expanding,9,0.0756480151077776,0.033808074508374246,0.03274810675245065,0.033808074508374246,0.001
2,normal,US,core,60,expanding,10,0.07420392578013592,0.03307195296022262,0.031174910698945707,0.03307195296022262,0.001
2,normal,US,core,60,expanding,11,0.072766922525152,0.03801876728366994,0.03451814430837448,0.03801876728366994,0.001
2,normal,US,core,60,expanding,12,0.06245438916979452,0.025941496160380977,0.02574027243715066,0.025941496160380977,0.0005
2,normal,US,core,60,expanding,13,0.05362181232439366,0.025778686185320126,0.02636042841925071,0.025778686185320126,0.0005
2,normal,US,core,60,expanding,14,0.05099371124233289,0.025448740530207334,0.025987800096090023,0.025448740530207334,0.0005
2,normal,US,core,60,expanding,15,0.05073742350742155,0.025818085706239988,0.026528644160582468,0.025818085706239988,0.0005
2,normal,US,core,60,expanding,16,0.052421415216302406,0.02571410105578922,0.026244914417083445,0.02571410105578922,0.0005
2,normal,US,core,60,expanding,17,0.04567890246637183,0.026234324646683495,0.026405933413368006,0.026234324646683495,0.0005
2,normal,US,core,60,expanding,18,0.047368968208028314,0.026106444229932958,0.02609016557152455,0.026106444229932958,0.0005
2,normal,US,core,60,expanding,19,0.0469743332777598,0.025678512480840188,0.026160476356744768,0.025678512480840188,0.0005
2,normal,US,core,60,expanding,20,0.04607350673318407,0.02611217353201451,0.026359329200707948,0.02611217353201451,0.0005
2,normal,US,core,60,expanding,21,0.04473129007870583,0.026461810667440584,0.026602919915547737,0.026461810667440584,0.00025
2,normal,US,core,60,expanding,22,0.041076675687609296,0.026592840786123135,0.026383560638015086,0.026592840786123135,0.00025
2,normal,US,core,60,expanding,23,0.04062392134137297,0.026616693277321822,0.0266006165685562,0.026616693277321822,0.00025
2,normal,US,core,60,expanding,24,0.04133754540389551,0.0268675310197551,0.026644587344848192,0.0268675310197551,0.00025
3,normal,US,core,60,expanding,1,1.5206397471400588,0.05674954622676863,0.047434340302349845,0.05674954622676863,0.001
3,normal,US,core,60,expanding,2,0.21716424285428534,0.031908874904891624,0.03069466172608887,0.031908874904891624,0.001
3,normal,US,core,60,expanding,3,0.1292923520949047,0.02808773075031389,0.028067358142658927,0.02808773075031389,0.001
3,normal,US,core,60,expanding,4,0.1035667229808028,0.030737974814036232,0.02956126970247887,0.030737974814036232,0.001
3,normal,US,core,60,expanding,5,0.07953993646793485,0.027250557451032664,0.027747109334695066,0.027250557451032664,0.001
3,normal,US,core,60,expanding,6,0.08000611438995588,0.029824888875857023,0.028803452368590617,0.029824888875857023,0.001
3,normal,US,core,60,expanding,7,0.07120450774982662,0.027515337254456942,0.027749282539417934,0.027515337254456942,0.001
3,normal,US,core,60,expanding,8,0.06548100814853801,0.029146426634816317,0.028453338248423703,0.029146426634816317,0.001
3,normal,US,core,60,expanding,9,0.06468062151652973,0.03156420122734107,0.03071834892390677,0.03156420122734107,0.001
3,normal,US,core,60,expanding,10,0.06792385445622601,0.031209177538270152,0.03029028675652485,0.031209177538270152,0.001
3,normal,US,core,60,expanding,11,0.067402187930778,0.036230599552835384,0.03296399880449927,0.036230599552835384,0.001
3,normal,US,core,60,expanding,12,0.060586673060629266,0.025820191843150396,0.02572333918132928,0.025820191843150396,0.0005
3,normal,US,core,60,expanding,13,0.052986410684476654,0.025435621244492966,0.026124952599605684,0.025435621244492966,0.0005
3,normal,US,core,60,expanding,14,0.051043901463125256,0.025275428859790144,0.025657217173229895,0.025275428859790144,0.0005
3,normal,US,core,60,expanding,15,0.05170376770278729,0.0257821577008087,0.026479497678349968,0.0257821577008087,0.0005
3,normal,US,core,60,expanding,16,0.05164296054284434,0.02577971036547139,0.02603273231350954,0.02577971036547139,0.0005
3,normal,US,core,60,expanding,17,0.046862474708633896,0.02681485767596917,0.02640632890079377,0.02681485767596917,0.0005
