date,feature_set,L,protocol,RV_target,RV_pred
2001-09-03,core,22,static,0.7466042,1.0924509
2001-09-04,core,22,static,1.1451876,1.3906108
2001-09-05,core,22,static,0.9867531,1.1087842
2001-09-06,core,22,static,0.921047,1.127788
2001-09-07,core,22,static,0.8651238,1.1484072
2001-09-11,core,22,static,0.99968207,1.2850577
2001-09-12,core,22,static,5.145089,1.3766394
2001-09-13,core,22,static,2.1412773,2.1567194
2001-09-14,core,22,static,2.7766545,2.3470118
2001-09-17,core,22,static,1.5982653,1.8358653
2001-09-18,core,22,static,1.3887355,1.4732916
2001-09-19,core,22,static,1.334155,1.6945701
2001-09-20,core,22,static,1.503243,1.4578364
2001-09-21,core,22,static,1.4434581,1.4119021
2001-09-24,core,22,static,1.1199275,1.4448177
2001-09-25,core,22,static,1.5513935,2.0737777
2001-09-26,core,22,static,1.3735356,1.4534456
2001-09-27,core,22,static,1.1104246,1.4207735
2001-09-28,core,22,static,1.2660418,1.3950424
2001-10-04,core,22,static,1.1761986,1.3045202
2001-10-05,core,22,static,0.9124375,1.1882582
2001-10-08,core,22,static,0.9601295,1.1567436
2001-10-09,core,22,static,0.8911104,1.2173353
2001-10-10,core,22,static,0.8368023,1.1227757
2001-10-11,core,22,static,0.7732897,1.1175245
2001-10-12,core,22,static,1.1201193,1.3860145
2001-10-15,core,22,static,0.892548,1.0892733
2001-10-16,core,22,static,0.7437714,1.1539954
2001-10-17,core,22,static,0.8790355,1.1066184
2001-10-18,core,22,static,1.102222,1.1059124
2001-10-19,core,22,static,0.9248605,1.1553364
2001-10-22,core,22,static,0.9472694,1.0461372
2001-10-23,core,22,static,0.95647055,1.0911833
2001-10-24,core,22,static,0.7433818,1.2150577
2001-10-25,core,22,static,0.89134675,1.0083545
2001-10-26,core,22,static,0.86082774,1.0220304
2001-10-29,core,22,static,0.8435975,0.9692471
2001-10-30,core,22,static,0.86960524,1.0306191
2001-10-31,core,22,static,0.73506045,1.0705508
2001-11-01,core,22,static,0.80269545,1.0700686
2001-11-02,core,22,static,0.8605295,0.9434463
2001-11-05,core,22,static,0.9249837,0.9794618
2001-11-06,core,22,static,0.810273,0.92794305
2001-11-07,core,22,static,0.7356962,0.9907967
2001-11-08,core,22,static,1.165858,1.0403255
2001-11-09,core,22,static,1.0981371,1.0847236
2001-11-12,core,22,static,1.1535648,1.039477
2001-11-13,core,22,static,1.5962058,1.1958963
2001-11-14,core,22,static,1.0062349,1.3810258
2001-11-15,core,22,static,1.5722888,1.1882193
2001-11-16,core,22,static,1.0510287,1.2170529
2001-11-19,core,22,static,1.5380912,1.3788489
2001-11-20,core,22,static,1.7230455,1.6432803
2001-11-21,core,22,static,1.4946291,1.4052962
2001-11-22,core,22,static,1.1109034,1.444768
2001-11-23,core,22,static,1.4672333,1.4514687
2001-11-26,core,22,static,1.821557,1.5077153
2001-11-27,core,22,static,2.3764877,1.6312567
2001-11-28,core,22,static,1.8268679,2.2273462
2001-11-30,core,22,static,1.513803,1.3715262
2001-12-03,core,22,static,1.7871368,1.8116034
2001-12-04,core,22,static,1.8108115,1.5813558
2001-12-05,core,22,static,1.9333318,2.3749182
2001-12-06,core,22,static,3.2019749,2.6634986
2001-12-07,core,22,static,2.0830026,2.2336972
2001-12-10,core,22,static,1.7435644,2.4403942
2001-12-11,core,22,static,2.3532186,1.8001735
2001-12-12,core,22,static,2.1861737,2.413142
2001-12-13,core,22,static,2.2576902,1.908308
2001-12-14,core,22,static,1.7536687,1.8159361
2001-12-17,core,22,static,1.7037467,1.7453524
2001-12-18,core,22,static,1.824488,2.1783166
2001-12-19,core,22,static,1.6069132,1.7407299
2001-12-20,core,22,static,1.7552295,2.139235
2001-12-21,core,22,static,1.4396634,1.6432657
2001-12-24,core,22,static,1.3682072,1.5409776
2001-12-26,core,22,static,1.0631682,1.4043987
2001-12-27,core,22,static,2.1890788,2.0436594
2001-12-28,core,22,static,1.5163386,1.7490225
2002-01-02,core,22,static,2.1872623,2.5474176
2002-01-03,core,22,static,2.1237338,1.7142996
2002-01-04,core,22,static,1.3655062,1.5963734
2002-01-07,core,22,static,1.9861394,1.7891469
2002-01-08,core,22,static,1.4465333,1.7501913
2002-01-09,core,22,static,1.6962383,1.9146978
2002-01-10,core,22,static,1.814649,1.9757073
2002-01-11,core,22,static,1.6676846,1.9512725
2002-01-14,core,22,static,1.6295612,1.878631
2002-01-15,core,22,static,1.532823,1.7109872
2002-01-16,core,22,static,1.7810308,1.567979
2002-01-17,core,22,static,1.5762987,1.7677733
2002-01-21,core,22,static,1.4824507,1.5922292
2002-01-22,core,22,static,1.311909,1.5126389
2002-01-23,core,22,static,1.3083884,2.037861
2002-01-24,core,22,static,1.5903313,1.5150311
2002-01-25,core,22,static,1.5989273,1.5636321
2002-01-29,core,22,static,1.632593,1.5231367
2002-01-30,core,22,static,1.3398451,1.5959634
2002-01-31,core,22,static,1.3036908,1.6436908
2002-02-01,core,22,static,1.4750715,1.6859273
2002-02-04,core,22,static,1.483779,1.5758485
2002-02-05,core,22,static,1.6120082,1.742792
2002-02-06,core,22,static,1.2598191,1.4443429
2002-02-07,core,22,static,1.2064549,1.7126275
2002-02-08,core,22,static,1.468514,1.4901582
2002-02-14,core,22,static,1.7625515,2.0718696
2002-02-15,core,22,static,1.3534482,1.4296136
2002-02-18,core,22,static,1.2851031,1.3382434
2002-02-19,core,22,static,1.3300374,1.476192
2002-02-20,core,22,static,0.92501795,1.3679599
2002-02-21,core,22,static,1.448153,1.3937489
2002-02-22,core,22,static,1.3000295,1.5089252
2002-02-25,core,22,static,1.120975,1.3438909
2002-02-26,core,22,static,0.9606085,1.333583
2002-02-27,core,22,static,1.3606933,1.470401
2002-02-28,core,22,static,1.2048212,1.3091853
2002-03-04,core,22,static,1.2026724,1.2396411
2002-03-05,core,22,static,1.3040849,1.270828
2002-03-06,core,22,static,1.3490828,1.3478445
2002-03-07,core,22,static,1.1017764,1.5732192
2002-03-08,core,22,static,1.3557613,1.3262986
2002-03-11,core,22,static,1.1236748,1.2374065
2002-03-12,core,22,static,1.1642313,1.4378085
2002-03-13,core,22,static,1.3761994,1.324852
2002-03-14,core,22,static,1.732135,1.6713488
2002-03-15,core,22,static,1.4195485,1.554174
2002-03-18,core,22,static,1.1900444,1.294066
2002-03-19,core,22,static,1.2082579,1.411368
2002-03-20,core,22,static,1.7169394,1.4689926
2002-03-21,core,22,static,1.2304847,1.4439133
2002-03-22,core,22,static,1.4186155,1.4873843
2002-03-25,core,22,static,1.2961278,1.4903896
2002-03-26,core,22,static,1.3374858,1.2590448
2002-03-27,core,22,static,1.1185592,1.4533089
2002-03-28,core,22,static,1.556742,1.4249631
2002-03-29,core,22,static,1.0900412,1.3021859
2001-09-03,momentum,22,static,0.7466042,1.1341563
2001-09-04,momentum,22,static,1.1451876,1.3465065
2001-09-05,momentum,22,static,0.9867531,1.1250103
2001-09-06,momentum,22,static,0.921047,1.1258074
2001-09-07,momentum,22,static,0.8651238,1.132813
2001-09-11,momentum,22,static,0.99968207,1.2678887
2001-09-12,momentum,22,static,5.145089,1.7312106
2001-09-13,momentum,22,static,2.1412773,2.2040148
2001-09-14,momentum,22,static,2.7766545,2.4707851
2001-09-17,momentum,22,static,1.5982653,2.0235043
2001-09-18,momentum,22,static,1.3887355,1.6172289
2001-09-19,momentum,22,static,1.334155,1.7272544
2001-09-20,momentum,22,static,1.503243,1.5338155
2001-09-21,momentum,22,static,1.4434581,1.4648726
2001-09-24,momentum,22,static,1.1199275,1.4089749
2001-09-25,momentum,22,static,1.5513935,2.0327873
2001-09-26,momentum,22,static,1.3735356,1.4428058
2001-09-27,momentum,22,static,1.1104246,1.4009179
2001-09-28,momentum,22,static,1.2660418,1.3409839
2001-10-04,momentum,22,static,1.1761986,1.2505325
2001-10-05,momentum,22,static,0.9124375,1.1787217
2001-10-08,momentum,22,static,0.9601295,1.1534498
2001-10-09,momentum,22,static,0.8911104,1.1594579
2001-10-10,momentum,22,static,0.8368023,1.0888907
2001-10-11,momentum,22,static,0.7732897,1.0675852
2001-10-12,momentum,22,static,1.1201193,1.3205969
2001-10-15,momentum,22,static,0.892548,1.1048797
2001-10-16,momentum,22,static,0.7437714,1.1280308
2001-10-17,momentum,22,static,0.8790355,1.0670688
2001-10-18,momentum,22,static,1.102222,1.1060987
