date,feature_set,L,protocol,RV_target,RV_pred
2001-09-04,core,22,static,1.2100633,1.336989
2001-09-05,core,22,static,1.5679408,1.2559229
2001-09-06,core,22,static,1.7411339,1.4544202
2001-09-07,core,22,static,1.6673518,1.457014
2001-09-10,core,22,static,0.74644005,1.4313915
2001-09-17,core,22,static,2.2967522,2.286736
2001-09-18,core,22,static,1.0420033,1.499351
2001-09-19,core,22,static,2.0819445,3.1411746
2001-09-20,core,22,static,2.3077028,2.0606937
2001-09-21,core,22,static,3.8494375,2.666713
2001-09-24,core,22,static,2.7487578,2.6404257
2001-09-25,core,22,static,1.3044777,1.6857593
2001-09-26,core,22,static,1.2184697,1.6428754
2001-09-27,core,22,static,1.323603,1.5117153
2001-09-28,core,22,static,1.383098,1.3853592
2001-10-01,core,22,static,1.1153392,1.2381357
2001-10-02,core,22,static,1.1142824,1.1537492
2001-10-03,core,22,static,1.4624399,1.7336718
2001-10-04,core,22,static,1.4496776,1.3217027
2001-10-05,core,22,static,1.388343,1.3235075
2001-10-09,core,22,static,0.9012264,1.1211619
2001-10-10,core,22,static,1.1528347,1.4016607
2001-10-11,core,22,static,1.3153303,1.1676868
2001-10-12,core,22,static,1.8570796,1.3929312
2001-10-15,core,22,static,1.1521173,1.1259738
2001-10-16,core,22,static,1.086504,1.0214697
2001-10-17,core,22,static,1.5736189,1.5032679
2001-10-18,core,22,static,1.0661162,1.2029744
2001-10-19,core,22,static,0.9112782,1.1811779
2001-10-22,core,22,static,0.93944675,1.0528665
2001-10-23,core,22,static,1.1428016,1.0605679
2001-10-25,core,22,static,1.6669167,1.4341661
2001-10-26,core,22,static,1.1963391,1.0834355
2001-10-29,core,22,static,1.1619931,1.362672
2001-10-30,core,22,static,1.4189671,1.3398017
2001-10-31,core,22,static,1.3224171,1.3114092
2001-11-01,core,22,static,1.3793659,1.4691597
2001-11-02,core,22,static,1.1274173,1.1216205
2001-11-05,core,22,static,1.2020197,1.0391251
2001-11-06,core,22,static,1.1549374,1.1416236
2001-11-07,core,22,static,0.8003076,1.0668553
2001-11-08,core,22,static,1.1623281,1.1074047
2001-11-09,core,22,static,1.0823077,0.95775914
2001-11-12,core,22,static,1.8706733,1.1234995
2001-11-13,core,22,static,1.3069998,1.1276966
2001-11-14,core,22,static,0.72449815,1.0917778
2001-11-15,core,22,static,0.9128627,0.91567355
2001-11-16,core,22,static,0.863002,0.8989214
2001-11-19,core,22,static,0.8419718,0.78213185
2001-11-20,core,22,static,0.818936,0.8046811
2001-11-21,core,22,static,0.7878766,0.8866531
2001-11-23,core,22,static,0.46533653,0.82599115
2001-11-26,core,22,static,0.7479832,0.69074297
2001-11-27,core,22,static,1.2810916,0.92823017
2001-11-28,core,22,static,1.1399939,1.0822681
2001-11-29,core,22,static,0.9690435,0.9330027
2001-11-30,core,22,static,0.70338136,0.8360518
2001-12-03,core,22,static,1.1231444,0.82307434
2001-12-04,core,22,static,0.7437601,0.8748512
2001-12-05,core,22,static,1.0228494,1.04248
2001-12-06,core,22,static,0.74097836,0.8644331
2001-12-07,core,22,static,0.9054286,0.83812124
2001-12-10,core,22,static,0.81427985,0.9492902
2001-12-11,core,22,static,0.8531661,0.9516673
2001-12-12,core,22,static,0.9190137,1.012159
2001-12-13,core,22,static,1.290168,1.0934106
2001-12-14,core,22,static,0.8951791,1.0222405
2001-12-17,core,22,static,0.73835754,0.9283692
2001-12-18,core,22,static,0.8728666,0.8732137
2001-12-19,core,22,static,0.98670614,1.003646
2001-12-20,core,22,static,0.670085,0.9465278
2001-12-21,core,22,static,0.7076453,0.7817723
2001-12-24,core,22,static,0.2745382,0.72780025
2001-12-26,core,22,static,0.6585761,0.80660784
2001-12-27,core,22,static,0.501013,0.7514311
2001-12-28,core,22,static,0.60416377,0.6311093
