date,feature_set,L,protocol,RV_target,RV_pred
2020-01-06,core,60,static,0.44382903,0.5306454
2020-01-07,core,60,static,0.44791958,0.49695086
2020-01-08,core,60,static,1.0271528,0.75609195
2020-01-09,core,60,static,0.40029523,0.66758996
2020-01-10,core,60,static,0.50816536,0.43333143
2020-01-14,core,60,static,0.4712035,0.38120598
2020-01-15,core,60,static,0.34357914,0.4217441
2020-01-16,core,60,static,0.33070755,0.32424402
2020-01-17,core,60,static,0.2753261,0.31913847
2020-01-20,core,60,static,0.24701275,0.2482319
2020-01-21,core,60,static,0.6026988,0.4535064
2020-01-22,core,60,static,0.33330953,0.47375685
2020-01-23,core,60,static,0.5190674,0.38247955
2020-01-24,core,60,static,0.35779923,0.38185972
2020-01-27,core,60,static,0.5440839,0.42335713
2020-01-28,core,60,static,0.60429853,0.43559194
2020-01-29,core,60,static,0.41658565,0.48205388
2020-01-30,core,60,static,0.64967036,0.91922235
2020-01-31,core,60,static,0.7667314,0.6586078
2020-02-03,core,60,static,0.7104763,0.7231802
2020-02-04,core,60,static,0.5517053,0.66217965
2020-02-05,core,60,static,0.5521484,0.49883944
2020-02-06,core,60,static,0.61236733,0.76472664
2020-02-07,core,60,static,0.5950724,0.57581866
2020-02-10,core,60,static,0.5692523,0.5435379
2020-02-12,core,60,static,0.5979088,0.50484115
2020-02-13,core,60,static,0.50525135,0.49600708
2020-02-14,core,60,static,0.43281853,0.50660163
2020-02-17,core,60,static,0.68583125,0.5694151
2020-02-18,core,60,static,0.5501335,0.70677006
2020-02-19,core,60,static,0.45302433,0.56965315
2020-02-20,core,60,static,0.90920395,0.7852159
2020-02-21,core,60,static,0.69606656,0.69298846
2020-02-25,core,60,static,1.9779071,1.3423723
2020-02-26,core,60,static,1.144741,1.135498
2020-02-27,core,60,static,0.9997437,1.2767376
2020-02-28,core,60,static,1.8126712,1.6774253
2020-03-02,core,60,static,1.69042,2.032374
2020-03-03,core,60,static,1.2993041,1.7420202
2020-03-04,core,60,static,1.2761705,1.2396963
2020-03-05,core,60,static,0.89602184,0.8704918
2020-03-06,core,60,static,0.92434686,1.3528719
2020-03-09,core,60,static,2.1368737,2.6984031
2020-03-10,core,60,static,2.9922836,3.0369904
2020-03-11,core,60,static,1.9073552,2.0655324
2020-03-12,core,60,static,2.3385322,2.946514
2020-03-13,core,60,static,6.2040453,5.0589814
2020-03-16,core,60,static,3.7857985,3.393145
2020-03-17,core,60,static,4.355637,3.9489894
2020-03-18,core,60,static,2.641052,2.819051
2020-03-19,core,60,static,2.735579,3.0298092
2020-03-23,core,60,static,2.3729339,2.421226
2020-03-24,core,60,static,3.0436535,3.2016478
2020-03-25,core,60,static,3.0308642,3.650382
2020-03-26,core,60,static,2.714887,3.0547776
2020-03-27,core,60,static,2.8818197,2.2708604
2020-03-30,core,60,static,1.6537532,2.0239487
2020-03-31,core,60,static,1.782464,1.7531407
2020-04-01,core,60,static,1.9083135,3.4163752
2020-04-02,core,60,static,2.137784,1.7412174
2020-04-03,core,60,static,1.4161434,1.713957
2020-04-06,core,60,static,2.1911533,2.6790168
2020-04-07,core,60,static,2.2000232,2.0161831
2020-04-08,core,60,static,2.1747363,2.2958193
2020-04-09,core,60,static,1.1293111,1.4357866
2020-04-10,core,60,static,0.944081,1.2121862
2020-04-13,core,60,static,0.9757498,1.3267003
2020-04-14,core,60,static,1.2967237,1.7350746
2020-04-15,core,60,static,1.2495824,1.0235583
2020-04-16,core,60,static,0.83327824,1.028523
2020-04-17,core,60,static,1.1986153,1.14497
2020-04-20,core,60,static,0.8171136,0.92323804
2020-04-21,core,60,static,1.1040707,1.1132063
2020-04-22,core,60,static,1.151931,1.033514
2020-04-23,core,60,static,0.8686289,0.900187
2020-04-24,core,60,static,0.66154623,0.84570193
2020-04-27,core,60,static,0.8998703,1.0676016
2020-04-28,core,60,static,0.77641505,0.7888742
2020-04-30,core,60,static,1.134217,0.8365485
2020-05-01,core,60,static,0.88407654,1.2761009
2020-05-07,core,60,static,0.7189698,0.89481664
2020-05-08,core,60,static,0.964118,0.8303938
2020-05-11,core,60,static,0.70183384,0.8247522
2020-05-12,core,60,static,0.7655016,0.6297205
2020-05-13,core,60,static,0.7385725,0.7962384
2020-05-14,core,60,static,0.7860958,0.8455999
2020-05-15,core,60,static,1.06585,0.9744602
2020-05-18,core,60,static,0.7189533,0.7472798
2020-05-19,core,60,static,0.98682386,0.67242265
2020-05-20,core,60,static,0.54295725,0.74789447
2020-05-21,core,60,static,0.63715106,0.68340015
2020-05-22,core,60,static,0.88088787,0.78680694
