date,feature_set,L,protocol,RV_target,RV_pred
2020-01-02,core,252,static,0.39189517,0.3362371
2020-01-03,core,252,static,0.57780653,0.43417922
2020-01-06,core,252,static,0.32529518,0.49234402
2020-01-07,core,252,static,0.34476992,0.32155806
2020-01-08,core,252,static,0.49492148,0.4250234
2020-01-09,core,252,static,0.3705553,0.32032007
2020-01-10,core,252,static,0.40058494,0.3966179
2020-01-13,core,252,static,0.23661307,0.32989
2020-01-14,core,252,static,0.3889446,0.31631258
2020-01-15,core,252,static,0.40533447,0.34231484
2020-01-16,core,252,static,0.2643698,0.3051451
2020-01-17,core,252,static,0.30481642,0.25849223
2020-01-21,core,252,static,0.34118327,0.30009738
2020-01-22,core,252,static,0.35213205,0.33488235
2020-01-23,core,252,static,0.4966379,0.38796073
2020-01-24,core,252,static,0.73585385,0.74149454
2020-01-27,core,252,static,0.64604306,0.5941214
2020-01-28,core,252,static,0.452649,0.49069798
2020-01-29,core,252,static,0.50535023,0.42859063
2020-01-30,core,252,static,0.72819614,0.6494494
2020-01-31,core,252,static,0.9274307,0.98907673
2020-02-03,core,252,static,0.6683946,0.5709078
2020-02-04,core,252,static,0.4575791,0.45754206
2020-02-05,core,252,static,0.5100799,0.4230285
2020-02-06,core,252,static,0.44047529,0.38167015
2020-02-07,core,252,static,0.5289929,0.43360484
2020-02-10,core,252,static,0.42343602,0.49977806
2020-02-11,core,252,static,0.48149973,0.41364342
2020-02-12,core,252,static,0.3780177,0.34206325
2020-02-13,core,252,static,0.50131303,0.4360191
2020-02-14,core,252,static,0.36170778,0.35628182
2020-02-18,core,252,static,0.47965696,0.39024422
2020-02-19,core,252,static,0.24694817,0.35707617
2020-02-20,core,252,static,0.94577426,0.6626202
2020-02-21,core,252,static,0.74495405,0.64583963
2020-02-24,core,252,static,1.0896305,1.1621096
2020-02-25,core,252,static,1.5687497,2.0341198
2020-02-26,core,252,static,1.6612145,1.4464492
2020-02-27,core,252,static,2.6818995,2.4760115
2020-02-28,core,252,static,3.7478864,2.2392201
2020-03-02,core,252,static,2.504804,2.5314121
2020-03-03,core,252,static,4.2940593,3.0391328
2020-03-04,core,252,static,1.6346346,1.7531272
2020-03-05,core,252,static,1.9132732,1.857132
2020-03-06,core,252,static,2.3569694,1.8055146
2020-03-09,core,252,static,4.796297,3.4124408
2020-03-10,core,252,static,3.3062744,2.7905614
2020-03-11,core,252,static,2.2872944,2.8637738
2020-03-12,core,252,static,6.4444075,3.84908
2020-03-13,core,252,static,5.1270256,4.2987375
2020-03-16,core,252,static,6.4195466,3.7133217
2020-03-17,core,252,static,4.766583,4.080028
2020-03-18,core,252,static,4.9877863,4.262179
2020-03-19,core,252,static,4.5690975,3.7309928
2020-03-20,core,252,static,3.9225721,4.028958
2020-03-23,core,252,static,5.348252,3.0309575
2020-03-24,core,252,static,3.039526,2.0942376
2020-03-25,core,252,static,3.6391017,3.6866655
2020-03-26,core,252,static,3.3056555,2.6597266
2020-03-27,core,252,static,2.38725,2.4379609
2020-03-30,core,252,static,1.8603938,1.7745928
2020-03-31,core,252,static,2.0069637,1.675127
2020-04-01,core,252,static,1.7947489,2.244247
2020-04-02,core,252,static,2.7526884,1.6440562
2020-04-03,core,252,static,1.9069453,1.958987
2020-04-06,core,252,static,1.5418934,1.6945878
2020-04-07,core,252,static,2.5417154,2.020836
2020-04-08,core,252,static,1.4902737,1.8255907
2020-04-09,core,252,static,1.8835154,1.2352726
2020-04-13,core,252,static,1.6725112,1.3780206
2020-04-14,core,252,static,1.2687376,1.0242276
2020-04-15,core,252,static,1.4262171,1.1998123
2020-04-16,core,252,static,1.3615836,1.0480384
2020-04-17,core,252,static,1.1710815,0.9795263
2020-04-20,core,252,static,1.2892947,1.1312896
2020-04-21,core,252,static,1.6754447,1.4345258
2020-04-22,core,252,static,0.91572154,0.9290264
2020-04-23,core,252,static,1.3922467,1.0582576
2020-04-24,core,252,static,0.93943346,1.0261704
2020-04-27,core,252,static,0.7241447,0.7668864
2020-04-28,core,252,static,1.2178254,1.09853
2020-04-29,core,252,static,0.82914966,0.8177817
2020-04-30,core,252,static,1.2808839,0.84075284
2020-05-01,core,252,static,1.1763699,1.2135048
2020-05-05,core,252,static,0.93475103,0.7741453
2020-05-06,core,252,static,1.0374403,0.8953466
2020-05-07,core,252,static,0.83236057,0.70563895
2020-05-08,core,252,static,0.5910205,0.6668496
2020-05-11,core,252,static,0.7853065,0.7861353
2020-05-12,core,252,static,0.962028,1.2399952
2020-05-13,core,252,static,1.7481351,1.354586
2020-05-14,core,252,static,1.5898035,1.4875852
2020-05-15,core,252,static,1.2404516,1.0109446
2020-05-18,core,252,static,1.0309315,0.8916025
2020-05-19,core,252,static,1.1724606,0.90032953
2020-05-20,core,252,static,0.7200201,0.72599417
2020-05-21,core,252,static,0.99725384,0.8325854
2020-05-22,core,252,static,0.69256705,0.6612311
2020-05-26,core,252,static,0.73716617,0.6613017
2020-05-27,core,252,static,1.1451174,0.99478406
2020-05-28,core,252,static,1.0197353,0.8960926
2020-05-29,core,252,static,1.4629577,0.9182778
2020-06-01,core,252,static,0.5712933,0.7562689
2020-06-02,core,252,static,0.6681298,0.6162253
2020-06-03,core,252,static,0.58002305,0.6478885
2020-06-04,core,252,static,0.8117055,0.7438925
2020-06-05,core,252,static,0.8815963,0.71530604
2020-06-08,core,252,static,0.63393,0.65091544
2020-06-09,core,252,static,0.84415996,0.6363779
2020-06-10,core,252,static,1.2856768,0.79373926
2020-06-11,core,252,static,1.7167212,2.8008602
2020-06-12,core,252,static,2.3175223,1.6956573
