date,feature_set,L,protocol,RV_target,RV_pred
2007-08-01,core,252,static,0.8801034,0.9516133
2007-08-02,core,252,static,1.4408923,1.0965924
2007-08-03,core,252,static,1.0649017,0.92877
2007-08-06,core,252,static,0.9231945,1.0269737
2007-08-07,core,252,static,0.7631564,0.7843468
2007-08-08,core,252,static,0.7670764,0.7719455
2007-08-09,core,252,static,0.72914207,0.69944376
2007-08-10,core,252,static,1.1996056,0.9987351
2007-08-13,core,252,static,0.9357482,0.9153279
2007-08-14,core,252,static,0.60116553,0.68440515
2007-08-15,core,252,static,0.8692643,0.8421383
2007-08-16,core,252,static,1.7035085,1.4609385
2007-08-17,core,252,static,1.8911664,2.338001
2007-08-20,core,252,static,1.8842937,1.9356728
2007-08-21,core,252,static,1.2399241,1.4062796
2007-08-22,core,252,static,0.92904145,1.0319836
2007-08-23,core,252,static,1.2037963,1.0884106
2007-08-24,core,252,static,0.75902826,0.9769417
2007-08-27,core,252,static,0.7493133,0.93557334
2007-08-28,core,252,static,0.6436693,0.84604913
2007-08-29,core,252,static,1.3607227,0.9083831
2007-08-30,core,252,static,0.8844781,0.9687263
2007-08-31,core,252,static,0.76592296,1.0246964
2007-09-03,core,252,static,0.7356174,0.7204639
2007-09-04,core,252,static,0.6469597,0.71734947
2007-09-05,core,252,static,0.82220393,1.1051804
2007-09-06,core,252,static,1.2827791,1.5567389
2007-09-07,core,252,static,0.94838935,0.9614501
2007-09-10,core,252,static,1.3983003,1.0661169
2007-09-11,core,252,static,1.0835041,1.2076405
2007-09-12,core,252,static,1.3109461,1.1284035
2007-09-13,core,252,static,0.81548774,0.96204406
2007-09-14,core,252,static,0.82872677,1.0170777
2007-09-18,core,252,static,0.8804546,0.96613497
2007-09-19,core,252,static,1.3267688,1.1164453
2007-09-20,core,252,static,0.6548281,0.9349664
2007-09-21,core,252,static,0.64813536,0.7710409
2007-09-25,core,252,static,0.7388924,0.78064203
2007-09-26,core,252,static,0.6000896,0.62622464
2007-09-27,core,252,static,0.7981365,0.9536399
2007-09-28,core,252,static,0.62373877,0.75074273
2007-10-01,core,252,static,0.8118753,0.786412
2007-10-02,core,252,static,0.5797593,0.6137267
2007-10-03,core,252,static,0.6384781,0.7057245
2007-10-04,core,252,static,0.7074501,0.6471497
2007-10-05,core,252,static,0.5344448,0.6654483
2007-10-09,core,252,static,0.565423,0.58146995
2007-10-10,core,252,static,0.49269378,0.5911039
2007-10-11,core,252,static,1.0300627,0.8907118
2007-10-12,core,252,static,0.6092255,0.76471186
2007-10-15,core,252,static,0.62283504,0.640614
2007-10-16,core,252,static,0.7858034,0.71631515
2007-10-17,core,252,static,1.2261579,0.98099154
2007-10-18,core,252,static,0.84842515,0.9042255
2007-10-19,core,252,static,0.9328719,0.89884937
2007-10-22,core,252,static,1.5827135,1.2047136
2007-10-23,core,252,static,0.719069,0.92390853
2007-10-24,core,252,static,0.8917337,0.90585285
2007-10-25,core,252,static,0.9904997,0.9862414
2007-10-26,core,252,static,0.7622867,0.8553657
2007-10-29,core,252,static,0.75400984,0.76593775
2007-10-30,core,252,static,0.7734535,0.769633
2007-10-31,core,252,static,0.7115207,0.79264665
2007-11-01,core,252,static,0.6431613,0.6423374
2007-11-02,core,252,static,0.96520317,0.78651595
2007-11-05,core,252,static,0.84878254,0.9533409
2007-11-06,core,252,static,0.86974025,0.97662187
2007-11-07,core,252,static,0.76526433,0.9043815
2007-11-08,core,252,static,1.0955954,1.225174
2007-11-09,core,252,static,1.2420065,1.1126456
2007-11-12,core,252,static,1.4491807,1.413807
2007-11-13,core,252,static,1.3986118,1.2036867
2007-11-14,core,252,static,0.83256733,1.1033285
2007-11-15,core,252,static,0.7714589,0.94597274
2007-11-16,core,252,static,1.2273935,1.0843663
2007-11-19,core,252,static,0.9978828,1.0896566
2007-11-20,core,252,static,1.379404,1.6273161
2007-11-21,core,252,static,1.3258077,1.3816242
2007-11-22,core,252,static,1.4661254,1.5814025
2007-11-26,core,252,static,1.1383275,1.3770151
2007-11-27,core,252,static,2.463901,1.5733757
2007-11-28,core,252,static,1.0777344,1.3978171
2007-11-29,core,252,static,1.1031961,1.1209754
2007-11-30,core,252,static,0.77607155,1.1228536
2007-12-03,core,252,static,1.1192423,0.96808326
2007-12-04,core,252,static,0.8677149,1.1076814
2007-12-05,core,252,static,0.8952151,1.093055
2007-12-06,core,252,static,0.7495637,0.8667306
2007-12-07,core,252,static,0.86016476,0.82175773
2007-12-10,core,252,static,0.87988734,0.86491305
2007-12-11,core,252,static,0.71187633,0.7358638
2007-12-12,core,252,static,1.000316,1.001444
2007-12-13,core,252,static,0.89545405,1.0801791
2007-12-14,core,252,static,1.4914306,1.1300443
2007-12-17,core,252,static,1.033565,1.1760871
2007-12-18,core,252,static,1.3484181,1.3301358
2007-12-19,core,252,static,0.83504623,1.1283015
2007-12-20,core,252,static,0.71832126,0.8874507
2007-12-21,core,252,static,1.198401,1.0685227
2007-12-25,core,252,static,0.8315531,0.8883425
2007-12-26,core,252,static,0.40275282,0.74922895
2007-12-27,core,252,static,0.51416916,0.6505154
2007-12-28,core,252,static,0.6100839,0.83830136
2008-01-04,core,252,static,1.6814002,1.694904
2008-01-07,core,252,static,1.1760688,1.5290679
2008-01-08,core,252,static,1.2171863,0.94866633
2008-01-09,core,252,static,1.2883667,1.2497667
2008-01-10,core,252,static,0.8183584,1.0709971
2008-01-11,core,252,static,1.3772194,1.2549014
2008-01-15,core,252,static,1.2154658,1.4390308
2008-01-16,core,252,static,1.8376912,1.6230583
2008-01-17,core,252,static,1.6769547,1.6220675
2008-01-18,core,252,static,2.0982952,1.9277179
2008-01-21,core,252,static,1.8114805,1.6868198
2008-01-22,core,252,static,2.846119,2.308972
2008-01-23,core,252,static,2.6428788,2.4270656
2008-01-24,core,252,static,1.705175,1.6716489
2008-01-25,core,252,static,1.282452,1.8849342
2008-01-28,core,252,static,1.1922202,1.7077302
2008-01-29,core,252,static,1.6987835,1.5477521
2008-01-30,core,252,static,1.470199,1.4633187
2008-01-31,core,252,static,1.6594957,2.0638728
2008-02-01,core,252,static,1.4009969,1.3024416
2008-02-04,core,252,static,1.2741902,1.2652007
2008-02-05,core,252,static,0.97218794,1.0975147
2008-02-06,core,252,static,1.716777,1.842957
2008-02-07,core,252,static,1.2926532,1.7815737
2008-02-08,core,252,static,1.4193152,1.3354434
2008-02-12,core,252,static,1.1911092,1.2715867
2008-02-13,core,252,static,1.1491308,1.1789774
2008-02-14,core,252,static,1.3668795,1.5250713
2008-02-15,core,252,static,1.2876648,1.3960018
2008-02-18,core,252,static,1.3829021,1.1265112
2008-02-19,core,252,static,1.0288566,1.0889075
2008-02-20,core,252,static,1.2348869,1.5093901
2008-02-21,core,252,static,1.3892696,1.6086653
2008-02-22,core,252,static,1.3457806,1.1208252
2008-02-25,core,252,static,1.2751386,1.3770529
2008-02-26,core,252,static,0.9564344,1.2065736
