date,feature_set,L,protocol,RV_target,RV_pred
2013-12-19,core,60,static,0.48027983,0.64932376
2013-12-20,core,60,static,0.56459975,0.479469
2013-12-23,core,60,static,0.4692802,0.4585901
2013-12-24,core,60,static,0.37592426,0.46964213
2013-12-26,core,60,static,0.34329724,0.47842184
2013-12-27,core,60,static,0.40542945,0.4813669
2013-12-30,core,60,static,0.39755836,0.43189883
2014-01-02,core,60,static,0.745619,0.96157014
2014-01-03,core,60,static,0.83173496,0.839602
2014-01-06,core,60,static,0.66945153,0.5980013
2014-01-07,core,60,static,0.66912365,0.5854745
2014-01-08,core,60,static,0.6145574,0.6079984
2014-01-09,core,60,static,0.72558045,0.6528727
2014-01-10,core,60,static,0.8143008,0.73541284
2014-01-13,core,60,static,0.50973,0.54434675
2014-01-14,core,60,static,0.6865121,0.62342924
2014-01-15,core,60,static,0.45595104,0.5335438
2014-01-16,core,60,static,0.6030574,0.49586266
2014-01-17,core,60,static,0.5502644,0.6130076
2014-01-20,core,60,static,0.55134165,0.55529743
2014-01-21,core,60,static,0.40762115,0.5117915
2014-01-22,core,60,static,0.40055934,0.45897415
2014-01-23,core,60,static,0.55819607,0.5958849
2014-01-24,core,60,static,0.6551958,0.62143564
2014-01-27,core,60,static,0.6563229,0.6440877
2014-01-28,core,60,static,0.5331622,0.5397413
2014-01-29,core,60,static,0.48386818,0.49846655
2014-02-03,core,60,static,0.48515627,0.54627466
2014-02-04,core,60,static,0.6177616,0.57457644
2014-02-05,core,60,static,0.4867734,0.5431018
2014-02-06,core,60,static,0.5684755,0.49723175
2014-02-07,core,60,static,0.4129472,0.493298
2014-02-10,core,60,static,0.47753435,0.47456464
2014-02-11,core,60,static,0.43266043,0.4837949
2014-02-12,core,60,static,0.41571212,0.44559008
2014-02-13,core,60,static,0.5321779,0.5600717
2014-02-14,core,60,static,0.43489394,0.50088394
2014-02-17,core,60,static,0.44116375,0.45214373
2014-02-18,core,60,static,0.4554524,0.4878908
2014-02-19,core,60,static,0.51835936,0.48120767
2014-02-20,core,60,static,0.57120365,0.52631545
2014-02-21,core,60,static,0.2922706,0.43987522
2014-02-24,core,60,static,0.4961578,0.48405474
2014-02-25,core,60,static,0.38584572,0.41808143
2014-02-26,core,60,static,0.38891312,0.48961532
2014-02-27,core,60,static,0.36891544,0.46743444
2014-02-28,core,60,static,0.5748443,0.41742745
2014-03-03,core,60,static,0.49052024,0.505314
2014-03-04,core,60,static,0.3731192,0.46699426
2014-03-05,core,60,static,0.29578462,0.38507533
2014-03-06,core,60,static,0.36687255,0.4010219
2014-03-07,core,60,static,0.35954282,0.46754146
2014-03-10,core,60,static,0.39663768,0.47479734
2014-03-11,core,60,static,0.36216235,0.41497484
2014-03-12,core,60,static,0.52406615,0.6286736
2014-03-13,core,60,static,0.7643156,0.5098908
2014-03-14,core,60,static,0.49179876,0.5904777
2014-03-17,core,60,static,0.440258,0.43765363
2014-03-18,core,60,static,0.4034605,0.45636794
2014-03-19,core,60,static,0.37717324,0.48153767
2014-03-20,core,60,static,0.49770895,0.5208351
2014-03-21,core,60,static,0.30561572,0.41151798
2014-03-24,core,60,static,0.55959314,0.40749818
2014-03-25,core,60,static,0.47395012,0.45240855
2014-03-26,core,60,static,0.3636279,0.41696143
2014-03-27,core,60,static,0.3300193,0.46259266
2014-03-28,core,60,static,0.44567809,0.44774503
2014-03-31,core,60,static,0.5329057,0.47302067
2014-04-01,core,60,static,0.45367453,0.47490442
2014-04-02,core,60,static,0.238201,0.40733573
2014-04-03,core,60,static,0.3425025,0.45047298
2014-04-04,core,60,static,0.38496485,0.4098151
2014-04-07,core,60,static,0.5002975,0.43297514
2014-04-08,core,60,static,0.4536314,0.47496837
2014-04-09,core,60,static,0.37307066,0.41571233
2014-04-10,core,60,static,0.50099003,0.43620107
2014-04-11,core,60,static,0.40514937,0.47776437
2014-04-14,core,60,static,0.46094933,0.40987563
2014-04-15,core,60,static,0.39984715,0.50386906
2014-04-16,core,60,static,0.34781387,0.43044397
2014-04-17,core,60,static,0.34906006,0.47964233
2014-04-18,core,60,static,0.33066025,0.37357217
2014-04-21,core,60,static,0.32748717,0.42257428
2014-04-22,core,60,static,0.39831004,0.40027884
2014-04-23,core,60,static,0.381451,0.43932775
2014-04-24,core,60,static,0.36006987,0.4520083
2014-04-25,core,60,static,0.37953928,0.56863153
2014-04-28,core,60,static,0.46890783,0.3859197
2014-04-29,core,60,static,0.4484777,0.4758576
