date,feature_set,L,protocol,RV_target,RV_pred
2014-01-08,core,22,static,0.5049092,0.31177646
2014-01-09,core,22,static,0.44792023,0.37913257
2014-01-10,core,22,static,0.41781142,0.30593717
2014-01-13,core,22,static,0.47251758,0.59447646
2014-01-14,core,22,static,0.49484262,0.39556712
2014-01-15,core,22,static,0.389796,0.3329104
2014-01-16,core,22,static,0.3719646,0.3062055
2014-01-17,core,22,static,0.36259443,0.32713172
2014-01-21,core,22,static,0.6656816,0.39341685
2014-01-22,core,22,static,0.31373873,0.30431497
2014-01-23,core,22,static,0.71243316,0.52172124
2014-01-24,core,22,static,0.9068204,0.8887161
2014-01-27,core,22,static,0.81133616,0.90660924
2014-01-28,core,22,static,0.5316145,0.51614046
2014-01-29,core,22,static,1.0421811,0.6055998
2014-01-30,core,22,static,0.78014624,0.6837053
2014-01-31,core,22,static,1.1046423,0.78733987
2014-02-03,core,22,static,0.9668377,1.1819634
2014-02-04,core,22,static,0.819945,0.57541245
2014-02-05,core,22,static,0.9269459,0.72256833
2014-02-06,core,22,static,0.5575153,0.65124375
2014-02-07,core,22,static,0.65374666,0.5690063
2014-02-10,core,22,static,0.31248182,0.3880675
2014-02-11,core,22,static,0.41629142,0.5019065
2014-02-12,core,22,static,0.45831323,0.38463798
2014-02-13,core,22,static,0.49265444,0.49400824
2014-02-14,core,22,static,0.38318944,0.40395692
2014-02-18,core,22,static,0.3537131,0.31441176
2014-02-19,core,22,static,0.54439,0.5377473
2014-02-20,core,22,static,0.51263076,0.4911353
2014-02-21,core,22,static,0.41156575,0.40824187
2014-02-24,core,22,static,0.58284545,0.5140581
2014-02-25,core,22,static,0.56813157,0.44474557
2014-02-26,core,22,static,0.5470898,0.4333621
2014-02-27,core,22,static,0.52451116,0.40906796
2014-02-28,core,22,static,0.6110896,0.4975879
2014-03-03,core,22,static,0.9133794,0.610917
2014-03-04,core,22,static,0.96754813,0.62688714
2014-03-05,core,22,static,0.41537228,0.42363605
2014-03-06,core,22,static,0.40407717,0.34457967
2014-03-07,core,22,static,0.55469537,0.38243043
2014-03-10,core,22,static,0.4751483,0.35750934
2014-03-11,core,22,static,0.5007032,0.47707263
