date,feature_set,protocol,RV_target,RV_pred
2007-08-01,core,static,0.880103381,0.9653395414352417
2007-08-02,core,static,1.440892311,1.058117389678955
2007-08-03,core,static,1.064901696,0.9440155029296875
2007-08-06,core,static,0.923194533,1.0205068588256836
2007-08-07,core,static,0.763156427,0.8101105690002441
2007-08-08,core,static,0.767076401,0.8409041166305542
2007-08-09,core,static,0.729142043,0.6980699300765991
2007-08-10,core,static,1.199605537,1.0214210748672485
2007-08-13,core,static,0.935748199,0.8910538554191589
2007-08-14,core,static,0.601165523,0.6674123406410217
2007-08-15,core,static,0.869264329,0.8688982129096985
2007-08-16,core,static,1.703508475,1.4541014432907104
2007-08-17,core,static,1.891166394,2.660433292388916
2007-08-20,core,static,1.884293639,1.8016817569732666
2007-08-21,core,static,1.239924028,1.4364840984344482
2007-08-22,core,static,0.92904145,1.0129613876342773
2007-08-23,core,static,1.203796327,1.10464346408844
2007-08-24,core,static,0.759028228,0.9043287634849548
2007-08-27,core,static,0.74931331,0.9754062294960022
2007-08-28,core,static,0.643669331,0.8242180347442627
2007-08-29,core,static,1.360722677,0.9347313046455383
2007-08-30,core,static,0.884478117,0.9127093553543091
2007-08-31,core,static,0.765922942,1.0026633739471436
2007-09-03,core,static,0.73561737,0.6772031784057617
2007-09-04,core,static,0.646959721,0.7027932405471802
2007-09-05,core,static,0.822203926,1.0738449096679688
2007-09-06,core,static,1.282779039,1.5195688009262085
2007-09-07,core,static,0.948389339,1.0100772380828857
2007-09-10,core,static,1.398300264,0.9928041696548462
2007-09-11,core,static,1.083504123,1.2399016618728638
2007-09-12,core,static,1.310946124,1.126603603363037
2007-09-13,core,static,0.815487722,0.8632458448410034
2007-09-14,core,static,0.828726744,1.0805076360702515
2007-09-18,core,static,0.880454616,1.0532853603363037
2007-09-19,core,static,1.326768719,1.0670416355133057
2007-09-20,core,static,0.65482805,0.8872175812721252
2007-09-21,core,static,0.648135339,0.7252516746520996
2007-09-25,core,static,0.738892381,0.8310920596122742
2007-09-26,core,static,0.60008959,0.6517991423606873
2007-09-27,core,static,0.798136474,0.9764347672462463
2007-09-28,core,static,0.623738756,0.7887692451477051
2007-10-01,core,static,0.811875287,0.7853599786758423
2007-10-02,core,static,0.579759285,0.5993233919143677
2007-10-03,core,static,0.638478086,0.7262338995933533
2007-10-04,core,static,0.707450117,0.6349173784255981
2007-10-05,core,static,0.534444803,0.6332865953445435
2007-10-09,core,static,0.565422982,0.5923436880111694
2007-10-10,core,static,0.492693793,0.5724126696586609
2007-10-11,core,static,1.030062627,0.9204660058021545
2007-10-12,core,static,0.609225496,0.6990554332733154
2007-10-15,core,static,0.622835026,0.5958049297332764
2007-10-16,core,static,0.785803349,0.6911441683769226
2007-10-17,core,static,1.226157962,0.9430670142173767
2007-10-18,core,static,0.848425144,0.8586694598197937
2007-10-19,core,static,0.932871884,0.8865424990653992
2007-10-22,core,static,1.582713517,1.1511800289154053
2007-10-23,core,static,0.719069013,0.8476663827896118
2007-10-24,core,static,0.891733735,0.9648438692092896
2007-10-25,core,static,0.990499651,0.9387025237083435
2007-10-26,core,static,0.762286712,0.8349214196205139
2007-10-29,core,static,0.754009821,0.7684758901596069
2007-10-30,core,static,0.77345349,0.7875425815582275
2007-10-31,core,static,0.711520648,0.7730550765991211
2007-11-01,core,static,0.643161325,0.6048274040222168
2007-11-02,core,static,0.965203163,0.795433521270752
2007-11-05,core,static,0.84878256,0.9016964435577393
2007-11-06,core,static,0.869740242,0.9167332649230957
2007-11-07,core,static,0.765264309,0.8770659565925598
2007-11-08,core,static,1.095595417,1.1612313985824585
2007-11-09,core,static,1.242006485,1.0601392984390259
2007-11-12,core,static,1.449180757,1.456555962562561
2007-11-13,core,static,1.398611741,1.2242653369903564
2007-11-14,core,static,0.832567305,1.0954673290252686
2007-11-15,core,static,0.771458899,0.9689635634422302
2007-11-16,core,static,1.227393475,1.0393503904342651
2007-11-19,core,static,0.997882755,1.1141479015350342
2007-11-20,core,static,1.379403908,1.603775143623352
2007-11-21,core,static,1.325807653,1.3774501085281372
2007-11-22,core,static,1.466125343,1.40675950050354
2007-11-26,core,static,1.138327506,1.3326643705368042
2007-11-27,core,static,2.46390094,1.5684351921081543
2007-11-28,core,static,1.077734356,1.2491834163665771
2007-11-29,core,static,1.103196184,1.0518920421600342
2007-11-30,core,static,0.776071558,1.131852626800537
2007-12-03,core,static,1.119242272,0.9445732235908508
2007-12-04,core,static,0.867714892,1.1404205560684204
2007-12-05,core,static,0.895215094,1.0579723119735718
